Date,hashrate30var
2011/04/23,5.2533139378073E+21
2011/04/24,5.3082159272095E+21
2011/04/25,5.4060690782209E+21
2011/04/26,6.6376038943549E+21
2011/04/27,7.1420989054284E+21
2011/04/28,6.7579838411967E+21
2011/04/29,6.979718802127E+21
2011/04/30,1.0116414173879E+22
2011/05/01,1.2459337501356E+22
2011/05/02,1.5234951742868E+22
2011/05/03,1.7896203584159E+22
2011/05/04,2.0103925840359E+22
2011/05/05,2.4014566636895E+22
2011/05/06,2.7915821130443E+22
2011/05/07,3.1383228636541E+22
2011/05/08,3.3142405704856E+22
2011/05/09,4.064821565222E+22
2011/05/10,5.9594691066666E+22
2011/05/11,6.7514243577061E+22
2011/05/12,7.1889479143072E+22
2011/05/13,7.9667517812973E+22
2011/05/14,9.9870684644637E+22
2011/05/15,1.1424040392362E+23
2011/05/16,1.264214569141E+23
2011/05/17,1.464524012792E+23
2011/05/18,1.7767146101726E+23
2011/05/19,2.290753742071E+23
2011/05/20,2.7015479050326E+23
2011/05/21,3.0910707104338E+23
2011/05/22,3.8020892408276E+23
2011/05/23,4.5746082257231E+23
2011/05/24,5.6444130330227E+23
2011/05/25,6.749447038035E+23
2011/05/26,8.665102632257E+23
2011/05/27,1.1407717535155E+24
2011/05/28,1.1690238549199E+24
2011/05/29,1.1901229170644E+24
2011/05/30,1.2064586372963E+24
2011/05/31,1.1911857239218E+24
2011/06/01,1.189332241286E+24
2011/06/02,1.227979077583E+24
2011/06/03,1.2582348592024E+24
2011/06/04,1.300990306694E+24
2011/06/05,1.3245844360663E+24
2011/06/06,1.4929631124912E+24
2011/06/07,1.5241405924469E+24
2011/06/08,1.5372500641704E+24
2011/06/09,1.6652453567082E+24
2011/06/10,1.7964102579427E+24
2011/06/11,1.8918472759563E+24
2011/06/12,2.028604446313E+24
2011/06/13,2.0936962305384E+24
2011/06/14,2.1273763286382E+24
2011/06/15,2.7763887789591E+24
2011/06/16,3.4752824116889E+24
2011/06/17,3.6048905676134E+24
2011/06/18,3.7642630068735E+24
2011/06/19,4.0788147564806E+24
2011/06/20,4.4996225696299E+24
2011/06/21,4.9967508026093E+24
2011/06/22,5.7341046265269E+24
2011/06/23,6.1357869120862E+24
2011/06/24,7.3717205098657E+24
2011/06/25,7.8036896207359E+24
2011/06/26,8.0561346562155E+24
2011/06/27,8.0425670543107E+24
2011/06/28,7.9112125783253E+24
2011/06/29,7.8708884713236E+24
2011/06/30,7.7835934758666E+24
2011/07/01,7.7466525067232E+24
2011/07/02,7.494256974127E+24
2011/07/03,7.0564527651435E+24
2011/07/04,6.5416199592997E+24
2011/07/05,5.8943373149372E+24
2011/07/06,5.4859716312928E+24
2011/07/07,4.9162037491756E+24
