Date,size90var
2012/01/27,9461850
2012/01/28,9468883
2012/01/29,9403892
2012/01/30,9381511
2012/01/31,9412374
2012/02/01,9467735
2012/02/02,9582063
2012/02/03,9619003
2012/02/04,9384498
2012/02/05,9459155
2012/02/06,9454969
2012/02/07,9556091
2012/02/08,9608154
2012/02/09,9830836
2012/02/10,10537298
2012/02/11,10541692
2012/02/12,10541994
2012/02/13,11060273
2012/02/14,12853348
2012/02/15,14016833
2012/02/16,15818823
2012/02/17,15735608
2012/02/18,15772483
2012/02/19,15776762
2012/02/20,15694713
2012/02/21,15734083
2012/02/22,15732125
2012/02/23,15733681
2012/02/24,15735658
2012/02/25,15732176
2012/02/26,15766113
2012/02/27,15721331
2012/02/28,15718500
2012/02/29,15666505
2012/03/01,15743553
2012/03/02,16348558
2012/03/03,16244677
2012/03/04,16135505
2012/03/05,16344433
2012/03/06,16460348
2012/03/07,16350217
2012/03/08,16165380
2012/03/09,16036646
2012/03/10,15998020
2012/03/11,15988332
2012/03/12,16020617
2012/03/13,16014978
2012/03/14,16274612
2012/03/15,16509717
2012/03/16,16113947
2012/03/17,15619811
2012/03/18,15697684
2012/03/19,15485024
2012/03/20,15312487
2012/03/21,15204412
2012/03/22,15050319
2012/03/23,14463449
2012/03/24,14170440
2012/03/25,13703997
2012/03/26,13461923
2012/03/27,13010920
2012/03/28,12842822
2012/03/29,12526199
2012/03/30,12271990
2012/03/31,12361101
2012/04/01,12390927
2012/04/02,12611782
2012/04/03,12981284
2012/04/04,12906354
2012/04/05,13730724
2012/04/06,13667847
2012/04/07,13657196
2012/04/08,13781781
2012/04/09,13030675
2012/04/10,12782525
2012/04/11,13046286
2012/04/12,13771683
2012/04/13,14005738
2012/04/14,14163862
2012/04/15,14834294
2012/04/16,15145643
2012/04/17,15627703
2012/04/18,16995672
2012/04/19,17014352
2012/04/20,17289286
2012/04/21,16954900
2012/04/22,16429951
2012/04/23,16469311
2012/04/24,16469103
2012/04/25,16758398
2012/04/26,17037563
2012/04/27,17000276
2012/04/28,16783891
2012/04/29,16425453
2012/04/30,16430945
2012/05/01,16752167
2012/05/02,17621986
2012/05/03,20477820
2012/05/04,23319243
2012/05/05,24619272
2012/05/06,25825813
2012/05/07,32255736
2012/05/08,36796118
2012/05/09,43041853
2012/05/10,46315680
2012/05/11,59926319
2012/05/12,74666819
2012/05/13,79363594
2012/05/14,124140014
2012/05/15,152847071
2012/05/16,173851461
2012/05/17,191366332
2012/05/18,215185394
2012/05/19,277435897
2012/05/20,330095287
2012/05/21,399967376
2012/05/22,437346044
2012/05/23,478419087
2012/05/24,519062738
2012/05/25,571388071
2012/05/26,582896196
2012/05/27,595718642
2012/05/28,629101782
2012/05/29,676995928
2012/05/30,702600330
