Date,confirmationtime3rsi
2012/02/02,39.818
2012/02/03,41.676
2012/02/04,44.29
2012/02/05,73.744
2012/02/06,60.081
2012/02/07,75.779
2012/02/08,49.595
2012/02/09,49.595
2012/02/10,69.913
2012/02/11,34.922
2012/02/12,24.299
2012/02/13,67.248
2012/02/14,64.266
2012/02/15,71.908
2012/02/16,54.444
2012/02/17,25.633
2012/02/18,13.712
2012/02/19,40.865
2012/02/20,67.116
2012/02/21,78.054
2012/02/22,35.509
2012/02/23,30.925
2012/02/24,54.008
2012/02/25,36.625
2012/02/26,56.281
2012/02/27,49.678
2012/02/28,39.822
2012/02/29,21.992
2012/03/01,61.924
2012/03/02,76.536
2012/03/03,87.968
2012/03/04,48.415
2012/03/05,41.197
2012/03/06,51.944
2012/03/07,33.545
2012/03/08,31.799
2012/03/09,22.248
2012/03/10,29.731
2012/03/11,75.518
2012/03/12,37.705
2012/03/13,44.277
2012/03/14,67.884
2012/03/15,79.731
2012/03/16,40.046
2012/03/17,31.23
2012/03/18,42.003
2012/03/19,60.678
2012/03/20,40.916
2012/03/21,43.837
2012/03/22,43.837
2012/03/23,82.774
2012/03/24,31.611
2012/03/25,49.205
2012/03/26,54.011
2012/03/27,48.266
2012/03/28,56.626
2012/03/29,69.068
2012/03/30,43.023
2012/03/31,27.274
2012/04/01,64.387
2012/04/02,82.557
2012/04/03,53.809
2012/04/04,48.737
2012/04/05,71.577
2012/04/06,43.656
2012/04/07,52.871
2012/04/08,31.711
2012/04/09,37.977
2012/04/10,36.689
2012/04/11,51.896
2012/04/12,75.62
2012/04/13,80.375
2012/04/14,38.844
2012/04/15,78.017
2012/04/16,35.52
2012/04/17,47.402
2012/04/18,52.457
2012/04/19,31.424
2012/04/20,35.086
2012/04/21,35.086
2012/04/22,60.145
2012/04/23,67.753
2012/04/24,57.697
2012/04/25,77.35
2012/04/26,29.989
2012/04/27,56.707
2012/04/28,37.901
2012/04/29,23.75
2012/04/30,23.75
2012/05/01,39.018
2012/05/02,66.056
2012/05/03,52.759
2012/05/04,45.452
2012/05/05,35.153
2012/05/06,44.425
2012/05/07,31.255
2012/05/08,22.099
2012/05/09,55.486
2012/05/10,89.515
2012/05/11,59.531
2012/05/12,73.765
2012/05/13,51.544
2012/05/14,53.168
2012/05/15,68.51
2012/05/16,79.873
2012/05/17,84.946
2012/05/18,30.018
2012/05/19,27.186
2012/05/20,48.317
2012/05/21,66.903
2012/05/22,79.228
2012/05/23,45.578
2012/05/24,54.473
2012/05/25,62.397
2012/05/26,28.279
2012/05/27,18.786
2012/05/28,45.984
2012/05/29,66.168
2012/05/30,55.61
2012/05/31,42.582
2012/06/01,26.518
2012/06/02,20.736
2012/06/03,38.284
2012/06/04,34.869
2012/06/05,58.171
2012/06/06,41.322
2012/06/07,71.682
2012/06/08,63.984
2012/06/09,21.587
2012/06/10,31.259
2012/06/11,68.398
2012/06/12,44.685
2012/06/13,53.202
2012/06/14,43.22
2012/06/15,38.154
2012/06/16,47.401
2012/06/17,30.004
2012/06/18,17.915
2012/06/19,69.781
2012/06/20,72.063
2012/06/21,81.989
2012/06/22,72.915
2012/06/23,26.139
2012/06/24,67.698
2012/06/25,41.624
2012/06/26,47.429
2012/06/27,34.009
2012/06/28,64.468
2012/06/29,50.86
2012/06/30,67.483
2012/07/01,49.163
2012/07/02,36.319
2012/07/03,28.413
2012/07/04,49.358
2012/07/05,60.82
2012/07/06,37.956
2012/07/07,25.488
2012/07/08,53.135
2012/07/09,37.002
2012/07/10,60.722
2012/07/11,78.717
2012/07/12,46.655
2012/07/13,33.133
2012/07/14,37.055
2012/07/15,69.674
2012/07/16,49.864
2012/07/17,28.272
2012/07/18,51.721
2012/07/19,72.175
2012/07/20,50.38
2012/07/21,59.774
2012/07/22,38.757
2012/07/23,59.904
2012/07/24,34.983
2012/07/25,36.723
2012/07/26,27.321
2012/07/27,20.309
2012/07/28,63.463
2012/07/29,43.68
2012/07/30,33.275
2012/07/31,78.467
2012/08/01,70.309
2012/08/02,36.014
2012/08/03,39.555
2012/08/04,48.581
2012/08/05,70.444
2012/08/06,67.617
2012/08/07,30.399
2012/08/08,28.731
2012/08/09,24.796
2012/08/10,57.398
2012/08/11,36.699
2012/08/12,54.722
2012/08/13,52.125
2012/08/14,60.638
2012/08/15,32.744
2012/08/16,64.87
2012/08/17,83.006
2012/08/18,50.562
2012/08/19,24.543
2012/08/20,35.665
2012/08/21,37.482
2012/08/22,65.336
2012/08/23,47.657
2012/08/24,71.051
2012/08/25,80.327
2012/08/26,30.55
2012/08/27,59.939
2012/08/28,52.913
2012/08/29,37.003
2012/08/30,53.821
2012/08/31,68.81
2012/09/01,40.511
2012/09/02,37.677
2012/09/03,50.186
2012/09/04,57.942
2012/09/05,24.396
2012/09/06,39.95
2012/09/07,45.911
2012/09/08,76.947
2012/09/09,49.53
2012/09/10,62.113
2012/09/11,69.143
2012/09/12,44.936
2012/09/13,77.656
2012/09/14,37.128
2012/09/15,55.012
2012/09/16,39.141
2012/09/17,33.955
2012/09/18,35.715
2012/09/19,71.276
2012/09/20,51.437
2012/09/21,33.436
2012/09/22,51.011
2012/09/23,49.271
2012/09/24,59.816
2012/09/25,79.831
2012/09/26,75.432
2012/09/27,30.189
2012/09/28,37.326
2012/09/29,25.053
2012/09/30,47.993
2012/10/01,81.635
2012/10/02,52.127
2012/10/03,67.274
2012/10/04,69.736
2012/10/05,54.654
2012/10/06,26.766
2012/10/07,68.364
2012/10/08,29.585
2012/10/09,53.329
2012/10/10,47.722
2012/10/11,58.345
2012/10/12,44.716
2012/10/13,46.31
2012/10/14,74.013
2012/10/15,31.42
2012/10/16,44.504
2012/10/17,57.838
2012/10/18,41.004
2012/10/19,64.747
2012/10/20,39.792
2012/10/21,37.426
2012/10/22,44.115
2012/10/23,76.123
2012/10/24,38.315
2012/10/25,56.006
2012/10/26,37.611
2012/10/27,31.794
2012/10/28,43.517
2012/10/29,54.952
2012/10/30,72.879
2012/10/31,69.83
2012/11/01,79.315
2012/11/02,56.37
2012/11/03,46.835
2012/11/04,25.353
2012/11/05,21.646
2012/11/06,74.929
2012/11/07,39.132
2012/11/08,43.934
2012/11/09,48.16
2012/11/10,65.057
2012/11/11,54.689
2012/11/12,80.333
2012/11/13,54.448
2012/11/14,46.644
2012/11/15,64.814
2012/11/16,39.336
2012/11/17,53.98
2012/11/18,37.708
2012/11/19,37.708
2012/11/20,34.043
2012/11/21,20.023
2012/11/22,60.19
2012/11/23,22.556
2012/11/24,50.511
2012/11/25,60.469
2012/11/26,36.903
2012/11/27,57.13
2012/11/28,26.322
2012/11/29,37.576
2012/11/30,80.211
2012/12/01,39.258
2012/12/02,56.065
2012/12/03,51.98
2012/12/04,78.379
2012/12/05,61.048
2012/12/06,43.397
2012/12/07,53.557
2012/12/08,41.176
2012/12/09,60.075
2012/12/10,36.215
2012/12/11,35.137
2012/12/12,61.558
2012/12/13,58.74
2012/12/14,86.713
2012/12/15,59.418
2012/12/16,66.884
2012/12/17,31.866
2012/12/18,46.473
2012/12/19,29.54
2012/12/20,70.205
2012/12/21,45.528
2012/12/22,30.492
2012/12/23,56.214
2012/12/24,46.552
2012/12/25,55.568
2012/12/26,30.644
2012/12/27,29.589
2012/12/28,22.659
2012/12/29,55.344
2012/12/30,35.298
2012/12/31,45.17
2013/01/01,40.429
2013/01/02,56.385
2013/01/03,40.224
2013/01/04,58.196
2013/01/05,75.277
2013/01/06,61.927
2013/01/07,27.117
2013/01/08,69.618
2013/01/09,72.301
2013/01/10,43.054
2013/01/11,73.994
2013/01/12,63.587
2013/01/13,45.152
2013/01/14,25.989
2013/01/15,63.89
2013/01/16,50.879
2013/01/17,70.515
2013/01/18,53.236
2013/01/19,28.403
2013/01/20,51.415
2013/01/21,49.113
2013/01/22,36.012
2013/01/23,60.714
2013/01/24,32.109
2013/01/25,51.907
2013/01/26,36.111
2013/01/27,42.39
2013/01/28,48.798
2013/01/29,33.923
2013/01/30,44.921
2013/01/31,17.047
2013/02/01,60.762
2013/02/02,53.768
2013/02/03,30.718
2013/02/04,50.511
2013/02/05,47.424
2013/02/06,69.446
2013/02/07,55.135
2013/02/08,59.657
2013/02/09,71.869
2013/02/10,36.702
2013/02/11,41.027
2013/02/12,73.038
2013/02/13,33.029
2013/02/14,54.526
2013/02/15,33.168
2013/02/16,28.405
2013/02/17,29.844
2013/02/18,64.121
2013/02/19,66.285
2013/02/20,29.033
2013/02/21,48.604
2013/02/22,55.912
2013/02/23,64.123
2013/02/24,74.482
2013/02/25,24.112
2013/02/26,56.751
2013/02/27,38.229
2013/02/28,57.338
2013/03/01,69.02
2013/03/02,74.358
2013/03/03,47.733
2013/03/04,32.047
2013/03/05,70.049
2013/03/06,50.486
2013/03/07,45.33
2013/03/08,45.33
2013/03/09,32.865
2013/03/10,21.053
2013/03/11,54.989
2013/03/12,80.715
2013/03/13,48.062
2013/03/14,32.972
2013/03/15,41.037
2013/03/16,38.028
2013/03/17,18.773
2013/03/18,41.602
2013/03/19,62.216
2013/03/20,31.463
2013/03/21,28.636
2013/03/22,23.961
2013/03/23,40.051
2013/03/24,68.404
2013/03/25,88.376
2013/03/26,74.604
2013/03/27,85.355
2013/03/28,36.131
2013/03/29,42.601
2013/03/30,43.608
2013/03/31,49.123
2013/04/01,25.463
2013/04/02,46.585
2013/04/03,54.336
2013/04/04,75.908
2013/04/05,66.036
2013/04/06,53.671
2013/04/07,50.916
2013/04/08,71.609
2013/04/09,30.152
2013/04/10,20.056
2013/04/11,62.674
2013/04/12,45.74
2013/04/13,53.986
2013/04/14,71.268
2013/04/15,49.125
2013/04/16,33.281
2013/04/17,45.049
2013/04/18,75.838
2013/04/19,83.187
2013/04/20,47.799
2013/04/21,29.097
2013/04/22,56.168
2013/04/23,40.371
2013/04/24,48.568
2013/04/25,36.362
2013/04/26,38.557
2013/04/27,74.946
2013/04/28,36.157
2013/04/29,40.086
2013/04/30,68.697
2013/05/01,64.441
2013/05/02,81.067
2013/05/03,71.336
2013/05/04,33.763
2013/05/05,28.64
2013/05/06,27.636
2013/05/07,25.048
2013/05/08,38.157
2013/05/09,43.241
2013/05/10,22.215
2013/05/11,12.196
2013/05/12,55.422
2013/05/13,41.638
2013/05/14,75.234
2013/05/15,85.369
2013/05/16,63.523
2013/05/17,39.107
2013/05/18,60.165
2013/05/19,45.847
2013/05/20,79.094
2013/05/21,44.554
2013/05/22,39.671
2013/05/23,26.208
2013/05/24,34.728
2013/05/25,43.048
2013/05/26,48.184
2013/05/27,26.412
2013/05/28,62.611
2013/05/29,43.801
2013/05/30,30.469
2013/05/31,40.027
2013/06/01,15.126
2013/06/02,34.829
2013/06/03,25.834
2013/06/04,25.834
2013/06/05,67.781
2013/06/06,70.797
2013/06/07,85.891
2013/06/08,48.381
2013/06/09,70.156
2013/06/10,48.424
2013/06/11,41.595
2013/06/12,24.539
2013/06/13,47.595
2013/06/14,55.68
2013/06/15,65.651
2013/06/16,42.007
2013/06/17,81.58
2013/06/18,84.244
2013/06/19,86.704
2013/06/20,44.279
2013/06/21,30.284
2013/06/22,24.481
2013/06/23,46.151
2013/06/24,68.111
2013/06/25,52.393
2013/06/26,30.377
2013/06/27,44.033
2013/06/28,40.525
2013/06/29,40.525
2013/06/30,76.813
2013/07/01,61.633
2013/07/02,70.406
2013/07/03,21.544
2013/07/04,50.707
2013/07/05,31.502
2013/07/06,30.768
2013/07/07,33.107
2013/07/08,25.542
2013/07/09,46.893
2013/07/10,29.217
2013/07/11,68.714
2013/07/12,84.43
2013/07/13,75.031
2013/07/14,42.936
2013/07/15,57.017
2013/07/16,57.017
2013/07/17,24.817
2013/07/18,62.264
2013/07/19,46.138
2013/07/20,30.668
2013/07/21,22.311
2013/07/22,64.768
2013/07/23,80.606
2013/07/24,52.863
2013/07/25,65.343
2013/07/26,42.621
2013/07/27,30.501
2013/07/28,47.286
2013/07/29,36.845
2013/07/30,23.978
2013/07/31,35.618
2013/08/01,56.344
2013/08/02,36.319
2013/08/03,64.896
2013/08/04,50.099
2013/08/05,37.336
2013/08/06,36.039
2013/08/07,47.22
2013/08/08,21.918
2013/08/09,44.366
2013/08/10,27.194
2013/08/11,22.481
2013/08/12,22.481
2013/08/13,77.604
2013/08/14,86.204
2013/08/15,79.621
2013/08/16,81.716
2013/08/17,32.463
2013/08/18,28.418
2013/08/19,61.364
2013/08/20,39.871
2013/08/21,32.709
2013/08/22,18.272
2013/08/23,50.827
2013/08/24,66.283
2013/08/25,86.548
2013/08/26,59.042
2013/08/27,54.407
2013/08/28,40.925
2013/08/29,29.102
2013/08/30,18.809
2013/08/31,12.49
2013/09/01,16.811
2013/09/02,32.39
2013/09/03,68.11
2013/09/04,87.46
2013/09/05,57.954
2013/09/06,49.652
2013/09/07,81.813
2013/09/08,61.113
2013/09/09,29.97
2013/09/10,39.832
2013/09/11,34.314
2013/09/12,27.037
2013/09/13,39.993
2013/09/14,28.468
2013/09/15,68.73
2013/09/16,83.297
2013/09/17,50.354
2013/09/18,62.104
2013/09/19,38.882
2013/09/20,32.809
2013/09/21,46.634
2013/09/22,33.622
2013/09/23,28.293
2013/09/24,26.565
2013/09/25,42.636
2013/09/26,86.178
2013/09/27,58.262
2013/09/28,59.39
2013/09/29,68.697
2013/09/30,77.206
2013/10/01,33.998
2013/10/02,30.372
2013/10/03,23.351
2013/10/04,59.097
2013/10/05,25.641
2013/10/06,56.776
2013/10/07,75.329
2013/10/08,66.807
2013/10/09,43.597
2013/10/10,33.138
2013/10/11,43.694
2013/10/12,23.239
2013/10/13,20.351
2013/10/14,12.252
2013/10/15,10.428
2013/10/16,61.549
2013/10/17,82.085
2013/10/18,54.381
2013/10/19,36.992
2013/10/20,53.612
2013/10/21,44.341
2013/10/22,27.766
2013/10/23,47.576
2013/10/24,53.076
2013/10/25,35.543
2013/10/26,74.734
2013/10/27,76.338
2013/10/28,79.097
2013/10/29,87.945
2013/10/30,37.753
2013/10/31,29.113
2013/11/01,33.147
2013/11/02,43.264
2013/11/03,59.758
2013/11/04,52.627
2013/11/05,80.118
2013/11/06,87.136
2013/11/07,93.889
2013/11/08,95.937
2013/11/09,56.942
2013/11/10,31.902
2013/11/11,23.403
2013/11/12,18.037
2013/11/13,56.915
2013/11/14,41.997
2013/11/15,60.024
2013/11/16,34.81
2013/11/17,43.834
2013/11/18,71.465
2013/11/19,62.574
2013/11/20,56.551
2013/11/21,74.786
