Date,size7roc
2011/08/01,-14.131
2011/08/02,16.709
2011/08/03,6.082
2011/08/04,12.783
2011/08/05,19.005
2011/08/06,52.445
2011/08/07,13.774
2011/08/08,20.595
2011/08/09,12.222
2011/08/10,3.989
2011/08/11,-16.539
2011/08/12,0.132
2011/08/13,-7.441
2011/08/14,16.069
2011/08/15,9.368
2011/08/16,-1.918
2011/08/17,11.079
2011/08/18,-2.884
2011/08/19,21.283
2011/08/20,-15.046
2011/08/21,-22.053
2011/08/22,-29.966
2011/08/23,-25.362
2011/08/24,-7.742
2011/08/25,6.949
2011/08/26,-15.123
2011/08/27,21.713
2011/08/28,4.639
2011/08/29,19.21
2011/08/30,5.513
2011/08/31,-19.259
2011/09/01,1.302
2011/09/02,-20.066
2011/09/03,-31.458
2011/09/04,89.486
2011/09/05,-20.246
2011/09/06,6.4
2011/09/07,17.018
2011/09/08,-7.94
2011/09/09,38.713
2011/09/10,27.62
2011/09/11,-41.687
2011/09/12,17.202
2011/09/13,-18.03
2011/09/14,-19.395
2011/09/15,-16.87
2011/09/16,-13.094
2011/09/17,-21.68
2011/09/18,-33.051
2011/09/19,4.529
2011/09/20,48.141
2011/09/21,42.575
2011/09/22,-1.33
2011/09/23,-9.145
2011/09/24,21.83
2011/09/25,21.29
2011/09/26,-25.821
2011/09/27,-29.333
2011/09/28,-34.433
2011/09/29,0.359
2011/09/30,-1.597
2011/10/01,-22.388
2011/10/02,-9.199
2011/10/03,0.068
2011/10/04,13.892
2011/10/05,0.636
2011/10/06,12.514
2011/10/07,-9.645
2011/10/08,18.621
2011/10/09,5.175
2011/10/10,9.215
2011/10/11,28.244
2011/10/12,27.293
2011/10/13,8.077
2011/10/14,5.853
2011/10/15,-9.339
2011/10/16,-0.725
2011/10/17,15.724
2011/10/18,-38.984
2011/10/19,-23.346
2011/10/20,-25.864
2011/10/21,-14.456
2011/10/22,26.817
2011/10/23,16.406
2011/10/24,-15.461
2011/10/25,-4.365
2011/10/26,14.944
2011/10/27,18.144
2011/10/28,32.058
2011/10/29,-1.559
2011/10/30,-12.015
2011/10/31,-17.613
2011/11/01,-9.143
2011/11/02,-19.706
2011/11/03,0.834
2011/11/04,-11.483
2011/11/05,-21.172
2011/11/06,-28.257
2011/11/07,13.623
2011/11/08,16.885
2011/11/09,11.136
2011/11/10,2.208
2011/11/11,-0.031
2011/11/12,-10.439
2011/11/13,11.125
2011/11/14,1.979
2011/11/15,-9.078
2011/11/16,14.503
2011/11/17,-18.412
2011/11/18,-12.224
2011/11/19,9.178
2011/11/20,14.4
2011/11/21,-10.037
2011/11/22,2.846
2011/11/23,-12.72
2011/11/24,24.468
2011/11/25,1.602
2011/11/26,3.456
2011/11/27,7.042
2011/11/28,21.656
2011/11/29,29.441
2011/11/30,20.487
2011/12/01,-19.151
2011/12/02,9.811
2011/12/03,-5.602
2011/12/04,-6.639
2011/12/05,-18.079
2011/12/06,-9.103
2011/12/07,-4.596
2011/12/08,3.53
2011/12/09,-13.327
2011/12/10,0.774
2011/12/11,4.095
2011/12/12,15.076
2011/12/13,-5.908
2011/12/14,-19.558
2011/12/15,2.292
2011/12/16,23.675
2011/12/17,-11.907
2011/12/18,-23.431
2011/12/19,-8.845
2011/12/20,34.07
2011/12/21,4.145
2011/12/22,0.443
2011/12/23,-16.323
2011/12/24,-8.101
2011/12/25,-4.326
2011/12/26,-20.723
2011/12/27,-35.516
2011/12/28,-12.111
2011/12/29,-2.985
2011/12/30,-10.169
2011/12/31,21.693
2012/01/01,32.653
2012/01/02,39.383
2012/01/03,12.953
2012/01/04,34.973
2012/01/05,47.077
2012/01/06,45.685
2012/01/07,2.834
2012/01/08,19.705
2012/01/09,6.673
2012/01/10,63.201
2012/01/11,42.376
2012/01/12,-18.189
2012/01/13,0.036
2012/01/14,19.68
2012/01/15,2.273
2012/01/16,-3.384
2012/01/17,-34.115
2012/01/18,-9.844
2012/01/19,5.159
2012/01/20,-4.083
2012/01/21,-8.326
2012/01/22,-20.481
2012/01/23,-22.804
2012/01/24,23.197
2012/01/25,0.915
2012/01/26,4.035
2012/01/27,2.438
2012/01/28,4.514
2012/01/29,8.248
2012/01/30,3.72
2012/01/31,-9.045
2012/02/01,-16.742
2012/02/02,-1.792
2012/02/03,-2.871
2012/02/04,10.315
2012/02/05,18.343
2012/02/06,18.822
2012/02/07,0.987
2012/02/08,1.339
2012/02/09,7.03
2012/02/10,32.684
2012/02/11,9.799
2012/02/12,-7.803
2012/02/13,40.956
2012/02/14,44.196
2012/02/15,42.248
2012/02/16,40.327
2012/02/17,-31.782
2012/02/18,-29.585
2012/02/19,-15.961
2012/02/20,-27.671
2012/02/21,-28.07
2012/02/22,-34.9
2012/02/23,-30.738
2012/02/24,18.478
2012/02/25,11.263
2012/02/26,9.232
2012/02/27,2.386
2012/02/28,-15.823
2012/02/29,-13.02
2012/03/01,0.519
2012/03/02,25.999
2012/03/03,11.485
2012/03/04,19.6
2012/03/05,24.758
2012/03/06,21.007
2012/03/07,12.905
2012/03/08,-12.12
2012/03/09,-33.357
2012/03/10,-9.473
2012/03/11,-9.902
2012/03/12,-26.7
2012/03/13,6.077
