Date,difficulty14mom
2012/01/05,4891
2012/01/06,4891
2012/01/07,4891
2012/01/08,23837
2012/01/09,94559
2012/01/10,90828
2012/01/11,90828
2012/01/12,90828
2012/01/13,90828
2012/01/14,90828
2012/01/15,90828
2012/01/16,90828
2012/01/17,90828
2012/01/18,90828
2012/01/19,90828
2012/01/20,90828
2012/01/21,90828
2012/01/22,120056
2012/01/23,56971
2012/01/24,56971
2012/01/25,56971
2012/01/26,56971
2012/01/27,56971
2012/01/28,56971
2012/01/29,56971
2012/01/30,56971
2012/01/31,56971
2012/02/01,56971
2012/02/02,56971
2012/02/03,56971
2012/02/04,95450
2012/02/05,80716
2012/02/06,71919
2012/02/07,71919
2012/02/08,71919
2012/02/09,71919
2012/02/10,71919
2012/02/11,71919
2012/02/12,71919
2012/02/13,71919
2012/02/14,71919
2012/02/15,71919
2012/02/16,71919
2012/02/17,71919
2012/02/18,31503
2012/02/19,-3345
2012/02/20,-3345
2012/02/21,-3345
2012/02/22,-3345
2012/02/23,-3345
2012/02/24,-3345
2012/02/25,-3345
2012/02/26,-3345
2012/02/27,-3345
2012/02/28,-3345
2012/02/29,-3345
2012/03/01,-3345
2012/03/02,65999
2012/03/03,119268
2012/03/04,120676
2012/03/05,120676
2012/03/06,120676
2012/03/07,120676
2012/03/08,120676
2012/03/09,120676
2012/03/10,120676
2012/03/11,120676
2012/03/12,120676
2012/03/13,120676
2012/03/14,120676
2012/03/15,120676
2012/03/16,52253
2012/03/17,1316
2012/03/18,1316
2012/03/19,1316
2012/03/20,1316
2012/03/21,1316
2012/03/22,1316
2012/03/23,1316
2012/03/24,1316
2012/03/25,1316
2012/03/26,1316
2012/03/27,1316
2012/03/28,1316
2012/03/29,96828
2012/03/30,128655
2012/03/31,128259
2012/04/01,128259
2012/04/02,128259
2012/04/03,128259
2012/04/04,128259
2012/04/05,128259
2012/04/06,128259
2012/04/07,128259
2012/04/08,128259
2012/04/09,128259
2012/04/10,128259
2012/04/11,128259
2012/04/12,19725
2012/04/13,-48640
2012/04/14,-48640
2012/04/15,-48640
2012/04/16,-48640
2012/04/17,-48640
2012/04/18,-48640
2012/04/19,-48640
2012/04/20,-48640
2012/04/21,-48640
2012/04/22,-48640
2012/04/23,-48640
2012/04/24,-48640
2012/04/25,-48640
2012/04/26,-35618
2012/04/27,-49810
2012/04/28,-69324
2012/04/29,-69324
2012/04/30,-69324
2012/05/01,-69324
2012/05/02,-69324
2012/05/03,-69324
2012/05/04,-69324
2012/05/05,-69324
2012/05/06,-69324
2012/05/07,-69324
2012/05/08,-69324
2012/05/09,28101
2012/05/10,155294
2012/05/11,205104
2012/05/12,224618
2012/05/13,224618
2012/05/14,224618
2012/05/15,224618
2012/05/16,224618
2012/05/17,224618
2012/05/18,224618
2012/05/19,224618
2012/05/20,224618
2012/05/21,224618
2012/05/22,224618
2012/05/23,127193
2012/05/24,-34112
2012/05/25,-142133
2012/05/26,-142133
2012/05/27,-142133
2012/05/28,-142133
2012/05/29,-142133
2012/05/30,-142133
2012/05/31,-142133
2012/06/01,-142133
2012/06/02,-142133
2012/06/03,-142133
2012/06/04,-142133
2012/06/05,-142133
2012/06/06,-142133
2012/06/07,-109839
2012/06/08,-7897
2012/06/09,-7897
2012/06/10,-7897
2012/06/11,-7897
2012/06/12,-7897
2012/06/13,-7897
2012/06/14,-7897
2012/06/15,-7897
2012/06/16,-7897
2012/06/17,-7897
2012/06/18,-7897
2012/06/19,-7897
2012/06/20,33636
2012/06/21,137310
2012/06/22,143389
2012/06/23,143389
2012/06/24,143389
2012/06/25,143389
2012/06/26,143389
2012/06/27,143389
2012/06/28,143389
2012/06/29,143389
2012/06/30,143389
2012/07/01,143389
2012/07/02,143389
2012/07/03,143389
2012/07/04,115129
2012/07/05,24888
2012/07/06,24888
2012/07/07,24888
2012/07/08,24888
2012/07/09,24888
2012/07/10,24888
2012/07/11,24888
2012/07/12,24888
2012/07/13,24888
2012/07/14,24888
2012/07/15,24888
2012/07/16,24888
2012/07/17,68323
2012/07/18,126551
2012/07/19,114937
2012/07/20,114937
2012/07/21,114937
2012/07/22,114937
2012/07/23,114937
2012/07/24,114937
2012/07/25,114937
2012/07/26,114937
2012/07/27,114937
2012/07/28,114937
2012/07/29,114937
2012/07/30,199109
2012/07/31,241781
2012/08/01,170280
2012/08/02,170280
2012/08/03,170280
2012/08/04,170280
2012/08/05,170280
2012/08/06,170280
2012/08/07,170280
2012/08/08,170280
2012/08/09,170280
2012/08/10,170280
2012/08/11,170280
2012/08/12,247862
2012/08/13,240302
2012/08/14,154195
2012/08/15,154195
2012/08/16,154195
2012/08/17,154195
2012/08/18,154195
2012/08/19,154195
2012/08/20,154195
2012/08/21,154195
2012/08/22,154195
2012/08/23,154195
2012/08/24,154195
2012/08/25,384062
2012/08/26,326389
2012/08/27,249777
2012/08/28,249777
2012/08/29,249777
2012/08/30,249777
2012/08/31,249777
2012/09/01,249777
2012/09/02,249777
2012/09/03,249777
2012/09/04,249777
2012/09/05,249777
2012/09/06,300161
2012/09/07,503182
2012/09/08,273315
2012/09/09,253405
2012/09/10,253405
2012/09/11,253405
2012/09/12,253405
2012/09/13,253405
2012/09/14,253405
2012/09/15,253405
2012/09/16,253405
2012/09/17,253405
2012/09/18,253405
2012/09/19,269088
2012/09/20,373113
2012/09/21,170093
2012/09/22,170093
2012/09/23,170093
2012/09/24,170093
2012/09/25,170093
2012/09/26,170093
2012/09/27,170093
2012/09/28,170093
2012/09/29,170093
2012/09/30,170093
2012/10/01,170093
2012/10/02,170093
2012/10/03,327710
2012/10/04,190487
2012/10/05,190487
2012/10/06,190487
2012/10/07,190487
2012/10/08,190487
2012/10/09,190487
2012/10/10,190487
2012/10/11,190487
2012/10/12,190487
2012/10/13,190487
2012/10/14,190487
2012/10/15,190487
2012/10/16,191286
2012/10/17,34881
2012/10/18,17694
2012/10/19,17694
2012/10/20,17694
2012/10/21,17694
2012/10/22,17694
2012/10/23,17694
2012/10/24,17694
2012/10/25,17694
2012/10/26,17694
2012/10/27,17694
2012/10/28,17694
2012/10/29,17694
2012/10/30,248930
2012/10/31,232035
2012/11/01,232035
2012/11/02,232035
2012/11/03,232035
2012/11/04,232035
2012/11/05,232035
2012/11/06,232035
2012/11/07,232035
2012/11/08,232035
2012/11/09,232035
2012/11/10,232035
2012/11/11,232035
2012/11/12,249113
2012/11/13,64411
2012/11/14,64411
2012/11/15,64411
2012/11/16,64411
2012/11/17,64411
2012/11/18,64411
2012/11/19,64411
2012/11/20,64411
2012/11/21,64411
2012/11/22,64411
2012/11/23,64411
2012/11/24,64411
2012/11/25,64411
2012/11/26,80839
2012/11/27,70142
2012/11/28,70142
2012/11/29,70142
2012/11/30,70142
2012/12/01,70142
2012/12/02,70142
2012/12/03,70142
2012/12/04,70142
2012/12/05,70142
2012/12/06,70142
2012/12/07,70142
2012/12/08,70142
2012/12/09,70142
2012/12/10,20294
2012/12/11,-68727
2012/12/12,-68727
2012/12/13,-68727
2012/12/14,-68727
2012/12/15,-68727
2012/12/16,-68727
2012/12/17,-68727
2012/12/18,-68727
2012/12/19,-68727
2012/12/20,-68727
2012/12/21,-68727
2012/12/22,-68727
2012/12/23,-68727
2012/12/24,-52386
2012/12/25,0
2012/12/26,-187665
2012/12/27,-390545
2012/12/28,-390545
2012/12/29,-390545
2012/12/30,-390545
2012/12/31,-390545
2013/01/01,-390545
2013/01/02,-390545
2013/01/03,-390545
2013/01/04,-390545
2013/01/05,-390545
2013/01/06,-390545
