Date,top100cap90var
2011/08/24,0.459
2011/08/25,0.468
2011/08/26,0.476
2011/08/27,0.475
2011/08/28,0.473
2011/08/29,0.472
2011/08/30,0.471
2011/08/31,0.468
2011/09/01,0.462
2011/09/02,0.457
2011/09/03,0.451
2011/09/04,0.45
2011/09/05,0.452
2011/09/06,0.458
2011/09/07,0.459
2011/09/08,0.458
2011/09/09,0.458
2011/09/10,0.425
2011/09/11,0.392
2011/09/12,0.387
2011/09/13,0.384
2011/09/14,0.386
2011/09/15,0.39
2011/09/16,0.395
2011/09/17,0.386
2011/09/18,0.378
2011/09/19,0.372
2011/09/20,0.366
2011/09/21,0.351
2011/09/22,0.338
2011/09/23,0.333
2011/09/24,0.331
2011/09/25,0.32
2011/09/26,0.316
2011/09/27,0.317
2011/09/28,0.321
2011/09/29,0.324
2011/09/30,0.327
2011/10/01,0.331
2011/10/02,0.334
2011/10/03,0.337
2011/10/04,0.34
2011/10/05,0.342
2011/10/06,0.345
2011/10/07,0.349
2011/10/08,0.353
2011/10/09,0.357
2011/10/10,0.361
2011/10/11,0.364
2011/10/12,0.367
2011/10/13,0.37
2011/10/14,0.373
2011/10/15,0.375
2011/10/16,0.377
2011/10/17,0.378
2011/10/18,0.378
2011/10/19,0.379
2011/10/20,0.379
2011/10/21,0.379
2011/10/22,0.378
2011/10/23,0.377
2011/10/24,0.376
2011/10/25,0.373
2011/10/26,0.369
2011/10/27,0.364
2011/10/28,0.359
2011/10/29,0.352
2011/10/30,0.341
2011/10/31,0.329
2011/11/01,0.316
2011/11/02,0.306
2011/11/03,0.294
2011/11/04,0.29
2011/11/05,0.286
2011/11/06,0.285
2011/11/07,0.283
2011/11/08,0.282
2011/11/09,0.28
2011/11/10,0.278
2011/11/11,0.275
2011/11/12,0.271
2011/11/13,0.267
2011/11/14,0.263
2011/11/15,0.263
2011/11/16,0.263
2011/11/17,0.263
2011/11/18,0.264
2011/11/19,0.265
2011/11/20,0.266
2011/11/21,0.268
2011/11/22,0.271
2011/11/23,0.264
2011/11/24,0.256
2011/11/25,0.257
2011/11/26,0.259
2011/11/27,0.26
2011/11/28,0.255
2011/11/29,0.249
2011/11/30,0.245
2011/12/01,0.241
2011/12/02,0.237
2011/12/03,0.234
2011/12/04,0.232
2011/12/05,0.229
2011/12/06,0.237
2011/12/07,0.246
2011/12/08,0.344
2011/12/09,0.76
2011/12/10,1.176
2011/12/11,1.609
2011/12/12,2.054
2011/12/13,2.49
2011/12/14,2.917
2011/12/15,3.333
2011/12/16,3.739
2011/12/17,4.136
2011/12/18,4.524
2011/12/19,4.904
2011/12/20,5.204
2011/12/21,5.499
2011/12/22,5.789
2011/12/23,6.068
2011/12/24,6.34
2011/12/25,6.605
2011/12/26,6.859
2011/12/27,7.107
2011/12/28,7.345
2011/12/29,7.575
2011/12/30,7.795
2011/12/31,8.006
2012/01/01,8.207
2012/01/02,8.399
2012/01/03,8.581
2012/01/04,8.756
2012/01/05,8.907
2012/01/06,9.056
2012/01/07,9.196
2012/01/08,9.327
2012/01/09,9.41
2012/01/10,9.488
2012/01/11,9.554
2012/01/12,9.614
2012/01/13,9.66
2012/01/14,9.692
2012/01/15,9.722
2012/01/16,9.749
2012/01/17,9.766
2012/01/18,9.774
2012/01/19,9.747
2012/01/20,9.721
2012/01/21,9.685
2012/01/22,9.639
2012/01/23,9.589
2012/01/24,9.531
2012/01/25,9.463
2012/01/26,9.389
2012/01/27,9.282
2012/01/28,9.166
2012/01/29,9.042
2012/01/30,8.912
2012/01/31,8.775
2012/02/01,8.617
2012/02/02,8.452
2012/02/03,8.282
2012/02/04,8.104
2012/02/05,7.917
2012/02/06,7.737
2012/02/07,7.557
2012/02/08,7.37
2012/02/09,7.176
2012/02/10,6.975
2012/02/11,6.771
2012/02/12,6.563
2012/02/13,6.342
2012/02/14,6.1
2012/02/15,5.884
2012/02/16,5.685
2012/02/17,5.469
2012/02/18,5.26
2012/02/19,5.044
2012/02/20,4.824
2012/02/21,4.595
2012/02/22,4.356
2012/02/23,4.112
2012/02/24,3.864
2012/02/25,3.595
2012/02/26,3.262
2012/02/27,2.921
2012/02/28,2.59
2012/02/29,2.254
2012/03/01,1.917
2012/03/02,1.581
2012/03/03,1.242
2012/03/04,0.902
2012/03/05,0.57
2012/03/06,0.24
2012/03/07,0.102
2012/03/08,0.102
2012/03/09,0.102
2012/03/10,0.103
2012/03/11,0.105
2012/03/12,0.106
2012/03/13,0.109
2012/03/14,0.11
2012/03/15,0.111
2012/03/16,0.111
2012/03/17,0.112
2012/03/18,0.113
2012/03/19,0.114
2012/03/20,0.114
2012/03/21,0.116
2012/03/22,0.118
2012/03/23,0.119
2012/03/24,0.121
2012/03/25,0.121
2012/03/26,0.121
2012/03/27,0.121
2012/03/28,0.121
2012/03/29,0.121
2012/03/30,0.121
2012/03/31,0.121
2012/04/01,0.121
2012/04/02,0.12
2012/04/03,0.12
2012/04/04,0.12
2012/04/05,0.12
2012/04/06,0.123
2012/04/07,0.125
2012/04/08,0.128
2012/04/09,0.128
2012/04/10,0.128
2012/04/11,0.128
2012/04/12,0.128
2012/04/13,0.128
2012/04/14,0.128
2012/04/15,0.128
2012/04/16,0.13
2012/04/17,0.133
2012/04/18,0.135
2012/04/19,0.139
2012/04/20,0.145
2012/04/21,0.151
2012/04/22,0.16
2012/04/23,0.168
2012/04/24,0.175
2012/04/25,0.18
2012/04/26,0.187
2012/04/27,0.193
2012/04/28,0.199
2012/04/29,0.202
2012/04/30,0.204
2012/05/01,0.206
2012/05/02,0.208
2012/05/03,0.209
2012/05/04,0.209
2012/05/05,0.211
2012/05/06,0.222
2012/05/07,0.236
2012/05/08,0.248
2012/05/09,0.263
2012/05/10,0.279
2012/05/11,0.307
2012/05/12,0.33
2012/05/13,0.353
2012/05/14,0.367
2012/05/15,0.391
2012/05/16,0.417
2012/05/17,0.449
2012/05/18,0.479
2012/05/19,0.506
2012/05/20,0.531
2012/05/21,0.556
2012/05/22,0.589
