Date,transactionvalue30emaUSD
2011/09/18,709.419
2011/09/19,680.627
2011/09/20,652.6
2011/09/21,629.667
2011/09/22,606.71
2011/09/23,586.503
2011/09/24,562.659
2011/09/25,543.893
2011/09/26,525.052
2011/09/27,513.088
2011/09/28,498.184
2011/09/29,484.114
2011/09/30,468.467
2011/10/01,463.467
2011/10/02,453.944
2011/10/03,444.616
2011/10/04,438.871
2011/10/05,432.552
2011/10/06,432.365
2011/10/07,423.756
2011/10/08,410.188
2011/10/09,397.998
2011/10/10,386.309
2011/10/11,375.663
2011/10/12,365.263
2011/10/13,357.627
2011/10/14,346.037
2011/10/15,340.749
2011/10/16,331.003
2011/10/17,326.037
2011/10/18,316.117
2011/10/19,304.623
2011/10/20,294.309
2011/10/21,292.444
2011/10/22,293.943
2011/10/23,295.301
2011/10/24,287.46
2011/10/25,281.17
2011/10/26,277.368
2011/10/27,279.655
2011/10/28,279.205
2011/10/29,278.079
2011/10/30,269.329
2011/10/31,267.5
2011/11/01,269.285
2011/11/02,265.75
2011/11/03,260.147
2011/11/04,255.538
2011/11/05,248.469
2011/11/06,240.892
2011/11/07,234.548
2011/11/08,255.617
2011/11/09,268.387
2011/11/10,261.247
2011/11/11,255.622
2011/11/12,249.103
2011/11/13,241.818
2011/11/14,236.181
2011/11/15,229.407
2011/11/16,267.44
2011/11/17,352.799
2011/11/18,466.509
2011/11/19,555.001
2011/11/20,561.658
2011/11/21,576.753
2011/11/22,636.855
2011/11/23,637.751
2011/11/24,642.843
2011/11/25,632.819
2011/11/26,645.513
2011/11/27,660.498
2011/11/28,727.536
2011/11/29,785.614
2011/11/30,911.895
2011/12/01,918.114
2011/12/02,1032
2011/12/03,1084
2011/12/04,1113
2011/12/05,1128
2011/12/06,1220
2011/12/07,1319
2011/12/08,1386
2011/12/09,1365
2011/12/10,1315
2011/12/11,1264
2011/12/12,1213
2011/12/13,1149
2011/12/14,1090
2011/12/15,1038
2011/12/16,990.571
2011/12/17,941.422
2011/12/18,895.143
2011/12/19,855.083
2011/12/20,820.035
2011/12/21,792.983
2011/12/22,760.253
2011/12/23,722.978
2011/12/24,693.098
2011/12/25,663.227
2011/12/26,653.241
2011/12/27,644.513
2011/12/28,617.613
2011/12/29,603.767
2011/12/30,579.767
2011/12/31,557.176
2012/01/01,543.08
2012/01/02,523.98
2012/01/03,505.001
2012/01/04,495.555
2012/01/05,503.038
2012/01/06,510.621
2012/01/07,500.559
2012/01/08,492.777
2012/01/09,492.184
2012/01/10,484.101
2012/01/11,476.076
2012/01/12,468.852
2012/01/13,463.666
2012/01/14,454.843
2012/01/15,444.39
2012/01/16,442.806
2012/01/17,439.695
2012/01/18,431.994
2012/01/19,426.837
2012/01/20,421.127
2012/01/21,413.174
2012/01/22,406.948
2012/01/23,399.486
2012/01/24,394.913
2012/01/25,389.699
2012/01/26,387.132
2012/01/27,381.304
2012/01/28,371.452
2012/01/29,366.43
2012/01/30,361.311
2012/01/31,355.266
2012/02/01,357.019
2012/02/02,354.187
2012/02/03,352.192
2012/02/04,348.364
2012/02/05,344.555
2012/02/06,340.876
2012/02/07,335.042
2012/02/08,329.106
2012/02/09,321.135
2012/02/10,314.589
2012/02/11,316.075
2012/02/12,311.963
2012/02/13,310.191
2012/02/14,334.668
2012/02/15,353.703
2012/02/16,377.293
2012/02/17,392.993
2012/02/18,397.328
2012/02/19,389.787
2012/02/20,383.702
2012/02/21,375.801
2012/02/22,381.954
2012/02/23,383.374
2012/02/24,385.53
2012/02/25,381.41
2012/02/26,375.05
2012/02/27,368.33
2012/02/28,362.031
2012/02/29,354.062
2012/03/01,361.696
2012/03/02,361.115
2012/03/03,359.957
2012/03/04,368.073
2012/03/05,361.269
2012/03/06,355.916
2012/03/07,351.008
2012/03/08,353.329
2012/03/09,359.178
2012/03/10,358.403
2012/03/11,360.835
2012/03/12,368.333
2012/03/13,367.905
2012/03/14,374.336
2012/03/15,376.973
2012/03/16,377.557
2012/03/17,375.971
2012/03/18,372.54
2012/03/19,370.305
2012/03/20,368.633
2012/03/21,367.42
2012/03/22,378.789
2012/03/23,398.434
2012/03/24,411.206
2012/03/25,404.611
2012/03/26,402.088
2012/03/27,402.048
2012/03/28,405.39
2012/03/29,428.46
2012/03/30,445.617
2012/03/31,461.353
2012/04/01,466.251
2012/04/02,470.075
2012/04/03,473.567
2012/04/04,476.89
2012/04/05,488.483
2012/04/06,484.776
2012/04/07,470.936
2012/04/08,505.469
2012/04/09,549.863
2012/04/10,544.815
2012/04/11,570.256
2012/04/12,582.49
2012/04/13,582.356
2012/04/14,584.19
2012/04/15,601.802
2012/04/16,623.013
2012/04/17,629.331
2012/04/18,627.944
2012/04/19,616.167
2012/04/20,693.064
2012/04/21,706.611
2012/04/22,711.363
2012/04/23,701.367
2012/04/24,687.58
2012/04/25,687.426
2012/04/26,703.527
2012/04/27,725.008
2012/04/28,716.831
2012/04/29,711.012
2012/04/30,702.176
2012/05/01,690.903
2012/05/02,681.385
2012/05/03,665.859
2012/05/04,648.947
2012/05/05,637.195
2012/05/06,615.152
2012/05/07,614.51
2012/05/08,646.657
2012/05/09,649.273
2012/05/10,639.786
2012/05/11,623.952
2012/05/12,639.373
2012/05/13,630.619
2012/05/14,615.992
2012/05/15,630.763
2012/05/16,652.081
2012/05/17,676.973
2012/05/18,658.46
2012/05/19,627.392
2012/05/20,607.976
2012/05/21,608.442
2012/05/22,626.026
2012/05/23,607.308
2012/05/24,582.096
2012/05/25,572.31
2012/05/26,603.709
2012/05/27,589.923
2012/05/28,575.463
2012/05/29,573.546
2012/05/30,567.469
2012/05/31,606.621
2012/06/01,604.458
2012/06/02,618.058
2012/06/03,595.483
2012/06/04,591.212
2012/06/05,588.313
2012/06/06,605.556
2012/06/07,618.428
2012/06/08,661.187
2012/06/09,633.669
2012/06/10,621.479
2012/06/11,614.64
2012/06/12,626.551
2012/06/13,602.182
2012/06/14,593.225
2012/06/15,580.238
2012/06/16,580.228
2012/06/17,555.832
2012/06/18,545.888
2012/06/19,534.936
2012/06/20,522.931
2012/06/21,505.909
2012/06/22,514.353
2012/06/23,537.768
2012/06/24,537.913
2012/06/25,528.959
2012/06/26,518.199
2012/06/27,511.882
2012/06/28,534.759
2012/06/29,547.321
2012/06/30,538.436
2012/07/01,533.555
2012/07/02,519.419
2012/07/03,512.835
2012/07/04,520.755
2012/07/05,526.636
2012/07/06,517.336
2012/07/07,553.796
2012/07/08,535.294
2012/07/09,538.431
2012/07/10,531.985
2012/07/11,514.673
2012/07/12,508.937
2012/07/13,525.941
2012/07/14,544.869
2012/07/15,534.896
2012/07/16,535.373
2012/07/17,540.85
2012/07/18,534.179
2012/07/19,522.541
2012/07/20,513.831
2012/07/21,519.206
2012/07/22,513.007
2012/07/23,515.925
2012/07/24,516.407
2012/07/25,503.915
2012/07/26,514.358
2012/07/27,527.098
2012/07/28,521.343
2012/07/29,505.842
2012/07/30,489.417
2012/07/31,500.349
2012/08/01,513.311
2012/08/02,515
2012/08/03,517.461
2012/08/04,518.405
2012/08/05,526.66
2012/08/06,532.044
2012/08/07,544.601
2012/08/08,538.922
2012/08/09,538.644
2012/08/10,546.855
2012/08/11,546.676
2012/08/12,546.074
2012/08/13,540.107
2012/08/14,539.487
2012/08/15,532.279
2012/08/16,536.334
2012/08/17,556.947
2012/08/18,564.664
2012/08/19,629.459
2012/08/20,745.031
2012/08/21,780.107
2012/08/22,859.93
2012/08/23,957.78
2012/08/24,1125
2012/08/25,1142
2012/08/26,1145
