Date,price3trxUSD
2011/11/27,1.402
2011/11/28,1.309
2011/11/29,1.8
2011/11/30,2.925
2011/12/01,3.96
2011/12/02,4.148
2011/12/03,2.968
2011/12/04,1.223
2011/12/05,0.343
2011/12/06,0.404
2011/12/07,0.731
2011/12/08,0.731
2011/12/09,0.553
2011/12/10,0.521
2011/12/11,1.072
2011/12/12,1.43
2011/12/13,1.47
2011/12/14,1.169
2011/12/15,0.753
2011/12/16,0.551
2011/12/17,0.415
2011/12/18,0.254
2011/12/19,0.804
2011/12/20,2.535
2011/12/21,3.802
2011/12/22,3.72
2011/12/23,3.144
2011/12/24,2.478
2011/12/25,2.286
2011/12/26,2.07
2011/12/27,1.448
2011/12/28,1.169
2011/12/29,1.095
2011/12/30,1.015
2011/12/31,1.695
2012/01/01,3.389
2012/01/02,4.568
2012/01/03,3.865
2012/01/04,3.283
2012/01/05,5.252
2012/01/06,7.029
2012/01/07,6.549
2012/01/08,5.568
2012/01/09,3.773
2012/01/10,1.634
2012/01/11,0.993
2012/01/12,1.061
2012/01/13,0.558
2012/01/14,0.151
2012/01/15,0.489
2012/01/16,0.623
2012/01/17,-0.736
2012/01/18,-2.268
2012/01/19,-2.054
2012/01/20,-0.914
2012/01/21,-0.258
2012/01/22,-0.142
2012/01/23,0.036
2012/01/24,0.109
2012/01/25,-0.484
2012/01/26,-1.704
2012/01/27,-2.731
2012/01/28,-2.64
2012/01/29,-2.038
2012/01/30,-1.562
2012/01/31,-1.031
2012/02/01,0.086
2012/02/02,1.328
2012/02/03,1.662
2012/02/04,1.249
2012/02/05,0.507
2012/02/06,-0.445
2012/02/07,-0.831
2012/02/08,-0.728
2012/02/09,-0.371
2012/02/10,0.23
2012/02/11,0.274
2012/02/12,-0.204
2012/02/13,-0.887
2012/02/14,-2.313
2012/02/15,-3.946
2012/02/16,-4.679
2012/02/17,-4.363
2012/02/18,-3.619
2012/02/19,-2.742
2012/02/20,-1.785
2012/02/21,-1.165
2012/02/22,-0.686
2012/02/23,0.724
2012/02/24,2.258
2012/02/25,2.366
2012/02/26,1.791
2012/02/27,1.444
2012/02/28,1.035
2012/02/29,0.579
2012/03/01,0.343
2012/03/02,0.01
