Date,confirmationtime3std
2011/07/31,1.019
2011/08/01,1.023
2011/08/02,0.918
2011/08/03,0.524
2011/08/04,1.799
2011/08/05,1.629
2011/08/06,1.244
2011/08/07,1.291
2011/08/08,1.016
2011/08/09,1.279
2011/08/10,0.924
2011/08/11,0.856
2011/08/12,1.267
2011/08/13,0.499
2011/08/14,0.137
2011/08/15,0.211
2011/08/16,1.187
2011/08/17,1.121
2011/08/18,0.672
2011/08/19,0.815
2011/08/20,1.259
2011/08/21,1.7
2011/08/22,0.778
2011/08/23,0.635
2011/08/24,1.846
2011/08/25,1.337
2011/08/26,0.861
2011/08/27,1.644
2011/08/28,2.237
2011/08/29,1.655
2011/08/30,2.186
2011/08/31,0.934
2011/09/01,1.567
2011/09/02,1.794
2011/09/03,1.597
2011/09/04,1.239
2011/09/05,1.239
2011/09/06,1.309
2011/09/07,1.163
2011/09/08,1.347
2011/09/09,1.512
2011/09/10,1.574
2011/09/11,1.809
2011/09/12,0.653
2011/09/13,1.126
2011/09/14,0.81
2011/09/15,0.762
2011/09/16,2.463
2011/09/17,2.345
2011/09/18,2.442
2011/09/19,1.881
2011/09/20,1.817
2011/09/21,1.241
2011/09/22,0.474
2011/09/23,0.978
2011/09/24,1.224
2011/09/25,0.532
2011/09/26,0.539
2011/09/27,0.268
2011/09/28,0.936
2011/09/29,1.417
2011/09/30,1.774
2011/10/01,1.518
2011/10/02,1.682
2011/10/03,1.795
2011/10/04,2.436
2011/10/05,2.759
2011/10/06,2.393
2011/10/07,1.087
2011/10/08,1.36
2011/10/09,1.362
2011/10/10,0.622
2011/10/11,3.747
2011/10/12,3.431
2011/10/13,3.029
2011/10/14,3.706
2011/10/15,4.059
2011/10/16,1.493
2011/10/17,1.328
2011/10/18,0.166
2011/10/19,1.213
2011/10/20,1.417
2011/10/21,1.4
2011/10/22,2.395
2011/10/23,2.281
2011/10/24,2.756
2011/10/25,1.969
2011/10/26,1.007
2011/10/27,2.681
2011/10/28,1.742
2011/10/29,1.359
2011/10/30,0.829
2011/10/31,1.769
2011/11/01,2.768
2011/11/02,1.445
2011/11/03,1.938
2011/11/04,1.871
2011/11/05,1.595
2011/11/06,0.17
2011/11/07,0.928
2011/11/08,1.052
2011/11/09,1.623
2011/11/10,1.039
2011/11/11,2.594
2011/11/12,1.851
2011/11/13,1.949
2011/11/14,0.066
2011/11/15,1.234
2011/11/16,1.622
2011/11/17,1.702
2011/11/18,0.388
2011/11/19,1.117
2011/11/20,1.338
2011/11/21,1.823
2011/11/22,1.918
2011/11/23,1.635
2011/11/24,2.133
2011/11/25,1.922
2011/11/26,1.718
2011/11/27,1.638
2011/11/28,1.056
2011/11/29,1.803
2011/11/30,2.023
2011/12/01,2.077
2011/12/02,1.593
2011/12/03,1.686
2011/12/04,0.924
2011/12/05,1.255
2011/12/06,1.807
2011/12/07,1.671
2011/12/08,1.754
2011/12/09,1.362
2011/12/10,1.067
2011/12/11,0.433
2011/12/12,1.57
2011/12/13,1.595
2011/12/14,1.652
2011/12/15,2.821
2011/12/16,2.988
2011/12/17,2.814
2011/12/18,2.289
2011/12/19,0.773
2011/12/20,1.383
2011/12/21,1.398
2011/12/22,0.991
2011/12/23,0.422
2011/12/24,0.336
2011/12/25,1.668
2011/12/26,1.631
2011/12/27,1.631
2011/12/28,1.486
2011/12/29,0.937
2011/12/30,0.971
2011/12/31,0.748
2012/01/01,0.637
2012/01/02,0.118
2012/01/03,0.407
2012/01/04,0.523
2012/01/05,0.644
2012/01/06,1.239
2012/01/07,1.65
2012/01/08,0.828
2012/01/09,0.926
2012/01/10,1.326
2012/01/11,1.172
2012/01/12,0.818
2012/01/13,0.887
2012/01/14,0.832
2012/01/15,0.684
2012/01/16,1.764
2012/01/17,1.744
2012/01/18,2.524
2012/01/19,1.792
2012/01/20,1.425
2012/01/21,0.967
2012/01/22,1.494
2012/01/23,1.868
2012/01/24,1.898
2012/01/25,1.571
2012/01/26,0.632
2012/01/27,0.589
2012/01/28,0.412
2012/01/29,1.385
2012/01/30,1.367
2012/01/31,1.059
2012/02/01,1.531
2012/02/02,0.945
2012/02/03,1.064
2012/02/04,0.094
2012/02/05,0.942
2012/02/06,0.815
2012/02/07,0.531
2012/02/08,0.581
2012/02/09,0.547
2012/02/10,0.475
2012/02/11,0.686
2012/02/12,1.091
2012/02/13,1.158
2012/02/14,1.283
2012/02/15,0.265
2012/02/16,0.294
2012/02/17,1.083
2012/02/18,1.645
2012/02/19,0.874
2012/02/20,1.539
2012/02/21,1.679
2012/02/22,1.728
2012/02/23,2.188
2012/02/24,0.815
2012/02/25,0.909
2012/02/26,0.855
2012/02/27,0.734
2012/02/28,0.492
2012/02/29,1.104
2012/03/01,1.234
2012/03/02,2.21
2012/03/03,2.645
2012/03/04,2.003
2012/03/05,2.425
2012/03/06,0.547
2012/03/07,0.947
2012/03/08,1.155
2012/03/09,0.685
2012/03/10,0.563
2012/03/11,1.981
2012/03/12,1.929
2012/03/13,1.819
2012/03/14,1.6
2012/03/15,2.369
2012/03/16,2.037
2012/03/17,2.894
2012/03/18,0.77
2012/03/19,1.33
2012/03/20,1.009
2012/03/21,0.96
2012/03/22,0.107
2012/03/23,2.182
2012/03/24,2.981
2012/03/25,2.973
2012/03/26,1.471
2012/03/27,0.32
2012/03/28,0.322
2012/03/29,0.81
2012/03/30,0.724
2012/03/31,1.423
2012/04/01,1.364
2012/04/02,3.232
2012/04/03,1.904
2012/04/04,1.665
2012/04/05,1.566
2012/04/06,1.659
2012/04/07,1.429
2012/04/08,1.291
2012/04/09,1.366
2012/04/10,0.223
2012/04/11,0.366
2012/04/12,1.303
2012/04/13,1.271
2012/04/14,1.137
2012/04/15,2.537
2012/04/16,3.337
2012/04/17,3.253
2012/04/18,1.245
2012/04/19,1.637
2012/04/20,1.718
2012/04/21,0.168
2012/04/22,0.882
2012/04/23,1.106
2012/04/24,0.313
2012/04/25,0.767
2012/04/26,1.676
2012/04/27,1.705
2012/04/28,1.22
2012/04/29,2.144
2012/04/30,1.347
2012/05/01,0.402
2012/05/02,1.312
2012/05/03,0.931
2012/05/04,0.544
2012/05/05,0.451
2012/05/06,0.262
2012/05/07,0.253
2012/05/08,0.489
2012/05/09,0.404
2012/05/10,2.609
2012/05/11,2.037
2012/05/12,1.074
2012/05/13,1.026
2012/05/14,0.876
2012/05/15,0.714
2012/05/16,1.259
2012/05/17,1.101
2012/05/18,2.14
2012/05/19,2.476
2012/05/20,0.639
2012/05/21,1.444
2012/05/22,1.705
2012/05/23,1.23
2012/05/24,1.209
2012/05/25,0.673
2012/05/26,1.512
2012/05/27,2.344
2012/05/28,1.022
2012/05/29,1.939
2012/05/30,1.069
2012/05/31,0.813
2012/06/01,1.255
2012/06/02,1.194
2012/06/03,0.42
2012/06/04,0.346
2012/06/05,0.431
2012/06/06,0.431
2012/06/07,0.779
2012/06/08,0.833
2012/06/09,1.763
2012/06/10,1.583
2012/06/11,1.651
2012/06/12,1.336
2012/06/13,0.874
2012/06/14,0.348
2012/06/15,0.453
2012/06/16,0.164
2012/06/17,0.371
2012/06/18,0.82
2012/06/19,1.298
2012/06/20,1.545
2012/06/21,0.692
2012/06/22,0.561
2012/06/23,1.637
2012/06/24,1.879
2012/06/25,1.875
2012/06/26,1.423
2012/06/27,0.684
2012/06/28,1.369
2012/06/29,1.381
2012/06/30,0.862
2012/07/01,0.885
2012/07/02,1.173
2012/07/03,0.936
2012/07/04,0.517
2012/07/05,0.822
2012/07/06,0.581
2012/07/07,1.083
2012/07/08,0.645
2012/07/09,0.633
2012/07/10,0.652
2012/07/11,1.571
2012/07/12,1.081
2012/07/13,1.571
2012/07/14,0.676
2012/07/15,1.32
2012/07/16,1.096
2012/07/17,1.583
2012/07/18,1.043
2012/07/19,1.886
2012/07/20,1.148
2012/07/21,0.765
2012/07/22,0.753
2012/07/23,0.87
2012/07/24,1.071
2012/07/25,1.171
2012/07/26,0.428
2012/07/27,0.743
2012/07/28,1.101
2012/07/29,1.082
2012/07/30,1.011
2012/07/31,2.529
2012/08/01,2.588
2012/08/02,2.077
2012/08/03,1.832
2012/08/04,0.42
2012/08/05,1.257
2012/08/06,1.031
2012/08/07,1.455
2012/08/08,1.472
2012/08/09,0.257
2012/08/10,0.642
2012/08/11,0.674
2012/08/12,0.558
2012/08/13,0.433
2012/08/14,0.143
2012/08/15,0.459
2012/08/16,0.619
2012/08/17,1.489
2012/08/18,0.947
2012/08/19,2.088
2012/08/20,1.392
2012/08/21,0.368
2012/08/22,0.879
2012/08/23,0.742
2012/08/24,0.819
2012/08/25,1.401
2012/08/26,2.005
2012/08/27,2.057
2012/08/28,1.625
2012/08/29,1.142
2012/08/30,0.836
2012/08/31,1.402
2012/09/01,1.123
2012/09/02,1.349
2012/09/03,0.321
2012/09/04,0.52
2012/09/05,1.234
2012/09/06,1.184
2012/09/07,0.484
2012/09/08,1.358
2012/09/09,1.125
2012/09/10,0.721
2012/09/11,0.721
2012/09/12,0.523
2012/09/13,1.478
2012/09/14,1.902
2012/09/15,1.787
2012/09/16,1.023
2012/09/17,1.21
2012/09/18,0.33
2012/09/19,1.524
2012/09/20,1.299
2012/09/21,1.385
2012/09/22,0.795
2012/09/23,0.589
2012/09/24,0.258
2012/09/25,1.062
2012/09/26,0.861
2012/09/27,1.301
2012/09/28,1.193
2012/09/29,0.453
2012/09/30,0.487
2012/10/01,2.092
2012/10/02,1.588
2012/10/03,0.996
2012/10/04,0.996
2012/10/05,0.332
2012/10/06,1.452
2012/10/07,1.829
2012/10/08,2.842
2012/10/09,2.819
2012/10/10,1.753
2012/10/11,0.635
2012/10/12,0.726
2012/10/13,0.698
2012/10/14,1.549
2012/10/15,2.308
2012/10/16,2.378
2012/10/17,1.323
2012/10/18,0.863
2012/10/19,1.238
2012/10/20,1.437
2012/10/21,1.55
2012/10/22,0.193
2012/10/23,1.912
2012/10/24,1.943
2012/10/25,1.788
2012/10/26,1.197
2012/10/27,1.555
2012/10/28,0.447
2012/10/29,0.723
2012/10/30,1.165
2012/10/31,0.87
2012/11/01,0.452
2012/11/02,0.452
2012/11/03,0.54
2012/11/04,0.768
2012/11/05,0.746
2012/11/06,1.497
2012/11/07,1.497
2012/11/08,1.333
2012/11/09,0.248
2012/11/10,0.563
2012/11/11,0.433
2012/11/12,0.968
2012/11/13,0.911
2012/11/14,0.712
2012/11/15,0.425
2012/11/16,0.566
2012/11/17,0.537
2012/11/18,0.371
2012/11/19,0.399
2012/11/20,0.063
2012/11/21,0.34
2012/11/22,0.433
2012/11/23,0.953
2012/11/24,0.958
2012/11/25,0.858
2012/11/26,0.565
2012/11/27,0.599
2012/11/28,1.114
2012/11/29,1.164
2012/11/30,2.836
2012/12/01,2.707
2012/12/02,2.366
2012/12/03,1.255
2012/12/04,2.766
2012/12/05,2.54
2012/12/06,1.919
2012/12/07,1.055
2012/12/08,0.653
2012/12/09,0.84
2012/12/10,1.148
2012/12/11,1.315
2012/12/12,0.984
2012/12/13,0.978
2012/12/14,2.405
2012/12/15,2.12
2012/12/16,0.957
2012/12/17,1.892
2012/12/18,1.846
2012/12/19,1.129
2012/12/20,2.831
2012/12/21,2.842
2012/12/22,3.408
2012/12/23,2.101
2012/12/24,1.973
2012/12/25,0.769
2012/12/26,1.891
2012/12/27,2.192
2012/12/28,0.733
2012/12/29,1.208
2012/12/30,1.328
2012/12/31,1.102
2013/01/01,0.359
2013/01/02,0.428
2013/01/03,0.493
2013/01/04,0.493
2013/01/05,1.089
2013/01/06,0.664
2013/01/07,1.433
2013/01/08,1.855
2013/01/09,2.254
2013/01/10,1.109
2013/01/11,2.051
2013/01/12,2.17
2013/01/13,1.229
2013/01/14,2.172
2013/01/15,2.245
2013/01/16,2.269
2013/01/17,1.619
2013/01/18,1.619
2013/01/19,3.039
2013/01/20,2.125
2013/01/21,1.554
2013/01/22,0.946
2013/01/23,1.181
2013/01/24,1.821
2013/01/25,1.803
2013/01/26,1.207
2013/01/27,1.092
2013/01/28,0.462
2013/01/29,0.562
2013/01/30,0.558
2013/01/31,1.716
2013/02/01,2.044
2013/02/02,2.044
2013/02/03,1.783
2013/02/04,1.377
2013/02/05,0.914
2013/02/06,1.103
2013/02/07,1.018
2013/02/08,0.424
2013/02/09,0.61
2013/02/10,0.92
2013/02/11,1.013
2013/02/12,1.285
2013/02/13,1.614
2013/02/14,1.589
2013/02/15,1.267
2013/02/16,1.644
2013/02/17,0.384
2013/02/18,1.231
2013/02/19,1.267
2013/02/20,1.454
2013/02/21,1.305
2013/02/22,0.849
2013/02/23,0.489
2013/02/24,0.624
2013/02/25,1.872
2013/02/26,1.842
2013/02/27,1.374
2013/02/28,1.099
2013/03/01,1.646
2013/03/02,1.13
2013/03/03,0.807
2013/03/04,1.541
2013/03/05,1.906
2013/03/06,1.892
2013/03/07,1.169
2013/03/08,0.274
2013/03/09,0.452
2013/03/10,0.927
2013/03/11,0.767
2013/03/12,2.33
2013/03/13,1.625
2013/03/14,2.148
2013/03/15,0.947
2013/03/16,0.268
2013/03/17,1.335
2013/03/18,1.093
2013/03/19,1.294
2013/03/20,1.345
2013/03/21,1.665
