Date,hashrate3roc
2011/09/15,15.285
2011/09/16,-3.775
2011/09/17,-15.47
2011/09/18,7.65
2011/09/19,4.365
2011/09/20,4.737
2011/09/21,-6.259
2011/09/22,4.817
2011/09/23,10.225
2011/09/24,-14.14
2011/09/25,-6.148
2011/09/26,-8.296
2011/09/27,8.845
2011/09/28,-4.307
2011/09/29,0.682
2011/09/30,-9.722
2011/10/01,-9.823
2011/10/02,0.217
2011/10/03,3.544
2011/10/04,6.801
2011/10/05,-8.069
2011/10/06,6.375
2011/10/07,-4.081
2011/10/08,5.815
2011/10/09,-15.738
2011/10/10,-3.1
2011/10/11,-17.08
2011/10/12,-5.599
2011/10/13,-22.581
2011/10/14,-1.327
2011/10/15,9.779
2011/10/16,14.659
2011/10/17,-6.353
2011/10/18,-15.223
2011/10/19,0.73
2011/10/20,1.361
2011/10/21,6.16
2011/10/22,-16.295
2011/10/23,-13.977
2011/10/24,-12.259
2011/10/25,22.05
2011/10/26,18.982
2011/10/27,-0.466
2011/10/28,-21.648
2011/10/29,-4.762
2011/10/30,-8.652
2011/10/31,4.416
2011/11/01,-2.284
2011/11/02,20.355
2011/11/03,8.965
2011/11/04,-3.303
2011/11/05,1.686
2011/11/06,4.073
2011/11/07,-1.427
2011/11/08,-9.216
2011/11/09,8.118
2011/11/10,17.884
2011/11/11,-8.017
2011/11/12,-17.652
2011/11/13,-6.533
2011/11/14,10.924
2011/11/15,19.455
2011/11/16,-1.083
2011/11/17,-2.597
2011/11/18,-15.454
2011/11/19,-4.231
2011/11/20,-13.658
2011/11/21,3.985
2011/11/22,-4.351
2011/11/23,13.958
2011/11/24,-13.02
2011/11/25,-6.96
2011/11/26,-8.592
2011/11/27,-0.663
2011/11/28,-2.27
2011/11/29,4.392
2011/11/30,9.404
2011/12/01,33.478
2011/12/02,21.625
2011/12/03,-1.149
2011/12/04,-17.683
2011/12/05,-12.09
2011/12/06,14.29
2011/12/07,6.728
2011/12/08,-3.99
2011/12/09,-6.672
2011/12/10,2.383
2011/12/11,-3.324
2011/12/12,-3.653
2011/12/13,-15.073
2011/12/14,7.938
2011/12/15,-4.265
2011/12/16,-5.354
2011/12/17,-8.247
2011/12/18,14.233
2011/12/19,22.697
2011/12/20,9.466
2011/12/21,-2.298
2011/12/22,-4.283
2011/12/23,3.892
2011/12/24,-5.038
2011/12/25,10.578
2011/12/26,20.48
2011/12/27,19.557
2011/12/28,-4.662
2011/12/29,-16.347
2011/12/30,-23.868
2011/12/31,4.188
2012/01/01,-1.259
2012/01/02,18.736
2012/01/03,3.854
2012/01/04,6.509
2012/01/05,-6.467
2012/01/06,4.352
2012/01/07,11.421
2012/01/08,21.978
2012/01/09,5.008
2012/01/10,-7.705
2012/01/11,-7.208
2012/01/12,1.491
2012/01/13,-10.493
2012/01/14,1.088
2012/01/15,-8.694
2012/01/16,12.287
2012/01/17,11.164
2012/01/18,-2.927
2012/01/19,-11.767
2012/01/20,-15.614
2012/01/21,12.752
2012/01/22,15.42
2012/01/23,18.318
2012/01/24,-9.101
2012/01/25,2.006
2012/01/26,-15.329
2012/01/27,-1.699
2012/01/28,-2.667
2012/01/29,16.243
2012/01/30,20.128
2012/01/31,11.743
2012/02/01,-7.561
2012/02/02,-13.32
2012/02/03,2.844
2012/02/04,9.473
2012/02/05,6.335
2012/02/06,-8.823
2012/02/07,-5.033
2012/02/08,-6.541
2012/02/09,-4.439
2012/02/10,4.942
2012/02/11,0.571
2012/02/12,12.659
2012/02/13,2.618
2012/02/14,-5.713
2012/02/15,-15.344
2012/02/16,-7.702
2012/02/17,5.969
2012/02/18,22.178
2012/02/19,20.054
2012/02/20,9.595
2012/02/21,-21.523
2012/02/22,-12.025
2012/02/23,6.735
2012/02/24,14.134
2012/02/25,11.86
2012/02/26,-2.31
2012/02/27,4.498
2012/02/28,-7.805
2012/02/29,10.692
2012/03/01,3.739
2012/03/02,-0.364
2012/03/03,-29.34
2012/03/04,-12.459
2012/03/05,-2.486
2012/03/06,27.224
2012/03/07,12.647
2012/03/08,15.031
2012/03/09,8.766
2012/03/10,21.641
2012/03/11,-12.318
2012/03/12,-0.994
2012/03/13,-8.468
2012/03/14,7.213
2012/03/15,-20.232
2012/03/16,-13.242
2012/03/17,9.484
2012/03/18,31.893
2012/03/19,12.594
2012/03/20,-7.712
2012/03/21,-1.355
2012/03/22,0.905
2012/03/23,-10.571
2012/03/24,-2.034
2012/03/25,10.843
2012/03/26,14.501
2012/03/27,-4.989
2012/03/28,-12.018
2012/03/29,1.359
2012/03/30,4.696
2012/03/31,14.655
2012/04/01,4.298
2012/04/02,-8.318
2012/04/03,-21.925
2012/04/04,-6.908
2012/04/05,-8.952
2012/04/06,-2.743
2012/04/07,-4.495
2012/04/08,13.443
2012/04/09,23.625
2012/04/10,7.132
2012/04/11,7.524
2012/04/12,-9.331
2012/04/13,-13.725
2012/04/14,-15.937
2012/04/15,-14.707
2012/04/16,2.041
2012/04/17,8.004
2012/04/18,6.102
2012/04/19,12.191
2012/04/20,15.599
2012/04/21,15.383
2012/04/22,2.085
2012/04/23,-7.567
2012/04/24,-12.452
2012/04/25,-9.041
2012/04/26,-5.409
2012/04/27,0.998
2012/04/28,7.181
2012/04/29,10.389
2012/04/30,25.033
2012/05/01,16.695
2012/05/02,-0.463
2012/05/03,-9.683
2012/05/04,-8.009
2012/05/05,-2.709
2012/05/06,8.351
2012/05/07,3.641
2012/05/08,15.911
2012/05/09,6.895
2012/05/10,3.473
2012/05/11,-23.848
2012/05/12,-8.617
2012/05/13,-11.461
2012/05/14,14.375
2012/05/15,-4.537
2012/05/16,-12.642
2012/05/17,-12.53
2012/05/18,-0.831
2012/05/19,22.256
2012/05/20,16.912
2012/05/21,1.691
2012/05/22,-17.026
2012/05/23,-14.075
2012/05/24,-8.164
2012/05/25,-6.752
2012/05/26,0.212
2012/05/27,12.851
2012/05/28,20.992
2012/05/29,0.988
