Date,activeaddresses30rsi
2012/01/24,52.649
2012/01/25,55.06
2012/01/26,51.531
2012/01/27,51.52
2012/01/28,49.336
2012/01/29,51.399
2012/01/30,50.007
2012/01/31,53.153
2012/02/01,52.108
2012/02/02,53.739
2012/02/03,54.377
2012/02/04,54.048
2012/02/05,51.516
2012/02/06,49.966
2012/02/07,51.248
2012/02/08,51.059
2012/02/09,51.908
2012/02/10,53.855
2012/02/11,51.974
2012/02/12,50.094
2012/02/13,53.354
2012/02/14,56.414
2012/02/15,55.299
2012/02/16,56.548
2012/02/17,49.482
2012/02/18,49.891
2012/02/19,48.092
2012/02/20,49.656
2012/02/21,50.291
2012/02/22,52.565
2012/02/23,54.31
2012/02/24,52.666
2012/02/25,50.594
2012/02/26,47.967
2012/02/27,50.28
2012/02/28,52.234
2012/02/29,50.942
2012/03/01,51.921
2012/03/02,53.917
2012/03/03,47.018
2012/03/04,50.134
2012/03/05,51.601
2012/03/06,50.508
2012/03/07,50.388
2012/03/08,51.037
2012/03/09,51.16
2012/03/10,47.26
2012/03/11,46.952
2012/03/12,49.374
2012/03/13,52.58
2012/03/14,51.705
2012/03/15,50.287
2012/03/16,51.735
2012/03/17,51.508
2012/03/18,48.499
2012/03/19,50.71
2012/03/20,51.324
2012/03/21,51.638
2012/03/22,50.909
2012/03/23,48.838
2012/03/24,48.397
2012/03/25,49.015
2012/03/26,51.129
2012/03/27,50.732
2012/03/28,51.807
2012/03/29,52.961
2012/03/30,49.825
2012/03/31,48.36
2012/04/01,46.517
2012/04/02,49.8
2012/04/03,55.032
2012/04/04,51.995
2012/04/05,51.592
2012/04/06,51.498
2012/04/07,48.643
2012/04/08,48.175
2012/04/09,50.019
2012/04/10,52.979
2012/04/11,54.294
2012/04/12,54.765
2012/04/13,50.369
2012/04/14,52.414
2012/04/15,50.88
2012/04/16,54.421
2012/04/17,53.638
2012/04/18,54.63
2012/04/19,52.395
2012/04/20,54.298
2012/04/21,50.268
2012/04/22,48.291
2012/04/23,50.813
2012/04/24,51.527
2012/04/25,51.679
2012/04/26,53.744
2012/04/27,51.15
2012/04/28,49.597
2012/04/29,49.626
2012/04/30,53.438
2012/05/01,54.503
2012/05/02,54.697
2012/05/03,56.588
2012/05/04,57.491
2012/05/05,53.728
2012/05/06,56.161
2012/05/07,59.638
2012/05/08,57.107
2012/05/09,58.13
2012/05/10,52.619
2012/05/11,57.968
2012/05/12,54.218
2012/05/13,52.112
2012/05/14,61.068
2012/05/15,56.193
2012/05/16,54.795
2012/05/17,52.328
2012/05/18,54.869
2012/05/19,58.348
2012/05/20,56.635
2012/05/21,57.149
2012/05/22,54.809
2012/05/23,56.182
2012/05/24,54.909
2012/05/25,56.263
2012/05/26,52.692
2012/05/27,53.137
2012/05/28,55.357
2012/05/29,58.256
2012/05/30,53.831
2012/05/31,53.73
2012/06/01,54.151
2012/06/02,48.2
2012/06/03,54.222
2012/06/04,59.732
2012/06/05,59.331
2012/06/06,49.762
2012/06/07,54.799
2012/06/08,51.416
2012/06/09,52.802
2012/06/10,53.758
2012/06/11,53.163
2012/06/12,48.989
2012/06/13,57.741
2012/06/14,58.66
2012/06/15,58.407
2012/06/16,54.205
2012/06/17,54.208
2012/06/18,53.468
2012/06/19,52.595
2012/06/20,51.216
2012/06/21,50.157
2012/06/22,49.955
2012/06/23,50.395
2012/06/24,49.624
2012/06/25,51.993
2012/06/26,52.841
2012/06/27,54.125
2012/06/28,51.163
2012/06/29,51.33
2012/06/30,50.778
2012/07/01,50.669
2012/07/02,52.898
2012/07/03,51.96
2012/07/04,50.458
2012/07/05,48.694
2012/07/06,49.397
