Date,top100cap30rsi
2011/09/15,62.459
2011/09/16,62.5
2011/09/17,61.993
2011/09/18,62.016
2011/09/19,60.802
2011/09/20,59.626
2011/09/21,64.813
2011/09/22,63.488
2011/09/23,62.068
2011/09/24,62.225
2011/09/25,60.506
2011/09/26,59.64
2011/09/27,59.204
2011/09/28,58.867
2011/09/29,58.395
2011/09/30,57.927
2011/10/01,57.498
2011/10/02,57.031
2011/10/03,56.461
2011/10/04,56.018
2011/10/05,55.418
2011/10/06,54.534
2011/10/07,56.129
2011/10/08,55.704
2011/10/09,55.162
2011/10/10,54.484
2011/10/11,54.067
2011/10/12,52.968
2011/10/13,53.383
2011/10/14,52.284
2011/10/15,51.759
2011/10/16,51.251
2011/10/17,48.767
2011/10/18,47.028
2011/10/19,47.201
2011/10/20,45.552
2011/10/21,47.244
2011/10/22,44.829
2011/10/23,44.841
2011/10/24,44.295
2011/10/25,43.641
2011/10/26,43.375
2011/10/27,42.655
2011/10/28,42.263
2011/10/29,50.058
2011/10/30,49.533
2011/10/31,48.414
2011/11/01,47.527
2011/11/02,46.737
2011/11/03,49.996
2011/11/04,49.11
2011/11/05,48.079
2011/11/06,47.229
2011/11/07,47.124
2011/11/08,43.582
2011/11/09,41.893
2011/11/10,41.739
2011/11/11,41.235
2011/11/12,41.094
2011/11/13,40.474
2011/11/14,39.705
2011/11/15,39
2011/11/16,40.699
2011/11/17,38.833
2011/11/18,35.527
2011/11/19,38.623
2011/11/20,36.184
2011/11/21,35.491
2011/11/22,34.742
2011/11/23,34.019
2011/11/24,34.356
2011/11/25,33.543
2011/11/26,32.936
2011/11/27,32.403
2011/11/28,47.047
2011/11/29,46.87
2011/11/30,43.031
2011/12/01,42.767
2011/12/02,41.336
2011/12/03,39.854
2011/12/04,39.048
2011/12/05,38.052
2011/12/06,35.588
2011/12/07,34.227
2011/12/08,17.812
2011/12/09,9.934
2011/12/10,9.796
2011/12/11,9.463
2011/12/12,9.23
2011/12/13,9.204
2011/12/14,9.172
2011/12/15,9.145
2011/12/16,9.112
2011/12/17,9.076
2011/12/18,9.041
2011/12/19,9.001
2011/12/20,15.055
2011/12/21,14.963
2011/12/22,14.845
2011/12/23,14.787
2011/12/24,14.736
2011/12/25,14.65
2011/12/26,14.619
2011/12/27,14.464
2011/12/28,14.394
2011/12/29,14.319
2011/12/30,14.257
2011/12/31,14.18
2012/01/01,14.144
2012/01/02,14.039
2012/01/03,13.999
2012/01/04,13.902
2012/01/05,14.94
2012/01/06,14.595
2012/01/07,14.459
2012/01/08,14.384
2012/01/09,23.081
2012/01/10,22.933
2012/01/11,22.778
2012/01/12,22.591
2012/01/13,23.748
2012/01/14,25.078
2012/01/15,24.879
2012/01/16,24.586
2012/01/17,24.643
2012/01/18,25.674
2012/01/19,32.113
2012/01/20,31.876
2012/01/21,32.311
2012/01/22,32.937
2012/01/23,32.437
2012/01/24,32.276
2012/01/25,34.045
2012/01/26,33.508
2012/01/27,33.456
2012/01/28,33.496
2012/01/29,35.1
2012/01/30,35.115
2012/01/31,35.638
2012/02/01,35.154
2012/02/02,36.326
2012/02/03,35.798
2012/02/04,38.07
2012/02/05,37.784
2012/02/06,37.315
2012/02/07,36.798
2012/02/08,36.517
2012/02/09,36.352
2012/02/10,36.215
2012/02/11,34.054
2012/02/12,33.78
2012/02/13,41.18
2012/02/14,53.487
2012/02/15,36.621
2012/02/16,34.272
2012/02/17,33.558
2012/02/18,32.74
2012/02/19,32.619
2012/02/20,32.274
2012/02/21,33.692
2012/02/22,33.357
2012/02/23,32.997
2012/02/24,32.617
2012/02/25,42.235
2012/02/26,42.132
2012/02/27,41.851
2012/02/28,43.69
2012/02/29,41.985
2012/03/01,42.506
2012/03/02,42.964
2012/03/03,41.051
2012/03/04,40.529
2012/03/05,40.279
2012/03/06,40.1
2012/03/07,40.627
2012/03/08,40.269
2012/03/09,39.951
