Date,hashrate7std
2015/06/27,44757424395823400
2015/06/28,33801850419107924
2015/06/29,36456986536322832
2015/06/30,36549429679586504
2015/07/01,33584680305538548
2015/07/02,31332396197136536
2015/07/03,39271202585893064
2015/07/04,38647287799844040
2015/07/05,39189584710834984
2015/07/06,39704539338814320
2015/07/07,38060075110821232
2015/07/08,37255508975092288
2015/07/09,27227328162432612
2015/07/10,27910665049432424
2015/07/11,29412466459408416
2015/07/12,30721765830060800
2015/07/13,21800913004113788
2015/07/14,23901972865340700
2015/07/15,24271519935963608
2015/07/16,24223169980353960
2015/07/17,21830918645553336
2015/07/18,26727881624638812
2015/07/19,26571798944871712
2015/07/20,20578342877664928
2015/07/21,23437485849624084
2015/07/22,25249257952072728
2015/07/23,26077743778541124
2015/07/24,26074653747908172
2015/07/25,34780525910989344
2015/07/26,34880221660286288
2015/07/27,35616465783815212
2015/07/28,30201413164340352
2015/07/29,27646201549004768
2015/07/30,29549976161671692
2015/07/31,32019249172991444
2015/08/01,34832786841535336
2015/08/02,38752662891651000
2015/08/03,38708056115836944
2015/08/04,41097099216967728
2015/08/05,62853168763297696
2015/08/06,62949904125585496
2015/08/07,61558516735722768
2015/08/08,54729028460508272
2015/08/09,49314185618961976
2015/08/10,57968973278198760
2015/08/11,77171824684870352
2015/08/12,59526460509630512
2015/08/13,59866902435042280
2015/08/14,60061041194548168
2015/08/15,64492179712657944
2015/08/16,65318133071062584
2015/08/17,62621078500900232
2015/08/18,17813604021268502
2015/08/19,26830203738888592
2015/08/20,37771028124548976
2015/08/21,38708377823192536
2015/08/22,47388794869055320
2015/08/23,43762793215185944
2015/08/24,31871771469133696
2015/08/25,27465644522513136
2015/08/26,28657194209009952
2015/08/27,27840684578871056
2015/08/28,28100620241078124
2015/08/29,33390608047235116
2015/08/30,31786957428821380
2015/08/31,35116140851464580
2015/09/01,36317818151734000
2015/09/02,34590527479610512
2015/09/03,34335844877719544
2015/09/04,28857110502568800
2015/09/05,26015765857331932
2015/09/06,26068161299243680
2015/09/07,29968470726749416
2015/09/08,25792099360707556
2015/09/09,28905686036310128
2015/09/10,46440253637919496
2015/09/11,60424385343239024
2015/09/12,61425087286338136
2015/09/13,66041107567665792
2015/09/14,67070557994670064
2015/09/15,64611688580199872
2015/09/16,57049744935100528
2015/09/17,61451808422999560
2015/09/18,47959586128203720
2015/09/19,49822478318034960
2015/09/20,62296592299365184
2015/09/21,53660564189635104
2015/09/22,55712486653458400
2015/09/23,58588152919399784
2015/09/24,58260441563007920
2015/09/25,65056674774506144
2015/09/26,71749165806728072
2015/09/27,47238283338499568
2015/09/28,39350622653146888
2015/09/29,50612700472017920
2015/09/30,54548909941246048
2015/10/01,52573502998419464
2015/10/02,66277802051696848
2015/10/03,62813529754932952
2015/10/04,64025188137160416
2015/10/05,55767838936444592
2015/10/06,48462376199488968
2015/10/07,46184550922885264
2015/10/08,47567773498335440
2015/10/09,38543982944547168
2015/10/10,42581526536982680
2015/10/11,50140038324005456
2015/10/12,46178529133881696
2015/10/13,45886141725652200
2015/10/14,46824086272765136
2015/10/15,53409739905813112
2015/10/16,55187378515804656
2015/10/17,53307719818124568
2015/10/18,48647893586868960
2015/10/19,56150061166867488
2015/10/20,52893018618414792
2015/10/21,59477661866681152
2015/10/22,59431272652718368
2015/10/23,54031490383719528
2015/10/24,50260835586250584
2015/10/25,49393497443770320
2015/10/26,42593914101889352
2015/10/27,44089069860009880
2015/10/28,33436487498908076
2015/10/29,33151476397255960
2015/10/30,45625556835735968
2015/10/31,54178217378171552
2015/11/01,54151072521487768
2015/11/02,53959978003400576
2015/11/03,55858923499004776
2015/11/04,46553731417643976
2015/11/05,33105113128839316
2015/11/06,36018604743348060
2015/11/07,23592606964685320
2015/11/08,26579005920994348
2015/11/09,37843994306694168
2015/11/10,30883516426191788
2015/11/11,50877833119442096
2015/11/12,61526782473271488
