Date,mining_profitability14rsi
2012/02/07,45.32
2012/02/08,48.74
2012/02/09,48.848
2012/02/10,45.73
2012/02/11,50.987
2012/02/12,46.998
2012/02/13,42.578
2012/02/14,44.676
2012/02/15,40.679
2012/02/16,39.539
2012/02/17,43.737
2012/02/18,42.444
2012/02/19,39.512
2012/02/20,39.415
2012/02/21,42.744
2012/02/22,45.304
2012/02/23,46.948
2012/02/24,49.602
2012/02/25,47.299
2012/02/26,44.913
2012/02/27,48.945
2012/02/28,50.186
2012/02/29,48.514
2012/03/01,45.87
2012/03/02,41.886
2012/03/03,42.176
2012/03/04,47.158
2012/03/05,48.323
2012/03/06,43.789
2012/03/07,50.272
2012/03/08,46.195
2012/03/09,49.331
2012/03/10,43.967
2012/03/11,45.407
2012/03/12,50.092
2012/03/13,49.14
2012/03/14,47.517
2012/03/15,50.331
2012/03/16,57.097
2012/03/17,53.018
2012/03/18,48.661
2012/03/19,43.903
2012/03/20,49.125
2012/03/21,45.69
2012/03/22,46.473
2012/03/23,43.511
2012/03/24,53.016
2012/03/25,42.992
2012/03/26,46.142
2012/03/27,49.068
2012/03/28,47.725
2012/03/29,44.933
2012/03/30,48.23
2012/03/31,48.334
2012/04/01,44.368
2012/04/02,41.578
2012/04/03,50.269
2012/04/04,47.521
2012/04/05,46.514
2012/04/06,52.504
2012/04/07,46.531
2012/04/08,50.202
2012/04/09,46.409
2012/04/10,49.507
2012/04/11,46.608
2012/04/12,45.849
2012/04/13,49.321
2012/04/14,54.003
2012/04/15,46.142
2012/04/16,55.965
2012/04/17,49.409
2012/04/18,51.217
2012/04/19,54.201
2012/04/20,50.364
2012/04/21,53.661
2012/04/22,49.614
2012/04/23,47.334
2012/04/24,52.365
2012/04/25,48.845
2012/04/26,54.187
2012/04/27,51.353
2012/04/28,51.826
2012/04/29,54.456
2012/04/30,51.865
2012/05/01,49.195
2012/05/02,48.147
2012/05/03,52.289
2012/05/04,51.359
2012/05/05,54.132
2012/05/06,49.897
2012/05/07,51.597
2012/05/08,49.406
2012/05/09,47.189
2012/05/10,39.241
2012/05/11,51.561
2012/05/12,43.307
2012/05/13,48.112
2012/05/14,47.245
2012/05/15,45.902
2012/05/16,49.022
