Date,difficulty90var
2011/12/26,45235473830
2011/12/27,43902338438
2011/12/28,42500000688
2011/12/29,41028460577
2011/12/30,39487718107
2011/12/31,37877773278
2012/01/01,36198626089
2012/01/02,34450276541
2012/01/03,32632724633
2012/01/04,30745970366
2012/01/05,28790013739
2012/01/06,26764854753
2012/01/07,24670493407
2012/01/08,22478094921
2012/01/09,20192753933
2012/01/10,17859919243
2012/01/11,15479590851
2012/01/12,14753548397
2012/01/13,14077812551
2012/01/14,13390402841
2012/01/15,12691319267
2012/01/16,11980561829
2012/01/17,11258130528
2012/01/18,10524025363
2012/01/19,9778246335
2012/01/20,9020793442
2012/01/21,8251666686
2012/01/22,7554259649
2012/01/23,6870881160
2012/01/24,6181144725
2012/01/25,5485050345
2012/01/26,4782598019
2012/01/27,4073787748
2012/01/28,3358619531
2012/01/29,3494248626
2012/01/30,3651115925
2012/01/31,3805298905
2012/02/01,3956797567
2012/02/02,4105611911
2012/02/03,4251741936
2012/02/04,4508477453
2012/02/05,4883882500
2012/02/06,5251623019
2012/02/07,5611699012
2012/02/08,5964110477
2012/02/09,6308857415
2012/02/10,6645939826
2012/02/11,6975357710
2012/02/12,7295350649
2012/02/13,7605589140
2012/02/14,7907179481
2012/02/15,8200121673
2012/02/16,8484415714
2012/02/17,8760061607
2012/02/18,9020355131
2012/02/19,9267418955
2012/02/20,9506141025
2012/02/21,9736521342
2012/02/22,9958559906
2012/02/23,10172256717
2012/02/24,10377611774
2012/02/25,10574625078
2012/02/26,10763296629
2012/02/27,10876701967
2012/02/28,10814350331
2012/02/29,10731860498
2012/03/01,10629232468
2012/03/02,10747087987
2012/03/03,11075526648
2012/03/04,11363212332
2012/03/05,11610145039
2012/03/06,11816324769
2012/03/07,11981751522
2012/03/08,12106425299
2012/03/09,12190346099
2012/03/10,12233513921
2012/03/11,12283139476
2012/03/12,12498868089
2012/03/13,12685726790
2012/03/14,12843715580
2012/03/15,12972834458
2012/03/16,13076819721
2012/03/17,13153357971
2012/03/18,13200803702
2012/03/19,13219156914
2012/03/20,13208417608
2012/03/21,13168585782
2012/03/22,13099661438
2012/03/23,13001644575
2012/03/24,12874535193
2012/03/25,12723322026
2012/03/26,12559358075
2012/03/27,12367124796
2012/03/28,12146622188
2012/03/29,12282961975
2012/03/30,12547499860
2012/03/31,12758275290
2012/04/01,12915288265
2012/04/02,13018538785
2012/04/03,13068026850
2012/04/04,13063752461
2012/04/05,13005715616
2012/04/06,12893916316
2012/04/07,12830363863
2012/04/08,13038957024
2012/04/09,13212680447
2012/04/10,13351534131
2012/04/11,13455518078
2012/04/12,13470332322
2012/04/13,13326351407
2012/04/14,13155943113
2012/04/15,12959107441
2012/04/16,12735844391
2012/04/17,12486153962
2012/04/18,12210036155
2012/04/19,11907490969
2012/04/20,11578518405
2012/04/21,11426439145
2012/04/22,11287246060
2012/04/23,11130028283
2012/04/24,10954785815
2012/04/25,10761518654
2012/04/26,10550226802
2012/04/27,10242575255
2012/04/28,9908169654
2012/04/29,9563802259
2012/04/30,9209473069
2012/05/01,8845182086
2012/05/02,8470929308
2012/05/03,8086714736
2012/05/04,7838247776
2012/05/05,7684220459
2012/05/06,7526087932
2012/05/07,7363850195
2012/05/08,7197507248
2012/05/09,7140592378
2012/05/10,7526055826
2012/05/11,7880653910
2012/05/12,8204386629
2012/05/13,8497253984
2012/05/14,8759255974
2012/05/15,8990392600
2012/05/16,9190663861
2012/05/17,9360069758
2012/05/18,9491634360
2012/05/19,9586744561
2012/05/20,9650402577
2012/05/21,9682608405
2012/05/22,9683362048
2012/05/23,9652663504
2012/05/24,9475467113
2012/05/25,9085537981
2012/05/26,8684219389
2012/05/27,8271511338
2012/05/28,7847413828
2012/05/29,7411926859
2012/05/30,6965050430
2012/05/31,6768041362
2012/06/01,6691457546
2012/06/02,6612687527
2012/06/03,6531731303
2012/06/04,6448588875
2012/06/05,6363260244
2012/06/06,6275745408
2012/06/07,6185934134
2012/06/08,6094317722
2012/06/09,6000866666
2012/06/10,5905580964
2012/06/11,5808460618
2012/06/12,5709505627
2012/06/13,5608715992
2012/06/14,5508068824
2012/06/15,5406478428
2012/06/16,5303108968
2012/06/17,5197960446
2012/06/18,5091032860
2012/06/19,4982326211
2012/06/20,4875470823
2012/06/21,4930866883
2012/06/22,4973396722
2012/06/23,5003060339
2012/06/24,5019857736
2012/06/25,5023788911
2012/06/26,5014853865
2012/06/27,5144631059
2012/06/28,5275913219
2012/06/29,5404725597
2012/06/30,5531068194
2012/07/01,5654941009
2012/07/02,5776344043
2012/07/03,5895277294
2012/07/04,6043719984
2012/07/05,6219826832
2012/07/06,6392081761
2012/07/07,6560484770
2012/07/08,6725035860
2012/07/09,6885735031
2012/07/10,7042582283
2012/07/11,7191351144
2012/07/12,7303185844
2012/07/13,7407584372
2012/07/14,7504546728
2012/07/15,7594072912
2012/07/16,7676162925
2012/07/17,7873054514
2012/07/18,8346011239
2012/07/19,8798419952
2012/07/20,9230280652
2012/07/21,9641593340
2012/07/22,10032358014
2012/07/23,10402574675
2012/07/24,10752243324
2012/07/25,11081363959
2012/07/26,11253911014
2012/07/27,11328085795
2012/07/28,11370650205
2012/07/29,11381604241
2012/07/30,11764851370
2012/07/31,12664762707
2012/08/01,13495817259
2012/08/02,14258015024
2012/08/03,14951356004
2012/08/04,15575840198
2012/08/05,16131467606
2012/08/06,16618238228
2012/08/07,17430415975
2012/08/08,18404088210
2012/08/09,19355022139
2012/08/10,20283217762
2012/08/11,21188675077
2012/08/12,22621888387
2012/08/13,24685455888
2012/08/14,26697307028
2012/08/15,28657441806
2012/08/16,30565860224
2012/08/17,32422562280
2012/08/18,34227547976
2012/08/19,35980817310
2012/08/20,37682370283
2012/08/21,39332206895
2012/08/22,40860982030
2012/08/23,41924847541
2012/08/24,42899886075
2012/08/25,46221199190
2012/08/26,49634030897
2012/08/27,52868648978
2012/08/28,55925053433
2012/08/29,58803244264
2012/08/30,61503221468
2012/08/31,64024985047
2012/09/01,66368535000
2012/09/02,68533871328
2012/09/03,70520994030
