Date,hashrate3sma
2018/03/28,2.5406462373029E+19
2018/03/29,2.5211491733407E+19
2018/03/30,2.5944255426983E+19
2018/03/31,2.5576511210286E+19
2018/04/01,2.5892057320512E+19
2018/04/02,2.5803223106251E+19
2018/04/03,2.6853984137228E+19
2018/04/04,2.7211499293055E+19
2018/04/05,2.6954765124488E+19
2018/04/06,2.6452973104919E+19
2018/04/07,2.7325964362184E+19
2018/04/08,2.7834760621367E+19
2018/04/09,2.8539670566028E+19
2018/04/10,2.765796581915E+19
2018/04/11,2.7767629521206E+19
2018/04/12,2.7625290607744E+19
2018/04/13,2.8061551168069E+19
2018/04/14,2.8614066512393E+19
2018/04/15,2.8521612112897E+19
2018/04/16,2.89117080892E+19
2018/04/17,2.8533632638651E+19
2018/04/18,2.9503676200273E+19
2018/04/19,3.05851550538E+19
2018/04/20,3.1582213722586E+19
2018/04/21,3.0529985762572E+19
2018/04/22,3.0080659144631E+19
2018/04/23,2.9407628746131E+19
2018/04/24,3.0005076702196E+19
2018/04/25,2.8976471861068E+19
2018/04/26,2.7518765394293E+19
2018/04/27,2.6457777779706E+19
2018/04/28,2.6069984099834E+19
2018/04/29,2.7836376719379E+19
2018/04/30,2.9053842167058E+19
2018/05/01,3.0779954345511E+19
2018/05/02,3.0575434131119E+19
2018/05/03,3.0574836897239E+19
2018/05/04,2.9884752472587E+19
2018/05/05,2.9172997465281E+19
2018/05/06,2.9773067411211E+19
2018/05/07,2.9194101905407E+19
2018/05/08,2.9320166571534E+19
2018/05/09,2.9050574230737E+19
2018/05/10,3.0565796761255E+19
2018/05/11,3.0069759686735E+19
2018/05/12,3.0100718410419E+19
2018/05/13,3.0355372889931E+19
2018/05/14,3.0217470412808E+19
2018/05/15,3.0200814135737E+19
2018/05/16,3.0221842671934E+19
2018/05/17,3.2713754338373E+19
2018/05/18,3.1439189134428E+19
2018/05/19,3.0655699221542E+19
2018/05/20,2.9974225414536E+19
2018/05/21,3.0833327312302E+19
2018/05/22,3.2057405737372E+19
2018/05/23,3.1297083184356E+19
2018/05/24,3.2501755881966E+19
2018/05/25,3.2658952405684E+19
2018/05/26,3.4274064572407E+19
2018/05/27,3.5175139411054E+19
2018/05/28,3.4956650219929E+19
2018/05/29,3.4233092612907E+19
2018/05/30,3.312818748233E+19
2018/05/31,3.3967602232583E+19
2018/06/01,3.5107922487337E+19
2018/06/02,3.629449202513E+19
2018/06/03,3.5250681449047E+19
2018/06/04,3.5184106499675E+19
2018/06/05,3.723983660003E+19
2018/06/06,3.872811601542E+19
2018/06/07,3.829755374135E+19
2018/06/08,3.6547942330062E+19
2018/06/09,3.5703297771177E+19
2018/06/10,3.507043703629E+19
2018/06/11,3.3924646534218E+19
2018/06/12,3.3780577796637E+19
2018/06/13,3.4735464052985E+19
2018/06/14,3.5959695791206E+19
2018/06/15,3.5981899457861E+19
2018/06/16,3.756209463534E+19
2018/06/17,3.8943551384385E+19
2018/06/18,3.9937694546144E+19
2018/06/19,3.965582639876E+19
2018/06/20,3.8712343294845E+19
2018/06/21,4.0260669778052E+19
2018/06/22,4.0522570648187E+19
2018/06/23,4.0139319139301E+19
2018/06/24,4.0777368803919E+19
2018/06/25,4.1110059337761E+19
2018/06/26,4.1119655944213E+19
2018/06/27,3.8173324474956E+19
2018/06/28,3.6022328561434E+19
2018/06/29,3.5765443140859E+19
2018/06/30,3.6194186149633E+19
2018/07/01,3.7035512442819E+19
2018/07/02,3.7712626760127E+19
2018/07/03,3.6341739057522E+19
2018/07/04,3.5357815068293E+19
2018/07/05,3.4163829590904E+19
2018/07/06,3.6473306530265E+19
2018/07/07,3.92173575883E+19
2018/07/08,4.113821441408E+19
2018/07/09,4.08983064999E+19
2018/07/10,3.9821809125761E+19
2018/07/11,3.9031891937993E+19
2018/07/12,3.8102995380283E+19
2018/07/13,3.7981993344631E+19
2018/07/14,3.689504181838E+19
2018/07/15,3.6608064500839E+19
2018/07/16,3.5398256422781E+19
2018/07/17,3.5482195903092E+19
2018/07/18,3.791492464609E+19
2018/07/19,4.0917657533455E+19
2018/07/20,4.3599688544146E+19
2018/07/21,4.233133944736E+19
2018/07/22,4.0600779356753E+19
2018/07/23,4.1212459067655E+19
2018/07/24,4.2399727577666E+19
2018/07/25,4.3478969110041E+19
2018/07/26,4.3264376162419E+19
2018/07/27,4.249230343157E+19
2018/07/28,4.2112364227046E+19
2018/07/29,4.318101143892E+19
2018/07/30,4.2980833212048E+19
2018/07/31,4.3581728525457E+19
2018/08/01,4.2542948198018E+19
2018/08/02,4.4385105932013E+19
2018/08/03,4.581136752602E+19
2018/08/04,4.7730416554515E+19
2018/08/05,4.9159898282789E+19
2018/08/06,4.7727686985269E+19
2018/08/07,4.4519293516154E+19
2018/08/08,4.3432880251066E+19
2018/08/09,4.4267629507061E+19
2018/08/10,4.6586544537673E+19
2018/08/11,4.96497541847E+19
2018/08/12,5.1842737579445E+19
2018/08/13,5.139072807285E+19
2018/08/14,4.8223894773248E+19
2018/08/15,4.6846065281159E+19
2018/08/16,4.8102579151241E+19
2018/08/17,4.9057192007713E+19
2018/08/18,5.0024874932527E+19
2018/08/19,4.9587091865214E+19
2018/08/20,4.8706797890509E+19
2018/08/21,4.782921077565E+19
2018/08/22,4.7701001917615E+19
2018/08/23,4.8654580875175E+19
2018/08/24,4.8233776276057E+19
2018/08/25,4.8283425873236E+19
2018/08/26,4.9485226328043E+19
2018/08/27,5.301707171551E+19
2018/08/28,5.5767649825668E+19
2018/08/29,5.4399184704568E+19
2018/08/30,5.2236131754085E+19
2018/08/31,4.9493449480097E+19
2018/09/01,5.081369984637E+19
2018/09/02,5.044194368468E+19
2018/09/03,5.0500577127097E+19
2018/09/04,4.7992571670471E+19
2018/09/05,4.5364642554172E+19
2018/09/06,4.5650708408013E+19
