Date,transactionvalueUSD
2011/08/08,1121
2011/08/09,2394
2011/08/10,1365
2011/08/11,623.265
2011/08/12,447.14
2011/08/13,402.83
2011/08/14,628.087
2011/08/15,436.699
2011/08/16,414.119
2011/08/17,457.454
2011/08/18,588.627
2011/08/19,820.951
2011/08/20,360.928
2011/08/21,360.597
2011/08/22,388.206
2011/08/23,660.126
2011/08/24,827.748
2011/08/25,529.081
2011/08/26,333.675
2011/08/27,3566
2011/08/28,289.826
2011/08/29,264.308
2011/08/30,269.554
2011/08/31,307.733
2011/09/01,374.551
2011/09/02,304.465
2011/09/03,323.362
2011/09/04,1993
2011/09/05,2530
2011/09/06,2910
2011/09/07,623.566
2011/09/08,410.357
2011/09/09,313.814
2011/09/10,216.668
2011/09/11,836.799
2011/09/12,567.384
2011/09/13,319.421
2011/09/14,272.437
2011/09/15,235.412
2011/09/16,520.15
2011/09/17,305.511
2011/09/18,242.092
2011/09/19,263.149
2011/09/20,246.204
2011/09/21,297.141
2011/09/22,273.829
2011/09/23,293.507
2011/09/24,216.923
2011/09/25,271.784
2011/09/26,251.858
2011/09/27,339.604
2011/09/28,282.085
2011/09/29,280.101
2011/09/30,241.585
2011/10/01,390.958
2011/10/02,315.865
2011/10/03,309.357
2011/10/04,355.575
2011/10/05,340.927
2011/10/06,429.657
2011/10/07,298.914
2011/10/08,213.46
2011/10/09,221.245
2011/10/10,216.812
2011/10/11,221.294
2011/10/12,214.464
2011/10/13,246.914
2011/10/14,177.974
2011/10/15,264.075
2011/10/16,189.681
2011/10/17,254.033
2011/10/18,172.282
2011/10/19,137.95
2011/10/20,144.758
2011/10/21,265.405
2011/10/22,315.681
2011/10/23,314.991
2011/10/24,173.762
2011/10/25,189.964
2011/10/26,222.246
2011/10/27,312.815
2011/10/28,272.687
2011/10/29,261.745
2011/10/30,142.45
2011/10/31,240.989
2011/11/01,295.157
2011/11/02,214.5
2011/11/03,178.898
2011/11/04,188.712
2011/11/05,145.967
2011/11/06,131.023
2011/11/07,142.57
2011/11/08,561.113
2011/11/09,453.549
2011/11/10,157.725
2011/11/11,174.046
2011/11/12,154.582
2011/11/13,136.187
2011/11/14,154.44
2011/11/15,131.183
2011/11/16,818.93
2011/11/17,1590
2011/11/18,2115
2011/11/19,1838
2011/11/20,658.191
2011/11/21,795.628
2011/11/22,1508
2011/11/23,650.744
2011/11/24,716.677
2011/11/25,487.471
2011/11/26,829.582
2011/11/27,877.773
2011/11/28,1700
2011/11/29,1628
2011/11/30,2743
2011/12/01,1008
2011/12/02,2679
2011/12/03,1835
2011/12/04,1536
2011/12/05,1355
2011/12/06,2554
2011/12/07,2748
2011/12/08,2352
2011/12/09,1069
2011/12/10,594.772
2011/12/11,516.972
2011/12/12,482.803
2011/12/13,206.641
2011/12/14,239.539
2011/12/15,292.82
2011/12/16,296.167
2011/12/17,228.765
2011/12/18,224.095
2011/12/19,274.212
2011/12/20,311.84
2011/12/21,400.722
2011/12/22,285.672
2011/12/23,182.487
2011/12/24,259.852
2011/12/25,230.098
2011/12/26,508.43
2011/12/27,517.971
2011/12/28,227.561
2011/12/29,402.994
2011/12/30,231.763
2011/12/31,229.61
2012/01/01,338.694
2012/01/02,247.02
2012/01/03,229.806
2012/01/04,358.591
2012/01/05,611.541
2012/01/06,620.578
2012/01/07,354.654
2012/01/08,379.945
2012/01/09,483.58
2012/01/10,366.895
2012/01/11,359.723
2012/01/12,364.095
2012/01/13,388.48
2012/01/14,326.91
2012/01/15,292.813
2012/01/16,419.834
2012/01/17,394.595
2012/01/18,320.321
2012/01/19,352.06
2012/01/20,338.33
2012/01/21,297.86
2012/01/22,316.674
2012/01/23,291.284
2012/01/24,328.6
2012/01/25,314.106
2012/01/26,349.9
2012/01/27,296.8
2012/01/28,228.595
2012/01/29,293.616
2012/01/30,287.085
2012/01/31,267.624
2012/02/01,382.434
2012/02/02,313.123
2012/02/03,323.254
2012/02/04,292.869
2012/02/05,289.317
2012/02/06,287.536
2012/02/07,250.446
2012/02/08,243.03
2012/02/09,205.56
2012/02/10,219.679
2012/02/11,337.618
2012/02/12,252.33
2012/02/13,284.506
2012/02/14,689.578
2012/02/15,629.712
2012/02/16,719.35
2012/02/17,620.644
2012/02/18,460.179
2012/02/19,280.441
2012/02/20,295.475
2012/02/21,261.233
2012/02/22,471.169
2012/02/23,403.977
2012/02/24,416.78
2012/02/25,321.678
2012/02/26,282.828
2012/02/27,270.883
2012/02/28,270.697
2012/02/29,238.51
2012/03/01,472.397
2012/03/02,352.693
2012/03/03,343.156
2012/03/04,485.758
2012/03/05,262.607
2012/03/06,278.309
2012/03/07,279.837
2012/03/08,386.982
2012/03/09,443.995
2012/03/10,347.158
2012/03/11,396.098
2012/03/12,477.05
2012/03/13,361.704
2012/03/14,467.58
2012/03/15,415.215
2012/03/16,386.031
2012/03/17,352.975
2012/03/18,322.779
2012/03/19,337.901
2012/03/20,344.384
2012/03/21,349.839
2012/03/22,543.634
2012/03/23,683.287
2012/03/24,596.395
2012/03/25,308.994
2012/03/26,365.496
2012/03/27,401.471
2012/03/28,453.845
2012/03/29,762.98
2012/03/30,694.395
2012/03/31,689.527
2012/04/01,537.272
2012/04/02,525.513
2012/04/03,524.203
2012/04/04,525.083
2012/04/05,656.572
2012/04/06,431.023
2012/04/07,270.262
2012/04/08,1006
2012/04/09,1194
2012/04/10,471.619
2012/04/11,939.157
2012/04/12,759.877
2012/04/13,580.407
2012/04/14,610.79
2012/04/15,857.173
2012/04/16,930.577
2012/04/17,720.944
2012/04/18,607.82
2012/04/19,445.409
2012/04/20,1808
2012/04/21,903.036
2012/04/22,780.267
2012/04/23,556.426
2012/04/24,487.674
2012/04/25,685.197
2012/04/26,936.987
2012/04/27,1036
2012/04/28,598.255
2012/04/29,626.633
2012/04/30,574.055
2012/05/01,527.45
2012/05/02,543.381
2012/05/03,440.72
2012/05/04,403.724
2012/05/05,466.799
2012/05/06,295.518
2012/05/07,605.214
2012/05/08,1113
2012/05/09,687.197
2012/05/10,502.224
2012/05/11,394.36
2012/05/12,862.978
2012/05/13,503.68
2012/05/14,403.902
2012/05/15,844.953
2012/05/16,961.183
2012/05/17,1038
2012/05/18,390.029
2012/05/19,176.903
2012/05/20,326.448
2012/05/21,615.195
2012/05/22,880.986
2012/05/23,335.903
2012/05/24,216.523
2012/05/25,430.419
2012/05/26,1059
2012/05/27,390.031
2012/05/28,365.797
2012/05/29,545.746
2012/05/30,479.353
2012/05/31,1174
2012/06/01,573.098
2012/06/02,815.262
2012/06/03,268.139
2012/06/04,529.294
2012/06/05,546.275
2012/06/06,855.582
2012/06/07,805.067
2012/06/08,1281
2012/06/09,234.649
2012/06/10,444.726
2012/06/11,515.474
2012/06/12,799.263
2012/06/13,248.836
2012/06/14,463.345
2012/06/15,391.926
2012/06/16,580.078
2012/06/17,202.101
2012/06/18,401.692
2012/06/19,376.129
2012/06/20,348.855
2012/06/21,259.103
2012/06/22,636.784
2012/06/23,877.289
2012/06/24,540.007
2012/06/25,399.135
2012/06/26,362.181
2012/06/27,420.273
2012/06/28,866.478
2012/06/29,729.469
2012/06/30,409.603
2012/07/01,462.787
2012/07/02,314.447
2012/07/03,417.369
2012/07/04,635.589
2012/07/05,611.916
2012/07/06,382.489
2012/07/07,1082
2012/07/08,267.024
2012/07/09,583.916
2012/07/10,438.516
2012/07/11,263.653
2012/07/12,425.769
2012/07/13,772.488
2012/07/14,819.321
2012/07/15,390.287
2012/07/16,542.288
2012/07/17,620.275
2012/07/18,437.442
2012/07/19,353.797
2012/07/20,387.539
2012/07/21,597.14
2012/07/22,423.127
2012/07/23,558.235
2012/07/24,523.399
2012/07/25,322.78
2012/07/26,665.779
2012/07/27,711.819
2012/07/28,437.894
2012/07/29,281.078
2012/07/30,251.268
2012/07/31,658.854
2012/08/01,701.255
2012/08/02,539.499
2012/08/03,553.136
2012/08/04,532.093
2012/08/05,646.362
2012/08/06,610.118
2012/08/07,726.671
2012/08/08,456.583
2012/08/09,534.605
2012/08/10,665.915
2012/08/11,544.084
2012/08/12,537.343
2012/08/13,453.587
2012/08/14,530.491
2012/08/15,427.771
2012/08/16,595.123
2012/08/17,855.841
2012/08/18,676.568
2012/08/19,1569
2012/08/20,2421
2012/08/21,1289
2012/08/22,2017
2012/08/23,2377
2012/08/24,3546
2012/08/25,1388
2012/08/26,1194
2012/08/27,2053
2012/08/28,2491
2012/08/29,4692
2012/08/30,3681
2012/08/31,2313
2012/09/01,2156
2012/09/02,1793
2012/09/03,1005
2012/09/04,1696
2012/09/05,2409
2012/09/06,5668
2012/09/07,6100
2012/09/08,2690
2012/09/09,1365
2012/09/10,6228
2012/09/11,5947
2012/09/12,4378
2012/09/13,8789
2012/09/14,5773
2012/09/15,2983
2012/09/16,5819
2012/09/17,6343
2012/09/18,4780
2012/09/19,12051
2012/09/20,6321
2012/09/21,10567
2012/09/22,8276
2012/09/23,3407
2012/09/24,3369
2012/09/25,889.628
2012/09/26,653.202
2012/09/27,596.819
2012/09/28,974.734
2012/09/29,669.253
2012/09/30,857.91
2012/10/01,810.016
2012/10/02,768.379
2012/10/03,604.434
2012/10/04,469.149
2012/10/05,921.51
2012/10/06,762.611
2012/10/07,623.214
2012/10/08,547.65
2012/10/09,452.367
2012/10/10,335.199
2012/10/11,540.817
2012/10/12,1095
2012/10/13,974.944
2012/10/14,594.129
2012/10/15,323.378
2012/10/16,940.179
2012/10/17,1236
2012/10/18,1425
2012/10/19,1254
2012/10/20,1037
2012/10/21,671.566
2012/10/22,611.143
2012/10/23,949.847
2012/10/24,686.282
2012/10/25,606.904
2012/10/26,493.69
2012/10/27,1051
2012/10/28,544.618
2012/10/29,499.109
2012/10/30,1454
2012/10/31,1504
2012/11/01,1200
2012/11/02,316.158
2012/11/03,841.58
2012/11/04,988.344
2012/11/05,768.198
2012/11/06,638.705
2012/11/07,552.195
2012/11/08,445.536
2012/11/09,373.542
2012/11/10,172.71
2012/11/11,192.204
2012/11/12,218.898
2012/11/13,342.918
2012/11/14,474.476
2012/11/15,782.974
2012/11/16,1076
2012/11/17,955.483
2012/11/18,706.142
2012/11/19,439.85
2012/11/20,497.468
2012/11/21,276.087
2012/11/22,561.361
2012/11/23,432.413
2012/11/24,488.742
2012/11/25,272.123
2012/11/26,388.125
2012/11/27,629.755
2012/11/28,620.724
2012/11/29,399.793
2012/11/30,331.759
2012/12/01,234.207
2012/12/02,613.539
2012/12/03,1005
2012/12/04,1001
2012/12/05,1118
2012/12/06,1165
2012/12/07,867.021
2012/12/08,407.693
2012/12/09,586.833
2012/12/10,382.788
2012/12/11,592.362
2012/12/12,1326
2012/12/13,1236
2012/12/14,1024
2012/12/15,692.411
2012/12/16,671.997
2012/12/17,581.425
2012/12/18,631.547
2012/12/19,340.611
2012/12/20,352.689
2012/12/21,504.715
2012/12/22,366.725
2012/12/23,315.822
2012/12/24,393.632
2012/12/25,280.199
2012/12/26,230.367
2012/12/27,248.866
2012/12/28,305.759
2012/12/29,349.569
2012/12/30,224.739
2012/12/31,611.161
2013/01/01,625.432
2013/01/02,650.617
2013/01/03,542.73
2013/01/04,632.431
2013/01/05,697.556
2013/01/06,436.105
2013/01/07,486.251
2013/01/08,744.377
2013/01/09,540.729
2013/01/10,348.476
2013/01/11,352.523
2013/01/12,299.217
2013/01/13,248.573
2013/01/14,350.094
2013/01/15,648.283
2013/01/16,590.869
2013/01/17,564
2013/01/18,514.46
2013/01/19,419.126
2013/01/20,443.448
2013/01/21,449.736
2013/01/22,555.379
2013/01/23,878.955
2013/01/24,591.096
2013/01/25,541.34
2013/01/26,439.352
2013/01/27,457.9
2013/01/28,572.558
2013/01/29,868.719
2013/01/30,1237
2013/01/31,605.129
2013/02/01,616.258
2013/02/02,496.423
2013/02/03,453.162
2013/02/04,734.492
2013/02/05,753.836
2013/02/06,893.437
2013/02/07,597.649
2013/02/08,789.145
2013/02/09,715.526
2013/02/10,563.173
2013/02/11,545.052
2013/02/12,523.037
2013/02/13,499.386
2013/02/14,740.467
2013/02/15,606.872
2013/02/16,652.056
2013/02/17,610.099
2013/02/18,649.143
2013/02/19,737.778
2013/02/20,579.317
2013/02/21,547.571
2013/02/22,740.879
2013/02/23,641.262
2013/02/24,857.425
2013/02/25,799.813
2013/02/26,748.307
2013/02/27,750.436
2013/02/28,737.42
2013/03/01,846.702
2013/03/02,885.469
2013/03/03,554.34
2013/03/04,507.538
2013/03/05,1246
