Date,sentinusd3stdUSD
2011/12/25,134451
2011/12/26,1521203
2011/12/27,1476826
2011/12/28,1556167
2011/12/29,1302827
2011/12/30,908288
2011/12/31,892190
2012/01/01,459269
2012/01/02,415969
2012/01/03,334976
2012/01/04,701171
2012/01/05,2427087
2012/01/06,1766027
2012/01/07,2058626
2012/01/08,1550252
2012/01/09,699398
2012/01/10,400385
2012/01/11,339281
2012/01/12,167569
2012/01/13,269783
2012/01/14,332759
2012/01/15,568680
2012/01/16,771311
2012/01/17,779122
2012/01/18,567426
2012/01/19,335649
2012/01/20,159486
2012/01/21,551754
2012/01/22,569673
2012/01/23,152137
2012/01/24,648738
2012/01/25,649290
2012/01/26,134779
2012/01/27,416595
2012/01/28,764130
2012/01/29,486560
2012/01/30,394611
2012/01/31,118608
2012/02/01,700540
2012/02/02,581017
2012/02/03,251865
2012/02/04,112954
2012/02/05,140612
2012/02/06,239344
2012/02/07,227824
2012/02/08,118153
2012/02/09,234332
2012/02/10,320376
2012/02/11,917571
2012/02/12,728047
2012/02/13,676846
2012/02/14,4338586
2012/02/15,3812049
2012/02/16,795117
2012/02/17,2222312
2012/02/18,3251642
2012/02/19,2072120
2012/02/20,1153451
2012/02/21,229152
2012/02/22,1516947
2012/02/23,1524027
2012/02/24,474559
2012/02/25,1071922
2012/02/26,1072129
2012/02/27,306636
2012/02/28,199842
2012/02/29,191298
2012/03/01,1540519
2012/03/02,1430672
2012/03/03,1181574
2012/03/04,1115528
2012/03/05,1272449
2012/03/06,1322094
2012/03/07,79669
2012/03/08,720137
2012/03/09,853475
2012/03/10,826608
2012/03/11,890590
2012/03/12,833373
2012/03/13,718023
2012/03/14,387102
2012/03/15,459240
2012/03/16,429226
2012/03/17,189004
2012/03/18,622419
2012/03/19,423926
2012/03/20,376257
2012/03/21,151323
2012/03/22,1105149
2012/03/23,1529524
2012/03/24,591014
2012/03/25,2046885
2012/03/26,1600358
2012/03/27,689106
2012/03/28,727408
2012/03/29,2635105
2012/03/30,1990901
2012/03/31,1266558
2012/04/01,1467312
2012/04/02,1027191
2012/04/03,907102
2012/04/04,552555
2012/04/05,778749
2012/04/06,1410319
2012/04/07,2409289
2012/04/08,3643141
2012/04/09,5257327
2012/04/10,3208974
2012/04/11,3450657
2012/04/12,2764158
2012/04/13,2650434
2012/04/14,1770673
2012/04/15,1830888
2012/04/16,2508691
2012/04/17,1989268
2012/04/18,2469686
2012/04/19,1812902
2012/04/20,10100568
2012/04/21,9694049
2012/04/22,8765430
2012/04/23,2079515
2012/04/24,1040759
2012/04/25,1247413
2012/04/26,4841907
2012/04/27,3501124
2012/04/28,4137056
2012/04/29,2688524
2012/04/30,737823
2012/05/01,490491
2012/05/02,56133
2012/05/03,698788
2012/05/04,582307
2012/05/05,385688
2012/05/06,2461639
2012/05/07,6388335
2012/05/08,13356139
2012/05/09,7801483
2012/05/10,11269475
2012/05/11,4965050
2012/05/12,8710949
2012/05/13,7886783
2012/05/14,6861211
2012/05/15,9414951
2012/05/16,6356060
2012/05/17,1283843
2012/05/18,7422857
2012/05/19,9400451
2012/05/20,3493911
2012/05/21,11018495
2012/05/22,9303649
2012/05/23,10243489
2012/05/24,12787937
2012/05/25,5487171
2012/05/26,15606368
2012/05/27,12601288
2012/05/28,13222956
2012/05/29,5344029
2012/05/30,4536719
2012/05/31,10345712
2012/06/01,10516809
2012/06/02,11819070
2012/06/03,5607715
2012/06/04,13883834
2012/06/05,14469056
2012/06/06,10063386
2012/06/07,11362668
2012/06/08,14544209
2012/06/09,19993152
2012/06/10,18718756
2012/06/11,9199316
2012/06/12,2960553
2012/06/13,2336924
2012/06/14,13544153
2012/06/15,11880272
2012/06/16,5913828
2012/06/17,13892459
2012/06/18,13276585
2012/06/19,5685836
2012/06/20,3717026
2012/06/21,5507514
