Date,sentinusd7momUSD
2011/12/12,-6111091
2011/12/13,-19246631
2011/12/14,-15763884
2011/12/15,-12262244
2011/12/16,-4421314
2011/12/17,-2242871
2011/12/18,-1726000
2011/12/19,-795954
2011/12/20,780832
2011/12/21,1104811
2011/12/22,233748
2011/12/23,-508504
2011/12/24,60923
2011/12/25,146100
2011/12/26,1220979
2011/12/27,730350
2011/12/28,-1145781
2011/12/29,406259
2011/12/30,100970
2011/12/31,-86437
2012/01/01,449304
2012/01/02,-1507751
2012/01/03,-1422565
2012/01/04,923552
2012/01/05,2033240
2012/01/06,2350469
2012/01/07,570071
2012/01/08,480852
2012/01/09,1251515
2012/01/10,900175
2012/01/11,244302
2012/01/12,-2063536
2012/01/13,-1123359
2012/01/14,313750
2012/01/15,-420507
2012/01/16,65761
2012/01/17,188213
2012/01/18,-334637
2012/01/19,60762
2012/01/20,-398892
2012/01/21,-532158
2012/01/22,-371472
2012/01/23,-1139724
2012/01/24,-266816
2012/01/25,306571
2012/01/26,10443
2012/01/27,-236292
2012/01/28,-279970
2012/01/29,352799
2012/01/30,45757
2012/01/31,-475540
2012/02/01,66506
2012/02/02,-94653
2012/02/03,284150
2012/02/04,715815
2012/02/05,196316
2012/02/06,114928
2012/02/07,15821
2012/02/08,-798093
2012/02/09,-706526
2012/02/10,-314212
2012/02/11,521648
2012/02/12,-248657
2012/02/13,503466
2012/02/14,4847558
2012/02/15,4339384
2012/02/16,5475525
2012/02/17,2398083
2012/02/18,478075
2012/02/19,-37040
2012/02/20,-300820
2012/02/21,-4835949
2012/02/22,-2511458
2012/02/23,-3672213
2012/02/24,-1359148
2012/02/25,-1059326
2012/02/26,-99256
2012/02/27,-136771
2012/02/28,54860
2012/02/29,-1840286
2012/03/01,79425
2012/03/02,-117498
2012/03/03,-80943
2012/03/04,1639960
2012/03/05,64393
2012/03/06,-5378
2012/03/07,241685
2012/03/08,-745572
2012/03/09,103492
2012/03/10,-11666
2012/03/11,-1278775
2012/03/12,913378
2012/03/13,813028
2012/03/14,1225974
2012/03/15,-7547
2012/03/16,-174592
2012/03/17,576364
2012/03/18,-17692
2012/03/19,-534131
2012/03/20,-215645
2012/03/21,-626967
2012/03/22,1014644
2012/03/23,1618784
2012/03/24,1403018
2012/03/25,3687
2012/03/26,264569
2012/03/27,377287
2012/03/28,944036
2012/03/29,2231279
2012/03/30,495794
2012/03/31,439594
2012/04/01,1109911
2012/04/02,974009
2012/04/03,1395230
2012/04/04,293761
2012/04/05,-1180403
2012/04/06,-1885463
2012/04/07,-2593931
2012/04/08,2973187
2012/04/09,4492617
2012/04/10,-92832
2012/04/11,3691952
2012/04/12,1695208
2012/04/13,1278576
2012/04/14,3260174
2012/04/15,374457
2012/04/16,37117
2012/04/17,1584510
2012/04/18,-2148365
2012/04/19,-2782102
2012/04/20,10811323
2012/04/21,1604681
2012/04/22,-1364916
2012/04/23,-3994052
2012/04/24,-1799402
2012/04/25,29833
2012/04/26,5991968
2012/04/27,-7475066
2012/04/28,-2057376
2012/04/29,-155167
2012/04/30,1370018
2012/05/01,1543427
2012/05/02,201868
2012/05/03,-3377307
2012/05/04,-1802079
2012/05/05,1587615
2012/05/06,-1560503
2012/05/07,5635145
2012/05/08,14276315
2012/05/09,6339584
2012/05/10,-249869
2012/05/11,1798834
2012/05/12,9757136
2012/05/13,4132377
2012/05/14,448386
2012/05/15,-844238
2012/05/16,5620744
2012/05/17,11597837
2012/05/18,2068525
2012/05/19,-9537388
2012/05/20,2885321
2012/05/21,7991317
2012/05/22,1971617
2012/05/23,-8084304
2012/05/24,-11690324
2012/05/25,2947386
2012/05/26,18362424
2012/05/27,16917
2012/05/28,-8509938
2012/05/29,-4490333
2012/05/30,2956612
2012/05/31,18884117
2012/06/01,2988080
2012/06/02,-14254899
2012/06/03,-1357180
2012/06/04,13411833
2012/06/05,7996762
2012/06/06,1379042
2012/06/07,2055394
2012/06/08,15148433
2012/06/09,-2637136
2012/06/10,9137226
2012/06/11,-7564929
2012/06/12,-9752533
2012/06/13,503980
2012/06/14,1962513
2012/06/15,-9195245
2012/06/16,17266351
2012/06/17,-9274240
2012/06/18,-1149223
2012/06/19,-1025772
2012/06/20,-3053815
2012/06/21,-21859698
2012/06/22,-6515381
2012/06/23,-5517531
2012/06/24,3238981
2012/06/25,-4174984
2012/06/26,-2577195
2012/06/27,1810943
2012/06/28,16115020
2012/06/29,1730957
2012/06/30,-10302579
2012/07/01,-3154608
2012/07/02,-3799236
2012/07/03,-1519453
2012/07/04,1808171
2012/07/05,-9722929
2012/07/06,-7574501
2012/07/07,18493487
2012/07/08,-3425875
2012/07/09,6950278
2012/07/10,5923375
2012/07/11,-6500858
2012/07/12,-3272021
2012/07/13,9438449
2012/07/14,-9179368
2012/07/15,4543514
2012/07/16,2259950
2012/07/17,6252850
2012/07/18,5806725
2012/07/19,500810
2012/07/20,-4553285
2012/07/21,1966280
2012/07/22,4351323
2012/07/23,1168125
2012/07/24,-6941788
2012/07/25,-5405047
2012/07/26,9511095
2012/07/27,5092815
2012/07/28,-5290623
2012/07/29,-4894914
2012/07/30,-9828032
2012/07/31,12580913
2012/08/01,12347506
2012/08/02,-2540179
2012/08/03,-4181234
2012/08/04,-519410
2012/08/05,11458200
2012/08/06,12789093
2012/08/07,-6223325
2012/08/08,-3255408
2012/08/09,-2049622
2012/08/10,3443180
2012/08/11,2616172
2012/08/12,-3090265
2012/08/13,427271
2012/08/14,-3322895
2012/08/15,4028992
2012/08/16,11395941
2012/08/17,15219939
2012/08/18,7488132
2012/08/19,39839815
2012/08/20,64966397
2012/08/21,36465609
2012/08/22,54115473
2012/08/23,48340839
2012/08/24,80532570
2012/08/25,21220238
2012/08/26,-23071834
2012/08/27,-19079142
2012/08/28,19658575
2012/08/29,84065534
2012/08/30,49094648
2012/08/31,-20562487
2012/09/01,41324551
2012/09/02,25106989
2012/09/03,-29372633
