Date,hashrate3wma
2016/08/09,1472090097456513792
2016/08/10,1459719403428872448
2016/08/11,1423653953990948608
2016/08/12,1467943135391112192
2016/08/13,1558968365068272384
2016/08/14,1601802367988099328
2016/08/15,1629780927754983424
2016/08/16,1548544756526279936
2016/08/17,1451590334540148224
2016/08/18,1462572012090000384
2016/08/19,1541450116983253760
2016/08/20,1648301191790035712
2016/08/21,1700599165811668992
2016/08/22,1729993129052379136
2016/08/23,1706932105882010368
2016/08/24,1639771730987593728
2016/08/25,1599092467207903232
2016/08/26,1497272828743704320
2016/08/27,1451494866096169984
2016/08/28,1538700377177993472
2016/08/29,1669365180134792448
2016/08/30,1676423458198478848
2016/08/31,1626731283651859200
2016/09/01,1562295651477343488
2016/09/02,1604840790793992960
2016/09/03,1559593313592843008
2016/09/04,1615857590248551168
2016/09/05,1690102376695170816
2016/09/06,1619531182294536960
2016/09/07,1609332355463365888
2016/09/08,1604840508233107200
2016/09/09,1594540906374784256
2016/09/10,1610473925388009216
2016/09/11,1673995546292610048
2016/09/12,1827019603437776896
2016/09/13,1806169455584262912
2016/09/14,1817758863277112576
2016/09/15,1764722808007461632
2016/09/16,1753839776480918272
2016/09/17,1732966847140080384
2016/09/18,1694942957765295872
2016/09/19,1627145207858107648
2016/09/20,1621374515850494208
2016/09/21,1663304879751965696
2016/09/22,1763711165080519936
2016/09/23,1664580283931198208
2016/09/24,1609275528676138240
2016/09/25,1925214130121551104
2016/09/26,2016910782598405376
2016/09/27,1964085602012243968
2016/09/28,1908858279853693696
2016/09/29,1827279588204969216
2016/09/30,1728671110339172352
2016/10/01,1802335340444622848
2016/10/02,1854059914245627136
2016/10/03,1754240405151303680
2016/10/04,1802859355324422144
2016/10/05,1875688526542891776
2016/10/06,1942217891105977344
2016/10/07,1890810638754100480
2016/10/08,1924698713973628160
2016/10/09,2012186895915770624
2016/10/10,1963444385407001344
2016/10/11,1832689803988976896
2016/10/12,1770431084514990336
2016/10/13,1724660389183320064
2016/10/14,1752266644930037504
2016/10/15,1752894267530528768
2016/10/16,1756677030287757056
2016/10/17,1707209212592741120
2016/10/18,1779747810843101440
2016/10/19,1846604201935387392
2016/10/20,1717703971793388800
