Date,sentbyaddress7mom
2012/09/17,-4412
2012/09/18,-4107
2012/09/19,4303
2012/09/20,7698
2012/09/21,-2915
2012/09/22,-3311
2012/09/23,-2183
2012/09/24,526
2012/09/25,1456
2012/09/26,3116
2012/09/27,-3966
2012/09/28,7525
2012/09/29,5457
2012/09/30,563
2012/10/01,250
2012/10/02,3721
2012/10/03,-4225
2012/10/04,3787
2012/10/05,-1115
2012/10/06,3035
2012/10/07,7863
2012/10/08,9300
2012/10/09,-1256
2012/10/10,2178
2012/10/11,-4501
2012/10/12,-3009
2012/10/13,-937
2012/10/14,-3552
2012/10/15,-2765
2012/10/16,-5238
2012/10/17,-1603
2012/10/18,2680
2012/10/19,-2718
2012/10/20,1713
2012/10/21,1786
2012/10/22,-1490
2012/10/23,-1309
2012/10/24,-1523
2012/10/25,-4551
2012/10/26,-597
2012/10/27,-8558
2012/10/28,-8139
2012/10/29,-9066
2012/10/30,-1675
2012/10/31,-4327
2012/11/01,-4754
2012/11/02,-2450
2012/11/03,1841
2012/11/04,1442
2012/11/05,4070
2012/11/06,1582
2012/11/07,5690
2012/11/08,3618
2012/11/09,1647
2012/11/10,-382
2012/11/11,-244
2012/11/12,-3032
2012/11/13,-3695
2012/11/14,-3405
2012/11/15,7393
2012/11/16,8865
2012/11/17,9212
2012/11/18,10062
2012/11/19,8756
2012/11/20,7954
2012/11/21,3970
2012/11/22,-3819
2012/11/23,-10927
2012/11/24,-6219
2012/11/25,-6268
2012/11/26,-2234
2012/11/27,-4897
2012/11/28,-658
2012/11/29,-1246
2012/11/30,1839
2012/12/01,-1267
2012/12/02,-6067
2012/12/03,-7622
2012/12/04,214
2012/12/05,-592
2012/12/06,802
2012/12/07,3156
2012/12/08,4120
2012/12/09,7926
2012/12/10,3217
2012/12/11,108
2012/12/12,-57
2012/12/13,3780
2012/12/14,1944
2012/12/15,-2119
2012/12/16,-165
2012/12/17,7232
2012/12/18,9668
2012/12/19,2364
2012/12/20,-5148
2012/12/21,2750
2012/12/22,15513
2012/12/23,700
2012/12/24,-4877
2012/12/25,-14443
2012/12/26,-9132
2012/12/27,-1876
2012/12/28,-1848
2012/12/29,-14515
2012/12/30,7426
2012/12/31,-1189
2013/01/01,3767
2013/01/02,9101
2013/01/03,12467
2013/01/04,3815
2013/01/05,11173
2013/01/06,-4668
2013/01/07,11379
2013/01/08,10005
2013/01/09,6634
2013/01/10,4152
2013/01/11,10411
2013/01/12,-3064
2013/01/13,8756
2013/01/14,-4967
2013/01/15,6195
2013/01/16,5152
2013/01/17,-1678
2013/01/18,-4592
2013/01/19,341
2013/01/20,-5866
2013/01/21,-447
2013/01/22,-6256
2013/01/23,-8949
2013/01/24,-2816
2013/01/25,-3781
2013/01/26,3636
2013/01/27,5967
2013/01/28,6260
2013/01/29,2295
2013/01/30,-2566
2013/01/31,-2950
2013/02/01,9663
2013/02/02,1280
2013/02/03,1653
2013/02/04,1756
2013/02/05,6670
2013/02/06,6716
2013/02/07,7341
2013/02/08,-4189
2013/02/09,-1342
2013/02/10,1303
2013/02/11,-2111
2013/02/12,-6713
2013/02/13,-846
2013/02/14,-6372
2013/02/15,-6335
2013/02/16,-6210
2013/02/17,-8280
2013/02/18,-1575
2013/02/19,-1781
2013/02/20,-1299
2013/02/21,2411
2013/02/22,4476
2013/02/23,6205
2013/02/24,5751
2013/02/25,5082
2013/02/26,5728
2013/02/27,2003
2013/02/28,2451
2013/03/01,4058
2013/03/02,-5646
2013/03/03,-8109
