Date,sentinusd3rsiUSD
2011/08/04,28.271
2011/08/05,44.313
2011/08/06,32.735
2011/08/07,29.997
2011/08/08,72.015
2011/08/09,91.463
2011/08/10,50.813
2011/08/11,35.921
2011/08/12,32.633
2011/08/13,31.989
2011/08/14,44.571
2011/08/15,38.049
2011/08/16,41.851
2011/08/17,37.249
2011/08/18,52.617
2011/08/19,74.143
2011/08/20,31.921
2011/08/21,34.506
2011/08/22,40.152
2011/08/23,67.063
2011/08/24,77.942
2011/08/25,41.731
2011/08/26,29.455
2011/08/27,90.694
2011/08/28,38.473
2011/08/29,39.758
2011/08/30,39.666
2011/08/31,40.425
2011/09/01,43.837
2011/09/02,39.651
2011/09/03,37.517
2011/09/04,88.764
2011/09/05,91.539
2011/09/06,94.543
2011/09/07,31.862
2011/09/08,29.099
2011/09/09,28.359
2011/09/10,25.543
2011/09/11,53.461
2011/09/12,43.521
2011/09/13,34.082
2011/09/14,31.63
2011/09/15,30.272
2011/09/16,58.284
2011/09/17,37.532
2011/09/18,34.943
2011/09/19,43.054
2011/09/20,51.011
2011/09/21,59.943
2011/09/22,37.563
2011/09/23,46.363
2011/09/24,26.687
2011/09/25,44.621
2011/09/26,38.538
2011/09/27,69.112
2011/09/28,48.398
2011/09/29,41.764
2011/09/30,33.898
2011/10/01,71.258
2011/10/02,43.65
2011/10/03,62.078
2011/10/04,64.047
2011/10/05,55.17
2011/10/06,79.518
2011/10/07,35.947
2011/10/08,23.493
2011/10/09,27.283
2011/10/10,33.441
2011/10/11,37.859
2011/10/12,34.492
2011/10/13,29.45
2011/10/14,17.824
2011/10/15,68.51
2011/10/16,30.301
2011/10/17,61.991
2011/10/18,33.982
2011/10/19,29.821
2011/10/20,28.478
2011/10/21,70.599
2011/10/22,77.261
2011/10/23,81.303
2011/10/24,35.175
2011/10/25,33.622
2011/10/26,48.958
2011/10/27,67.292
2011/10/28,59.791
2011/10/29,65.528
2011/10/30,19.335
2011/10/31,53.904
2011/11/01,70.136
2011/11/02,47.174
2011/11/03,39.483
2011/11/04,48.272
2011/11/05,28.428
2011/11/06,21.174
2011/11/07,36.06
2011/11/08,90.681
2011/11/09,74.625
2011/11/10,34.549
2011/11/11,32.535
2011/11/12,30.79
2011/11/13,29.291
2011/11/14,42.045
2011/11/15,35.918
2011/11/16,92.849
2011/11/17,96.32
2011/11/18,97.902
2011/11/19,65.347
2011/11/20,30.761
2011/11/21,34.826
2011/11/22,66.549
2011/11/23,37.945
2011/11/24,37.75
2011/11/25,31.578
2011/11/26,48.507
2011/11/27,55.031
2011/11/28,85.887
2011/11/29,86.756
2011/11/30,95.747
2011/12/01,38.002
2011/12/02,64.988
2011/12/03,46.059
2011/12/04,40.619
2011/12/05,41.476
2011/12/06,76.938
2011/12/07,60.691
2011/12/08,47.123
2011/12/09,26.005
2011/12/10,21.219
2011/12/11,19.873
2011/12/12,18.817
2011/12/13,14.936
2011/12/14,14.839
2011/12/15,23.81
2011/12/16,28.072
2011/12/17,21.661
2011/12/18,19.714
2011/12/19,50.709
2011/12/20,64.005
2011/12/21,73.147
2011/12/22,42.667
2011/12/23,25.109
2011/12/24,35.132
2011/12/25,33.669
2011/12/26,83.442
2011/12/27,76.259
2011/12/28,30.58
2011/12/29,55.656
2011/12/30,36.917
2011/12/31,36.308
2012/01/01,54.565
2012/01/02,42.626
2012/01/03,40.541
2012/01/04,71.686
2012/01/05,91.016
2012/01/06,70.086
2012/01/07,34.717
2012/01/08,44.319
2012/01/09,54.997
2012/01/10,43.615
2012/01/11,48.102
2012/01/12,39.487
2012/01/13,57.641
2012/01/14,38.045
2012/01/15,26.452
2012/01/16,68.322
2012/01/17,54.345
2012/01/18,37.48
2012/01/19,48.58
2012/01/20,40.976
2012/01/21,21.593
2012/01/22,17.626
2012/01/23,35.494
2012/01/24,70.574
2012/01/25,75.956
2012/01/26,64.468
2012/01/27,35.523
2012/01/28,17.958
2012/01/29,49.821
2012/01/30,42.244
2012/01/31,48.073
2012/02/01,79.166
2012/02/02,59.077
2012/02/03,59.021
2012/02/04,47.012
2012/02/05,41.909
2012/02/06,23.622
2012/02/07,21.877
2012/02/08,15.212
2012/02/09,8.776
2012/02/10,62.277
2012/02/11,85.542
2012/02/12,41.6
2012/02/13,60.936
2012/02/14,92.31
2012/02/15,78.742
2012/02/16,84.173
2012/02/17,40.641
2012/02/18,30.157
2012/02/19,21.11
2012/02/20,27.513
2012/02/21,24.973
2012/02/22,63.952
2012/02/23,58.605
2012/02/24,47.497
2012/02/25,28.113
2012/02/26,22.443
2012/02/27,34.375
2012/02/28,33.445
2012/02/29,26.078
2012/03/01,81.62
2012/03/02,59.434
2012/03/03,36.67
2012/03/04,66.544
2012/03/05,38.928
2012/03/06,37.266
2012/03/07,39.624
2012/03/08,64.475
2012/03/09,71.247
2012/03/10,35.531
2012/03/11,39.284
2012/03/12,68.197
2012/03/13,58.413
2012/03/14,72.553
2012/03/15,47.073
2012/03/16,52.666
2012/03/17,39.703
2012/03/18,21.829
2012/03/19,45.208
2012/03/20,53.083
2012/03/21,57.647
2012/03/22,88.688
2012/03/23,93.309
2012/03/24,67.496
2012/03/25,24.326
2012/03/26,41.499
2012/03/27,48.509
2012/03/28,65.251
2012/03/29,87.966
2012/03/30,62.32
2012/03/31,51.248
2012/04/01,30.916
2012/04/02,43.152
2012/04/03,59.027
2012/04/04,45.299
2012/04/05,67.858
2012/04/06,32.036
2012/04/07,20.58
2012/04/08,72.747
2012/04/09,81.185
2012/04/10,42.126
2012/04/11,64.007
2012/04/12,54.305
2012/04/13,37.026
2012/04/14,46.25
2012/04/15,61.901
2012/04/16,74.518
2012/04/17,43.186
2012/04/18,38.845
2012/04/19,24.296
2012/04/20,84.35
2012/04/21,44.949
2012/04/22,39.88
2012/04/23,35.919
2012/04/24,34.938
2012/04/25,50.203
2012/04/26,75.965
2012/04/27,55.662
2012/04/28,34.769
2012/04/29,38.998
2012/04/30,46.394
2012/05/01,46.16
2012/05/02,47.916
2012/05/03,65.899
2012/05/04,49.849
2012/05/05,61.666
2012/05/06,16.9
2012/05/07,79.375
2012/05/08,90.872
2012/05/09,51.545
2012/05/10,34.706
2012/05/11,42.425
2012/05/12,69.975
2012/05/13,40.589
2012/05/14,54.399
2012/05/15,72.077
2012/05/16,64.847
2012/05/17,65.197
2012/05/18,28.867
2012/05/19,21.448
2012/05/20,46.674
2012/05/21,74.551
2012/05/22,77.128
2012/05/23,33.174
2012/05/24,26.289
2012/05/25,53.802
2012/05/26,77.034
2012/05/27,40.755
2012/05/28,42.508
2012/05/29,58.426
2012/05/30,44.51
2012/05/31,73.635
2012/06/01,46.545
2012/06/02,35.614
2012/06/03,32.422
2012/06/04,72.418
2012/06/05,72.08
2012/06/06,37.622
2012/06/07,66.871
2012/06/08,72.628
2012/06/09,28.774
2012/06/10,49.465
2012/06/11,46.87
2012/06/12,41.266
2012/06/13,40.074
2012/06/14,77.6
2012/06/15,52.877
2012/06/16,61.863
2012/06/17,26.932
2012/06/18,46.123
2012/06/19,41.031
2012/06/20,34.607
2012/06/21,24.446
2012/06/22,58.903
2012/06/23,70.344
2012/06/24,41.88
2012/06/25,39.913
2012/06/26,37.516
2012/06/27,52.89
2012/06/28,83.583
2012/06/29,51.882
2012/06/30,30.957
2012/07/01,30.251
2012/07/02,26.343
2012/07/03,41.947
2012/07/04,70.597
2012/07/05,58.507
2012/07/06,34.09
2012/07/07,82.733
2012/07/08,35.638
2012/07/09,52.358
2012/07/10,53.75
2012/07/11,37.27
2012/07/12,43.634
2012/07/13,67.743
2012/07/14,67.67
2012/07/15,34.684
2012/07/16,58.916
2012/07/17,70.272
2012/07/18,42.152
2012/07/19,32.863
2012/07/20,49.41
2012/07/21,69.937
2012/07/22,44.527
2012/07/23,58.2
2012/07/24,43.285
2012/07/25,25.788
2012/07/26,65.377
2012/07/27,61.495
2012/07/28,44.382
2012/07/29,27.5
2012/07/30,24.396
2012/07/31,78.574
2012/08/01,58.033
2012/08/02,47.515
2012/08/03,39.751
2012/08/04,38.936
2012/08/05,67.7
2012/08/06,67.913
2012/08/07,67.738
2012/08/08,37.106
2012/08/09,25.075
2012/08/10,53.698
2012/08/11,44.662
2012/08/12,51.34
2012/08/13,77.271
2012/08/14,41.957
2012/08/15,66.64
2012/08/16,81.376
2012/08/17,90.152
2012/08/18,47.08
2012/08/19,85.652
2012/08/20,92.655
2012/08/21,50.827
2012/08/22,66.22
2012/08/23,65.187
2012/08/24,84.489
2012/08/25,34.443
2012/08/26,29.992
2012/08/27,55.045
2012/08/28,59.362
2012/08/29,86.069
2012/08/30,61.099
2012/08/31,44.467
2012/09/01,41.078
2012/09/02,27.227
2012/09/03,19.457
2012/09/04,48.775
2012/09/05,67.648
2012/09/06,90.89
2012/09/07,70.676
2012/09/08,34.419
2012/09/09,27.289
2012/09/10,67.901
2012/09/11,70.549
2012/09/12,40.964
2012/09/13,67.152
2012/09/14,54.374
2012/09/15,30.592
2012/09/16,51.557
2012/09/17,48.862
2012/09/18,49.465
2012/09/19,86.111
2012/09/20,45.439
2012/09/21,62.513
2012/09/22,40.845
2012/09/23,30.818
2012/09/24,31.696
2012/09/25,21.372
2012/09/26,21.317
2012/09/27,20.525
2012/09/28,34.182
2012/09/29,26.909
2012/09/30,29.099
2012/10/01,33.729
2012/10/02,45.11
2012/10/03,31.05
2012/10/04,29.783
2012/10/05,70.584
2012/10/06,49.845
2012/10/07,42.862
2012/10/08,40.078
2012/10/09,28.118
2012/10/10,18.307
2012/10/11,42.77
2012/10/12,78.323
2012/10/13,79.34
2012/10/14,34.621
2012/10/15,25.903
2012/10/16,68.164
2012/10/17,74.763
2012/10/18,75.598
2012/10/19,48.843
2012/10/20,48.23
2012/10/21,34.379
2012/10/22,31.455
2012/10/23,54.862
2012/10/24,26.26
2012/10/25,16.728
2012/10/26,11.18
2012/10/27,44.067
2012/10/28,26.68
2012/10/29,31.671
2012/10/30,85.758
2012/10/31,77.67
2012/11/01,47.68
2012/11/02,25.858
2012/11/03,46.903
2012/11/04,53.661
2012/11/05,55.062
2012/11/06,41.899
2012/11/07,40.771
2012/11/08,24.253
2012/11/09,15.788
2012/11/10,10.47
2012/11/11,10.309
2012/11/12,20.816
2012/11/13,55.397
2012/11/14,76.145
2012/11/15,92.341
2012/11/16,95.901
2012/11/17,59.864
2012/11/18,44.356
2012/11/19,30.431
2012/11/20,38.269
2012/11/21,24.398
2012/11/22,48.831
2012/11/23,38.986
2012/11/24,41.075
2012/11/25,25.389
2012/11/26,50.186
2012/11/27,64.76
2012/11/28,79.074
2012/11/29,41.933
2012/11/30,29.27
2012/12/01,24.309
2012/12/02,52.608
2012/12/03,75.901
2012/12/04,87.399
2012/12/05,90.757
2012/12/06,93.341
2012/12/07,42.31
2012/12/08,24.128
2012/12/09,38.716
2012/12/10,29.982
2012/12/11,53.068
2012/12/12,82.992
2012/12/13,85.123
2012/12/14,53.63
2012/12/15,30.484
2012/12/16,34.388
2012/12/17,33.375
2012/12/18,58.101
2012/12/19,26.646
2012/12/20,23.649
2012/12/21,54.228
2012/12/22,43.673
2012/12/23,29.557
2012/12/24,39.263
2012/12/25,25.329
2012/12/26,26.961
2012/12/27,43.396
2012/12/28,63.477
2012/12/29,57.677
2012/12/30,35.924
2012/12/31,69.973
2013/01/01,79.213
2013/01/02,87.822
2013/01/03,64.423
2013/01/04,83.633
2013/01/05,66.808
2013/01/06,26.722
2013/01/07,44.965
2013/01/08,67.525
2013/01/09,49.152
2013/01/10,36.344
2013/01/11,37.48
2013/01/12,22.728
2013/01/13,21.318
2013/01/14,47.965
2013/01/15,82.405
2013/01/16,85.893
2013/01/17,58.529
2013/01/18,50.559
2013/01/19,39.73
2013/01/20,22.325
2013/01/21,24.093
2013/01/22,61.472
2013/01/23,88.378
2013/01/24,45.458
2013/01/25,46.863
2013/01/26,38.624
2013/01/27,50.52
2013/01/28,64.168
2013/01/29,86.362
