Date,transactions30roc
2011/07/24,-24.78
2011/07/25,-2.408
2011/07/26,-16.694
2011/07/27,-32.473
2011/07/28,-24.576
2011/07/29,-27.253
2011/07/30,-35.871
2011/07/31,-24.027
2011/08/01,2.306
2011/08/02,5.659
2011/08/03,-19.652
2011/08/04,-7.342
2011/08/05,-30.322
2011/08/06,-25.826
2011/08/07,-21.272
2011/08/08,-7.414
2011/08/09,9.909
2011/08/10,-21.059
2011/08/11,-6.832
2011/08/12,-21.862
2011/08/13,-15.212
2011/08/14,-6.343
2011/08/15,-5.379
2011/08/16,15.641
2011/08/17,-13.854
2011/08/18,-19.595
2011/08/19,-14.127
2011/08/20,-12.133
2011/08/21,-15.079
2011/08/22,5.186
2011/08/23,-11.561
2011/08/24,-22.393
2011/08/25,-13.278
2011/08/26,-6.994
2011/08/27,-21.66
2011/08/28,-23.465
2011/08/29,31.352
2011/08/30,-3.357
2011/08/31,-11.121
2011/09/01,-18.342
2011/09/02,-9.367
2011/09/03,-29.323
2011/09/04,-1.33
2011/09/05,2.548
2011/09/06,16.631
2011/09/07,-2.482
2011/09/08,-29.814
2011/09/09,-11.744
2011/09/10,-21.437
2011/09/11,-10.179
2011/09/12,-11.365
2011/09/13,-13.108
2011/09/14,-26.618
2011/09/15,-33.446
2011/09/16,-19.721
2011/09/17,-26.833
2011/09/18,-22.117
2011/09/19,-7.288
2011/09/20,6.634
2011/09/21,-1.413
2011/09/22,-15.88
2011/09/23,-14.351
2011/09/24,-21.207
2011/09/25,-23.22
2011/09/26,-11.765
2011/09/27,9.044
2011/09/28,-26.219
2011/09/29,-28.65
2011/09/30,-19.532
2011/10/01,-26.053
2011/10/02,-28.472
2011/10/03,10.311
2011/10/04,-20.031
2011/10/05,-18.262
2011/10/06,-24.678
2011/10/07,-20.391
2011/10/08,-17.038
2011/10/09,-26.198
2011/10/10,-1.724
2011/10/11,-7.613
2011/10/12,-9.516
2011/10/13,-23.365
2011/10/14,-1.354
2011/10/15,-13.818
2011/10/16,-20.164
2011/10/17,6.447
2011/10/18,-18.617
2011/10/19,-23.429
2011/10/20,-43.36
2011/10/21,-32.542
2011/10/22,-16.274
2011/10/23,-11.219
2011/10/24,3.715
2011/10/25,-8.738
2011/10/26,-6.358
2011/10/27,-23.308
2011/10/28,-14.6
2011/10/29,0.348
2011/10/30,-15.219
2011/10/31,-3.441
2011/11/01,14.51
2011/11/02,-8.454
2011/11/03,7.565
2011/11/04,13.633
2011/11/05,-0.035
2011/11/06,-11.669
2011/11/07,1.533
2011/11/08,9.662
2011/11/09,9.168
2011/11/10,9.645
2011/11/11,-14.668
2011/11/12,1.985
2011/11/13,-12.425
2011/11/14,5.877
2011/11/15,22.193
2011/11/16,4.415
2011/11/17,1.623
2011/11/18,0.78
2011/11/19,1.478
2011/11/20,-2.026
2011/11/21,-7.257
2011/11/22,-2.709
2011/11/23,-5.907
2011/11/24,-3.767
2011/11/25,3.802
2011/11/26,1.202
2011/11/27,-1.317
2011/11/28,5.836
2011/11/29,28.897
2011/11/30,32.548
2011/12/01,9.65
2011/12/02,5.739
2011/12/03,-10.591
2011/12/04,-17.895
2011/12/05,5.137
2011/12/06,59.652
2011/12/07,11.801
2011/12/08,-3.234
2011/12/09,-13.456
2011/12/10,-13.531
2011/12/11,2.714
2011/12/12,-4.996
2011/12/13,0.841
2011/12/14,-3.92
2011/12/15,-20.249
2011/12/16,-14.663
2011/12/17,0.477
2011/12/18,-10.882
2011/12/19,23.56
2011/12/20,23.665
2011/12/21,16.681
2011/12/22,6.728
2011/12/23,1.391
2011/12/24,-7.992
2011/12/25,-4.466
2011/12/26,17.962
2011/12/27,2.405
2011/12/28,-16.509
2011/12/29,-19.152
