Date,sentinusd30emaUSD
2011/10/04,2932208
2011/10/05,2869773
2011/10/06,2847724
2011/10/07,2773004
2011/10/08,2668214
2011/10/09,2573683
2011/10/10,2489608
2011/10/11,2413396
2011/10/12,2339710
2011/10/13,2267710
2011/10/14,2191228
2011/10/15,2144489
2011/10/16,2066951
2011/10/17,2028117
2011/10/18,1951060
2011/10/19,1870589
2011/10/20,1793157
2011/10/21,1766379
2011/10/22,1756471
2011/10/23,1756834
2011/10/24,1709804
2011/10/25,1663237
2011/10/26,1631338
2011/10/27,1620363
2011/10/28,1605704
2011/10/29,1596363
2011/10/30,1538814
2011/10/31,1519596
2011/11/01,1530888
2011/11/02,1514479
2011/11/03,1488428
2011/11/04,1471492
2011/11/05,1431829
2011/11/06,1381492
2011/11/07,1342452
2011/11/08,1472470
2011/11/09,1566136
2011/11/10,1531626
2011/11/11,1489958
2011/11/12,1444894
2011/11/13,1398868
2011/11/14,1367473
2011/11/15,1330751
2011/11/16,1564155
2011/11/17,1972070
2011/11/18,2550011
2011/11/19,2938992
2011/11/20,2960991
2011/11/21,3008424
2011/11/22,3342050
2011/11/23,3355501
2011/11/24,3365697
2011/11/25,3314570
2011/11/26,3348069
2011/11/27,3411197
2011/11/28,3836004
2011/11/29,4256709
2011/11/30,5183897
2011/12/01,5254959
2011/12/02,5999912
2011/12/03,6269748
2011/12/04,6391245
2011/12/05,6515731
2011/12/06,7400763
2011/12/07,8002328
2011/12/08,8359315
2011/12/09,8194957
2011/12/10,7874017
2011/12/11,7532755
2011/12/12,7189331
2011/12/13,6789187
2011/12/14,6413184
2011/12/15,6081584
2011/12/16,5778930
2011/12/17,5469161
2011/12/18,5171696
2011/12/19,4929246
2011/12/20,4725291
2011/12/21,4553720
2011/12/22,4357166
2011/12/23,4132958
2011/12/24,3933312
2011/12/25,3744359
2011/12/26,3672769
2011/12/27,3596996
2011/12/28,3424297
2011/12/29,3326819
2011/12/30,3175599
2011/12/31,3032142
2012/01/01,2930317
2012/01/02,2813971
2012/01/03,2701826
2012/01/04,2646464
2012/01/05,2730345
2012/01/06,2769251
2012/01/07,2688788
2012/01/08,2640138
2012/01/09,2623256
2012/01/10,2581491
2012/01/11,2549654
2012/01/12,2506650
2012/01/13,2487513
2012/01/14,2445468
2012/01/15,2385386
2012/01/16,2389183
2012/01/17,2374662
2012/01/18,2334579
2012/01/19,2309371
2012/01/20,2277227
2012/01/21,2214417
2012/01/22,2145275
2012/01/23,2091032
2012/01/24,2078533
