Date,size30rsi
2011/09/04,58.418
2011/09/05,48.691
2011/09/06,50.103
2011/09/07,49.742
2011/09/08,49.57
2011/09/09,51.129
2011/09/10,49.504
2011/09/11,50.236
2011/09/12,50.132
2011/09/13,48.192
2011/09/14,47.738
2011/09/15,47.856
2011/09/16,49.817
2011/09/17,47.439
2011/09/18,46.801
2011/09/19,51.006
2011/09/20,52.743
2011/09/21,51.523
2011/09/22,47.986
2011/09/23,48.991
2011/09/24,49.333
2011/09/25,48.5
2011/09/26,48.012
2011/09/27,48.973
2011/09/28,47.486
2011/09/29,48.138
2011/09/30,49.066
2011/10/01,47.247
2011/10/02,47.871
2011/10/03,48.28
2011/10/04,50.805
2011/10/05,47.814
2011/10/06,49.626
2011/10/07,48.38
2011/10/08,49.086
2011/10/09,48.563
2011/10/10,49.411
2011/10/11,54.282
2011/10/12,50.268
2011/10/13,50.47
2011/10/14,48.919
2011/10/15,48.138
2011/10/16,48.51
2011/10/17,51.056
2011/10/18,48.404
2011/10/19,47.79
2011/10/20,47.663
2011/10/21,47.622
2011/10/22,50.945
2011/10/23,50.366
2011/10/24,49.37
2011/10/25,48.078
2011/10/26,49.285
2011/10/27,49.428
2011/10/28,50.727
2011/10/29,50.922
2011/10/30,48.932
2011/10/31,47.364
2011/11/01,47.086
2011/11/02,46.99
2011/11/03,49.774
2011/11/04,49.479
2011/11/05,48.293
2011/11/06,45.892
2011/11/07,49.137
2011/11/08,49.117
2011/11/09,48.425
2011/11/10,50.382
2011/11/11,49.777
2011/11/12,47.393
2011/11/13,47.02
2011/11/14,49.613
2011/11/15,48.257
2011/11/16,50.361
2011/11/17,48.197
2011/11/18,48.512
2011/11/19,48.6
2011/11/20,48.706
2011/11/21,48.466
2011/11/22,48.697
2011/11/23,48.777
2011/11/24,51.336
2011/11/25,48.771
2011/11/26,49.123
2011/11/27,49.74
2011/11/28,51.42
2011/11/29,52.735
2011/11/30,51.529
2011/12/01,48.142
2011/12/02,50.005
2011/12/03,48.27
2011/12/04,48.707
2011/12/05,48.404
2011/12/06,51.201
2011/12/07,50.905
2011/12/08,48.687
2011/12/09,48.043
2011/12/10,48.41
2011/12/11,49.4
2011/12/12,50.683
2011/12/13,50.37
2011/12/14,47.675
2011/12/15,49.157
2011/12/16,51.544
2011/12/17,46.917
2011/12/18,46.065
2011/12/19,49.493
2011/12/20,55.348
2011/12/21,48.749
2011/12/22,49.466
2011/12/23,48.982
2011/12/24,46.7
2011/12/25,46.379
2011/12/26,47.059
2011/12/27,48.942
2011/12/28,47.641
2011/12/29,49.554
2011/12/30,48.179
2011/12/31,49.194
2012/01/01,49.85
2012/01/02,51.449
2012/01/03,50.707
2012/01/04,51.612
2012/01/05,55.56
2012/01/06,53.099
2012/01/07,49.205
2012/01/08,51.893
2012/01/09,51.87
2012/01/10,57.824
2012/01/11,56.156
2012/01/12,50.989
2012/01/13,51.963
2012/01/14,50.764
2012/01/15,51.356
2012/01/16,50.543
2012/01/17,50.454
2012/01/18,53.914
2012/01/19,51.382
2012/01/20,51.127
2012/01/21,49.359
2012/01/22,48.218
2012/01/23,47.287
2012/01/24,53.231
2012/01/25,53.804
2012/01/26,51.755
2012/01/27,51.266
2012/01/28,49.737
2012/01/29,48.962
2012/01/30,47.502
