Date,activeaddresses90roc
2011/12/24,-46.717
2011/12/25,-33.564
2011/12/26,-34.865
2011/12/27,-14.575
2011/12/28,-15.558
2011/12/29,-15.934
2011/12/30,-18.886
2011/12/31,-8.041
2012/01/01,-17.345
2012/01/02,-13.66
2012/01/03,-3.794
2012/01/04,-13.655
2012/01/05,11.916
2012/01/06,19.301
2012/01/07,9.335
2012/01/08,9.896
2012/01/09,8.195
2012/01/10,18.448
2012/01/11,45.707
2012/01/12,-4.624
2012/01/13,10.169
2012/01/14,21.539
2012/01/15,-4.207
2012/01/16,20.77
2012/01/17,13.724
2012/01/18,32.587
2012/01/19,25.243
2012/01/20,17.219
2012/01/21,2.323
2012/01/22,-18.268
2012/01/23,0.832
2012/01/24,19.997
2012/01/25,44.729
2012/01/26,13.654
2012/01/27,12.134
2012/01/28,14.49
2012/01/29,19.706
2012/01/30,5.788
2012/01/31,19.128
2012/02/01,14.176
2012/02/02,1.834
2012/02/03,22.668
2012/02/04,41.773
2012/02/05,17.53
2012/02/06,1.136
2012/02/07,2.559
2012/02/08,1.615
2012/02/09,24.281
2012/02/10,34.03
2012/02/11,21.933
2012/02/12,3.353
2012/02/13,14.702
2012/02/14,39.898
2012/02/15,45.663
2012/02/16,50.27
2012/02/17,40.904
2012/02/18,26.99
2012/02/19,30.41
2012/02/20,24.378
2012/02/21,28.002
2012/02/22,48.831
2012/02/23,50.317
2012/02/24,60.566
2012/02/25,40.978
2012/02/26,5.594
2012/02/27,3.735
2012/02/28,5.76
2012/02/29,10.094
2012/03/01,21.128
2012/03/02,36.989
2012/03/03,6.064
2012/03/04,14.414
2012/03/05,5.904
2012/03/06,18.544
2012/03/07,8.208
2012/03/08,33.319
2012/03/09,32.226
2012/03/10,6.196
2012/03/11,11.33
2012/03/12,19.861
2012/03/13,40.491
2012/03/14,61.456
2012/03/15,42.443
2012/03/16,59.056
2012/03/17,62.903
2012/03/18,9.167
2012/03/19,13.345
2012/03/20,34.495
2012/03/21,34.743
2012/03/22,29.803
2012/03/23,39.112
2012/03/24,18.159
2012/03/25,17.889
2012/03/26,34.344
2012/03/27,43.624
2012/03/28,43.464
2012/03/29,61.504
2012/03/30,38.073
2012/03/31,22.698
2012/04/01,7.084
2012/04/02,13.368
2012/04/03,50.778
2012/04/04,8.45
2012/04/05,9.96
2012/04/06,21.651
2012/04/07,-2.706
2012/04/08,-6.159
2012/04/09,-5.438
2012/04/10,2.555
2012/04/11,32.973
2012/04/12,29.905
2012/04/13,8.336
2012/04/14,28.113
2012/04/15,9.184
2012/04/16,33.828
2012/04/17,25.819
2012/04/18,28.344
2012/04/19,25.278
2012/04/20,43.039
2012/04/21,43.055
2012/04/22,11.214
2012/04/23,12.045
2012/04/24,4.505
2012/04/25,20.856
2012/04/26,32.795
2012/04/27,31.786
2012/04/28,10.965
2012/04/29,18.39
2012/04/30,22.239
2012/05/01,33.774
2012/05/02,25.421
2012/05/03,32.053
2012/05/04,38.602
2012/05/05,34.731
2012/05/06,59.767
2012/05/07,74.408
2012/05/08,62.985
2012/05/09,64.187
2012/05/10,24.821
2012/05/11,70.964
2012/05/12,60.453
2012/05/13,27.401
2012/05/14,76.115
2012/05/15,52.902
2012/05/16,36.839
2012/05/17,58.713
2012/05/18,80.408
2012/05/19,138.575
2012/05/20,106.704
2012/05/21,106.23
2012/05/22,68.903
2012/05/23,68.656
2012/05/24,69.907
2012/05/25,98.654
2012/05/26,92.466
2012/05/27,76.323
2012/05/28,81.291
2012/05/29,121.886
2012/05/30,76.833
2012/05/31,61.298
2012/06/01,130.755
2012/06/02,37.452
2012/06/03,88.256
2012/06/04,171.648
2012/06/05,169.283
2012/06/06,53.849
2012/06/07,123.998
2012/06/08,119.32
2012/06/09,149.399
2012/06/10,135.557
2012/06/11,93.853
2012/06/12,45.144
2012/06/13,208.557
2012/06/14,205.589
2012/06/15,205.173
2012/06/16,183.357
2012/06/17,153.615
2012/06/18,135.29
2012/06/19,119.223
2012/06/20,105.339
2012/06/21,108.374
2012/06/22,109.624
2012/06/23,110.813
2012/06/24,80.627
2012/06/25,118.924
2012/06/26,121.628
2012/06/27,129.602
2012/06/28,117.729
2012/06/29,135.795
2012/06/30,150.266
2012/07/01,112.866
2012/07/02,94.596
2012/07/03,107.978
2012/07/04,92.967
2012/07/05,71.013
2012/07/06,105.626
2012/07/07,122.19
2012/07/08,83.457
2012/07/09,85.294
2012/07/10,100.623
2012/07/11,87.738
2012/07/12,116.96
2012/07/13,80.683
2012/07/14,84.107
2012/07/15,59.007
2012/07/16,98.42
2012/07/17,107.867
2012/07/18,92.819
2012/07/19,87.682
2012/07/20,121.387
2012/07/21,142.06
2012/07/22,132.776
2012/07/23,142.574
2012/07/24,120.093
2012/07/25,64.63
2012/07/26,79.293
2012/07/27,102.223
2012/07/28,141.555
2012/07/29,88.357
2012/07/30,80.674
2012/07/31,190.985
2012/08/01,86.285
2012/08/02,85.757
2012/08/03,81.656
2012/08/04,61.65
2012/08/05,47.513
2012/08/06,78.042
2012/08/07,57.784
2012/08/08,154.494
2012/08/09,54.501
2012/08/10,69.717
