Date,confirmationtime
2012/04/29,8.045
2012/04/30,8.045
2012/05/01,8.471
2012/05/02,9.6
2012/05/03,9.172
2012/05/04,8.944
2012/05/05,8.623
2012/05/06,8.78
2012/05/07,8.471
2012/05/08,8.182
2012/05/09,8.675
2012/05/10,11.163
2012/05/11,10.07
2012/05/12,11.25
2012/05/13,10.286
2012/05/14,10.36
2012/05/15,11.077
2012/05/16,11.901
2012/05/17,12.414
2012/05/18,9.931
2012/05/19,9.664
2012/05/20,10.435
2012/05/21,11.429
2012/05/22,12.522
2012/05/23,11.077
2012/05/24,11.52
2012/05/25,11.901
2012/05/26,10.141
2012/05/27,9.057
2012/05/28,10.141
2012/05/29,11.429
2012/05/30,10.992
2012/05/31,10.435
2012/06/01,9.474
2012/06/02,9
2012/06/03,9.412
2012/06/04,9.29
2012/06/05,9.796
2012/06/06,9.412
2012/06/07,10.36
2012/06/08,10.213
2012/06/09,8.421
2012/06/10,8.675
2012/06/11,10.286
2012/06/12,9.231
2012/06/13,9.6
2012/06/14,9.231
2012/06/15,9.057
2012/06/16,9.231
2012/06/17,8.78
2012/06/18,8.229
2012/06/19,9.796
2012/06/20,9.931
2012/06/21,10.588
2012/06/22,10.435
2012/06/23,8.78
2012/06/24,10.992
2012/06/25,9.351
2012/06/26,9.664
2012/06/27,8.834
2012/06/28,10.511
2012/06/29,9.863
2012/06/30,10.909
2012/07/01,10.141
2012/07/02,9.474
2012/07/03,9
2012/07/04,9.6
2012/07/05,10
2012/07/06,9.29
2012/07/07,8.675
2012/07/08,9.412
2012/07/09,8.834
2012/07/10,9.6
2012/07/11,10.746
2012/07/12,9.6
2012/07/13,8.834
2012/07/14,8.944
2012/07/15,10.286
2012/07/16,9.6
2012/07/17,8.372
2012/07/18,9.29
2012/07/19,10.667
2012/07/20,9.73
2012/07/21,10.213
2012/07/22,9.29
2012/07/23,10.213
2012/07/24,8.944
2012/07/25,9
2012/07/26,8.521
2012/07/27,8.09
2012/07/28,9.412
2012/07/29,8.675
2012/07/30,8.182
2012/07/31,11.077
2012/08/01,10.746
2012/08/02,8.727
2012/08/03,8.889
2012/08/04,9.231
2012/08/05,10.36
2012/08/06,10.286
2012/08/07,8.78
2012/08/08,8.675
2012/08/09,8.471
2012/08/10,9.231
2012/08/11,8.571
2012/08/12,9.057
2012/08/13,9
2012/08/14,9.172
