Date,size3mom
2012/12/02,-36699
2012/12/03,-36216
2012/12/04,45560
2012/12/05,66695
2012/12/06,60313
2012/12/07,-25705
2012/12/08,-29148
2012/12/09,-13923
2012/12/10,7868
2012/12/11,12524
2012/12/12,14204
2012/12/13,31408
2012/12/14,49978
2012/12/15,-6778
2012/12/16,-7655
2012/12/17,-36354
2012/12/18,58797
2012/12/19,-6290
2012/12/20,23265
2012/12/21,-29557
2012/12/22,2570
2012/12/23,-20930
2012/12/24,-17945
2012/12/25,-38459
2012/12/26,-16557
2012/12/27,-4194
2012/12/28,25628
2012/12/29,7464
2012/12/30,-16235
2012/12/31,-38138
2013/01/01,-35990
2013/01/02,-946.755
2013/01/03,19555
2013/01/04,52778
2013/01/05,4163
2013/01/06,-7415
2013/01/07,-36410
2013/01/08,31064
2013/01/09,47729
2013/01/10,58281
2013/01/11,37873
2013/01/12,14761
2013/01/13,-1315
2013/01/14,-60066
2013/01/15,-4801
2013/01/16,18371
2013/01/17,72872
2013/01/18,26905
2013/01/19,-21097
2013/01/20,-59402
2013/01/21,-45699
2013/01/22,-14856
2013/01/23,33721
2013/01/24,11289
2013/01/25,19357
2013/01/26,-22205
2013/01/27,11329
2013/01/28,4199
2013/01/29,5203
2013/01/30,-34753
2013/01/31,-43856
2013/02/01,21747
2013/02/02,31254
2013/02/03,24733
2013/02/04,-25583
2013/02/05,-16997
2013/02/06,-19936
2013/02/07,24260
2013/02/08,38690
2013/02/09,50014
2013/02/10,-23781
2013/02/11,-15477
2013/02/12,13161
2013/02/13,4398
2013/02/14,-7015
2013/02/15,-46598
2013/02/16,-33459
2013/02/17,-31810
2013/02/18,-1919
2013/02/19,35557
2013/02/20,23335
2013/02/21,-1730
2013/02/22,6539
2013/02/23,13742
2013/02/24,17180
2013/02/25,-17251
2013/02/26,11597
2013/02/27,-13635
2013/02/28,23858
2013/03/01,21850
2013/03/02,34602
2013/03/03,-16499
2013/03/04,-31857
2013/03/05,14139
2013/03/06,37435
2013/03/07,37148
2013/03/08,-33062
2013/03/09,-37687
2013/03/10,-16473
2013/03/11,9030
2013/03/12,23080
2013/03/13,-17843
2013/03/14,-14506
2013/03/15,-7335
2013/03/16,-66563
2013/03/17,-75059
2013/03/18,-65028
2013/03/19,31504
2013/03/20,23139
2013/03/21,19476
2013/03/22,-1806
2013/03/23,21150
2013/03/24,2915
2013/03/25,37924
2013/03/26,36191
2013/03/27,60750
2013/03/28,6688
2013/03/29,16442
2013/03/30,-2945
2013/03/31,-27429
2013/04/01,-38565
2013/04/02,-12301
2013/04/03,36379
2013/04/04,82312
2013/04/05,14623
2013/04/06,-25642
2013/04/07,-16156
2013/04/08,5051
2013/04/09,20562
2013/04/10,-36969
2013/04/11,21376
2013/04/12,-15353
2013/04/13,-23253
2013/04/14,-41326
2013/04/15,-1889
2013/04/16,36002
2013/04/17,-11366
2013/04/18,-17468
2013/04/19,30400
2013/04/20,-6394
2013/04/21,-21366
2013/04/22,-64541
2013/04/23,17043
2013/04/24,86507
2013/04/25,28583
2013/04/26,-16860
2013/04/27,-62420
2013/04/28,-53695
2013/04/29,-10107
2013/04/30,34271
2013/05/01,48360
2013/05/02,49361
2013/05/03,983.613
2013/05/04,-12412
2013/05/05,-44280
2013/05/06,-19293
2013/05/07,13075
2013/05/08,3947
2013/05/09,25941
2013/05/10,19599
2013/05/11,34040
2013/05/12,-6949
2013/05/13,-21846
2013/05/14,11283
2013/05/15,35816
2013/05/16,32346
2013/05/17,-27910
2013/05/18,-50445
2013/05/19,-59570
2013/05/20,6966
2013/05/21,6464
2013/05/22,17328
2013/05/23,-18699
2013/05/24,-15005
2013/05/25,-9880
2013/05/26,-28879
2013/05/27,-10420
2013/05/28,20572
2013/05/29,26678
2013/05/30,7734
2013/05/31,-22231
2013/06/01,-35207
2013/06/02,-34979
2013/06/03,-20872
2013/06/04,4927
2013/06/05,26478
2013/06/06,17040
2013/06/07,25062
2013/06/08,-24896
2013/06/09,-9478
2013/06/10,-36119
2013/06/11,275.64
2013/06/12,-27777
2013/06/13,-10621
2013/06/14,7495
2013/06/15,-9649
2013/06/16,-1610
2013/06/17,12535
2013/06/18,52929
2013/06/19,53816
