Date,mediantransactionvalue90stdUSD
2011/08/27,225.84
2011/08/28,226.243
2011/08/29,227.43
2011/08/30,228.261
2011/08/31,228.303
2011/09/01,228.949
2011/09/02,229.062
2011/09/03,227.011
2011/09/04,227.722
2011/09/05,224.139
2011/09/06,218.848
2011/09/07,208.891
2011/09/08,198.617
2011/09/09,181.85
2011/09/10,179.601
2011/09/11,172.782
2011/09/12,158.254
2011/09/13,149.938
2011/09/14,133.352
2011/09/15,130.628
2011/09/16,131.526
2011/09/17,127.413
2011/09/18,122.185
2011/09/19,122.159
2011/09/20,120.209
2011/09/21,119.982
2011/09/22,113.894
2011/09/23,113.148
2011/09/24,112.261
2011/09/25,113.343
2011/09/26,113.663
2011/09/27,111.63
2011/09/28,110.282
2011/09/29,110.8
2011/09/30,107.532
2011/10/01,107.463
2011/10/02,106.648
2011/10/03,106.728
2011/10/04,106.844
2011/10/05,106.648
2011/10/06,106.835
2011/10/07,106.228
2011/10/08,106.034
2011/10/09,106.589
2011/10/10,107.294
2011/10/11,108.021
2011/10/12,108.26
2011/10/13,107.588
2011/10/14,108.027
2011/10/15,108.429
2011/10/16,106.923
2011/10/17,106.67
2011/10/18,106.963
2011/10/19,107.534
2011/10/20,107.364
2011/10/21,106.831
2011/10/22,105.953
2011/10/23,105.047
2011/10/24,103.731
2011/10/25,97.851
2011/10/26,86.423
2011/10/27,84.414
2011/10/28,77.608
2011/10/29,74.812
2011/10/30,71.311
2011/10/31,70.653
2011/11/01,66.995
2011/11/02,67.364
2011/11/03,67.213
2011/11/04,67.498
2011/11/05,67.739
2011/11/06,67.53
2011/11/07,67.604
2011/11/08,67.293
2011/11/09,67.488
2011/11/10,67.799
2011/11/11,68.131
2011/11/12,68.011
2011/11/13,68.672
2011/11/14,69.051
2011/11/15,69.409
2011/11/16,69.082
2011/11/17,68.849
2011/11/18,68.465
2011/11/19,68.726
2011/11/20,67.302
2011/11/21,66.12
2011/11/22,65.379
2011/11/23,64.716
2011/11/24,63.69
2011/11/25,62.389
2011/11/26,61.387
2011/11/27,61.727
2011/11/28,61.67
2011/11/29,60.131
2011/11/30,58.621
2011/12/01,57.128
2011/12/02,54.261
2011/12/03,54.29
2011/12/04,52.309
2011/12/05,47.383
2011/12/06,47.724
2011/12/07,47.158
2011/12/08,46.138
2011/12/09,46.002
2011/12/10,45.951
2011/12/11,45.521
2011/12/12,44.694
2011/12/13,43.083
2011/12/14,42.247
2011/12/15,41.683
2011/12/16,40.873
2011/12/17,40.174
2011/12/18,40.244
2011/12/19,39.966
2011/12/20,40.03
2011/12/21,39.816
2011/12/22,37.922
2011/12/23,36.351
2011/12/24,36.208
2011/12/25,35.974
2011/12/26,35.122
2011/12/27,35.04
2011/12/28,34.25
2011/12/29,33.367
2011/12/30,32.541
2011/12/31,31.299
2012/01/01,31.396
2012/01/02,29.566
2012/01/03,27.545
2012/01/04,26.644
2012/01/05,25.04
2012/01/06,27.24
2012/01/07,28.334
2012/01/08,29.501
2012/01/09,30.439
2012/01/10,30.368
2012/01/11,30.484
2012/01/12,30.184
2012/01/13,30.065
2012/01/14,29.971
2012/01/15,29.997
2012/01/16,29.999
2012/01/17,29.994
2012/01/18,30.647
2012/01/19,31.254
2012/01/20,31.759
2012/01/21,32.56
2012/01/22,33.549
2012/01/23,34.113
2012/01/24,34.149
2012/01/25,34.159
2012/01/26,34.258
2012/01/27,34.284
2012/01/28,34.255
2012/01/29,34.092
