Date,size14std
2012/02/02,5758
2012/02/03,5754
2012/02/04,5690
2012/02/05,5332
2012/02/06,4573
2012/02/07,4278
2012/02/08,3562
2012/02/09,3754
2012/02/10,5213
2012/02/11,5225
2012/02/12,4998
2012/02/13,4593
2012/02/14,6809
2012/02/15,7643
2012/02/16,8866
2012/02/17,9140
2012/02/18,9889
2012/02/19,10519
2012/02/20,10474
2012/02/21,10453
2012/02/22,10585
2012/02/23,10593
2012/02/24,10345
2012/02/25,10637
2012/02/26,10797
2012/02/27,10668
2012/02/28,9211
2012/02/29,7968
2012/03/01,4438
2012/03/02,6217
2012/03/03,5846
2012/03/04,5438
2012/03/05,5648
2012/03/06,5690
2012/03/07,5721
2012/03/08,5698
2012/03/09,5765
2012/03/10,5744
2012/03/11,5598
2012/03/12,5770
2012/03/13,6073
2012/03/14,6133
2012/03/15,6356
2012/03/16,5420
2012/03/17,5649
2012/03/18,6170
2012/03/19,5858
2012/03/20,5700
2012/03/21,5683
2012/03/22,5708
2012/03/23,5664
2012/03/24,6302
2012/03/25,6390
2012/03/26,6281
2012/03/27,5785
2012/03/28,4890
2012/03/29,4531
2012/03/30,4538
2012/03/31,4827
2012/04/01,4548
2012/04/02,5718
2012/04/03,6783
2012/04/04,6911
2012/04/05,8240
2012/04/06,8462
2012/04/07,7510
2012/04/08,7533
2012/04/09,7591
2012/04/10,7570
2012/04/11,7783
2012/04/12,8464
2012/04/13,8403
2012/04/14,7258
2012/04/15,6883
2012/04/16,6947
2012/04/17,7141
2012/04/18,8000
2012/04/19,7812
2012/04/20,7914
2012/04/21,7750
2012/04/22,6916
2012/04/23,6122
2012/04/24,6141
2012/04/25,6153
2012/04/26,5967
2012/04/27,6013
2012/04/28,6425
2012/04/29,7087
2012/04/30,7059
2012/05/01,6934
2012/05/02,6484
2012/05/03,9643
2012/05/04,11750
2012/05/05,12023
2012/05/06,11963
2012/05/07,15234
2012/05/08,16512
2012/05/09,18274
2012/05/10,18497
2012/05/11,21916
2012/05/12,23857
2012/05/13,21139
2012/05/14,30493
2012/05/15,32684
2012/05/16,32729
2012/05/17,32737
2012/05/18,33251
2012/05/19,38729
2012/05/20,39957
2012/05/21,44218
2012/05/22,42569
2012/05/23,40892
2012/05/24,36392
2012/05/25,35979
2012/05/26,34592
2012/05/27,27969
2012/05/28,28122
2012/05/29,28921
2012/05/30,26990
2012/05/31,26762
2012/06/01,26199
2012/06/02,37468
2012/06/03,37171
2012/06/04,41991
