Date,transactions30mom
2012/05/15,14841
2012/05/16,9530
2012/05/17,9149
2012/05/18,15886
2012/05/19,27512
2012/05/20,23191
2012/05/21,24431
2012/05/22,17151
2012/05/23,20333
2012/05/24,18942
2012/05/25,21448
2012/05/26,13193
2012/05/27,19228
2012/05/28,22471
2012/05/29,22140
2012/05/30,16215
2012/05/31,10837
2012/06/01,17089
2012/06/02,-1205
2012/06/03,19511
2012/06/04,32952
2012/06/05,33231
2012/06/06,-2293
2012/06/07,15521
2012/06/08,6677
2012/06/09,21226
2012/06/10,21637
2012/06/11,14193
2012/06/12,3490
2012/06/13,28434
2012/06/14,39677
2012/06/15,36870
2012/06/16,26307
2012/06/17,19409
2012/06/18,3641
2012/06/19,4493
2012/06/20,623
2012/06/21,3281
2012/06/22,-3875
2012/06/23,-4325
2012/06/24,-6617
2012/06/25,5422
2012/06/26,3798
2012/06/27,966
2012/06/28,-3305
2012/06/29,-2718
2012/06/30,1611
2012/07/01,-7783
2012/07/02,12355
2012/07/03,-10941
2012/07/04,-22769
2012/07/05,-22718
2012/07/06,7977
2012/07/07,-7615
2012/07/08,-3110
2012/07/09,-7913
2012/07/10,-5625
2012/07/11,-1275
2012/07/12,6066
2012/07/13,-32251
2012/07/14,-39156
2012/07/15,-28622
2012/07/16,-11897
2012/07/17,-8716
2012/07/18,-6463
2012/07/19,-4915
2012/07/20,4545
2012/07/21,7806
2012/07/22,11278
2012/07/23,10418
2012/07/24,5947
2012/07/25,-1392
2012/07/26,452
2012/07/27,-3735
2012/07/28,8692
2012/07/29,11586
2012/07/30,11733
2012/07/31,22243
2012/08/01,5409
2012/08/02,10539
2012/08/03,4604
2012/08/04,7355
2012/08/05,9383
2012/08/06,9811
2012/08/07,8793
2012/08/08,15036
2012/08/09,-5158
2012/08/10,-2897
2012/08/11,8818
2012/08/12,10084
2012/08/13,26086
2012/08/14,8144
2012/08/15,21573
2012/08/16,11294
2012/08/17,7983
2012/08/18,6111
2012/08/19,123
2012/08/20,1211
2012/08/21,7537
2012/08/22,5161
2012/08/23,3445
2012/08/24,4960
2012/08/25,2763
2012/08/26,2364
2012/08/27,-2126
2012/08/28,-4630
2012/08/29,-178
2012/08/30,-7617
2012/08/31,10080
2012/09/01,7567
2012/09/02,5806
2012/09/03,9227
2012/09/04,6649
2012/09/05,5695
2012/09/06,13180
2012/09/07,-6687
2012/09/08,1256
2012/09/09,3086
2012/09/10,511
2012/09/11,3603
2012/09/12,-20771
2012/09/13,-5454
2012/09/14,-16846
2012/09/15,-19219
2012/09/16,-12162
2012/09/17,-12733
2012/09/18,-4115
2012/09/19,-3573
2012/09/20,-11112
2012/09/21,-7540
2012/09/22,-9796
2012/09/23,-4286
2012/09/24,-4264
2012/09/25,-5303
2012/09/26,-678
2012/09/27,-1501
2012/09/28,-1431
2012/09/29,-9936
2012/09/30,-19975
2012/10/01,-16017
2012/10/02,-692
2012/10/03,-11545
2012/10/04,-7309
2012/10/05,-4720
2012/10/06,-10102
2012/10/07,1286
2012/10/08,7005
2012/10/09,4003
2012/10/10,-2405
2012/10/11,-10534
2012/10/12,603
2012/10/13,4047
2012/10/14,-8669
2012/10/15,3725
2012/10/16,6124
2012/10/17,7393
2012/10/18,-4554
2012/10/19,-6872
2012/10/20,-846
2012/10/21,10494
2012/10/22,21140
2012/10/23,4060
2012/10/24,2995
2012/10/25,2817
2012/10/26,-10511
2012/10/27,-12048
2012/10/28,-14811
2012/10/29,-2482
2012/10/30,10095
2012/10/31,3015
2012/11/01,-9231
2012/11/02,2311
2012/11/03,-8731
2012/11/04,-12088
2012/11/05,-493
2012/11/06,-2750
2012/11/07,-1710
2012/11/08,-3047
2012/11/09,-6072
2012/11/10,-581
2012/11/11,-5136
2012/11/12,-9171
2012/11/13,-296
2012/11/14,-1071
2012/11/15,3090
2012/11/16,7630
2012/11/17,4298
2012/11/18,8772
2012/11/19,6493
2012/11/20,-3961
2012/11/21,-4083
2012/11/22,-1145
2012/11/23,152
2012/11/24,2712
2012/11/25,14828
2012/11/26,19603
2012/11/27,9685
2012/11/28,15742
2012/11/29,6653
2012/11/30,2022
2012/12/01,9824
2012/12/02,-8384
2012/12/03,-2241
2012/12/04,8097
2012/12/05,1598
2012/12/06,5175
2012/12/07,-4307
2012/12/08,775
2012/12/09,6928
2012/12/10,9113
2012/12/11,13227
2012/12/12,12835
2012/12/13,15393
2012/12/14,9150
2012/12/15,-5219
2012/12/16,-3936
2012/12/17,8508
2012/12/18,15697
2012/12/19,7846
2012/12/20,-895
2012/12/21,5540
2012/12/22,20349
2012/12/23,4432
2012/12/24,6412
2012/12/25,-7971
2012/12/26,691
2012/12/27,16147
2012/12/28,9852
2012/12/29,709
2012/12/30,15648
2012/12/31,-3419
2013/01/01,11271
2013/01/02,17768
2013/01/03,9903
2013/01/04,14814
2013/01/05,2429
2013/01/06,865
2013/01/07,7084
2013/01/08,6558
2013/01/09,6982
2013/01/10,15757
2013/01/11,16026
2013/01/12,3165
2013/01/13,10400
2013/01/14,12154
2013/01/15,9536
2013/01/16,12592
2013/01/17,-1698
2013/01/18,4395
2013/01/19,20200
2013/01/20,-3213
2013/01/21,-10796
2013/01/22,6992
2013/01/23,10573
2013/01/24,17446
2013/01/25,11942
2013/01/26,8579
2013/01/27,8326
2013/01/28,14067
2013/01/29,6264
2013/01/30,11160
2013/01/31,19706
2013/02/01,19955
2013/02/02,12165
2013/02/03,12542
2013/02/04,15386
2013/02/05,20372
2013/02/06,2289
2013/02/07,22592
2013/02/08,17710
2013/02/09,5215
2013/02/10,3650
2013/02/11,11886
2013/02/12,9104
2013/02/13,14516
2013/02/14,5876
2013/02/15,1970
2013/02/16,3255
2013/02/17,429
2013/02/18,-5803
2013/02/19,13119
2013/02/20,19246
2013/02/21,12132
2013/02/22,15449
2013/02/23,11657
2013/02/24,8634
2013/02/25,14730
2013/02/26,8010
2013/02/27,8723
2013/02/28,11308
2013/03/01,23317
2013/03/02,4240
2013/03/03,-4937
2013/03/04,9553
2013/03/05,-4249
2013/03/06,7764
2013/03/07,13357
2013/03/08,13288
2013/03/09,-5706
2013/03/10,12891
2013/03/11,1518
2013/03/12,-7933
2013/03/13,-902
2013/03/14,-522
2013/03/15,3685
2013/03/16,-16765
2013/03/17,-20329
2013/03/18,-7949
2013/03/19,-3509
2013/03/20,-4148
2013/03/21,986
2013/03/22,800
2013/03/23,-3043
2013/03/24,-10855
2013/03/25,-8873
2013/03/26,-8098
2013/03/27,-13864
2013/03/28,-2466
2013/03/29,1329
2013/03/30,-3830
2013/03/31,-20566
2013/04/01,-3108
2013/04/02,8797
2013/04/03,-99
2013/04/04,10009
2013/04/05,-1390
2013/04/06,-15055
2013/04/07,7680
2013/04/08,6148
2013/04/09,-6858
2013/04/10,4565
2013/04/11,19898
2013/04/12,1984
2013/04/13,-4540
2013/04/14,-7286
2013/04/15,20320
2013/04/16,32469
2013/04/17,13240
2013/04/18,546
2013/04/19,13326
2013/04/20,-7198
2013/04/21,-16307
2013/04/22,-5656
2013/04/23,10354
2013/04/24,16012
2013/04/25,13484
2013/04/26,2017
2013/04/27,-16584
2013/04/28,-20383
2013/04/29,-7421
2013/04/30,3633
2013/05/01,2604
2013/05/02,-7800
2013/05/03,-12491
2013/05/04,-16636
2013/05/05,-11048
2013/05/06,1619
2013/05/07,-6810
2013/05/08,-11251
2013/05/09,-193
2013/05/10,4019
2013/05/11,4973
2013/05/12,6743
2013/05/13,7474
2013/05/14,10998
2013/05/15,9698
2013/05/16,-6598
2013/05/17,2035
2013/05/18,5582
2013/05/19,-11727
2013/05/20,544
2013/05/21,9743
2013/05/22,4793
2013/05/23,-1885
2013/05/24,-9629
2013/05/25,-11279
2013/05/26,-14534
2013/05/27,8360
2013/05/28,15210
2013/05/29,3290
2013/05/30,9797
2013/05/31,-1005
2013/06/01,-1197
2013/06/02,-1527
2013/06/03,5559
2013/06/04,7242
2013/06/05,3202
2013/06/06,-2110
2013/06/07,1753
2013/06/08,-18573
2013/06/09,-23397
2013/06/10,-28394
2013/06/11,-15777
2013/06/12,-15120
2013/06/13,-23309
2013/06/14,-14038
2013/06/15,-25357
2013/06/16,-15789
2013/06/17,-6268
2013/06/18,-1787
2013/06/19,-1797
2013/06/20,-1430
2013/06/21,-4975
2013/06/22,-15197
2013/06/23,-16890
2013/06/24,-7020
2013/06/25,3913
2013/06/26,-7129
2013/06/27,-10951
2013/06/28,-5509
2013/06/29,-20871
2013/06/30,-23371
2013/07/01,-15127
2013/07/02,-10251
2013/07/03,-20314
2013/07/04,-22282
2013/07/05,-19525
2013/07/06,-21272
2013/07/07,-21857
2013/07/08,-8600
2013/07/09,-3665
2013/07/10,-5783
2013/07/11,-6223
2013/07/12,2402
2013/07/13,-5194
2013/07/14,-15231
2013/07/15,937
2013/07/16,-3553
2013/07/17,-5339
2013/07/18,-4868
2013/07/19,-10307
2013/07/20,-18845
2013/07/21,-11602
2013/07/22,-4604
2013/07/23,-51
2013/07/24,-1893
2013/07/25,-2088
2013/07/26,-8244
2013/07/27,-9250
2013/07/28,-12249
2013/07/29,5258
2013/07/30,11136
2013/07/31,10363
2013/08/01,11230
2013/08/02,16142
2013/08/03,10449
2013/08/04,5916
2013/08/05,17627
2013/08/06,24009
2013/08/07,17983
2013/08/08,17170
2013/08/09,10420
2013/08/10,8225
2013/08/11,-9900
2013/08/12,12199
2013/08/13,18136
2013/08/14,14902
2013/08/15,18731
2013/08/16,30492
2013/08/17,15347
2013/08/18,19615
2013/08/19,37621
2013/08/20,27781
2013/08/21,20521
2013/08/22,28305
2013/08/23,12797
2013/08/24,9250
2013/08/25,7087
2013/08/26,19216
2013/08/27,24884
2013/08/28,22935
2013/08/29,16867
2013/08/30,13064
2013/08/31,-3445
2013/09/01,-5112
2013/09/02,5475
2013/09/03,9202
2013/09/04,2004
2013/09/05,6372
