Date,price90wmaUSD
2012/02/12,5.285
2012/02/13,5.305
2012/02/14,5.312
2012/02/15,5.309
2012/02/16,5.303
2012/02/17,5.297
2012/02/18,5.29
2012/02/19,5.282
2012/02/20,5.275
2012/02/21,5.267
2012/02/22,5.259
2012/02/23,5.259
2012/02/24,5.265
2012/02/25,5.268
2012/02/26,5.268
2012/02/27,5.271
2012/02/28,5.272
2012/02/29,5.271
2012/03/01,5.271
2012/03/02,5.268
2012/03/03,5.262
2012/03/04,5.256
2012/03/05,5.255
2012/03/06,5.254
2012/03/07,5.252
2012/03/08,5.25
2012/03/09,5.246
2012/03/10,5.24
2012/03/11,5.235
2012/03/12,5.23
2012/03/13,5.228
2012/03/14,5.231
2012/03/15,5.235
2012/03/16,5.237
2012/03/17,5.238
2012/03/18,5.238
2012/03/19,5.231
2012/03/20,5.219
2012/03/21,5.208
2012/03/22,5.195
2012/03/23,5.181
2012/03/24,5.167
2012/03/25,5.151
2012/03/26,5.134
2012/03/27,5.12
2012/03/28,5.107
2012/03/29,5.094
2012/03/30,5.082
2012/03/31,5.071
2012/04/01,5.059
2012/04/02,5.048
2012/04/03,5.039
2012/04/04,5.029
2012/04/05,5.02
2012/04/06,5.011
2012/04/07,5
2012/04/08,4.987
2012/04/09,4.978
2012/04/10,4.969
2012/04/11,4.961
2012/04/12,4.955
2012/04/13,4.948
2012/04/14,4.943
2012/04/15,4.939
2012/04/16,4.935
2012/04/17,4.932
2012/04/18,4.93
2012/04/19,4.931
2012/04/20,4.934
2012/04/21,4.94
2012/04/22,4.944
2012/04/23,4.944
2012/04/24,4.944
2012/04/25,4.946
2012/04/26,4.948
2012/04/27,4.95
2012/04/28,4.95
2012/04/29,4.949
2012/04/30,4.947
2012/05/01,4.947
2012/05/02,4.948
2012/05/03,4.95
2012/05/04,4.953
2012/05/05,4.955
2012/05/06,4.958
2012/05/07,4.96
2012/05/08,4.963
2012/05/09,4.966
2012/05/10,4.966
2012/05/11,4.966
2012/05/12,4.967
2012/05/13,4.968
2012/05/14,4.969
2012/05/15,4.972
2012/05/16,4.976
2012/05/17,4.98
2012/05/18,4.984
2012/05/19,4.988
2012/05/20,4.992
2012/05/21,4.995
2012/05/22,4.998
2012/05/23,5.002
2012/05/24,5.005
2012/05/25,5.009
2012/05/26,5.012
2012/05/27,5.015
2012/05/28,5.018
2012/05/29,5.022
2012/05/30,5.026
2012/05/31,5.029
2012/06/01,5.035
2012/06/02,5.041
2012/06/03,5.046
2012/06/04,5.051
2012/06/05,5.059
2012/06/06,5.068
2012/06/07,5.079
2012/06/08,5.092
2012/06/09,5.105
2012/06/10,5.115
2012/06/11,5.125
2012/06/12,5.139
2012/06/13,5.156
2012/06/14,5.175
2012/06/15,5.2
2012/06/16,5.23
2012/06/17,5.257
2012/06/18,5.282
2012/06/19,5.311
2012/06/20,5.342
2012/06/21,5.376
2012/06/22,5.407
2012/06/23,5.435
2012/06/24,5.461
2012/06/25,5.484
2012/06/26,5.509
2012/06/27,5.537
2012/06/28,5.566
2012/06/29,5.595
2012/06/30,5.624
2012/07/01,5.653
2012/07/02,5.681
2012/07/03,5.708
2012/07/04,5.731
2012/07/05,5.756
2012/07/06,5.783
2012/07/07,5.81
2012/07/08,5.839
2012/07/09,5.869
2012/07/10,5.904
2012/07/11,5.939
2012/07/12,5.98
2012/07/13,6.026
2012/07/14,6.068
2012/07/15,6.11
2012/07/16,6.162
2012/07/17,6.226
