Date,mining_profitability30var
2011/07/14,24821443
2011/07/15,17340045
2011/07/16,17493703
2011/07/17,16495003
2011/07/18,15019758
2011/07/19,13040152
2011/07/20,10859971
2011/07/21,8004326
2011/07/22,5636333
2011/07/23,3087257
2011/07/24,2620455
2011/07/25,2644087
2011/07/26,2461803
2011/07/27,2141034
2011/07/28,1921267
2011/07/29,1601271
2011/07/30,1181063
2011/07/31,1097358
2011/08/01,1087914
2011/08/02,1036817
2011/08/03,1075555
2011/08/04,1504782
2011/08/05,1583951
2011/08/06,2131076
2011/08/07,2380214
2011/08/08,2729902
2011/08/09,2892182
2011/08/10,2903991
2011/08/11,2983920
2011/08/12,2834556
2011/08/13,2951290
2011/08/14,2802224
2011/08/15,2787224
2011/08/16,2567664
2011/08/17,2416410
2011/08/18,2406619
2011/08/19,2245585
2011/08/20,2164120
2011/08/21,2058582
2011/08/22,1972636
2011/08/23,1808876
2011/08/24,1653377
2011/08/25,1403114
2011/08/26,1313533
2011/08/27,1294626
2011/08/28,1108014
2011/08/29,925851
2011/08/30,671884
2011/08/31,616641
2011/09/01,598387
2011/09/02,595194
2011/09/03,597608
2011/09/04,604130
2011/09/05,559261
2011/09/06,536960
2011/09/07,606748
2011/09/08,669351
2011/09/09,754917
2011/09/10,990792
2011/09/11,1172265
2011/09/12,1237851
2011/09/13,1282706
2011/09/14,1358413
2011/09/15,1298801
2011/09/16,1412663
2011/09/17,1434999
2011/09/18,1444918
2011/09/19,1301435
2011/09/20,1092756
2011/09/21,995177
2011/09/22,933937
2011/09/23,867013
2011/09/24,753780
2011/09/25,724884
2011/09/26,728342
2011/09/27,713670
2011/09/28,603624
2011/09/29,556009
2011/09/30,504801
2011/10/01,473604
2011/10/02,389348
2011/10/03,317895
2011/10/04,262556
2011/10/05,177659
2011/10/06,152468
2011/10/07,144120
2011/10/08,141561
2011/10/09,133387
2011/10/10,136001
2011/10/11,164250
2011/10/12,151862
2011/10/13,147435
2011/10/14,142895
2011/10/15,142121
2011/10/16,143432
2011/10/17,159471
2011/10/18,199429
2011/10/19,237429
2011/10/20,256280
2011/10/21,275659
2011/10/22,283610
2011/10/23,281291
2011/10/24,268130
2011/10/25,273140
2011/10/26,275551
2011/10/27,285458
2011/10/28,270345
2011/10/29,268593
2011/10/30,263324
2011/10/31,224687
2011/11/01,232494
