Date,activeaddresses
2012/09/13,35076
2012/09/14,38275
2012/09/15,30026
2012/09/16,31573
2012/09/17,33060
2012/09/18,38784
2012/09/19,42881
2012/09/20,47273
2012/09/21,39199
2012/09/22,27315
2012/09/23,28638
2012/09/24,33439
2012/09/25,43270
2012/09/26,48268
2012/09/27,42082
2012/09/28,50027
2012/09/29,38447
2012/09/30,34670
2012/10/01,37976
2012/10/02,53173
2012/10/03,50098
2012/10/04,51805
2012/10/05,44533
2012/10/06,38960
2012/10/07,43397
2012/10/08,47641
2012/10/09,52277
2012/10/10,47356
2012/10/11,41233
2012/10/12,44614
2012/10/13,39433
2012/10/14,38585
2012/10/15,46286
2012/10/16,43060
2012/10/17,44820
2012/10/18,51052
2012/10/19,45193
2012/10/20,43223
2012/10/21,38803
2012/10/22,41483
2012/10/23,41451
2012/10/24,41859
2012/10/25,39575
2012/10/26,37807
2012/10/27,29747
2012/10/28,27647
2012/10/29,35693
2012/10/30,34459
2012/10/31,32174
2012/11/01,31735
2012/11/02,33141
2012/11/03,32718
2012/11/04,30663
2012/11/05,37581
2012/11/06,41149
2012/11/07,43505
2012/11/08,37672
2012/11/09,36730
2012/11/10,34730
2012/11/11,30159
2012/11/12,31553
2012/11/13,32687
2012/11/14,37764
2012/11/15,46301
2012/11/16,48298
2012/11/17,52911
2012/11/18,42936
2012/11/19,42408
2012/11/20,43756
2012/11/21,44124
2012/11/22,41377
2012/11/23,35206
2012/11/24,37101
2012/11/25,36273
2012/11/26,41336
2012/11/27,38562
2012/11/28,43851
2012/11/29,41957
2012/11/30,37110
2012/12/01,34731
2012/12/02,27797
2012/12/03,30145
2012/12/04,42413
2012/12/05,44487
2012/12/06,41024
2012/12/07,40895
2012/12/08,38315
2012/12/09,38898
2012/12/10,35935
2012/12/11,37042
2012/12/12,42715
2012/12/13,46174
2012/12/14,41673
2012/12/15,34598
2012/12/16,35746
2012/12/17,40994
2012/12/18,48138
2012/12/19,43758
2012/12/20,39542
2012/12/21,46127
2012/12/22,55142
2012/12/23,39930
2012/12/24,40024
2012/12/25,30286
2012/12/26,38108
2012/12/27,36567
2012/12/28,42407
2012/12/29,39996
2012/12/30,45779
2012/12/31,34737
2013/01/01,37846
2013/01/02,43104
2013/01/03,51268
2013/01/04,47341
2013/01/05,53417
2013/01/06,42211
2013/01/07,54056
2013/01/08,56022
2013/01/09,56161
2013/01/10,61185
2013/01/11,61054
2013/01/12,50736
2013/01/13,55503
2013/01/14,44312
2013/01/15,57627
2013/01/16,58423
2013/01/17,58918
2013/01/18,57056
2013/01/19,49357
2013/01/20,46087
2013/01/21,45937
2013/01/22,53483
2013/01/23,47347
2013/01/24,60698
2013/01/25,49558
2013/01/26,54647
2013/01/27,49578
2013/01/28,54294
2013/01/29,55616
2013/01/30,44535
2013/01/31,47844
2013/02/01,64410
2013/02/02,56581
2013/02/03,57504
2013/02/04,57371
2013/02/05,59937
2013/02/06,53658
2013/02/07,58309
2013/02/08,60204
2013/02/09,56349
2013/02/10,57584
2013/02/11,52289
2013/02/12,51859
2013/02/13,53161
2013/02/14,51475
2013/02/15,50142
2013/02/16,47112
2013/02/17,45575
2013/02/18,47236
2013/02/19,49400
2013/02/20,50783
2013/02/21,50633
2013/02/22,54319
2013/02/23,51375
2013/02/24,52050
2013/02/25,56628
2013/02/26,58809
2013/02/27,55051
2013/02/28,59805
2013/03/01,63070
2013/03/02,49229
2013/03/03,46060
2013/03/04,53538
2013/03/05,57394
2013/03/06,69151
2013/03/07,66367
2013/03/08,56595
2013/03/09,54122
2013/03/10,56994
2013/03/11,53527
2013/03/12,59741
