Date,confirmationtime30roc
2012/02/12,-11.392
2012/02/13,9.489
2012/02/14,0.725
2012/02/15,30.597
2012/02/16,13.768
2012/02/17,-15.789
2012/02/18,-12.281
2012/02/19,-8.228
2012/02/20,17.143
2012/02/21,5.426
2012/02/22,6.918
2012/02/23,-16.265
2012/02/24,-0.671
2012/02/25,-16.364
2012/02/26,-6
2012/02/27,-5.844
2012/02/28,4.375
2012/02/29,-3.911
2012/03/01,-0.662
2012/03/02,5.224
2012/03/03,40.708
2012/03/04,15.328
2012/03/05,8.276
2012/03/06,3.65
2012/03/07,-5.195
2012/03/08,-12.179
2012/03/09,-13.69
2012/03/10,-12.121
2012/03/11,2.985
2012/03/12,-9.639
2012/03/13,-1.25
2012/03/14,0
2012/03/15,14.05
2012/03/16,-12.418
2012/03/17,-18.824
2012/03/18,-5
2012/03/19,19.58
2012/03/20,-1.25
2012/03/21,-11.392
2012/03/22,-18.354
2012/03/23,26.19
2012/03/24,-9.783
2012/03/25,-5.096
2012/03/26,9.272
2012/03/27,-3.846
2012/03/28,2.667
2012/03/29,13.475
2012/03/30,16.234
2012/03/31,-11.176
2012/04/01,-5.634
2012/04/02,-2.586
2012/04/03,3.008
2012/04/04,5.839
2012/04/05,17.094
2012/04/06,13.235
2012/04/07,20.93
2012/04/08,12
2012/04/09,13.014
2012/04/10,-8.844
2012/04/11,17.73
2012/04/12,25.984
2012/04/13,11.382
2012/04/14,-12.95
2012/04/15,42.991
2012/04/16,13.333
2012/04/17,18.519
2012/04/18,10
2012/04/19,1.911
2012/04/20,2.597
2012/04/21,2.597
2012/04/22,-10
2012/04/23,36.296
2012/04/24,13.768
2012/04/25,18.898
2012/04/26,0.645
2012/04/27,11.111
2012/04/28,-7.237
2012/04/29,-13.966
2012/04/30,-5.028
2012/05/01,-16.471
2012/05/02,-22.667
2012/05/03,-15.287
2012/05/04,-14.907
2012/05/05,-29.94
2012/05/06,-17.073
2012/05/07,-24.118
2012/05/08,-14.773
2012/05/09,-12.048
2012/05/10,13.953
2012/05/11,-1.399
2012/05/12,-0.781
2012/05/13,-12.143
2012/05/14,0
2012/05/15,-17.692
2012/05/16,23.967
2012/05/17,16.379
2012/05/18,-10.345
2012/05/19,5.369
2012/05/20,11.594
2012/05/21,22.222
2012/05/22,21.739
2012/05/23,3.846
2012/05/24,10.4
2012/05/25,4.959
2012/05/26,9.155
2012/05/27,-15.094
2012/05/28,7.042
2012/05/29,42.063
2012/05/30,36.641
2012/05/31,23.188
2012/06/01,-1.316
2012/06/02,-1.875
2012/06/03,5.229
2012/06/04,7.742
2012/06/05,11.565
2012/06/06,11.111
2012/06/07,26.619
2012/06/08,17.73
2012/06/09,-24.561
2012/06/10,-13.855
2012/06/11,-8.571
2012/06/12,-10.256
2012/06/13,-7.333
2012/06/14,-16.667
2012/06/15,-23.899
2012/06/16,-25.641
2012/06/17,-11.585
2012/06/18,-14.857
2012/06/19,-6.122
2012/06/20,-13.103
2012/06/21,-15.441
2012/06/22,-5.797
2012/06/23,-23.78
2012/06/24,-7.634
2012/06/25,-7.792
2012/06/26,6.711
2012/06/27,-12.883
2012/06/28,-8.029
2012/06/29,-10.274
2012/06/30,4.545
2012/07/01,7.042
2012/07/02,5.263
2012/07/03,-4.375
2012/07/04,3.333
2012/07/05,2.083
2012/07/06,-1.29
2012/07/07,-16.265
2012/07/08,-7.843
2012/07/09,4.908
2012/07/10,10.667
2012/07/11,4.478
2012/07/12,4
2012/07/13,-7.975
2012/07/14,-3.106
2012/07/15,13.571
2012/07/16,4
2012/07/17,-4.651
2012/07/18,12.903
2012/07/19,8.889
2012/07/20,-2.027
2012/07/21,-3.546
2012/07/22,-10.968
2012/07/23,16.312
2012/07/24,-18.634
2012/07/25,-3.75
2012/07/26,-11.834
2012/07/27,-8.427
2012/07/28,-10.458
2012/07/29,-12.048
2012/07/30,-25
2012/07/31,9.231
2012/08/01,13.433
2012/08/02,-3.03
2012/08/03,-7.407
2012/08/04,-7.692
2012/08/05,11.511
2012/08/06,18.571
2012/08/07,-6.707
2012/08/08,-1.807
2012/08/09,-11.765
2012/08/10,-14.103
2012/08/11,-10.714
2012/08/12,2.516
2012/08/13,0.625
2012/08/14,-10.828
2012/08/15,-10.18
2012/08/16,11.688
2012/08/17,12.319
2012/08/18,-10.596
2012/08/19,-18.681
2012/08/20,-18.966
2012/08/21,-10.405
2012/08/22,-9.615
2012/08/23,-2.424
2012/08/24,8.108
2012/08/25,22.464
2012/08/26,-0.559
2012/08/27,5.517
2012/08/28,9.934
2012/08/29,4.762
2012/08/30,-15.584
2012/08/31,-4.286
2012/09/01,2.484
2012/09/02,-1.22
2012/09/03,-0.637
2012/09/04,-9.15
2012/09/05,-22.222
2012/09/06,-4.094
2012/09/07,-1.19
2012/09/08,17.241
2012/09/09,-1.887
2012/09/10,12
2012/09/11,9.655
2012/09/12,3.226
2012/09/13,20.769
2012/09/14,3.086
2012/09/15,6.944
2012/09/16,-14.286
2012/09/17,-10.119
2012/09/18,8.982
2012/09/19,23.404
2012/09/20,13.816
2012/09/21,-7.692
2012/09/22,5.096
2012/09/23,-6.329
2012/09/24,-9.804
2012/09/25,28.777
2012/09/26,3.571
2012/09/27,-6.211
2012/09/28,6.329
2012/09/29,-8.333
2012/09/30,-11.95
2012/10/01,22.901
2012/10/02,12.329
2012/10/03,18.045
2012/10/04,16.794
2012/10/05,32.353
2012/10/06,10.323
2012/10/07,34.4
2012/10/08,-18.539
2012/10/09,11.972
2012/10/10,0.671
2012/10/11,5.072
2012/10/12,4.027
2012/10/13,-12.162
2012/10/14,27.559
2012/10/15,-14.793
2012/10/16,3.871
2012/10/17,18.31
2012/10/18,6.369
2012/10/19,4.444
2012/10/20,-3.797
2012/10/21,4.969
2012/10/22,0
2012/10/23,21.538
2012/10/24,-5.556
2012/10/25,-2.797
2012/10/26,-15.152
2012/10/27,-8
2012/10/28,-4.819
2012/10/29,6.329
2012/10/30,11.189
2012/10/31,-9.028
2012/11/01,6.569
2012/11/02,-6.993
2012/11/03,-10.274
2012/11/04,-13.376
2012/11/05,-3.125
2012/11/06,-7.407
2012/11/07,13.376
2012/11/08,-7.792
2012/11/09,-1.974
2012/11/10,-4.167
2012/11/11,1.361
2012/11/12,12.121
2012/11/13,-9.286
2012/11/14,18.182
2012/11/15,13.971
2012/11/16,-2.069
2012/11/17,12.143
2012/11/18,-7.534
2012/11/19,8.219
2012/11/20,9.524
2012/11/21,3.289
2012/11/22,-9.722
2012/11/23,-0.613
2012/11/24,-5.298
2012/11/25,13.014
2012/11/26,11.465
2012/11/27,12.162
2012/11/28,-8.14
2012/11/29,-13.855
2012/11/30,15.2
2012/12/01,-17.964
2012/12/02,0
2012/12/03,-0.68
2012/12/04,40.179
2012/12/05,31.148
2012/12/06,-1.46
2012/12/07,21.705
2012/12/08,11.594
2012/12/09,20.635
2012/12/10,0.699
2012/12/11,2.083
2012/12/12,1.538
2012/12/13,6.87
2012/12/14,34.906
2012/12/15,17.241
2012/12/16,30.631
2012/12/17,4.478
2012/12/18,16.8
2012/12/19,2.817
2012/12/20,38.679
2012/12/21,20.635
2012/12/22,-5.882
2012/12/23,33.607
2012/12/24,14.394
2012/12/25,17.742
2012/12/26,1.948
2012/12/27,-5.128
2012/12/28,1.775
2012/12/29,15.278
2012/12/30,-24.699
2012/12/31,5.696
2013/01/01,-11.728
2013/01/02,-3.922
2013/01/03,-30.864
2013/01/04,-20.261
2013/01/05,-2.837
2013/01/06,-11.034
2013/01/07,-17.857
2013/01/08,-5.263
2013/01/09,10
2013/01/10,-2.041
2013/01/11,11.111
2013/01/12,7.377
2013/01/13,-20.301
2013/01/14,-26.115
2013/01/15,-8.264
2013/01/16,2.29
2013/01/17,12.613
2013/01/18,17.355
2013/01/19,-31.169
2013/01/20,-3.077
2013/01/21,15.909
2013/01/22,-15.278
2013/01/23,4.762
2013/01/24,-20.513
2013/01/25,12.409
2013/01/26,0
2013/01/27,11.921
2013/01/28,-2.041
2013/01/29,5.063
2013/01/30,3.268
2013/01/31,-16.062
2013/02/01,4.082
2013/02/02,5.882
2013/02/03,-17.742
2013/02/04,-14.024
2013/02/05,-13.174
2013/02/06,15.068
2013/02/07,-13.636
2013/02/08,-13.907
2013/02/09,2.797
2013/02/10,-27.329
2013/02/11,-23.27
2013/02/12,-4.317
2013/02/13,-8.187
2013/02/14,-19.868
2013/02/15,-26.816
2013/02/16,-41.27
2013/02/17,-35.638
2013/02/18,-4.348
2013/02/19,-18.239
2013/02/20,-31.606
2013/02/21,-18.182
2013/02/22,-25.882
2013/02/23,-4.878
2013/02/24,-12.179
2013/02/25,-23.529
2013/02/26,-9.036
2013/02/27,-23.834
2013/02/28,-5.952
2013/03/01,0.658
2013/03/02,33.103
2013/03/03,-8.696
2013/03/04,-14.525
2013/03/05,33.813
2013/03/06,5.806
2013/03/07,4.375
2013/03/08,-8.75
2013/03/09,-8.876
2013/03/10,-17.486
2013/03/11,-12.805
2013/03/12,19.259
2013/03/13,1.274
2013/03/14,-22.346
2013/03/15,-0.581
2013/03/16,-13.714
2013/03/17,-14.354
2013/03/18,-0.526
2013/03/19,10.588
2013/03/20,-23.697
2013/03/21,-27.064
2013/03/22,-15.721
2013/03/23,-18.894
2013/03/24,-10.053
2013/03/25,13.889
2013/03/26,3.311
2013/03/27,55.725
2013/03/28,-9.29
2013/03/29,10.92
2013/03/30,-2.89
2013/03/31,-10.059
2013/04/01,-26.768
2013/04/02,-11.05
2013/04/03,2.286
2013/04/04,-9.74
2013/04/05,-1.899
2013/04/06,-1.84
2013/04/07,-2.439
2013/04/08,9.032
2013/04/09,3.977
2013/04/10,-14.136
2013/04/11,-15.625
2013/04/12,-9.249
2013/04/13,7.186
2013/04/14,12.418
2013/04/15,6.707
2013/04/16,18.079
2013/04/17,11.111
2013/04/18,15.646
2013/04/19,54.015
2013/04/20,41.558
2013/04/21,30.114
2013/04/22,41.83
2013/04/23,12.5
2013/04/24,-11.111
2013/04/25,-12.209
2013/04/26,-23.392
2013/04/27,24.49
2013/04/28,-1.695
2013/04/29,-0.575
2013/04/30,13.423
2013/05/01,31.126
2013/05/02,35.075
2013/05/03,27.737
2013/05/04,-3.145
2013/05/05,-4.242
2013/05/06,-1.807
