Date,mediantransactionvalue3rsiUSD
2011/12/15,52.613
2011/12/16,58.189
2011/12/17,32.551
2011/12/18,21.556
2011/12/19,60.904
2011/12/20,76.427
2011/12/21,53.69
2011/12/22,52.383
2011/12/23,22.086
2011/12/24,33.693
2011/12/25,49.715
2011/12/26,59.547
2011/12/27,44.097
2011/12/28,79.452
2011/12/29,48.924
2011/12/30,58.542
2011/12/31,61.411
2012/01/01,77.827
2012/01/02,40.552
2012/01/03,51.625
2012/01/04,72.392
2012/01/05,82.939
2012/01/06,93.291
2012/01/07,64.86
2012/01/08,55.266
2012/01/09,46.201
2012/01/10,19.727
2012/01/11,27.077
2012/01/12,25.035
2012/01/13,30.933
2012/01/14,28.205
2012/01/15,15.687
2012/01/16,38.555
2012/01/17,69.05
2012/01/18,86.967
2012/01/19,77.468
2012/01/20,62.159
2012/01/21,77.277
2012/01/22,83.463
2012/01/23,51.583
2012/01/24,23.893
2012/01/25,17.261
2012/01/26,32.398
2012/01/27,24.411
2012/01/28,23.941
2012/01/29,11.194
2012/01/30,79.033
2012/01/31,60.212
2012/02/01,51.58
2012/02/02,33.579
2012/02/03,70.248
2012/02/04,42.019
2012/02/05,37.077
2012/02/06,37.791
2012/02/07,28.53
2012/02/08,46.421
2012/02/09,23.62
2012/02/10,13.029
2012/02/11,33.688
2012/02/12,53.879
2012/02/13,48.592
2012/02/14,25.98
2012/02/15,13.057
2012/02/16,12.094
2012/02/17,77.98
2012/02/18,66.552
2012/02/19,48.548
2012/02/20,44.147
2012/02/21,64.751
2012/02/22,70.558
2012/02/23,36.644
2012/02/24,65.302
2012/02/25,72.148
2012/02/26,59.916
2012/02/27,45.915
2012/02/28,62.232
2012/02/29,47.652
2012/03/01,60.674
2012/03/02,45.809
2012/03/03,37.833
2012/03/04,34.595
2012/03/05,19.644
2012/03/06,43.141
2012/03/07,70.059
2012/03/08,69.137
2012/03/09,76.961
2012/03/10,34.37
2012/03/11,23.072
2012/03/12,74.853
2012/03/13,45.734
2012/03/14,71.062
2012/03/15,45.442
2012/03/16,59.272
2012/03/17,26.672
2012/03/18,41.434
2012/03/19,51.586
2012/03/20,57.489
2012/03/21,68.333
2012/03/22,63.819
2012/03/23,29.817
2012/03/24,57.989
2012/03/25,32.298
2012/03/26,35.574
2012/03/27,44.259
2012/03/28,60.088
2012/03/29,75.262
2012/03/30,90.312
2012/03/31,61.493
2012/04/01,41.278
2012/04/02,25.158
2012/04/03,44.663
2012/04/04,45.115
2012/04/05,41.765
2012/04/06,69.81
2012/04/07,30.73
2012/04/08,25.05
2012/04/09,58.216
2012/04/10,21.107
2012/04/11,54.866
2012/04/12,66.176
2012/04/13,76.378
2012/04/14,39.058
2012/04/15,30.883
2012/04/16,58.938
2012/04/17,73.179
2012/04/18,48.193
2012/04/19,54.644
2012/04/20,76.442
2012/04/21,42.229
2012/04/22,31.435
2012/04/23,33.577
2012/04/24,57.249
2012/04/25,29.493
2012/04/26,23.616
