Date,mining_profitability30mom
2012/07/26,983.978
2012/07/27,1240
2012/07/28,510.022
2012/07/29,1386
2012/07/30,660.074
2012/07/31,72.09
2012/08/01,781.6
2012/08/02,1319
2012/08/03,1602
2012/08/04,1665
2012/08/05,1038
2012/08/06,1332
2012/08/07,2341
2012/08/08,1666
2012/08/09,1519
2012/08/10,1518
2012/08/11,1182
2012/08/12,738.555
2012/08/13,1230
2012/08/14,1451
2012/08/15,1194
2012/08/16,753.782
2012/08/17,763.647
2012/08/18,1317
2012/08/19,246.273
2012/08/20,-742.296
2012/08/21,-592.674
2012/08/22,328.459
2012/08/23,-217.503
2012/08/24,-407.573
2012/08/25,-320.742
2012/08/26,-387.211
2012/08/27,-124.32
2012/08/28,-721.551
2012/08/29,283.098
2012/08/30,203.054
2012/08/31,-527.477
2012/09/01,-1180
2012/09/02,-695.467
2012/09/03,-1446
2012/09/04,-302.483
2012/09/05,-798.601
2012/09/06,-1746
2012/09/07,-1560
2012/09/08,-1699
2012/09/09,-853.835
2012/09/10,-1688
2012/09/11,-1452
2012/09/12,-938.929
2012/09/13,-1588
2012/09/14,-1514
2012/09/15,-1496
2012/09/16,-799.438
2012/09/17,-1190
2012/09/18,-876.452
2012/09/19,340.038
2012/09/20,364.038
2012/09/21,-94.399
2012/09/22,-662.033
2012/09/23,191.101
2012/09/24,-140.362
2012/09/25,-967.711
2012/09/26,335.569
2012/09/27,199.127
2012/09/28,-515.234
2012/09/29,313.699
2012/09/30,101.905
2012/10/01,-355.641
2012/10/02,210.588
2012/10/03,26.847
2012/10/04,-439.798
2012/10/05,-273.924
2012/10/06,369.742
2012/10/07,-537.641
2012/10/08,623.137
2012/10/09,-851.397
2012/10/10,-116.189
2012/10/11,-152.425
2012/10/12,-600.11
2012/10/13,200.28
2012/10/14,-909.368
2012/10/15,-33.223
2012/10/16,-803.243
2012/10/17,-780.499
2012/10/18,-198.593
2012/10/19,-855.167
2012/10/20,-391.097
2012/10/21,-790.866
2012/10/22,-34.393
2012/10/23,-1164
2012/10/24,-77.481
2012/10/25,-172.034
2012/10/26,-695.795
2012/10/27,-1589
2012/10/28,-607.225
2012/10/29,-1256
2012/10/30,-1175
2012/10/31,-463.172
2012/11/01,-1360
2012/11/02,-767.392
2012/11/03,-1011
2012/11/04,-958.292
2012/11/05,-1205
2012/11/06,-479.096
2012/11/07,-934.591
2012/11/08,-456.391
2012/11/09,-564.567
2012/11/10,-686.923
2012/11/11,-616.701
2012/11/12,-973.277
2012/11/13,-69.689
2012/11/14,-1124
2012/11/15,-643
2012/11/16,-102.579
2012/11/17,-751.025
2012/11/18,-24.134
2012/11/19,-403.118
2012/11/20,-400.998
2012/11/21,-276.964
2012/11/22,51.738
2012/11/23,-4.817
2012/11/24,-158.63
2012/11/25,-62.545
2012/11/26,395.632
2012/11/27,13.922
2012/11/28,-132.45
2012/11/29,-1317
2012/11/30,-1748
2012/12/01,-1242
2012/12/02,-1504
2012/12/03,-1421
2012/12/04,-1584
2012/12/05,-1360
2012/12/06,-1045
2012/12/07,-1589
2012/12/08,-1221
2012/12/09,-1496
2012/12/10,-938.182
2012/12/11,-1337
2012/12/12,-1176
2012/12/13,-1407
2012/12/14,-1351
2012/12/15,-1039
2012/12/16,-1700
2012/12/17,-1155
2012/12/18,-1370
2012/12/19,-1811
2012/12/20,-1531
2012/12/21,-1491
2012/12/22,-1043
2012/12/23,-2554
2012/12/24,-1358
2012/12/25,-1725
2012/12/26,-1185
2012/12/27,-1317
2012/12/28,-847.984
2012/12/29,385.14
2012/12/30,843.921
2012/12/31,42.686
2013/01/01,535.18
2013/01/02,392.354
2013/01/03,597.989
2013/01/04,197.032
2013/01/05,33.379
2013/01/06,342.608
2013/01/07,500.217
2013/01/08,-78.508
2013/01/09,-2.727
2013/01/10,201.005
2013/01/11,72.689
2013/01/12,210.296
2013/01/13,434.326
2013/01/14,183.859
2013/01/15,19.223
2013/01/16,131.24
2013/01/17,46.961
2013/01/18,403.417
2013/01/19,847.018
2013/01/20,206.589
2013/01/21,-26.593
2013/01/22,1160
2013/01/23,395.237
2013/01/24,1222
2013/01/25,240.829
2013/01/26,1031
2013/01/27,569.093
2013/01/28,766.885
