Date,transactionvalue7smaUSD
2012/12/15,834.393
2012/12/16,846.559
2012/12/17,874.936
2012/12/18,880.534
2012/12/19,739.695
2012/12/20,613.51
2012/12/21,539.342
2012/12/22,492.815
2012/12/23,441.933
2012/12/24,415.106
2012/12/25,364.913
2012/12/26,349.164
2012/12/27,334.332
2012/12/28,305.91
2012/12/29,303.459
2012/12/30,290.447
2012/12/31,321.523
2013/01/01,370.842
2013/01/02,430.878
2013/01/03,472.858
2013/01/04,519.525
2013/01/05,569.238
2013/01/06,599.433
2013/01/07,581.589
2013/01/08,598.581
2013/01/09,582.883
2013/01/10,555.132
2013/01/11,515.145
2013/01/12,458.24
2013/01/13,431.449
2013/01/14,411.998
2013/01/15,398.271
2013/01/16,405.433
2013/01/17,436.223
2013/01/18,459.357
2013/01/19,476.486
2013/01/20,504.326
2013/01/21,518.56
2013/01/22,505.288
2013/01/23,546.444
2013/01/24,550.314
2013/01/25,554.154
2013/01/26,557.044
2013/01/27,559.108
2013/01/28,576.654
2013/01/29,621.417
2013/01/30,672.636
2013/01/31,674.641
2013/02/01,685.344
2013/02/02,693.497
2013/02/03,692.82
2013/02/04,715.953
2013/02/05,699.541
2013/02/06,650.391
2013/02/07,649.322
2013/02/08,674.02
2013/02/09,705.321
2013/02/10,721.037
2013/02/11,693.974
2013/02/12,661.003
2013/02/13,604.71
2013/02/14,625.112
2013/02/15,599.073
2013/02/16,590.006
2013/02/17,596.71
2013/02/18,611.58
2013/02/19,642.257
2013/02/20,653.676
2013/02/21,626.119
2013/02/22,645.263
2013/02/23,643.721
2013/02/24,679.053
2013/02/25,700.578
2013/02/26,702.082
2013/02/27,726.527
2013/02/28,753.649
2013/03/01,768.766
2013/03/02,803.653
2013/03/03,760.355
2013/03/04,718.602
2013/03/05,789.769
2013/03/06,888.47
2013/03/07,924.771
2013/03/08,931.077
2013/03/09,917.797
2013/03/10,944.915
2013/03/11,981.495
2013/03/12,996.885
2013/03/13,952.929
2013/03/14,937.469
2013/03/15,1340
2013/03/16,1652
2013/03/17,1705
2013/03/18,2168
2013/03/19,2284
2013/03/20,2457
2013/03/21,2666
2013/03/22,2371
2013/03/23,2192
2013/03/24,2211
2013/03/25,1950
2013/03/26,2026
2013/03/27,2272
2013/03/28,2303
2013/03/29,2358
2013/03/30,2496
2013/03/31,2761
2013/04/01,2821
2013/04/02,3064
2013/04/03,3122
2013/04/04,3363
2013/04/05,3695
