Date,transactionfees7rsiUSD
2012/03/11,44.599
2012/03/12,47.595
2012/03/13,73.796
2012/03/14,50.426
2012/03/15,46.259
2012/03/16,61.346
2012/03/17,45.213
2012/03/18,45.527
2012/03/19,47.102
2012/03/20,48.136
2012/03/21,43.103
2012/03/22,43.864
2012/03/23,49.304
2012/03/24,76.105
2012/03/25,51.939
2012/03/26,44.307
2012/03/27,46.377
2012/03/28,47.303
2012/03/29,45.668
2012/03/30,47.025
2012/03/31,49.454
2012/04/01,48.138
2012/04/02,46.927
2012/04/03,47.676
2012/04/04,49.027
2012/04/05,49.053
2012/04/06,50.656
2012/04/07,43.868
2012/04/08,46.532
2012/04/09,42.603
2012/04/10,57.877
2012/04/11,48.409
2012/04/12,53.79
2012/04/13,43.839
2012/04/14,54.154
2012/04/15,41.432
2012/04/16,51.556
2012/04/17,58.674
2012/04/18,51.887
2012/04/19,53.473
2012/04/20,60.763
2012/04/21,49.947
2012/04/22,53.757
2012/04/23,43.518
2012/04/24,56.126
2012/04/25,50.155
2012/04/26,67.931
2012/04/27,55.367
2012/04/28,53.553
2012/04/29,39.272
2012/04/30,40.01
2012/05/01,45.536
2012/05/02,47.608
2012/05/03,53.386
2012/05/04,49.749
2012/05/05,42.817
2012/05/06,46.307
2012/05/07,50.999
2012/05/08,48.425
2012/05/09,56.236
2012/05/10,50.039
2012/05/11,42.628
2012/05/12,40.033
2012/05/13,55.262
2012/05/14,64.62
2012/05/15,60.309
2012/05/16,47.001
2012/05/17,45.563
2012/05/18,46.337
2012/05/19,60.29
2012/05/20,42.96
2012/05/21,42.025
2012/05/22,37.925
2012/05/23,49.766
2012/05/24,52.23
2012/05/25,47.251
2012/05/26,47.55
2012/05/27,47.166
2012/05/28,45.982
2012/05/29,37.957
2012/05/30,56.323
2012/05/31,43.851
2012/06/01,45.787
2012/06/02,41.974
2012/06/03,42.983
2012/06/04,50
2012/06/05,57.653
2012/06/06,62.273
2012/06/07,53.549
2012/06/08,60.146
2012/06/09,59.188
2012/06/10,47.222
2012/06/11,39.776
2012/06/12,50.758
2012/06/13,59.12
2012/06/14,54.122
2012/06/15,56.219
2012/06/16,63.267
2012/06/17,53.557
2012/06/18,66.516
2012/06/19,66.969
2012/06/20,64.725
2012/06/21,88.941
2012/06/22,60.282
2012/06/23,53.841
2012/06/24,45.194
2012/06/25,40.403
2012/06/26,43.716
2012/06/27,43.791
2012/06/28,44.917
2012/06/29,39.171
2012/06/30,49.34
2012/07/01,40.406
2012/07/02,58.094
2012/07/03,45.139
2012/07/04,46.393
2012/07/05,48.045
2012/07/06,56.205
2012/07/07,83.976
2012/07/08,45.912
2012/07/09,48.16
2012/07/10,50.09
2012/07/11,48.099
2012/07/12,46.998
2012/07/13,48.993
2012/07/14,52.555
2012/07/15,52.305
2012/07/16,55.302
2012/07/17,50.557
2012/07/18,65.4
2012/07/19,53.865
2012/07/20,67.914
2012/07/21,46.782
2012/07/22,44.459
2012/07/23,50.33
2012/07/24,46.275
2012/07/25,46.226
2012/07/26,49.334
2012/07/27,52.217
2012/07/28,48.55
2012/07/29,44.703
2012/07/30,49.245
2012/07/31,44.62
2012/08/01,58.466
2012/08/02,56.296
2012/08/03,75.558
2012/08/04,50.872
2012/08/05,60.575
2012/08/06,56.162
2012/08/07,52.504
2012/08/08,75.125
2012/08/09,46.93
2012/08/10,67.126
2012/08/11,46.751
2012/08/12,45.451
2012/08/13,46.281
2012/08/14,48.592
2012/08/15,50.631
2012/08/16,50.63
2012/08/17,54.407
2012/08/18,43.618
2012/08/19,43.754
2012/08/20,48.152
2012/08/21,44.162
2012/08/22,44.899
2012/08/23,47.607
2012/08/24,46.064
2012/08/25,53.608
2012/08/26,52.709
2012/08/27,62.708
2012/08/28,61.476
2012/08/29,50.608
2012/08/30,59.211
2012/08/31,49.932
2012/09/01,54.992
2012/09/02,57.775
2012/09/03,57.507
2012/09/04,46.254
2012/09/05,40.051
2012/09/06,38.835
2012/09/07,38.842
2012/09/08,52.132
2012/09/09,50.568
2012/09/10,52.626
2012/09/11,62.962
2012/09/12,53.647
2012/09/13,47.041
2012/09/14,36.798
2012/09/15,35.896
2012/09/16,34.128
2012/09/17,47.839
2012/09/18,59.27
2012/09/19,59.171
2012/09/20,45.936
2012/09/21,74.83
2012/09/22,51.645
2012/09/23,48.784
2012/09/24,64.318
2012/09/25,45.299
2012/09/26,45.898
2012/09/27,44.504
2012/09/28,78.097
2012/09/29,46.257
2012/09/30,45.494
2012/10/01,48.19
2012/10/02,54.455
2012/10/03,48.728
2012/10/04,82.075
2012/10/05,47.04
2012/10/06,46.479
2012/10/07,46.908
2012/10/08,46.324
2012/10/09,46.455
2012/10/10,46.949
2012/10/11,47.996
2012/10/12,46.389
2012/10/13,44.952
2012/10/14,44.603
2012/10/15,46.47
2012/10/16,47.363
2012/10/17,71.79
2012/10/18,45.191
2012/10/19,45.465
2012/10/20,44.908
2012/10/21,45.19
2012/10/22,44.723
2012/10/23,46.714
2012/10/24,46.838
2012/10/25,44.881
2012/10/26,50.655
2012/10/27,47.86
2012/10/28,46.296
2012/10/29,51.122
2012/10/30,49.552
2012/10/31,53.584
2012/11/01,54.441
2012/11/02,57.153
2012/11/03,47.341
2012/11/04,49.522
2012/11/05,49.542
2012/11/06,49.991
2012/11/07,50.605
2012/11/08,48.001
2012/11/09,46.735
2012/11/10,50.106
