Date,hashrate14rsi
2011/08/13,49.403
2011/08/14,44.314
2011/08/15,50.536
2011/08/16,46.082
2011/08/17,48.986
2011/08/18,51.928
2011/08/19,48.195
2011/08/20,49.271
2011/08/21,52.563
2011/08/22,60.547
2011/08/23,57.61
2011/08/24,48.844
2011/08/25,45.664
2011/08/26,50.389
2011/08/27,45.311
2011/08/28,42.041
2011/08/29,45.014
2011/08/30,50.791
2011/08/31,53.043
2011/09/01,47.878
2011/09/02,50.9
2011/09/03,51.169
2011/09/04,46.988
2011/09/05,50.607
2011/09/06,52.079
2011/09/07,52.21
2011/09/08,44.81
2011/09/09,48.427
2011/09/10,51.2
2011/09/11,47.685
2011/09/12,43.887
2011/09/13,49.029
2011/09/14,50.835
2011/09/15,50.754
2011/09/16,46.977
2011/09/17,43.007
2011/09/18,54.581
2011/09/19,49.528
2011/09/20,45.998
2011/09/21,51.517
2011/09/22,51.811
2011/09/23,49.957
2011/09/24,44.974
2011/09/25,49.252
2011/09/26,46.682
2011/09/27,49.026
2011/09/28,47.551
2011/09/29,47.053
2011/09/30,44.499
2011/10/01,43.087
2011/10/02,48.141
2011/10/03,46.889
2011/10/04,46.727
2011/10/05,43.976
2011/10/06,50.958
2011/10/07,45.511
2011/10/08,47.842
2011/10/09,43.024
2011/10/10,44.801
2011/10/11,40.35
2011/10/12,41.531
2011/10/13,36.208
2011/10/14,42.335
2011/10/15,48.384
2011/10/16,43.707
2011/10/17,41.369
2011/10/18,42.676
2011/10/19,45.037
2011/10/20,42.573
2011/10/21,46.193
2011/10/22,39.867
2011/10/23,38.794
2011/10/24,42.928
2011/10/25,49.17
2011/10/26,46.588
2011/10/27,43.651
2011/10/28,40.72
2011/10/29,46.096
2011/10/30,42.149
2011/10/31,43.644
2011/11/01,46.33
2011/11/02,49.946
2011/11/03,47.375
2011/11/04,45.261
2011/11/05,51.173
2011/11/06,49.432
2011/11/07,45.086
2011/11/08,47.368
2011/11/09,53.396
2011/11/10,52.235
2011/11/11,44.341
2011/11/12,45.393
2011/11/13,49.837
2011/11/14,48.757
2011/11/15,53.238
2011/11/16,49.238
2011/11/17,47.519
2011/11/18,45.805
2011/11/19,47.706
2011/11/20,42.174
2011/11/21,48.578
2011/11/22,46.78
2011/11/23,48.218
2011/11/24,43.311
2011/11/25,44.375
2011/11/26,45.021
2011/11/27,43.286
2011/11/28,43.654
2011/11/29,48.002
2011/11/30,48.215
2011/12/01,59.175
2011/12/02,58.198
2011/12/03,47.095
2011/12/04,48.181
2011/12/05,50.759
2011/12/06,53.729
2011/12/07,51.134
2011/12/08,48.314
2011/12/09,49.977
2011/12/10,52.601
2011/12/11,46.559
2011/12/12,48.06
2011/12/13,44.248
2011/12/14,51.182
2011/12/15,46.594
2011/12/16,42.903
2011/12/17,47.714
2011/12/18,53.79
2011/12/19,52.731
2011/12/20,51.798
2011/12/21,52.482
2011/12/22,50.097
2011/12/23,53.858
2011/12/24,49.166
2011/12/25,55.371
2011/12/26,62.857
2011/12/27,56.887
2011/12/28,50.607
2011/12/29,51.588
2011/12/30,43.934
2011/12/31,52.492
2012/01/01,50.975
2012/01/02,51.209
2012/01/03,54.29
2012/01/04,53.828
2012/01/05,47.537
2012/01/06,55.603
2012/01/07,58.15
2012/01/08,56.065
2012/01/09,57.295
2012/01/10,52.933
2012/01/11,51.323
2012/01/12,57.182
2012/01/13,47.133
2012/01/14,51.25
2012/01/15,51.866
2012/01/16,52.334
2012/01/17,56.46
2012/01/18,49.753
2012/01/19,46.021
2012/01/20,47.852
2012/01/21,55.72
2012/01/22,52.379
2012/01/23,55.291
2012/01/24,50.328
2012/01/25,52.784
2012/01/26,47.124
2012/01/27,49.557
2012/01/28,51.58
2012/01/29,54.213
2012/01/30,58.362
2012/01/31,56.424
2012/02/01,49.013
2012/02/02,50.09
2012/02/03,56.969
2012/02/04,52.796
2012/02/05,52.403
2012/02/06,51.703
2012/02/07,49.87
2012/02/08,48.565
2012/02/09,49.174
2012/02/10,53.015
2012/02/11,48.78
2012/02/12,56.081
2012/02/13,53.851
2012/02/14,45.446
2012/02/15,46.325
2012/02/16,49.485
2012/02/17,48.772
2012/02/18,57.805
2012/02/19,59.779
2012/02/20,52.619
2012/02/21,44.186
2012/02/22,51.321
2012/02/23,55.427
2012/02/24,49.973
2012/02/25,55.693
2012/02/26,53.311
2012/02/27,51.253
2012/02/28,51.536
2012/02/29,58.046
2012/03/01,52.11
2012/03/02,50.436
2012/03/03,42.59
2012/03/04,46.998
2012/03/05,50.077
2012/03/06,52.642
2012/03/07,51.956
2012/03/08,56.299
2012/03/09,56.464
2012/03/10,61.122
2012/03/11,48.645
2012/03/12,53.799
2012/03/13,54.621
2012/03/14,50.975
2012/03/15,44.51
2012/03/16,48.62
2012/03/17,54.879
2012/03/18,55.503
2012/03/19,52.78
2012/03/20,50.859
2012/03/21,54.501
2012/03/22,52.814
2012/03/23,45.809
2012/03/24,53.037
2012/03/25,56.773
2012/03/26,50.739
2012/03/27,50.188
2012/03/28,50.818
2012/03/29,51.381
2012/03/30,52.311
2012/03/31,57.473
2012/04/01,52.623
2012/04/02,47.408
2012/04/03,45.177
2012/04/04,49.587
2012/04/05,44.271
2012/04/06,44.76
2012/04/07,48.326
2012/04/08,50.274
2012/04/09,54.999
2012/04/10,51.264
2012/04/11,53.431
2012/04/12,49.492
2012/04/13,44.386
2012/04/14,45.259
2012/04/15,42.888
2012/04/16,46.061
2012/04/17,49.934
2012/04/18,46.243
2012/04/19,52.173
2012/04/20,57.219
2012/04/21,52.644
2012/04/22,52.375
2012/04/23,52.646
2012/04/24,45.776
2012/04/25,47.529
2012/04/26,49.937
2012/04/27,46.468
2012/04/28,51.505
2012/04/29,55.412
2012/04/30,58.385
2012/05/01,59.642
2012/05/02,53.565
2012/05/03,51.079
2012/05/04,53.508
2012/05/05,51.578
2012/05/06,55.626
2012/05/07,55.444
2012/05/08,60.481
2012/05/09,59.254
2012/05/10,56.175
2012/05/11,42.685
2012/05/12,51.812
2012/05/13,48.373
2012/05/14,50.065
2012/05/15,49.407
2012/05/16,42.274
2012/05/17,44.032
2012/05/18,50.035
2012/05/19,52.853
2012/05/20,52.175
2012/05/21,50.602
2012/05/22,43.2
2012/05/23,44.497
2012/05/24,46.817
2012/05/25,40.992
2012/05/26,46.048
2012/05/27,54.075
2012/05/28,50.637
2012/05/29,46.719
2012/05/30,44.297
2012/05/31,50.637
2012/06/01,48.492
2012/06/02,54.828
2012/06/03,55.776
2012/06/04,52.992
2012/06/05,48.652
2012/06/06,54.406
2012/06/07,48.006
2012/06/08,49.168
2012/06/09,54.525
2012/06/10,55.502
2012/06/11,55.596
2012/06/12,46.866
2012/06/13,53.444
2012/06/14,49.173
2012/06/15,53.493
2012/06/16,51.389
2012/06/17,53.874
2012/06/18,52.006
2012/06/19,59.736
2012/06/20,46.226
2012/06/21,48.79
2012/06/22,47.507
2012/06/23,55.3
2012/06/24,53.22
2012/06/25,51.05
2012/06/26,51.724
2012/06/27,54.625
2012/06/28,49.938
2012/06/29,49.309
2012/06/30,48.388
2012/07/01,48.254
2012/07/02,52.874
2012/07/03,52.523
2012/07/04,55.801
2012/07/05,51.056
2012/07/06,52.262
2012/07/07,57.046
2012/07/08,57.063
2012/07/09,56.677
2012/07/10,51.731
2012/07/11,48.83
2012/07/12,46.879
2012/07/13,53.789
2012/07/14,55.849
2012/07/15,52.346
2012/07/16,48.744
2012/07/17,57.238
2012/07/18,58.015
2012/07/19,53.461
2012/07/20,48.759
2012/07/21,50.661
2012/07/22,52.025
2012/07/23,52.422
2012/07/24,55.425
2012/07/25,57.663
2012/07/26,62.474
2012/07/27,59.014
2012/07/28,62.859
2012/07/29,48.573
2012/07/30,63.462
2012/07/31,51.696
2012/08/01,47.86
2012/08/02,53.162
2012/08/03,57.531
2012/08/04,53.875
2012/08/05,51.733
2012/08/06,49.365
