Date,sentinusd30smaUSD
2012/07/16,12899778
2012/07/17,13324585
2012/07/18,13270419
2012/07/19,13169112
2012/07/20,13265365
2012/07/21,13720306
2012/07/22,13701879
2012/07/23,13653189
2012/07/24,13738637
2012/07/25,13643469
2012/07/26,13945105
2012/07/27,14150755
2012/07/28,13892174
2012/07/29,13652884
2012/07/30,13620013
2012/07/31,14229978
2012/08/01,14673035
2012/08/02,14940647
2012/08/03,14946649
2012/08/04,14994853
2012/08/05,15389986
2012/08/06,15166968
2012/08/07,15683685
2012/08/08,15786553
2012/08/09,15788398
2012/08/10,16125869
2012/08/11,16370345
2012/08/12,16347855
2012/08/13,16445058
2012/08/14,16699561
2012/08/15,16861397
2012/08/16,17034679
2012/08/17,17685923
2012/08/18,18163310
2012/08/19,19620590
2012/08/20,21817797
2012/08/21,23142777
2012/08/22,25069524
2012/08/23,27085560
2012/08/24,30601391
2012/08/25,31469083
2012/08/26,31987541
2012/08/27,33725131
2012/08/28,35868560
2012/08/29,40925093
2012/08/30,44158253
2012/08/31,46577085
2012/09/01,48906935
2012/09/02,50401667
2012/09/03,51177483
2012/09/04,52715044
2012/09/05,55287980
2012/09/06,62649798
2012/09/07,68850342
2012/09/08,71115386
2012/09/09,71919170
2012/09/10,78306110
2012/09/11,85269420
2012/09/12,88638477
2012/09/13,96537480
2012/09/14,102745464
2012/09/15,104548730
2012/09/16,108920766
2012/09/17,113245117
2012/09/18,116523882
2012/09/19,126569049
2012/09/20,131334509
2012/09/21,139461720
2012/09/22,142995924
2012/09/23,142341763
2012/09/24,144058067
2012/09/25,143594041
2012/09/26,142026453
2012/09/27,140108122
2012/09/28,135822124
2012/09/29,132198776
2012/09/30,129649345
2012/10/01,127385961
2012/10/02,126210228
2012/10/03,125465358
2012/10/04,123722743
2012/10/05,121551650
2012/10/06,114301550
2012/10/07,108214880
2012/10/08,106105708
2012/10/09,105204222
2012/10/10,98568726
2012/10/11,91489555
2012/10/12,88439015
2012/10/13,81013303
2012/10/14,74606386
2012/10/15,72222460
2012/10/16,67794692
2012/10/17,63936663
2012/10/18,60052158
2012/10/19,48165701
2012/10/20,42627821
2012/10/21,32861540
2012/10/22,27681876
2012/10/23,25516824
2012/10/24,22984477
2012/10/25,22817406
2012/10/26,22487137
2012/10/27,22501009
2012/10/28,21766479
2012/10/29,21589715
2012/10/30,22488166
2012/10/31,23208487
2012/11/01,23321674
2012/11/02,23090213
2012/11/03,23255064
2012/11/04,22937617
2012/11/05,22931468
2012/11/06,22889594
2012/11/07,22872194
2012/11/08,22823572
2012/11/09,22796224
2012/11/10,22457841
2012/11/11,21560941
2012/11/12,20663136
2012/11/13,20427175
2012/11/14,20570983
2012/11/15,20467183
2012/11/16,20563135
2012/11/17,20263206
2012/11/18,20012176
2012/11/19,19497104
2012/11/20,19197882
2012/11/21,18683931
2012/11/22,18260340
2012/11/23,17990828
2012/11/24,17928639
2012/11/25,17884925
2012/11/26,17769775
2012/11/27,18014219
2012/11/28,18406400
2012/11/29,17413507
2012/11/30,16360484
2012/12/01,15675025
2012/12/02,15797647
2012/12/03,15840635
2012/12/04,16115787
2012/12/05,16552387
2012/12/06,17308881
2012/12/07,17568006
2012/12/08,17546212
2012/12/09,17861310
2012/12/10,18161586
2012/12/11,18720095
2012/12/12,20151352
2012/12/13,21592495
2012/12/14,22445865
2012/12/15,22218942
2012/12/16,21615759
2012/12/17,21364109
2012/12/18,21597524
2012/12/19,21560535
2012/12/20,21366115
2012/12/21,21751626
2012/12/22,21786956
2012/12/23,21714601
2012/12/24,21701592
2012/12/25,21653977
2012/12/26,21476790
2012/12/27,21257142
2012/12/28,20976375
2012/12/29,20932312
2012/12/30,20949556
2012/12/31,21234027
2013/01/01,21459429
2013/01/02,21562105
2013/01/03,21208375
2013/01/04,20959411
2013/01/05,20444514
2013/01/06,19994598
2013/01/07,20175181
2013/01/08,20487063
2013/01/09,20788495
2013/01/10,20677140
2013/01/11,19672104
2013/01/12,18352326
2013/01/13,17434095
2013/01/14,17203663
2013/01/15,17347202
2013/01/16,17616205
2013/01/17,17462822
2013/01/18,17795402
2013/01/19,18138819
2013/01/20,17969252
2013/01/21,17940540
2013/01/22,18311749
2013/01/23,19174273
2013/01/24,19721645
2013/01/25,20279349
2013/01/26,20663460
2013/01/27,21023513
2013/01/28,21527276
2013/01/29,22607021
2013/01/30,23160865
2013/01/31,23503991
2013/02/01,23865848
2013/02/02,23962668
2013/02/03,23800078
2013/02/04,23900371
2013/02/05,24726055
2013/02/06,25317725
2013/02/07,25551285
2013/02/08,26322475
2013/02/09,26950530
2013/02/10,27363807
2013/02/11,27936359
2013/02/12,28463291
2013/02/13,28810650
2013/02/14,29066089
2013/02/15,29098509
2013/02/16,29307610
2013/02/17,29403629
2013/02/18,29671594
2013/02/19,30301551
2013/02/20,30777596
2013/02/21,30983279
2013/02/22,31125830
2013/02/23,31342702
2013/02/24,32060138
2013/02/25,33049589
2013/02/26,33548208
2013/02/27,34052509
2013/02/28,34110416
2013/03/01,34614477
2013/03/02,35172003
2013/03/03,34880375
2013/03/04,35080564
2013/03/05,36507172
2013/03/06,38190831
2013/03/07,38796214
2013/03/08,39146765
2013/03/09,39309147
2013/03/10,39504899
2013/03/11,39681080
2013/03/12,40749954
2013/03/13,41771970
2013/03/14,42312322
2013/03/15,49067652
2013/03/16,51171619
2013/03/17,51291845
2013/03/18,55904638
2013/03/19,58125462
2013/03/20,60538325
2013/03/21,63281872
2013/03/22,65084476
2013/03/23,66701471
2013/03/24,67126504
2013/03/25,69296793
2013/03/26,71491953
2013/03/27,76425227
2013/03/28,79847301
2013/03/29,82257934
2013/03/30,85844606
2013/03/31,88638674
2013/04/01,91370923
2013/04/02,99082516
2013/04/03,106494613
2013/04/04,111795343
2013/04/05,116695551
2013/04/06,120066807
2013/04/07,122750551
2013/04/08,128434505
2013/04/09,137541562
2013/04/10,150582704
2013/04/11,154934009
2013/04/12,157552586
2013/04/13,159402573
2013/04/14,153834507
2013/04/15,153118397
2013/04/16,156078117
2013/04/17,154574828
2013/04/18,169743740
2013/04/19,172710844
2013/04/20,172332252
2013/04/21,172942458
