Date,hashrate7mom
2011/08/27,-949376205731
2011/08/28,-2800443810909
2011/08/29,-4299855757659
2011/08/30,-2078275689270
2011/08/31,766699132652
2011/09/01,214761297441
2011/09/02,-173089153959
2011/09/03,1402893825879
2011/09/04,1326673357482
2011/09/05,1537537930265
2011/09/06,348895603428
2011/09/07,-290558404826
2011/09/08,-735385514028
2011/09/09,-718922844557
2011/09/10,-85097351730
2011/09/11,162160194842
2011/09/12,-1854278034387
2011/09/13,-1010924255081
2011/09/14,-581857310788
2011/09/15,1318203066307
2011/09/16,-471478789894
2011/09/17,-2227147309378
2011/09/18,1604405997826
2011/09/19,1296512495535
2011/09/20,-998900116768
2011/09/21,96988743565
2011/09/22,202785419413
2011/09/23,619349437363
2011/09/24,252823572136
2011/09/25,-1566508589327
2011/09/26,-929237821492
2011/09/27,718008276271
2011/09/28,-1231528560368
2011/09/29,-1445793526307
2011/09/30,-1603739441793
2011/10/01,-555878302591
2011/10/02,-625697314911
2011/10/03,-187208717367
2011/10/04,-819210619995
2011/10/05,-1031900800384
2011/10/06,450506923895
2011/10/07,-108368866342
2011/10/08,724809747780
2011/10/09,-1453417303123
2011/10/10,-825145959151
2011/10/11,-1900655304878
2011/10/12,-1087662609606
2011/10/13,-3888966293778
2011/10/14,-1567328232638
2011/10/15,-774411560964
2011/10/16,-829726792612
2011/10/17,-1816912732740
2011/10/18,-448617892859
2011/10/19,-199081189243
2011/10/20,648182175484
2011/10/21,219101037581
2011/10/22,-2643024292494
2011/10/23,-1747899314184
2011/10/24,-349012539112
2011/10/25,660408508066
2011/10/26,-394781471467
2011/10/27,-504210796826
2011/10/28,-1940474467973
2011/10/29,696379535962
2011/10/30,2638455182
2011/10/31,-461484029933
2011/11/01,-1213465898405
2011/11/02,105923974782
2011/11/03,273632388972
2011/11/04,569251606674
2011/11/05,681853564528
2011/11/06,1327604221387
2011/11/07,126285234646
2011/11/08,31195672814
2011/11/09,519352367051
2011/11/10,842029554337
2011/11/11,-361899735343
2011/11/12,-1314622533115
2011/11/13,-111189037547
2011/11/14,588141737576
2011/11/15,1056324666575
2011/11/16,-920975489014
2011/11/17,-1044764333882
2011/11/18,274560826073
2011/11/19,396851572962
2011/11/20,-1565409498467
2011/11/21,-245395109960
2011/11/22,-1488456987008
2011/11/23,-474985073535
2011/11/24,-1097924473053
2011/11/25,-588717019838
2011/11/26,-809588634801
2011/11/27,-16503319997
2011/11/28,-1071010067848
2011/11/29,-124420231282
2011/11/30,-343030706622
2011/12/01,2402192467693
2011/12/02,2102620115003
2011/12/03,266266138795
2011/12/04,757478096012
2011/12/05,1128019879167
2011/12/06,1040153832364
2011/12/07,617857713227
2011/12/08,-1603306423874
2011/12/09,-1225262202644
2011/12/10,907707018759
2011/12/11,-175928916259
2011/12/12,-384213607415
2011/12/13,-1490158930624
2011/12/14,-94544802353
2011/12/15,-390634716106
2011/12/16,-1294386215703
2011/12/17,-980447471900
2011/12/18,952523842159
2011/12/19,576109969240
2011/12/20,1039105898630
2011/12/21,142232899611
2011/12/22,549947462417
2011/12/23,1755439536613
2011/12/24,401830811387
2011/12/25,331199171511
2011/12/26,1961615187930
2011/12/27,1250076229231
2011/12/28,111216617562
2011/12/29,616813057010
2011/12/30,-1366168978269
2011/12/31,895926941556
2012/01/01,-352790843347
2012/01/02,-1773445593450
2012/01/03,-330368269151
2012/01/04,628022797968
2012/01/05,-626192251228
2012/01/06,2364314160709
2012/01/07,1319385824532
2012/01/08,1267670837032
2012/01/09,1479431931874
2012/01/10,185970599305
2012/01/11,-7892578237
2012/01/12,2192062672270
2012/01/13,-1209555873357
2012/01/14,-957992832797
2012/01/15,-487982038581
2012/01/16,-654156790529
2012/01/17,868202197222
2012/01/18,-49819813907
2012/01/19,-1923849208722
2012/01/20,248463289859
2012/01/21,1015331540853
2012/01/22,265277011451
2012/01/23,804423729926
2012/01/24,-959099985046
2012/01/25,734879320479
2012/01/26,342675052748
2012/01/27,493704012008
2012/01/28,-693551386638
2012/01/29,467411422118
2012/01/30,750796081944
2012/01/31,1372397181293
2012/02/01,-493799275373
2012/02/02,857844419966
2012/02/03,1836885922194
2012/02/04,657895885610
2012/02/05,47459713917
2012/02/06,-990291306954
2012/02/07,-987116212163
2012/02/08,147799798947
2012/02/09,35706358767
2012/02/10,-810635378669
2012/02/11,-686244069617
2012/02/12,646412244650
2012/02/13,431476284291
2012/02/14,-716848270374
2012/02/15,-350024126533
2012/02/16,69783208773
2012/02/17,-659573424483
2012/02/18,1630648557222
2012/02/19,795230386142
2012/02/20,-8989703301
2012/02/21,-234930208592
2012/02/22,1059381800787
2012/02/23,1506161720031
2012/02/24,469418544295
2012/02/25,238262472751
2012/02/26,-695900769122
2012/02/27,2690163122
2012/02/28,1757562010026
2012/02/29,1872650180912
2012/03/01,-311425819690
2012/03/02,475619632192
2012/03/03,-2893775038386
2012/03/04,-1409008058864
2012/03/05,-237498108054
2012/03/06,328914607765
2012/03/07,-1373388706286
2012/03/08,911620462612
2012/03/09,1321506544470
2012/03/10,4502124457344
2012/03/11,814707198547
2012/03/12,1465247281879
2012/03/13,1067244335992
2012/03/14,355632509017
2012/03/15,-2447683185586
2012/03/16,-1469609647907
2012/03/17,-915601762835
2012/03/18,1987279665459
2012/03/19,-46039764667
2012/03/20,-746260199461
2012/03/21,1074064017070
2012/03/22,2431000308634
2012/03/23,-348123567620
2012/03/24,-225155964626
2012/03/25,726520033378
2012/03/26,-200825738795
2012/03/27,116716619077
2012/03/28,-675615914579
2012/03/29,-150497158202
2012/03/30,1832934647674
2012/03/31,1255479102979
2012/04/01,-927964920253
2012/04/02,-606182744612
