Date,top100cap
2012/03/31,23.066
2012/04/01,23.062
2012/04/02,23.167
2012/04/03,23.039
2012/04/04,23.285
2012/04/05,23.367
2012/04/06,23.693
2012/04/07,23.676
2012/04/08,23.667
2012/04/09,23.213
2012/04/10,23.197
2012/04/11,23.217
2012/04/12,23.242
2012/04/13,23.109
2012/04/14,23.096
2012/04/15,23.188
2012/04/16,23.486
2012/04/17,23.722
2012/04/18,23.72
2012/04/19,23.806
2012/04/20,24.011
2012/04/21,23.991
2012/04/22,24.104
2012/04/23,24.079
2012/04/24,24.066
2012/04/25,23.934
2012/04/26,24.034
2012/04/27,24.021
2012/04/28,24
2012/04/29,23.817
2012/04/30,23.791
2012/05/01,23.789
2012/05/02,23.75
2012/05/03,23.729
2012/05/04,23.664
2012/05/05,23.732
2012/05/06,24.321
2012/05/07,24.383
2012/05/08,24.333
2012/05/09,24.444
2012/05/10,24.509
2012/05/11,24.861
2012/05/12,24.752
2012/05/13,24.764
2012/05/14,24.741
2012/05/15,24.838
2012/05/16,24.983
2012/05/17,25.216
2012/05/18,25.233
2012/05/19,25.185
2012/05/20,25.21
2012/05/21,25.232
2012/05/22,25.475
2012/05/23,25.547
2012/05/24,25.612
2012/05/25,25.646
2012/05/26,25.641
2012/05/27,25.623
2012/05/28,25.617
2012/05/29,25.637
2012/05/30,25.684
2012/05/31,25.399
2012/06/01,24.867
2012/06/02,24.832
2012/06/03,24.872
2012/06/04,24.767
2012/06/05,24.728
2012/06/06,24.738
2012/06/07,24.713
2012/06/08,24.695
2012/06/09,25.073
2012/06/10,24.981
2012/06/11,24.846
2012/06/12,24.815
2012/06/13,25.073
2012/06/14,24.986
2012/06/15,24.891
2012/06/16,24.941
2012/06/17,24.809
2012/06/18,24.891
2012/06/19,24.905
2012/06/20,24.88
2012/06/21,24.917
2012/06/22,24.888
2012/06/23,24.852
2012/06/24,24.978
2012/06/25,24.777
2012/06/26,24.674
2012/06/27,24.808
2012/06/28,25.021
2012/06/29,24.929
2012/06/30,24.94
2012/07/01,24.997
2012/07/02,24.828
2012/07/03,24.864
2012/07/04,25.023
2012/07/05,24.997
2012/07/06,25.007
2012/07/07,24.989
2012/07/08,24.991
2012/07/09,24.932
2012/07/10,24.907
2012/07/11,24.964
2012/07/12,25.366
2012/07/13,25.236
2012/07/14,25.18
2012/07/15,25.203
2012/07/16,25.02
2012/07/17,24.914
2012/07/18,24.906
2012/07/19,24.791
2012/07/20,24.786
2012/07/21,24.755
2012/07/22,24.719
2012/07/23,24.728
2012/07/24,24.626
2012/07/25,24.705
2012/07/26,24.781
2012/07/27,24.761
2012/07/28,24.741
2012/07/29,24.812
2012/07/30,24.774
2012/07/31,24.72
2012/08/01,24.797
2012/08/02,24.66
2012/08/03,24.648
2012/08/04,24.653
2012/08/05,24.616
2012/08/06,24.655
2012/08/07,24.653
2012/08/08,24.592
2012/08/09,24.456
2012/08/10,24.471
2012/08/11,24.383
2012/08/12,24.366
2012/08/13,24.235
2012/08/14,24.317
2012/08/15,24.342
2012/08/16,24.378
2012/08/17,24.315
2012/08/18,24.286
2012/08/19,23.808
2012/08/20,23.394
2012/08/21,23.203
2012/08/22,22.943
2012/08/23,22.894
2012/08/24,22.689
2012/08/25,22.571
2012/08/26,22.598
2012/08/27,22.389
2012/08/28,22.332
2012/08/29,22.179
2012/08/30,21.854
2012/08/31,21.821
2012/09/01,21.653
2012/09/02,21.526
2012/09/03,21.53
2012/09/04,21.458
2012/09/05,21.218
2012/09/06,21.073
2012/09/07,20.93
2012/09/08,20.849
2012/09/09,20.81
2012/09/10,20.69
2012/09/11,20.424
2012/09/12,20.247
2012/09/13,20.061
2012/09/14,19.868
2012/09/15,19.738
2012/09/16,19.578
2012/09/17,19.45
2012/09/18,19.395
2012/09/19,19.087
2012/09/20,19.03
2012/09/21,19.367
2012/09/22,19.227
2012/09/23,19.111
2012/09/24,19.105
2012/09/25,19.038
2012/09/26,19.02
2012/09/27,19.017
2012/09/28,19.002
2012/09/29,19.024
2012/09/30,19
2012/10/01,18.982
2012/10/02,19.016
2012/10/03,19
2012/10/04,19.044
2012/10/05,19.072
2012/10/06,19.039
2012/10/07,19.022
2012/10/08,18.873
2012/10/09,18.893
2012/10/10,18.99
2012/10/11,19.01
2012/10/12,18.968
2012/10/13,18.935
2012/10/14,18.94
2012/10/15,18.941
2012/10/16,19.074
2012/10/17,19.059
2012/10/18,19.029
2012/10/19,19.044
2012/10/20,19.048
2012/10/21,19.309
2012/10/22,19.607
2012/10/23,19.534
2012/10/24,19.541
2012/10/25,19.473
2012/10/26,19.508
2012/10/27,19.48
2012/10/28,19.436
2012/10/29,19.409
2012/10/30,19.758
2012/10/31,19.612
2012/11/01,19.623
2012/11/02,19.534
2012/11/03,19.6
2012/11/04,19.617
2012/11/05,19.574
2012/11/06,19.61
2012/11/07,19.526
2012/11/08,19.488
2012/11/09,19.487
2012/11/10,19.478
2012/11/11,19.519
2012/11/12,19.462
2012/11/13,19.448
2012/11/14,19.435
2012/11/15,19.483
2012/11/16,19.555
2012/11/17,19.686
2012/11/18,19.683
2012/11/19,19.711
2012/11/20,19.743
2012/11/21,19.878
2012/11/22,19.919
2012/11/23,19.905
2012/11/24,19.828
2012/11/25,19.825
2012/11/26,19.529
2012/11/27,19.913
2012/11/28,20.007
2012/11/29,20.002
2012/11/30,20.048
2012/12/01,20.058
2012/12/02,20.044
2012/12/03,20.123
2012/12/04,20.02
2012/12/05,19.98
2012/12/06,19.968
2012/12/07,19.974
2012/12/08,19.977
2012/12/09,19.885
2012/12/10,19.902
2012/12/11,19.866
2012/12/12,19.834
2012/12/13,19.652
2012/12/14,19.571
2012/12/15,19.581
2012/12/16,19.54
2012/12/17,19.573
2012/12/18,19.448
2012/12/19,19.544
2012/12/20,19.502
2012/12/21,19.402
2012/12/22,19.4
2012/12/23,19.401
2012/12/24,19.354
2012/12/25,19.343
2012/12/26,19.412
2012/12/27,19.421
2012/12/28,19.453
2012/12/29,19.49
2012/12/30,19.533
2012/12/31,19.51
2013/01/01,19.536
2013/01/02,19.597
2013/01/03,19.621
2013/01/04,19.54
2013/01/05,19.543
2013/01/06,19.604
2013/01/07,19.625
2013/01/08,19.395
2013/01/09,19.385
2013/01/10,19.35
2013/01/11,19.382
2013/01/12,19.376
2013/01/13,19.284
2013/01/14,19.236
2013/01/15,19.219
2013/01/16,19.218
2013/01/17,19.192
2013/01/18,19.197
2013/01/19,19.203
2013/01/20,19.217
2013/01/21,19.179
2013/01/22,19.218
2013/01/23,19.268
2013/01/24,19.159
2013/01/25,19.206
2013/01/26,19.353
2013/01/27,19.373
2013/01/28,19.371
2013/01/29,19.402
2013/01/30,19.489
2013/01/31,19.45
2013/02/01,19.465
2013/02/02,19.41
2013/02/03,19.406
2013/02/04,19.388
2013/02/05,19.407
2013/02/06,19.378
2013/02/07,19.395
2013/02/08,19.375
2013/02/09,19.329
2013/02/10,19.342
2013/02/11,19.358
2013/02/12,19.43
2013/02/13,19.435
