Date,price14emaUSD
2011/10/01,5.264
2011/10/02,5.233
2011/10/03,5.205
2011/10/04,5.177
2011/10/05,5.142
2011/10/06,5.097
2011/10/07,5.019
2011/10/08,4.903
2011/10/09,4.79
2011/10/10,4.698
2011/10/11,4.605
2011/10/12,4.529
2011/10/13,4.472
2011/10/14,4.412
2011/10/15,4.346
2011/10/16,4.26
2011/10/17,4.1
2011/10/18,3.884
2011/10/19,3.679
2011/10/20,3.495
2011/10/21,3.357
2011/10/22,3.292
2011/10/23,3.27
2011/10/24,3.212
2011/10/25,3.137
2011/10/26,3.087
2011/10/27,3.063
2011/10/28,3.07
2011/10/29,3.111
2011/10/30,3.153
2011/10/31,3.167
2011/11/01,3.172
2011/11/02,3.176
2011/11/03,3.179
2011/11/04,3.174
2011/11/05,3.156
2011/11/06,3.131
2011/11/07,3.111
2011/11/08,3.099
2011/11/09,3.087
2011/11/10,3.063
2011/11/11,3.05
2011/11/12,3.05
2011/11/13,3.045
2011/11/14,2.987
2011/11/15,2.892
2011/11/16,2.832
2011/11/17,2.776
2011/11/18,2.693
2011/11/19,2.615
2011/11/20,2.56
2011/11/21,2.518
2011/11/22,2.49
2011/11/23,2.469
2011/11/24,2.457
2011/11/25,2.459
2011/11/26,2.46
2011/11/27,2.462
2011/11/28,2.469
2011/11/29,2.493
2011/11/30,2.542
2011/12/01,2.607
2011/12/02,2.671
2011/12/03,2.709
2011/12/04,2.722
2011/12/05,2.74
2011/12/06,2.769
2011/12/07,2.801
2011/12/08,2.825
2011/12/09,2.845
2011/12/10,2.867
2011/12/11,2.906
2011/12/12,2.944
2011/12/13,2.98
2011/12/14,3.008
2011/12/15,3.029
2011/12/16,3.052
2011/12/17,3.071
2011/12/18,3.087
2011/12/19,3.123
2011/12/20,3.205
2011/12/21,3.298
2011/12/22,3.376
2011/12/23,3.448
2011/12/24,3.514
2011/12/25,3.59
2011/12/26,3.661
2011/12/27,3.712
2011/12/28,3.768
2011/12/29,3.823
2011/12/30,3.874
2011/12/31,3.956
2012/01/01,4.093
2012/01/02,4.246
2012/01/03,4.353
2012/01/04,4.469
2012/01/05,4.708
2012/01/06,4.99
2012/01/07,5.225
2012/01/08,5.455
2012/01/09,5.622
2012/01/10,5.718
2012/01/11,5.846
2012/01/12,5.98
2012/01/13,6.062
2012/01/14,6.131
2012/01/15,6.231
2012/01/16,6.312
2012/01/17,6.288
2012/01/18,6.215
2012/01/19,6.205
2012/01/20,6.233
2012/01/21,6.248
2012/01/22,6.247
2012/01/23,6.259
2012/01/24,6.267
2012/01/25,6.234
2012/01/26,6.146
2012/01/27,6.035
2012/01/28,5.958
2012/01/29,5.898
2012/01/30,5.836
2012/01/31,5.79
2012/02/01,5.792
2012/02/02,5.83
2012/02/03,5.857
2012/02/04,5.865
2012/02/05,5.854
2012/02/06,5.814
2012/02/07,5.784
2012/02/08,5.765
2012/02/09,5.758
2012/02/10,5.773
2012/02/11,5.771
2012/02/12,5.744
2012/02/13,5.697
2012/02/14,5.585
2012/02/15,5.427
2012/02/16,5.275
2012/02/17,5.148
2012/02/18,5.036
2012/02/19,4.938
2012/02/20,4.861
2012/02/21,4.79
2012/02/22,4.731
2012/02/23,4.731
2012/02/24,4.77
2012/02/25,4.788
2012/02/26,4.796
2012/02/27,4.815
2012/02/28,4.827
2012/02/29,4.832
2012/03/01,4.84
2012/03/02,4.836
2012/03/03,4.814
2012/03/04,4.801
2012/03/05,4.815
2012/03/06,4.838
2012/03/07,4.855
2012/03/08,4.865
2012/03/09,4.869
2012/03/10,4.866
2012/03/11,4.867
2012/03/12,4.871
2012/03/13,4.899
2012/03/14,4.957
2012/03/15,5.011
2012/03/16,5.055
2012/03/17,5.085
2012/03/18,5.107
2012/03/19,5.089
2012/03/20,5.045
2012/03/21,5.016
2012/03/22,4.98
2012/03/23,4.944
2012/03/24,4.909
2012/03/25,4.87
2012/03/26,4.832
2012/03/27,4.816
2012/03/28,4.815
2012/03/29,4.811
2012/03/30,4.814
2012/03/31,4.823
2012/04/01,4.826
2012/04/02,4.833
2012/04/03,4.85
2012/04/04,4.861
2012/04/05,4.869
2012/04/06,4.878
2012/04/07,4.87
2012/04/08,4.853
2012/04/09,4.85
2012/04/10,4.85
2012/04/11,4.855
2012/04/12,4.864
2012/04/13,4.871
2012/04/14,4.881
2012/04/15,4.892
2012/04/16,4.9
2012/04/17,4.909
2012/04/18,4.927
2012/04/19,4.954
2012/04/20,4.993
2012/04/21,5.038
2012/04/22,5.063
2012/04/23,5.066
2012/04/24,5.061
2012/04/25,5.068
2012/04/26,5.075
2012/04/27,5.078
2012/04/28,5.073
2012/04/29,5.056
2012/04/30,5.039
2012/05/01,5.031
2012/05/02,5.031
2012/05/03,5.041
2012/05/04,5.047
2012/05/05,5.051
2012/05/06,5.052
2012/05/07,5.053
2012/05/08,5.055
2012/05/09,5.054
2012/05/10,5.041
2012/05/11,5.022
2012/05/12,5.013
2012/05/13,5.003
2012/05/14,5
2012/05/15,5.003
2012/05/16,5.011
2012/05/17,5.023
2012/05/18,5.034
2012/05/19,5.044
2012/05/20,5.052
2012/05/21,5.059
2012/05/22,5.064
2012/05/23,5.071
2012/05/24,5.079
2012/05/25,5.086
2012/05/26,5.089
2012/05/27,5.094
2012/05/28,5.099
2012/05/29,5.105
2012/05/30,5.11
2012/05/31,5.116
2012/06/01,5.132
2012/06/02,5.15
2012/06/03,5.16
2012/06/04,5.171
2012/06/05,5.195
2012/06/06,5.229
2012/06/07,5.269
2012/06/08,5.315
2012/06/09,5.352
2012/06/10,5.374
2012/06/11,5.394
2012/06/12,5.428
2012/06/13,5.481
2012/06/14,5.543
2012/06/15,5.634
2012/06/16,5.743
2012/06/17,5.818
2012/06/18,5.876
2012/06/19,5.946
2012/06/20,6.032
2012/06/21,6.117
2012/06/22,6.184
2012/06/23,6.224
2012/06/24,6.246
2012/06/25,6.257
2012/06/26,6.273
2012/06/27,6.31
2012/06/28,6.352
2012/06/29,6.389
2012/06/30,6.426
2012/07/01,6.458
2012/07/02,6.487
2012/07/03,6.503
2012/07/04,6.5
2012/07/05,6.512
2012/07/06,6.531
2012/07/07,6.558
2012/07/08,6.588
2012/07/09,6.63
2012/07/10,6.694
2012/07/11,6.758
2012/07/12,6.853
2012/07/13,6.963
2012/07/14,7.044
2012/07/15,7.116
2012/07/16,7.246
2012/07/17,7.433
2012/07/18,7.636
2012/07/19,7.816
2012/07/20,7.933
2012/07/21,8.036
2012/07/22,8.116
2012/07/23,8.159
2012/07/24,8.207
2012/07/25,8.27
2012/07/26,8.347
2012/07/27,8.421
2012/07/28,8.484
2012/07/29,8.526
2012/07/30,8.576
2012/07/31,8.661
2012/08/01,8.767
2012/08/02,8.937
2012/08/03,9.185
2012/08/04,9.424
2012/08/05,9.625
2012/08/06,9.79
2012/08/07,9.952
2012/08/08,10.102
2012/08/09,10.232
2012/08/10,10.374
2012/08/11,10.525
2012/08/12,10.664
2012/08/13,10.819
2012/08/14,10.992
2012/08/15,11.222
2012/08/16,11.509
2012/08/17,11.643
2012/08/18,11.652
2012/08/19,11.404
2012/08/20,11.09
2012/08/21,10.943
2012/08/22,10.798
2012/08/23,10.68
2012/08/24,10.636
2012/08/25,10.626
2012/08/26,10.623
2012/08/27,10.643
2012/08/28,10.684
2012/08/29,10.716
2012/08/30,10.725
2012/08/31,10.69
2012/09/01,10.606
2012/09/02,10.539
2012/09/03,10.516
2012/09/04,10.509
2012/09/05,10.533
2012/09/06,10.607
2012/09/07,10.673
2012/09/08,10.725
2012/09/09,10.767
2012/09/10,10.81
2012/09/11,10.868
2012/09/12,10.932
2012/09/13,10.983
2012/09/14,11.061
2012/09/15,11.153
2012/09/16,11.241
2012/09/17,11.326
2012/09/18,11.428
2012/09/19,11.558
2012/09/20,11.675
2012/09/21,11.769
2012/09/22,11.834
2012/09/23,11.885
2012/09/24,11.917
2012/09/25,11.948
2012/09/26,11.986
2012/09/27,12.033
2012/09/28,12.073
2012/09/29,12.117
2012/09/30,12.152
2012/10/01,12.182
2012/10/02,12.243
2012/10/03,12.326
2012/10/04,12.398
2012/10/05,12.445
