Date,transactions7var
2012/04/28,1165349
2012/04/29,897713
2012/04/30,1066710
2012/05/01,1496689
2012/05/02,1562561
2012/05/03,4807874
2012/05/04,6273377
2012/05/05,5340423
2012/05/06,3362268
2012/05/07,7140575
2012/05/08,8132767
2012/05/09,6209624
2012/05/10,7458527
2012/05/11,9572098
2012/05/12,9316015
2012/05/13,5672737
2012/05/14,22577476
2012/05/15,24493330
2012/05/16,24186102
2012/05/17,16896981
2012/05/18,19523274
2012/05/19,44819849
2012/05/20,40092477
2012/05/21,44263512
2012/05/22,43196009
2012/05/23,32974486
2012/05/24,15964249
2012/05/25,13082582
2012/05/26,9933386
2012/05/27,7425426
2012/05/28,5429173
2012/05/29,4745040
2012/05/30,5195054
2012/05/31,10024635
2012/06/01,9048137
2012/06/02,31170671
2012/06/03,41075143
2012/06/04,91848940
2012/06/05,125414611
2012/06/06,149155401
2012/06/07,140711658
2012/06/08,144958623
2012/06/09,95810896
2012/06/10,103505602
2012/06/11,79308717
2012/06/12,70261338
2012/06/13,131221123
2012/06/14,225259093
2012/06/15,216902896
2012/06/16,201732735
2012/06/17,199915477
2012/06/18,182829895
2012/06/19,83470606
2012/06/20,95447590
2012/06/21,71391620
2012/06/22,52893816
2012/06/23,57035536
2012/06/24,40379736
2012/06/25,23513128
2012/06/26,13558698
2012/06/27,11556213
2012/06/28,11535877
2012/06/29,12151425
2012/06/30,11771014
2012/07/01,16464577
2012/07/02,15136732
2012/07/03,11629975
2012/07/04,4422134
2012/07/05,2670154
2012/07/06,2915714
2012/07/07,3991465
2012/07/08,2640847
2012/07/09,2625451
2012/07/10,19346302
2012/07/11,23029901
2012/07/12,20439597
2012/07/13,20006278
2012/07/14,21847450
2012/07/15,16939420
2012/07/16,18258996
2012/07/17,18461663
2012/07/18,19913696
2012/07/19,18053176
2012/07/20,20401251
2012/07/21,10164279
2012/07/22,3933606
2012/07/23,3239414
2012/07/24,6575301
2012/07/25,10587778
2012/07/26,10726978
2012/07/27,9447512
2012/07/28,10172895
2012/07/29,9752557
2012/07/30,10976603
2012/07/31,21974061
2012/08/01,18037869
2012/08/02,16848463
2012/08/03,15680143
2012/08/04,18013895
2012/08/05,17685215
2012/08/06,18279817
2012/08/07,6526004
2012/08/08,15872105
2012/08/09,16655593
2012/08/10,15945187
2012/08/11,14204116
2012/08/12,14595855
2012/08/13,45912111
2012/08/14,41345009
2012/08/15,77870462
2012/08/16,75678299
2012/08/17,53908396
2012/08/18,46136261
2012/08/19,41844608
2012/08/20,38939208
2012/08/21,32750130
2012/08/22,12349174
2012/08/23,9888805
2012/08/24,11048250
2012/08/25,11841130
2012/08/26,16199092
2012/08/27,16258867
2012/08/28,6678121
2012/08/29,2743431
2012/08/30,3155457
2012/08/31,11598414
2012/09/01,18008501
2012/09/02,14135318
2012/09/03,14362922
2012/09/04,9428307
2012/09/05,9098975
2012/09/06,7575588
2012/09/07,11697909
2012/09/08,16887111
2012/09/09,19620535
2012/09/10,20432587
2012/09/11,18970244
2012/09/12,20638692
2012/09/13,9776566
2012/09/14,11617936
2012/09/15,15023487
2012/09/16,16615113
2012/09/17,21480085
2012/09/18,12671361
2012/09/19,13171273
2012/09/20,13147464
2012/09/21,7748689
2012/09/22,14537879
2012/09/23,14603655
2012/09/24,11533615
2012/09/25,12257007
2012/09/26,12473679
2012/09/27,10944722
2012/09/28,13439457
2012/09/29,10473543
2012/09/30,17930635
2012/10/01,18028700
2012/10/02,20978273
2012/10/03,17707012
2012/10/04,21426624
2012/10/05,28211144
2012/10/06,26767396
2012/10/07,15396015
2012/10/08,11437311
2012/10/09,11827811
2012/10/10,5092489
2012/10/11,10671622
2012/10/12,12161165
2012/10/13,12183161
2012/10/14,14507520
2012/10/15,7485238
2012/10/16,6314842
2012/10/17,6477719
2012/10/18,6054576
2012/10/19,9301974
2012/10/20,7978941
2012/10/21,20761343
2012/10/22,36234569
2012/10/23,36245185
2012/10/24,36126379
2012/10/25,38069544
2012/10/26,47069392
2012/10/27,79953356
2012/10/28,76472926
2012/10/29,35346104
2012/10/30,32615151
2012/10/31,24597983
2012/11/01,22433353
2012/11/02,26722525
2012/11/03,17388400
2012/11/04,9661977
2012/11/05,10374837
2012/11/06,11773615
2012/11/07,21616041
2012/11/08,18162456
2012/11/09,21111073
2012/11/10,17249201
2012/11/11,18508939
2012/11/12,21347971
2012/11/13,19603727
2012/11/14,8927697
2012/11/15,20253241
2012/11/16,34582501
2012/11/17,34004164
2012/11/18,26448616
2012/11/19,16754103
2012/11/20,9380392
2012/11/21,5408183
2012/11/22,9084441
2012/11/23,7658426
2012/11/24,10366596
2012/11/25,11091518
2012/11/26,10548908
2012/11/27,14754537
2012/11/28,12090057
2012/11/29,13520011
2012/11/30,15422537
2012/12/01,13104388
2012/12/02,32433749
2012/12/03,40266668
2012/12/04,40249183
2012/12/05,34924203
2012/12/06,34433446
2012/12/07,35090473
2012/12/08,34828603
2012/12/09,19721911
2012/12/10,3605970
2012/12/11,4130381
2012/12/12,4612693
2012/12/13,11594713
2012/12/14,10497619
2012/12/15,11354935
2012/12/16,8417984
2012/12/17,10153108
2012/12/18,27492557
2012/12/19,28862973
2012/12/20,30776540
2012/12/21,33366182
2012/12/22,32758942
2012/12/23,30172793
2012/12/24,36536868
2012/12/25,48296252
2012/12/26,44760415
2012/12/27,46398694
2012/12/28,50632074
2012/12/29,29716931
2012/12/30,35420977
