Date,difficulty30std
2012/04/03,99345
2012/04/04,105624
2012/04/05,110879
2012/04/06,115251
2012/04/07,118836
2012/04/08,121705
2012/04/09,123907
2012/04/10,125477
2012/04/11,126439
2012/04/12,125996
2012/04/13,123862
2012/04/14,121452
2012/04/15,118821
2012/04/16,115920
2012/04/17,112693
2012/04/18,109114
2012/04/19,105146
2012/04/20,100743
2012/04/21,95845
2012/04/22,90371
2012/04/23,84210
2012/04/24,77197
2012/04/25,69072
2012/04/26,59383
2012/04/27,53365
2012/04/28,62474
2012/04/29,68861
2012/04/30,73872
2012/05/01,77773
2012/05/02,80725
2012/05/03,82829
2012/05/04,84150
2012/05/05,84723
2012/05/06,84564
2012/05/07,83669
2012/05/08,82013
2012/05/09,79993
2012/05/10,99327
2012/05/11,115030
2012/05/12,129153
2012/05/13,142226
2012/05/14,153499
2012/05/15,163343
2012/05/16,172005
2012/05/17,179655
2012/05/18,186419
2012/05/19,192389
2012/05/20,197638
2012/05/21,202222
2012/05/22,206185
2012/05/23,209562
2012/05/24,210504
2012/05/25,210137
2012/05/26,209766
2012/05/27,206920
2012/05/28,202471
2012/05/29,197769
2012/05/30,192796
2012/05/31,187531
2012/06/01,181947
2012/06/02,176014
2012/06/03,169696
2012/06/04,162948
2012/06/05,155715
2012/06/06,147924
2012/06/07,139606
2012/06/08,141049
2012/06/09,141047
2012/06/10,140334
2012/06/11,138899
2012/06/12,136719
2012/06/13,133758
2012/06/14,129963
2012/06/15,125257
2012/06/16,119534
2012/06/17,112638
2012/06/18,104336
2012/06/19,94259
2012/06/20,81926
2012/06/21,80532
2012/06/22,79110
2012/06/23,84082
2012/06/24,94985
2012/06/25,103978
2012/06/26,111523
2012/06/27,117900
2012/06/28,123288
2012/06/29,127814
2012/06/30,131567
2012/07/01,134610
2012/07/02,136992
2012/07/03,138747
2012/07/04,140915
2012/07/05,143314
2012/07/06,144887
2012/07/07,145529
2012/07/08,144875
2012/07/09,143342
2012/07/10,140902
2012/07/11,137507
2012/07/12,133084
2012/07/13,127525
2012/07/14,120675
2012/07/15,112296
2012/07/16,102013
2012/07/17,92210
2012/07/18,89625
2012/07/19,82763
2012/07/20,81332
2012/07/21,90226
2012/07/22,97432
2012/07/23,103302
2012/07/24,108055
