Date,confirmationtime3trx
2011/12/13,2.861
2011/12/14,0.606
2011/12/15,3.365
2011/12/16,4.002
2011/12/17,0.511
2011/12/18,-1.263
2011/12/19,-2.909
2011/12/20,-1.431
2011/12/21,-1.37
2011/12/22,-1.285
2011/12/23,-0.574
2011/12/24,-0.323
2011/12/25,-2.284
2011/12/26,-3.512
2011/12/27,-1.305
2011/12/28,-0.385
2011/12/29,1.497
2011/12/30,1.943
2011/12/31,0.94
2012/01/01,-0.001
2012/01/02,-0.303
2012/01/03,-0.96
2012/01/04,-0.429
2012/01/05,0.218
2012/01/06,-1.274
2012/01/07,-2.946
2012/01/08,-2.148
2012/01/09,-1.211
2012/01/10,1.461
2012/01/11,1.676
2012/01/12,1.095
2012/01/13,1.927
2012/01/14,1.327
2012/01/15,1.693
2012/01/16,-0.991
2012/01/17,-1.37
2012/01/18,1.64
2012/01/19,1.173
2012/01/20,0.8
2012/01/21,-0.943
2012/01/22,0.446
2012/01/23,-1.24
2012/01/24,0.113
2012/01/25,0.349
2012/01/26,1.192
2012/01/27,1.24
2012/01/28,0.651
2012/01/29,-1.438
2012/01/30,-2.845
2012/01/31,-1.574
2012/02/01,0.457
2012/02/02,-0.025
2012/02/03,-0.502
2012/02/04,-0.603
2012/02/05,0.765
2012/02/06,1.158
2012/02/07,1.931
2012/02/08,1.344
2012/02/09,0.726
2012/02/10,0.961
2012/02/11,0.012
2012/02/12,-1.215
2012/02/13,0.035
2012/02/14,0.88
2012/02/15,1.521
2012/02/16,1.222
2012/02/17,-0.366
2012/02/18,-2.564
2012/02/19,-2.638
2012/02/20,-0.572
2012/02/21,1.98
2012/02/22,0.319
2012/02/23,-1.53
2012/02/24,-1.051
2012/02/25,-1.596
2012/02/26,-0.667
2012/02/27,-0.251
2012/02/28,-0.545
2012/02/29,-2.001
2012/03/01,-0.631
2012/03/02,2.189
2012/03/03,6.124
2012/03/04,4.228
2012/03/05,1.467
2012/03/06,0.55
2012/03/07,-1.15
2012/03/08,-2.122
2012/03/09,-3.106
2012/03/10,-3.085
2012/03/11,0.077
2012/03/12,-0.639
2012/03/13,-0.992
2012/03/14,1.016
2012/03/15,4.012
2012/03/16,1.773
2012/03/17,-1.288
2012/03/18,-2.13
2012/03/19,-0.654
2012/03/20,-0.907
2012/03/21,-1.001
2012/03/22,-0.907
2012/03/23,2.379
2012/03/24,-0.686
2012/03/25,-1.129
2012/03/26,-0.407
2012/03/27,-0.25
2012/03/28,0.283
