Date,activeaddresses3ema
2011/09/02,16735
2011/09/03,15600
2011/09/04,16568
2011/09/05,17406
2011/09/06,18091
2011/09/07,17457
2011/09/08,16630
2011/09/09,17617
2011/09/10,16778
2011/09/11,16099
2011/09/12,16368
2011/09/13,15619
2011/09/14,15206
2011/09/15,15332
2011/09/16,14946
2011/09/17,14035
2011/09/18,14197
2011/09/19,15130
2011/09/20,18521
2011/09/21,18227
2011/09/22,17884
2011/09/23,18939
2011/09/24,19186
2011/09/25,19211
2011/09/26,18487
2011/09/27,18590
2011/09/28,16170
2011/09/29,14483
2011/09/30,13976
2011/10/01,13487
2011/10/02,12663
2011/10/03,13256
2011/10/04,13527
2011/10/05,13591
2011/10/06,14016
2011/10/07,13881
2011/10/08,13189
2011/10/09,12733
2011/10/10,13041
2011/10/11,13378
2011/10/12,13481
2011/10/13,12570
2011/10/14,13562
2011/10/15,13360
2011/10/16,12671
2011/10/17,13408
2011/10/18,12862
2011/10/19,12708
2011/10/20,11913
2011/10/21,11982
2011/10/22,12046
2011/10/23,12632
2011/10/24,13292
2011/10/25,13200
2011/10/26,12823
2011/10/27,12141
2011/10/28,12424
2011/10/29,12648
2011/10/30,12025
2011/10/31,12023
2011/11/01,12396
2011/11/02,12756
2011/11/03,12935
2011/11/04,14375
2011/11/05,13935
2011/11/06,12738
2011/11/07,12690
2011/11/08,13214
2011/11/09,13777
2011/11/10,14070
2011/11/11,13118
2011/11/12,12661
2011/11/13,12599
2011/11/14,13159
2011/11/15,13663
2011/11/16,13410
2011/11/17,12803
2011/11/18,12612
2011/11/19,11352
2011/11/20,11385
2011/11/21,10772
2011/11/22,11131
2011/11/23,11315
2011/11/24,11130
2011/11/25,11406
2011/11/26,10847
2011/11/27,10800
2011/11/28,11710
2011/11/29,13043
2011/11/30,14239
2011/12/01,14134
2011/12/02,13731
2011/12/03,13294
2011/12/04,12584
2011/12/05,12831
2011/12/06,14037
2011/12/07,13474
2011/12/08,13766
2011/12/09,12773
2011/12/10,12360
2011/12/11,12248
2011/12/12,11804
2011/12/13,11893
2011/12/14,11933
2011/12/15,10979
2011/12/16,10806
2011/12/17,10510
2011/12/18,10192
2011/12/19,11456
2011/12/20,12574
2011/12/21,12228
2011/12/22,12131
2011/12/23,12119
2011/12/24,11184
2011/12/25,11493
2011/12/26,11834
2011/12/27,11790
2011/12/28,11298
2011/12/29,11310
2011/12/30,10927
2011/12/31,10907
2012/01/01,11176
2012/01/02,11545
2012/01/03,12341
2012/01/04,12405
2012/01/05,13895
2012/01/06,14402
2012/01/07,13912
2012/01/08,14291
2012/01/09,14565
2012/01/10,15327
2012/01/11,16158
2012/01/12,15019
2012/01/13,14758
2012/01/14,14661
2012/01/15,14105
2012/01/16,14489
2012/01/17,14384
2012/01/18,14562
2012/01/19,14828
2012/01/20,14511
2012/01/21,14018
2012/01/22,12711
2012/01/23,12963
2012/01/24,13950
2012/01/25,15266
2012/01/26,14854
2012/01/27,14645
2012/01/28,13849
2012/01/29,14120
2012/01/30,13813
2012/01/31,14720
2012/02/01,14846
2012/02/02,15476
2012/02/03,16015
2012/02/04,16188
2012/02/05,15523
2012/02/06,14708
2012/02/07,14708
2012/02/08,14651
2012/02/09,14886
2012/02/10,15621
2012/02/11,15455
2012/02/12,14816
2012/02/13,15534
2012/02/14,16969
2012/02/15,17367
2012/02/16,18016
2012/02/17,16118
2012/02/18,15310
2012/02/19,14278
2012/02/20,14285
2012/02/21,14502
2012/02/22,15396
2012/02/23,16478
2012/02/24,16499
2012/02/25,15828
2012/02/26,14578
2012/02/27,14745
2012/02/28,15535
2012/02/29,15489
