Date,size
2011/09/09,25378
2011/09/10,21751
2011/09/11,23373
2011/09/12,23149
2011/09/13,18928
2011/09/14,17926
2011/09/15,18159
2011/09/16,22055
2011/09/17,17035
2011/09/18,15648
2011/09/19,24197
2011/09/20,28040
2011/09/21,25558
2011/09/22,17917
2011/09/23,20038
2011/09/24,20754
2011/09/25,18980
2011/09/26,17949
2011/09/27,19815
2011/09/28,16758
2011/09/29,17981
2011/09/30,19718
2011/10/01,16107
2011/10/02,17234
2011/10/03,17961
2011/10/04,22567
2011/10/05,16864
2011/10/06,20231
2011/10/07,17816
2011/10/08,19107
2011/10/09,18126
2011/10/10,19617
2011/10/11,28941
2011/10/12,21467
2011/10/13,21866
2011/10/14,18859
2011/10/15,17322
2011/10/16,17994
2011/10/17,22701
2011/10/18,17659
2011/10/19,16455
2011/10/20,16210
2011/10/21,16133
2011/10/22,21968
2011/10/23,20946
2011/10/24,19191
2011/10/25,16888
2011/10/26,18914
2011/10/27,19152
2011/10/28,21304
2011/10/29,21625
2011/10/30,18430
2011/10/31,15811
2011/11/01,15344
2011/11/02,15187
2011/11/03,19311
2011/11/04,18858
2011/11/05,17047
2011/11/06,13222
2011/11/07,17965
2011/11/08,17935
2011/11/09,16878
2011/11/10,19738
2011/11/11,18852
2011/11/12,15267
2011/11/13,14693
2011/11/14,18321
2011/11/15,16307
2011/11/16,19326
2011/11/17,16104
2011/11/18,16547
2011/11/19,16669
2011/11/20,16809
2011/11/21,16482
2011/11/22,16771
2011/11/23,16868
2011/11/24,20044
2011/11/25,16813
2011/11/26,17245
2011/11/27,17992
2011/11/28,20051
2011/11/29,21708
2011/11/30,20324
2011/12/01,16205
2011/12/02,18462
2011/12/03,16279
2011/12/04,16798
2011/12/05,16426
2011/12/06,19732
2011/12/07,19390
2011/12/08,16777
2011/12/09,16002
2011/12/10,16405
2011/12/11,17486
2011/12/12,18903
2011/12/13,18567
2011/12/14,15597
2011/12/15,17162
2011/12/16,19790
2011/12/17,14451
2011/12/18,13389
2011/12/19,17231
2011/12/20,24892
2011/12/21,16244
2011/12/22,17238
2011/12/23,16560
2011/12/24,13281
2011/12/25,12809
2011/12/26,13660
2011/12/27,16052
2011/12/28,14277
2011/12/29,16723
2011/12/30,14876
2011/12/31,16162
2012/01/01,16992
2012/01/02,19040
2012/01/03,18131
2012/01/04,19270
2012/01/05,24596
2012/01/06,21672
2012/01/07,16620
2012/01/08,20340
2012/01/09,20310
2012/01/10,29590
2012/01/11,27435
2012/01/12,20122
2012/01/13,21679
2012/01/14,19891
2012/01/15,20803
2012/01/16,19623
2012/01/17,19495
2012/01/18,24735
2012/01/19,21161
2012/01/20,20794
2012/01/21,18234
2012/01/22,16542
2012/01/23,15148
2012/01/24,24017
2012/01/25,24961
2012/01/26,22014
2012/01/27,21301
2012/01/28,19058
2012/01/29,17906
2012/01/30,15711
2012/01/31,21845
2012/02/01,20782
2012/02/02,21620
2012/02/03,20689
2012/02/04,21023
2012/02/05,21191
2012/02/06,18669
2012/02/07,22061
2012/02/08,21060
2012/02/09,23140
2012/02/10,27452
2012/02/11,23083
2012/02/12,19537
2012/02/13,26315
2012/02/14,31811
2012/02/15,29958
2012/02/16,32471
2012/02/17,18727
2012/02/18,16254
2012/02/19,16419
2012/02/20,19033
2012/02/21,22881
2012/02/22,19503
2012/02/23,22490
2012/02/24,22187
2012/02/25,18085
2012/02/26,17935
2012/02/27,19487
2012/02/28,19261
2012/02/29,16963
2012/03/01,22607
2012/03/02,27956
2012/03/03,20162
2012/03/04,21450
2012/03/05,24312
2012/03/06,23307
2012/03/07,19153
2012/03/08,19867
2012/03/09,18631
2012/03/10,18252
2012/03/11,19326
2012/03/12,17821
2012/03/13,24723
2012/03/14,26045
2012/03/15,25002
2012/03/16,20130
2012/03/17,18060
2012/03/18,16294
2012/03/19,21062
2012/03/20,18939
2012/03/21,19543
2012/03/22,19158
2012/03/23,21334
2012/03/24,14728
2012/03/25,17983
2012/03/26,21019
2012/03/27,19457
2012/03/28,22204
2012/03/29,23767
2012/03/30,20294
2012/03/31,16095
2012/04/01,18447
2012/04/02,26376
2012/04/03,27200
2012/04/04,23402
2012/04/05,29840
2012/04/06,25348
2012/04/07,21073
2012/04/08,17845
2012/04/09,20114
2012/04/10,25257
2012/04/11,26241
2012/04/12,29407
2012/04/13,26228
2012/04/14,25286
2012/04/15,29537
2012/04/16,27346
2012/04/17,28954
2012/04/18,32905
2012/04/19,23558
2012/04/20,28147
2012/04/21,22122
2012/04/22,21101
2012/04/23,24795
2012/04/24,24958
2012/04/25,27268
2012/04/26,27323
2012/04/27,24958
2012/04/28,21852
2012/04/29,18880
2012/04/30,23316
2012/05/01,28094
2012/05/02,31454
2012/05/03,38871
2012/05/04,39016
2012/05/05,34066
2012/05/06,34626
2012/05/07,47573
2012/05/08,44137
2012/05/09,47735
2012/05/10,41691
2012/05/11,59536
2012/05/12,61767
2012/05/13,45873
2012/05/14,89490
2012/05/15,77261
2012/05/16,70625
2012/05/17,67869
2012/05/18,75596
2012/05/19,104530
2012/05/20,99269
2012/05/21,110218
2012/05/22,90642
2012/05/23,93793
2012/05/24,94460
2012/05/25,104320
2012/05/26,70946
2012/05/27,72716
2012/05/28,93271
2012/05/29,105478
2012/05/30,88056
2012/05/31,68826
2012/06/01,79468
2012/06/02,36148
2012/06/03,95880
2012/06/04,130169
2012/06/05,128077
2012/06/06,47759
2012/06/07,104436
2012/06/08,78306
2012/06/09,84899
2012/06/10,102631
2012/06/11,100591
2012/06/12,58803
2012/06/13,161051
2012/06/14,179319
2012/06/15,154174
2012/06/16,125257
2012/06/17,114005
2012/06/18,99762
2012/06/19,112799
2012/06/20,105181
2012/06/21,92607
2012/06/22,80592
2012/06/23,64139
2012/06/24,78239
2012/06/25,83030
2012/06/26,88470
2012/06/27,82729
2012/06/28,85385
2012/06/29,65558
2012/06/30,72062
2012/07/01,56599
2012/07/02,68526
2012/07/03,60377
2012/07/04,67516
2012/07/05,67732
2012/07/06,68078
2012/07/07,63962
2012/07/08,59182
2012/07/09,67122
2012/07/10,101664
2012/07/11,103152
2012/07/12,71257
2012/07/13,70717
2012/07/14,61443
2012/07/15,81670
2012/07/16,94310
2012/07/17,91280
2012/07/18,97458
2012/07/19,107218
2012/07/20,111117
2012/07/21,105366
2012/07/22,91723
2012/07/23,97652
2012/07/24,76531
2012/07/25,71603
2012/07/26,78997
2012/07/27,62835
2012/07/28,94103
2012/07/29,88329
2012/07/30,89473
2012/07/31,137301
2012/08/01,98884
