Date,sentbyaddress3rsi
2011/12/17,36.402
2011/12/18,33.518
2011/12/19,80.938
2011/12/20,84.619
2011/12/21,45.88
2011/12/22,56.64
2011/12/23,54.759
2011/12/24,21.613
2011/12/25,52.275
2011/12/26,59.792
2011/12/27,44.903
2011/12/28,32.295
2011/12/29,52.908
2011/12/30,35.459
2011/12/31,33.238
2012/01/01,48.604
2012/01/02,67.968
2012/01/03,81.733
2012/01/04,76.556
2012/01/05,94.407
2012/01/06,71.515
2012/01/07,42.33
2012/01/08,58.196
2012/01/09,48.118
2012/01/10,68.18
2012/01/11,77.396
2012/01/12,43.543
2012/01/13,57.045
2012/01/14,61.424
2012/01/15,30.866
2012/01/16,62.459
2012/01/17,52.346
2012/01/18,53.37
2012/01/19,57.862
2012/01/20,43.029
2012/01/21,21.117
2012/01/22,7.392
2012/01/23,53.292
2012/01/24,69.498
2012/01/25,81.144
2012/01/26,44.393
2012/01/27,40.32
2012/01/28,32.52
2012/01/29,47.526
2012/01/30,45.662
2012/01/31,75.702
2012/02/01,57.45
2012/02/02,75.463
2012/02/03,72.688
2012/02/04,59.928
2012/02/05,35.051
2012/02/06,19.016
2012/02/07,52.07
2012/02/08,58.08
2012/02/09,71.575
2012/02/10,82.525
2012/02/11,42.909
2012/02/12,31.763
2012/02/13,68.956
2012/02/14,83.602
2012/02/15,71.613
2012/02/16,74.747
2012/02/17,21.634
2012/02/18,28.708
2012/02/19,19.375
2012/02/20,41.107
2012/02/21,41.88
2012/02/22,69.309
2012/02/23,80.706
2012/02/24,48.861
2012/02/25,32.511
2012/02/26,24.288
2012/02/27,55.088
2012/02/28,64.926
2012/02/29,56.834
2012/03/01,59.414
2012/03/02,80.46
2012/03/03,22.287
2012/03/04,55.701
2012/03/05,60.781
2012/03/06,46.236
2012/03/07,52.382
2012/03/08,59.409
2012/03/09,49.21
2012/03/10,18.861
2012/03/11,17.966
2012/03/12,57.925
2012/03/13,77.388
2012/03/14,57.79
2012/03/15,39.237
2012/03/16,55.066
2012/03/17,61.086
2012/03/18,27.785
2012/03/19,52.738
2012/03/20,62.207
2012/03/21,67.885
2012/03/22,53.562
2012/03/23,24.765
2012/03/24,36.077
2012/03/25,27.614
2012/03/26,62.268
2012/03/27,64.893
2012/03/28,79.42
2012/03/29,84.514
2012/03/30,39.87
2012/03/31,26.668
2012/04/01,14.984
2012/04/02,52.841
2012/04/03,76.168
2012/04/04,57.347
2012/04/05,47.187
2012/04/06,43.663
2012/04/07,25.772
2012/04/08,25.029
2012/04/09,56.215
2012/04/10,82.836
2012/04/11,86.167
2012/04/12,86.903
2012/04/13,33.288
2012/04/14,58.987
2012/04/15,39.719
2012/04/16,69.386
2012/04/17,53.052
2012/04/18,65.898
2012/04/19,44.374
2012/04/20,62.401
2012/04/21,33.341
2012/04/22,24.763
2012/04/23,48.873
2012/04/24,58.207
2012/04/25,61.323
2012/04/26,80.42
2012/04/27,39.024
2012/04/28,33.559
2012/04/29,37.154
2012/04/30,77.904
2012/05/01,79.712
2012/05/02,79.839
2012/05/03,91.695
2012/05/04,92.053
2012/05/05,47.944
2012/05/06,30.941
2012/05/07,79.913
2012/05/08,70.166
2012/05/09,74.997
2012/05/10,31.191
2012/05/11,66.462
2012/05/12,50.001
2012/05/13,36.5
2012/05/14,79.665
2012/05/15,53.337
2012/05/16,43.959
2012/05/17,35.871
2012/05/18,57.439
2012/05/19,75.044
2012/05/20,59.257
2012/05/21,61.986
