Date,sentinusd90wmaUSD
2012/02/22,2361636
2012/02/23,2353012
2012/02/24,2336102
2012/02/25,2299633
2012/02/26,2255613
2012/02/27,2218642
2012/02/28,2183231
2012/02/29,2147870
2012/03/01,2151522
2012/03/02,2146015
2012/03/03,2123332
2012/03/04,2131873
2012/03/05,2112026
2012/03/06,2094603
2012/03/07,2082196
2012/03/08,2088815
2012/03/09,2102434
2012/03/10,2094622
2012/03/11,2088827
2012/03/12,2101644
2012/03/13,2109756
2012/03/14,2127911
2012/03/15,2134689
2012/03/16,2143718
2012/03/17,2147314
2012/03/18,2139310
2012/03/19,2138376
2012/03/20,2140059
2012/03/21,2143068
2012/03/22,2170988
2012/03/23,2214065
2012/03/24,2246588
2012/03/25,2236449
2012/03/26,2239411
2012/03/27,2247580
2012/03/28,2269160
2012/03/29,2343810
2012/03/30,2394955
2012/03/31,2434168
2012/04/01,2445454
2012/04/02,2466215
2012/04/03,2500856
2012/04/04,2524583
2012/04/05,2569407
2012/04/06,2576092
2012/04/07,2555873
2012/04/08,2630833
2012/04/09,2748242
2012/04/10,2777874
2012/04/11,2879857
2012/04/12,2957646
2012/04/13,2987452
2012/04/14,3033670
2012/04/15,3110745
2012/04/16,3222780
2012/04/17,3281083
2012/04/18,3329228
2012/04/19,3339790
2012/04/20,3601708
2012/04/21,3674923
2012/04/22,3713247
2012/04/23,3728803
2012/04/24,3739772
2012/04/25,3781298
2012/04/26,3916274
2012/04/27,4005105
2012/04/28,4026062
2012/04/29,4054523
2012/04/30,4093784
2012/05/01,4131819
2012/05/02,4170567
2012/05/03,4224028
2012/05/04,4266859
2012/05/05,4316930
2012/05/06,4304975
2012/05/07,4462376
2012/05/08,4807094
2012/05/09,4974410
2012/05/10,5009896
2012/05/11,5079763
2012/05/12,5331464
2012/05/13,5395076
2012/05/14,5546191
2012/05/15,5857288
2012/05/16,6134336
2012/05/17,6410883
2012/05/18,6510129
2012/05/19,6535746
2012/05/20,6648620
2012/05/21,6960439
2012/05/22,7296806
2012/05/23,7377021
2012/05/24,7378559
2012/05/25,7527026
2012/05/26,7939678
2012/05/27,8031881
2012/05/28,8135588
2012/05/29,8354278
2012/05/30,8481131
2012/05/31,8878660
2012/06/01,9069115
2012/06/02,9144038
2012/06/03,9185860
2012/06/04,9564127
