Date,mining_profitability7roc
2012/04/08,11.562
2012/04/09,9.533
2012/04/10,-3.754
2012/04/11,-4.642
2012/04/12,-4.147
2012/04/13,-9.599
2012/04/14,17.684
2012/04/15,-12.283
2012/04/16,28.024
2012/04/17,-0.911
2012/04/18,13.404
2012/04/19,26.456
2012/04/20,5.127
2012/04/21,3.352
2012/04/22,13.19
2012/04/23,-19.756
2012/04/24,10.647
2012/04/25,-5.185
2012/04/26,1.549
2012/04/27,4.418
2012/04/28,-3.755
2012/04/29,15.039
2012/04/30,16.394
2012/05/01,-5.782
2012/05/02,1.253
2012/05/03,-4.244
2012/05/04,0.98
2012/05/05,6.066
2012/05/06,-9.333
2012/05/07,-0.181
2012/05/08,1.931
2012/05/09,-0.25
2012/05/10,-28.69
2012/05/11,-0.083
2012/05/12,-28.387
2012/05/13,-8.811
2012/05/14,-14.674
2012/05/15,-14.699
2012/05/16,-2.044
2012/05/17,15.683
2012/05/18,-5.695
2012/05/19,20.659
2012/05/20,-3.433
2012/05/21,-6.891
2012/05/22,3.181
2012/05/23,4.659
2012/05/24,3.825
2012/05/25,2.73
2012/05/26,11.65
2012/05/27,14.395
2012/05/28,16.69
2012/05/29,6.736
2012/05/30,6.208
2012/05/31,6.049
2012/06/01,12.17
2012/06/02,-2.429
2012/06/03,-4.944
2012/06/04,6.196
2012/06/05,15.609
2012/06/06,-1.706
2012/06/07,12.113
2012/06/08,-4.007
2012/06/09,12.204
2012/06/10,12.791
2012/06/11,-10.953
2012/06/12,13.642
2012/06/13,4.727
2012/06/14,15.229
2012/06/15,11.326
2012/06/16,9.338
2012/06/17,13.666
2012/06/18,47.778
2012/06/19,-19.914
2012/06/20,26.338
2012/06/21,-3.113
2012/06/22,3.981
2012/06/23,-6.473
2012/06/24,-20.966
2012/06/25,-11.697
2012/06/26,16.2
2012/06/27,-10.441
2012/06/28,-5.505
2012/06/29,-1.815
2012/06/30,-4.235
2012/07/01,25.199
2012/07/02,0.439
2012/07/03,9.521
2012/07/04,-9.83
2012/07/05,1.309
2012/07/06,-0.197
2012/07/07,6.961
2012/07/08,-8.1
2012/07/09,2.113
2012/07/10,-1.072
2012/07/11,7.635
2012/07/12,22.653
2012/07/13,15.759
2012/07/14,9.583
2012/07/15,8.127
2012/07/16,19.55
2012/07/17,26.088
2012/07/18,23.397
2012/07/19,-4.804
2012/07/20,8.097
2012/07/21,5.907
2012/07/22,23.948
2012/07/23,-9.084
2012/07/24,-6.05
2012/07/25,-0.101
2012/07/26,8.258
2012/07/27,3.88
2012/07/28,-8.686
2012/07/29,9.417
2012/07/30,0.456
2012/07/31,-15.422
2012/08/01,-0.155
2012/08/02,14.637
2012/08/03,-0.455
2012/08/04,28.66
2012/08/05,-6.627
2012/08/06,21.314
2012/08/07,47.953
2012/08/08,20.604
2012/08/09,2.872
2012/08/10,3.621
2012/08/11,6.726
2012/08/12,6.521
2012/08/13,5.232
2012/08/14,-9.868
2012/08/15,5.464
2012/08/16,5.241
2012/08/17,2.587
2012/08/18,-1.478
2012/08/19,-2.236
2012/08/20,-30.799
2012/08/21,-20.234
2012/08/22,-21.768
2012/08/23,-21.845
2012/08/24,-21.496
2012/08/25,-22.491
2012/08/26,-8.431
2012/08/27,5.673
2012/08/28,7.724
2012/08/29,-0.547
2012/08/30,-6.973
2012/08/31,-2.962
2012/09/01,-3.811
2012/09/02,-6.937
2012/09/03,-2.902
2012/09/04,1.357
2012/09/05,-3.265
2012/09/06,-0.076
2012/09/07,-1.569
2012/09/08,-8.591
2012/09/09,0.628
2012/09/10,3.053
2012/09/11,-17.46
2012/09/12,3.039
2012/09/13,-10.205
2012/09/14,8.675
2012/09/15,12.791
2012/09/16,4.295
2012/09/17,10.127
2012/09/18,11.735
2012/09/19,-9.426
2012/09/20,22.422
2012/09/21,2.679
2012/09/22,-10.232
2012/09/23,-3.97
2012/09/24,-5.068
2012/09/25,-12.231
2012/09/26,5.107
2012/09/27,3.6
2012/09/28,-9.752
2012/09/29,16.751
2012/09/30,-4.824
2012/10/01,-8.989
2012/10/02,22.188
2012/10/03,-9.684
2012/10/04,-11.875
2012/10/05,2.169
2012/10/06,1.154
2012/10/07,-16.511
