Date,price7rocUSD
2012/02/16,-24.942
2012/02/17,-26.321
2012/02/18,-25.226
2012/02/19,-22.755
2012/02/20,-19.047
2012/02/21,-11.025
2012/02/22,-1.033
2012/02/23,10.385
2012/02/24,16.088
2012/02/25,13.916
2012/02/26,12.619
2012/02/27,13.248
2012/02/28,13.49
2012/02/29,11.85
2012/03/01,3.287
2012/03/02,-4.157
2012/03/03,-4.7
2012/03/04,-2.688
2012/03/05,-0.746
2012/03/06,1.639
2012/03/07,2.052
2012/03/08,0.883
2012/03/09,1.717
2012/03/10,3.78
2012/03/11,3.273
2012/03/12,-0.054
2012/03/13,1.815
2012/03/14,7.396
2012/03/15,8.633
2012/03/16,9.194
2012/03/17,8.928
2012/03/18,7.721
2012/03/19,1.533
2012/03/20,-6.398
2012/03/21,-9.473
2012/03/22,-11.389
2012/03/23,-11.877
2012/03/24,-11.342
2012/03/25,-12.095
2012/03/26,-7.841
2012/03/27,-0.776
2012/03/28,-0.412
2012/03/29,0.744
2012/03/30,2.622
2012/03/31,4.216
2012/04/01,5.129
2012/04/02,6.401
2012/04/03,5.19
2012/04/04,2.577
2012/04/05,2.865
2012/04/06,2.067
2012/04/07,-1.227
2012/04/08,-2.263
2012/04/09,-0.965
2012/04/10,-2.191
2012/04/11,-0.967
2012/04/12,0.038
2012/04/13,-0.383
2012/04/14,2.724
2012/04/15,4.736
2012/04/16,2.475
2012/04/17,2.333
2012/04/18,3.373
2012/04/19,4.142
2012/04/20,6.678
2012/04/21,7.659
2012/04/22,5.387
2012/04/23,2.657
2012/04/24,1.24
2012/04/25,1.368
2012/04/26,-0.252
2012/04/27,-2.674
2012/04/28,-5.427
2012/04/29,-5.545
2012/04/30,-2.963
2012/05/01,-1.085
2012/05/02,-1.545
2012/05/03,-0.21
2012/05/04,-0.302
2012/05/05,0.642
2012/05/06,2.469
2012/05/07,2.506
2012/05/08,1.892
2012/05/09,0.198
2012/05/10,-2.922
2012/05/11,-3.606
2012/05/12,-2.444
2012/05/13,-2.445
2012/05/14,-1.515
2012/05/15,-0.786
2012/05/16,0.331
2012/05/17,2.814
2012/05/18,4.164
2012/05/19,3.312
2012/05/20,3.325
2012/05/21,2.44
2012/05/22,1.399
2012/05/23,1.099
2012/05/24,0.687
2012/05/25,0.457
2012/05/26,-0.05
2012/05/27,0.331
2012/05/28,0.647
2012/05/29,0.897
2012/05/30,0.456
2012/05/31,0.551
2012/06/01,2.049
2012/06/02,2.984
2012/06/03,2.061
2012/06/04,2.145
2012/06/05,4.042
2012/06/06,5.98
2012/06/07,7.212
2012/06/08,7.148
2012/06/09,6.358
2012/06/10,5.502
2012/06/11,5.312
2012/06/12,5.503
2012/06/13,6.962
2012/06/14,7.45
2012/06/15,10.964
2012/06/16,15.252
2012/06/17,14.365
2012/06/18,13.284
2012/06/19,13.402
2012/06/20,12.95
2012/06/21,12.347
2012/06/22,6.213
2012/06/23,0.592
2012/06/24,1.316
2012/06/25,1.158
2012/06/26,-0.465
2012/06/27,-0.48
2012/06/28,-0.729
2012/06/29,0.212
2012/06/30,2.802
2012/07/01,4.229
2012/07/02,5.573
2012/07/03,3.614
2012/07/04,-1.111
2012/07/05,-0.549
2012/07/06,0.469
2012/07/07,0.915
2012/07/08,1.818
2012/07/09,3.39
2012/07/10,7.657
2012/07/11,10.723
2012/07/12,13.311
2012/07/13,15.276
2012/07/14,12.481
2012/07/15,11.814
2012/07/16,17.151
2012/07/17,21.648
2012/07/18,24.81
2012/07/19,20.392
2012/07/20,13.271
2012/07/21,14.942
2012/07/22,13.882
2012/07/23,4.299
2012/07/24,-1.471
2012/07/25,-3.131
2012/07/26,-1.556
2012/07/27,2.358
2012/07/28,2.203
2012/07/29,1.913
2012/07/30,5.513
2012/07/31,8.115
2012/08/01,8.942
2012/08/02,13.471
2012/08/03,21.318
2012/08/04,23.474
2012/08/05,24.182
2012/08/06,21.994
2012/08/07,19.433
2012/08/08,17.222
2012/08/09,10.333
2012/08/10,4.591
2012/08/11,4.76
2012/08/12,5.858
2012/08/13,8.913
2012/08/14,10.075
2012/08/15,14.826
2012/08/16,20.713
2012/08/17,10.792
2012/08/18,1.782
2012/08/19,-15.366
2012/08/20,-23.504
2012/08/21,-17.552
2012/08/22,-22.477
2012/08/23,-25.906
2012/08/24,-17.278
2012/08/25,-9.801
2012/08/26,8.328
2012/08/27,19.006
2012/08/28,9.637
2012/08/29,10.775
2012/08/30,8.8
2012/08/31,1.145
2012/09/01,-4.774
2012/09/02,-4.743
2012/09/03,-3.714
2012/09/04,-4.499
2012/09/05,-2.117
2012/09/06,2.861
2012/09/07,6.017
2012/09/08,10.039
2012/09/09,9.235
2012/09/10,6.991
2012/09/11,7.493
2012/09/12,6.132
2012/09/13,2.013
2012/09/14,4.245
2012/09/15,6.167
2012/09/16,7.023
2012/09/17,7.075
2012/09/18,7.564
2012/09/19,9.287
2012/09/20,9.92
2012/09/21,7.039
2012/09/22,4.302
2012/09/23,3.434
2012/09/24,2.066
2012/09/25,0.473
2012/09/26,-1.361
2012/09/27,-0.777
2012/09/28,-0.431
2012/09/29,1.232
2012/09/30,1.358
2012/10/01,2.058
2012/10/02,4.004
2012/10/03,5.166
2012/10/04,4.273
2012/10/05,3.402
2012/10/06,1.942
2012/10/07,-1.849
2012/10/08,-4.335
2012/10/09,-6.477
2012/10/10,-6.665
2012/10/11,-6.115
2012/10/12,-5.42
2012/10/13,-5.669
2012/10/14,-2.901
2012/10/15,-1.11
2012/10/16,0.232
2012/10/17,-1.584
2012/10/18,-1.698
2012/10/19,-1.837
2012/10/20,-1.597
2012/10/21,-0.97
2012/10/22,-0.312
2012/10/23,-1.24
2012/10/24,-1.416
2012/10/25,-5.214
2012/10/26,-11.196
2012/10/27,-12.983
2012/10/28,-10.315
2012/10/29,-8.745
2012/10/30,-8.193
2012/10/31,-5.227
2012/11/01,-3.385
2012/11/02,0.069
2012/11/03,3.326
2012/11/04,2.337
2012/11/05,1.165
2012/11/06,0.701
2012/11/07,-1.191
2012/11/08,0.434
2012/11/09,3.357
2012/11/10,2.812
2012/11/11,1.439
2012/11/12,1.392
2012/11/13,1.531
2012/11/14,0.6
2012/11/15,1.562
2012/11/16,5.546
2012/11/17,8.444
2012/11/18,7.728
2012/11/19,7.399
2012/11/20,6.678
2012/11/21,6.925
2012/11/22,8.954
2012/11/23,7.685
2012/11/24,5.35
2012/11/25,6.2
2012/11/26,5.383
2012/11/27,4.354
2012/11/28,4.592
2012/11/29,2.59
2012/11/30,1.575
2012/12/01,1.331
2012/12/02,0.717
2012/12/03,1.834
2012/12/04,6.605
2012/12/05,9.094
2012/12/06,7.264
2012/12/07,6.751
2012/12/08,7.135
2012/12/09,6.923
2012/12/10,6.514
2012/12/11,3.826
2012/12/12,2.199
2012/12/13,3.008
2012/12/14,1.894
2012/12/15,0.633
2012/12/16,-0.067
2012/12/17,-1.012
2012/12/18,-1.877
2012/12/19,-1.721
2012/12/20,-0.891
2012/12/21,-0.829
2012/12/22,-0.808
2012/12/23,-0.022
2012/12/24,0.762
2012/12/25,0.832
2012/12/26,-0.298
2012/12/27,-0.994
2012/12/28,-0.808
2012/12/29,0.106
2012/12/30,0.29
2012/12/31,0.557
2013/01/01,0.166
2013/01/02,-1.551
2013/01/03,-1.715
2013/01/04,-1.579
2013/01/05,-2.063
2013/01/06,-2.301
2013/01/07,-2.149
2013/01/08,-0.008
2013/01/09,3.038
2013/01/10,4.08
2013/01/11,5.818
2013/01/12,6.134
2013/01/13,6.093
2013/01/14,6.23
2013/01/15,4.181
2013/01/16,4.385
2013/01/17,8.032
2013/01/18,9.398
2013/01/19,9.427
2013/01/20,10.15
2013/01/21,13.171
2013/01/22,19.157
2013/01/23,19.889
2013/01/24,14.015
2013/01/25,9.946
2013/01/26,12.207
2013/01/27,12.713
2013/01/28,11.945
2013/01/29,11.399
2013/01/30,11.467
2013/01/31,16.416
2013/02/01,20.174
2013/02/02,16.655
2013/02/03,15.827
2013/02/04,13.563
2013/02/05,8.493
2013/02/06,7.905
2013/02/07,7.607
2013/02/08,8.779
2013/02/09,13.835
2013/02/10,16.192
2013/02/11,17.844
2013/02/12,19.852
2013/02/13,18.447
2013/02/14,18.597
2013/02/15,19.872
2013/02/16,16.442
2013/02/17,14.116
2013/02/18,11.896
2013/02/19,14.88
2013/02/20,19.335
2013/02/21,16.353
2013/02/22,10.968
2013/02/23,9.29
2013/02/24,8.388
2013/02/25,8.575
2013/02/26,5.227
2013/02/27,3.137
2013/02/28,7.126
2013/03/01,13.608
2013/03/02,14.163
2013/03/03,12.815
2013/03/04,15.811
2013/03/05,25.687
2013/03/06,30.626
2013/03/07,27.495
2013/03/08,24.233
2013/03/09,30.323
2013/03/10,36.848
2013/03/11,35.28
2013/03/12,20.426
2013/03/13,9.736
2013/03/14,8.286
2013/03/15,5.585
2013/03/16,2.312
2013/03/17,-1.098
2013/03/18,2.525
2013/03/19,16.49
2013/03/20,34.979
2013/03/21,47.77
2013/03/22,50.793
2013/03/23,44.063
2013/03/24,47.436
2013/03/25,49.472
2013/03/26,39.551
2013/03/27,37.202
2013/03/28,34.01
2013/03/29,31.718
2013/03/30,37.472
2013/03/31,37.487
2013/04/01,36.98
2013/04/02,50.27
2013/04/03,51.448
2013/04/04,44.093
2013/04/05,48.589
2013/04/06,53.353
2013/04/07,59.552
2013/04/08,72.687
2013/04/09,81.344
2013/04/10,48.746
2013/04/11,-6.929
2013/04/12,-28.15
2013/04/13,-26.603
2013/04/14,-35.354
2013/04/15,-46.743
2013/04/16,-61.595
2013/04/17,-56.451
2013/04/18,-17.67
2013/04/19,15.419
2013/04/20,16.3
2013/04/21,24.437
2013/04/22,30.338
2013/04/23,60.949
2013/04/24,73.412
2013/04/25,47.593
2013/04/26,24.597
2013/04/27,10.339
2013/04/28,8.531
2013/04/29,14.996
2013/04/30,11.33
2013/05/01,-7.521
2013/05/02,-20.532
2013/05/03,-22.754
2013/05/04,-16.843
2013/05/05,-8.53
2013/05/06,-13.446
2013/05/07,-17.915
2013/05/08,-12.087
2013/05/09,-2.367
2013/05/10,7.64
2013/05/11,7.104
2013/05/12,-1.521
2013/05/13,-0.676
2013/05/14,-1.576
2013/05/15,-4.58
2013/05/16,-1.31
2013/05/17,-0.043
2013/05/18,0.278
2013/05/19,1.045
2013/05/20,0.854
2013/05/21,6.117
2013/05/22,11.581
2013/05/23,10.931
2013/05/24,12.773
2013/05/25,13.216
2013/05/26,14.034
2013/05/27,13.388
2013/05/28,9.061
2013/05/29,8.351
2013/05/30,7.202
2013/05/31,1.46
2013/06/01,-0.639
2013/06/02,-3.584
2013/06/03,-6.25
2013/06/04,-4.804
2013/06/05,-5.01
2013/06/06,-6.174
2013/06/07,-9.025
2013/06/08,-12.862
2013/06/09,-14.661
2013/06/10,-13.524
2013/06/11,-10.97
2013/06/12,-10.03
2013/06/13,-10.422
2013/06/14,-10.572
2013/06/15,-9.346
2013/06/16,-5.267
2013/06/17,-3.089
2013/06/18,-2.715
2013/06/19,-2.727
2013/06/20,-1.046
2013/06/21,3.128
2013/06/22,3.412
2013/06/23,1.319
2013/06/24,-2.348
2013/06/25,-6.189
2013/06/26,-6.759
2013/06/27,-8.719
2013/06/28,-13.039
2013/06/29,-13.879
2013/06/30,-11.655
2013/07/01,-13.069
2013/07/02,-14.441
2013/07/03,-16.914
2013/07/04,-18.777
2013/07/05,-20.842
2013/07/06,-26.077
2013/07/07,-22.351
2013/07/08,-14.086
2013/07/09,-12.873
2013/07/10,-6.675
2013/07/11,3.873
2013/07/12,16.411
2013/07/13,33.477
2013/07/14,26.388
2013/07/15,21.409
2013/07/16,24.046
2013/07/17,16.827
2013/07/18,6.115
2013/07/19,-1.366
2013/07/20,-4.81
2013/07/21,-4.841
2013/07/22,-5.818
2013/07/23,-5.21
2013/07/24,-2.648
2013/07/25,1.61
2013/07/26,6.387
2013/07/27,5.543
2013/07/28,5.321
2013/07/29,8.49
2013/07/30,9.162
2013/07/31,11.08
2013/08/01,9.104
2013/08/02,7.066
2013/08/03,7.757
2013/08/04,7.016
2013/08/05,4.625
2013/08/06,4.129
2013/08/07,1.448
2013/08/08,0.059
2013/08/09,-1.379
2013/08/10,-2.087
2013/08/11,-1.6
2013/08/12,-1.541
2013/08/13,-2.017
2013/08/14,-1.127
2013/08/15,1.063
2013/08/16,2.511
2013/08/17,3.657
2013/08/18,4.177
2013/08/19,4.263
2013/08/20,6.492
2013/08/21,9.157
2013/08/22,10.665
2013/08/23,9.914
2013/08/24,9.302
2013/08/25,11.076
2013/08/26,10.918
2013/08/27,10.657
2013/08/28,9.676
2013/08/29,7.916
2013/08/30,11.528
2013/08/31,15.375
2013/09/01,15.782
2013/09/02,15.542
2013/09/03,11.609
2013/09/04,4.742
2013/09/05,1.347
2013/09/06,-2.786
2013/09/07,-5.77
2013/09/08,-6.448
2013/09/09,-6.167
2013/09/10,-3.926
2013/09/11,0.817
2013/09/12,5.39
2013/09/13,7.84
2013/09/14,7.758
2013/09/15,6.071
2013/09/16,5.054
2013/09/17,3.577
2013/09/18,2.714
2013/09/19,-0.924
2013/09/20,-2.468
2013/09/21,-2.29
2013/09/22,-1.745
2013/09/23,-2.031
2013/09/24,-2.367
2013/09/25,-2.316
2013/09/26,0.102
2013/09/27,1.129
2013/09/28,1.728
2013/09/29,1.473
2013/09/30,1.455
2013/10/01,1.701
2013/10/02,-7.666
2013/10/03,-11.535
2013/10/04,-4.366
2013/10/05,-3.157
2013/10/06,-3.209
2013/10/07,-2.15
2013/10/08,-1.426
2013/10/09,8.969
2013/10/10,13.823
2013/10/11,5.81
2013/10/12,4.055
2013/10/13,6.245
2013/10/14,8.066
2013/10/15,10.792
2013/10/16,10.84
2013/10/17,12.308
2013/10/18,16.063
2013/10/19,23.953
2013/10/20,24.055
2013/10/21,26.663
2013/10/22,33.826
2013/10/23,40.533
2013/10/24,33.813
2013/10/25,17.914
2013/10/26,12.402
2013/10/27,13.411
2013/10/28,14.096
2013/10/29,7.108
2013/10/30,2.165
2013/10/31,5.455
2013/11/01,16.759
2013/11/02,15.396
2013/11/03,13.525
2013/11/04,13.701
2013/11/05,19.815
2013/11/06,26.954
2013/11/07,40.001
2013/11/08,50.662
2013/11/09,67.827
2013/11/10,44.102
2013/11/11,46.867
2013/11/12,45.473
2013/11/13,48.634
2013/11/14,46.335
2013/11/15,38.119
2013/11/16,24.885
2013/11/17,55.28
2013/11/18,75.313
2013/11/19,78.798
2013/11/20,34.044
2013/11/21,49.515
2013/11/22,63.961
2013/11/23,76.562
2013/11/24,55.001
2013/11/25,31.353
2013/11/26,32.358
