Date,transactions3wma
2011/10/31,5062
2011/11/01,5309
2011/11/02,5636
2011/11/03,5948
2011/11/04,6212
2011/11/05,6043
2011/11/06,5438
2011/11/07,5276
2011/11/08,5526
2011/11/09,5986
2011/11/10,6270
2011/11/11,5668
2011/11/12,5217
2011/11/13,5105
2011/11/14,5457
2011/11/15,5764
2011/11/16,5898
2011/11/17,5371
2011/11/18,5110
2011/11/19,4783
2011/11/20,4864
2011/11/21,4754
2011/11/22,5057
2011/11/23,5291
2011/11/24,5166
2011/11/25,5221
2011/11/26,4917
2011/11/27,4909
2011/11/28,5323
2011/11/29,5897
2011/11/30,6407
2011/12/01,6363
2011/12/02,6259
2011/12/03,5825
2011/12/04,5480
2011/12/05,5702
2011/12/06,6805
2011/12/07,6614
2011/12/08,6128
2011/12/09,5605
2011/12/10,5523
2011/12/11,5306
2011/12/12,4993
2011/12/13,5067
2011/12/14,5317
2011/12/15,5094
2011/12/16,5026
2011/12/17,4893
2011/12/18,4699
2011/12/19,5146
2011/12/20,5724
2011/12/21,5715
2011/12/22,5692
2011/12/23,5578
2011/12/24,5055
2011/12/25,4984
2011/12/26,5188
2011/12/27,5206
2011/12/28,5022
2011/12/29,4996
2011/12/30,4953
2011/12/31,4975
2012/01/01,4904
2012/01/02,5077
2012/01/03,5368
2012/01/04,5539
2012/01/05,6220
2012/01/06,6449
2012/01/07,6159
2012/01/08,6106
2012/01/09,6008
2012/01/10,6291
2012/01/11,6663
2012/01/12,6689
2012/01/13,6698
2012/01/14,6654
2012/01/15,6423
2012/01/16,6567
2012/01/17,6593
2012/01/18,6591
2012/01/19,6648
2012/01/20,6655
2012/01/21,6438
2012/01/22,5768
2012/01/23,5728
2012/01/24,6406
2012/01/25,7271
2012/01/26,7023
2012/01/27,6554
2012/01/28,6025
2012/01/29,6084
2012/01/30,6038
2012/01/31,6424
2012/02/01,6436
2012/02/02,6752
2012/02/03,6841
2012/02/04,7005
2012/02/05,6825
2012/02/06,6386
2012/02/07,6540
2012/02/08,6730
2012/02/09,7110
2012/02/10,7753
2012/02/11,7761
2012/02/12,7332
2012/02/13,7473
2012/02/14,8439
2012/02/15,9028
2012/02/16,9326
2012/02/17,7980
2012/02/18,6948
2012/02/19,6119
2012/02/20,6090
2012/02/21,6179
2012/02/22,6648
2012/02/23,7318
2012/02/24,7179
2012/02/25,6639
2012/02/26,6013
2012/02/27,6204
2012/02/28,6421
2012/02/29,6555
2012/03/01,6604
2012/03/02,7066
2012/03/03,6151
2012/03/04,6170
2012/03/05,6414
2012/03/06,6469
2012/03/07,6457
2012/03/08,6439
2012/03/09,6408
2012/03/10,5794
2012/03/11,5335
2012/03/12,5551
2012/03/13,6457
2012/03/14,6787
2012/03/15,6540
2012/03/16,6572
2012/03/17,6641
2012/03/18,6305
2012/03/19,6332
2012/03/20,6487
2012/03/21,6731
2012/03/22,6608
2012/03/23,6298
2012/03/24,6177
2012/03/25,6096
2012/03/26,6284
2012/03/27,6420
2012/03/28,6793
2012/03/29,7137
2012/03/30,6978
2012/03/31,6465
2012/04/01,5830
2012/04/02,5989
2012/04/03,6825
2012/04/04,7098
2012/04/05,7059
2012/04/06,6753
2012/04/07,6315
2012/04/08,5960
2012/04/09,6149
2012/04/10,7278
2012/04/11,7711
2012/04/12,8041
2012/04/13,7466
2012/04/14,7611
2012/04/15,7414
2012/04/16,7950
2012/04/17,7855
2012/04/18,8186
2012/04/19,7967
2012/04/20,8055
2012/04/21,7524
2012/04/22,6811
2012/04/23,6730
2012/04/24,7120
2012/04/25,7384
2012/04/26,8702
2012/04/27,8083
2012/04/28,7648
2012/04/29,7377
2012/04/30,8346
2012/05/01,9355
2012/05/02,9799
2012/05/03,11872
2012/05/04,13222
2012/05/05,13369
2012/05/06,12093
2012/05/07,14839
2012/05/08,16628
2012/05/09,17400
2012/05/10,14443
2012/05/11,16190
2012/05/12,17347
2012/05/13,16518
2012/05/14,22004
2012/05/15,22889
2012/05/16,21049
2012/05/17,18079
2012/05/18,20767
2012/05/19,28543
2012/05/20,31469
2012/05/21,32056
2012/05/22,27396
2012/05/23,26686
2012/05/24,26227
2012/05/25,27811
2012/05/26,25605
2012/05/27,25669
2012/05/28,27492
2012/05/29,29142
2012/05/30,27579
2012/05/31,23869
2012/06/01,24658
2012/06/02,18772
2012/06/03,25424
2012/06/04,36148
2012/06/05,42944
2012/06/06,30262
2012/06/07,29163
2012/06/08,25530
2012/06/09,29869
2012/06/10,35197
2012/06/11,35194
2012/06/12,26600
2012/06/13,39750
2012/06/14,52787
2012/06/15,57448
2012/06/16,50136
2012/06/17,45386
2012/06/18,41217
2012/06/19,38164
2012/06/20,34472
2012/06/21,29993
2012/06/22,25946
2012/06/23,23320
2012/06/24,22415
2012/06/25,25390
2012/06/26,28273
2012/06/27,30145
2012/06/28,28444
2012/06/29,25279
2012/06/30,23218
2012/07/01,20851
2012/07/02,22623
2012/07/03,22774
2012/07/04,23175
2012/07/05,22172
2012/07/06,22883
2012/07/07,24228
2012/07/08,22766
2012/07/09,23607
2012/07/10,29228
2012/07/11,31362
2012/07/12,28270
2012/07/13,25434
2012/07/14,23470
2012/07/15,24710
2012/07/16,28121
2012/07/17,32292
2012/07/18,33098
2012/07/19,32099
2012/07/20,34029
2012/07/21,34591
2012/07/22,34944
2012/07/23,33589
2012/07/24,30741
2012/07/25,28412
2012/07/26,29026
2012/07/27,28196
2012/07/28,31621
2012/07/29,33347
2012/07/30,34395
2012/07/31,37814
2012/08/01,34698
2012/08/02,33554
2012/08/03,29892
2012/08/04,29141
2012/08/05,30793
2012/08/06,33487
2012/08/07,31997
2012/08/08,35691
2012/08/09,33127
2012/08/10,30701
2012/08/11,30854
2012/08/12,32932
2012/08/13,41344
2012/08/14,39158
2012/08/15,45969
2012/08/16,46487
2012/08/17,44449
2012/08/18,39698
2012/08/19,37458
2012/08/20,36256
