Date,transactions30ema
2011/11/02,5401
2011/11/03,5448
2011/11/04,5509
2011/11/05,5526
2011/11/06,5485
2011/11/07,5478
2011/11/08,5501
2011/11/09,5552
2011/11/10,5607
2011/11/11,5566
2011/11/12,5528
2011/11/13,5509
2011/11/14,5526
2011/11/15,5552
2011/11/16,5576
2011/11/17,5527
2011/11/18,5495
2011/11/19,5438
2011/11/20,5408
2011/11/21,5359
2011/11/22,5359
2011/11/23,5366
2011/11/24,5336
2011/11/25,5337
2011/11/26,5291
2011/11/27,5269
2011/11/28,5304
2011/11/29,5366
2011/11/30,5452
2011/12/01,5498
2011/12/02,5542
2011/12/03,5538
2011/12/04,5519
2011/12/05,5555
2011/12/06,5701
2011/12/07,5720
2011/12/08,5716
2011/12/09,5698
2011/12/10,5687
2011/12/11,5650
2011/12/12,5591
2011/12/13,5570
2011/12/14,5568
2011/12/15,5515
2011/12/16,5485
2011/12/17,5443
2011/12/18,5382
2011/12/19,5401
2011/12/20,5450
2011/12/21,5449
2011/12/22,5466
2011/12/23,5470
2011/12/24,5409
2011/12/25,5390
2011/12/26,5394
2011/12/27,5373
2011/12/28,5339
2011/12/29,5322
2011/12/30,5295
2011/12/31,5275
2012/01/01,5248
2012/01/02,5249
2012/01/03,5272
2012/01/04,5292
2012/01/05,5392
2012/01/06,5462
2012/01/07,5479
2012/01/08,5528
2012/01/09,5555
2012/01/10,5618
2012/01/11,5707
2012/01/12,5760
2012/01/13,5822
2012/01/14,5875
2012/01/15,5895
2012/01/16,5953
2012/01/17,5994
2012/01/18,6028
2012/01/19,6075
2012/01/20,6111
2012/01/21,6117
2012/01/22,6057
2012/01/23,6049
2012/01/24,6119
2012/01/25,6228
2012/01/26,6243
2012/01/27,6240
2012/01/28,6209
2012/01/29,6212
2012/01/30,6197
2012/01/31,6235
2012/02/01,6243
2012/02/02,6292
2012/02/03,6331
2012/02/04,6379
2012/02/05,6395
2012/02/06,6369
2012/02/07,6402
2012/02/08,6433
2012/02/09,6491
2012/02/10,6609
2012/02/11,6669
2012/02/12,6682
2012/02/13,6757
2012/02/14,6925
2012/02/15,7072
2012/02/16,7222
2012/02/17,7183
2012/02/18,7129
2012/02/19,7044
2012/02/20,6989
2012/02/21,6944
2012/02/22,6950
2012/02/23,7008
2012/02/24,6993
2012/02/25,6938
2012/02/26,6856
2012/02/27,6839
2012/02/28,6821
2012/02/29,6803
2012/03/01,6794
2012/03/02,6840
2012/03/03,6726
2012/03/04,6708
2012/03/05,6717
2012/03/06,6685
2012/03/07,6672
2012/03/08,6660
2012/03/09,6639
2012/03/10,6546
2012/03/11,6452
2012/03/12,6421
2012/03/13,6474
2012/03/14,6492
2012/03/15,6471
2012/03/16,6491
2012/03/17,6505
2012/03/18,6465
2012/03/19,6467
2012/03/20,6481
2012/03/21,6504
2012/03/22,6499
2012/03/23,6469
2012/03/24,6451
2012/03/25,6425
2012/03/26,6428
2012/03/27,6433
2012/03/28,6476
2012/03/29,6534
2012/03/30,6543
2012/03/31,6509
2012/04/01,6439
2012/04/02,6434
2012/04/03,6509
2012/04/04,6541
2012/04/05,6565
2012/04/06,6565
2012/04/07,6526
2012/04/08,6476
2012/04/09,6476
2012/04/10,6595
2012/04/11,6667
2012/04/12,6764
2012/04/13,6774
2012/04/14,6846
2012/04/15,6873
2012/04/16,6973
2012/04/17,7018
2012/04/18,7110
2012/04/19,7151
2012/04/20,7214
2012/04/21,7204
2012/04/22,7140
2012/04/23,7129
2012/04/24,7154
2012/04/25,7172
2012/04/26,7351
2012/04/27,7332
2012/04/28,7328
2012/04/29,7343
2012/04/30,7465
2012/05/01,7631
2012/05/02,7772
2012/05/03,8164
2012/05/04,8537
2012/05/05,8814
2012/05/06,8954
2012/05/07,9542
2012/05/08,10059
2012/05/09,10512
2012/05/10,10585
2012/05/11,11123
2012/05/12,11579
2012/05/13,11774
2012/05/14,12834
2012/05/15,13432
2012/05/16,13724
2012/05/17,13924
2012/05/18,14596
2012/05/19,15929
2012/05/20,16922
2012/05/21,17861
2012/05/22,18216
2012/05/23,18802
2012/05/24,19296
2012/05/25,19915
2012/05/26,20123
2012/05/27,20520
2012/05/28,21115
2012/05/29,21669
2012/05/30,21913
2012/05/31,21846
2012/06/01,22173
2012/06/02,21558
2012/06/03,22325
2012/06/04,23838
2012/06/05,25153
2012/06/06,24549
2012/06/07,25098
2012/06/08,25011
2012/06/09,25519
2012/06/10,26489
2012/06/11,26870
2012/06/12,26303
2012/06/13,28261
2012/06/14,30423
2012/06/15,31998
2012/06/16,32716
2012/06/17,33427
2012/06/18,33780
2012/06/19,33911
2012/06/20,33795
2012/06/21,33333
2012/06/22,32694
2012/06/23,32013
2012/06/24,31384
2012/06/25,31202
2012/06/26,31130
2012/06/27,31103
2012/06/28,30799
2012/06/29,30278
2012/06/30,29775
2012/07/01,29089
2012/07/02,28825
2012/07/03,28417
2012/07/04,28068
2012/07/05,27645
2012/07/06,27394
2012/07/07,27269
2012/07/08,26841
2012/07/09,26720
2012/07/10,27250
2012/07/11,27499
2012/07/12,27284
2012/07/13,27097
2012/07/14,26809
2012/07/15,26770
2012/07/16,27057
2012/07/17,27572
2012/07/18,27885
2012/07/19,28080
2012/07/20,28632
2012/07/21,29008
2012/07/22,29375
2012/07/23,29581
2012/07/24,29492
2012/07/25,29342
2012/07/26,29419
2012/07/27,29262
2012/07/28,29637
2012/07/29,29939
2012/07/30,30215
2012/07/31,30935
2012/08/01,30901
2012/08/02,31039
2012/08/03,30819
2012/08/04,30692
2012/08/05,30850
2012/08/06,31135
2012/08/07,31025
2012/08/08,31604
2012/08/09,31486
2012/08/10,31275
2012/08/11,31385
2012/08/12,31584
2012/08/13,32689
2012/08/14,32796
2012/08/15,34087
2012/08/16,34876
2012/08/17,35234
2012/08/18,35348
2012/08/19,35440
2012/08/20,35454
2012/08/21,35892
2012/08/22,36010
2012/08/23,35729
2012/08/24,35497
2012/08/25,35355
2012/08/26,34967
2012/08/27,34837
2012/08/28,34505
2012/08/29,34475
2012/08/30,34429
2012/08/31,34819
2012/09/01,35193
2012/09/02,35079
2012/09/03,35273
2012/09/04,35564
2012/09/05,35912
2012/09/06,36345
2012/09/07,36149
2012/09/08,35819
2012/09/09,35528
2012/09/10,35396
2012/09/11,35569
2012/09/12,35077
2012/09/13,34678
2012/09/14,34760
2012/09/15,34266
2012/09/16,33879
2012/09/17,33259
2012/09/18,33220
2012/09/19,33147
2012/09/20,33017
2012/09/21,32834
2012/09/22,32126
2012/09/23,31849
2012/09/24,31668
2012/09/25,31176
2012/09/26,31246
2012/09/27,31049
2012/09/28,31150
2012/09/29,30677
2012/09/30,30021
2012/10/01,29671
2012/10/02,29869
2012/10/03,29654
2012/10/04,29836
2012/10/05,30249
2012/10/06,30395
2012/10/07,30667
2012/10/08,31142
2012/10/09,31411
2012/10/10,31389
2012/10/11,31141
2012/10/12,30974
2012/10/13,31101
2012/10/14,30855
2012/10/15,30853
2012/10/16,31080
2012/10/17,31118
2012/10/18,30924
2012/10/19,30556
2012/10/20,30538
2012/10/21,31192
2012/10/22,31954
2012/10/23,31950
2012/10/24,31955
2012/10/25,31626
2012/10/26,30990
2012/10/27,30032
2012/10/28,29243
2012/10/29,28733
2012/10/30,28854
2012/10/31,28773
2012/11/01,28433
2012/11/02,28460
2012/11/03,28156
2012/11/04,27898
2012/11/05,28164
2012/11/06,28402
2012/11/07,28913
2012/11/08,29129
2012/11/09,28863
2012/11/10,28740
2012/11/11,28396
2012/11/12,28098
2012/11/13,28026
2012/11/14,28138
2012/11/15,28740
2012/11/16,29421
2012/11/17,29613
2012/11/18,29896
2012/11/19,30340
2012/11/20,30751
2012/11/21,31277
2012/11/22,31244
2012/11/23,31304
2012/11/24,31192
2012/11/25,31541
2012/11/26,31812
2012/11/27,31532
2012/11/28,31891
2012/11/29,32237
2012/11/30,32069
2012/12/01,32150
2012/12/02,31396
2012/12/03,30758
2012/12/04,30854
2012/12/05,31033
2012/12/06,31419
2012/12/07,31458
2012/12/08,31560
2012/12/09,31584
2012/12/10,31874
2012/12/11,32181
2012/12/12,32466
2012/12/13,33106
2012/12/14,33480
2012/12/15,33401
2012/12/16,33528
2012/12/17,34004
2012/12/18,35016
2012/12/19,35635
2012/12/20,35647
2012/12/21,36215
2012/12/22,37176
2012/12/23,37140
2012/12/24,37065
2012/12/25,36520
2012/12/26,36514
2012/12/27,36973
2012/12/28,37616
2012/12/29,37639
2012/12/30,38132
2012/12/31,37601
2013/01/01,37223
2013/01/02,37355
2013/01/03,37664
2013/01/04,38359
2013/01/05,38430
2013/01/06,38072
2013/01/07,38204
2013/01/08,38223
2013/01/09,38535
2013/01/10,39429
2013/01/11,40281
2013/01/12,40621
2013/01/13,41181
2013/01/14,41389
2013/01/15,41615
2013/01/16,42382
2013/01/17,42744
2013/01/18,43149
2013/01/19,43979
2013/01/20,43802
2013/01/21,43577
2013/01/22,43579
2013/01/23,43771
2013/01/24,43919
2013/01/25,44206
2013/01/26,44722
2013/01/27,45402
2013/01/28,45830
2013/01/29,46199
2013/01/30,45868
2013/01/31,46227
2013/02/01,47066
2013/02/02,47534
2013/02/03,48401
2013/02/04,48817
2013/02/05,49103
2013/02/06,48671
2013/02/07,49472
2013/02/08,50201
2013/02/09,50679
2013/02/10,51040
2013/02/11,51453
2013/02/12,51902
2013/02/13,52354
2013/02/14,52253
2013/02/15,52460
2013/02/16,52382
2013/02/17,52192
2013/02/18,52065
2013/02/19,52213
2013/02/20,52686
2013/02/21,52883
2013/02/22,53472
2013/02/23,53746
2013/02/24,53956
2013/02/25,54794
2013/02/26,55341
2013/02/27,55690
2013/02/28,56152
2013/03/01,56683
2013/03/02,56619
2013/03/03,56469
2013/03/04,56946
2013/03/05,56932
2013/03/06,57298
2013/03/07,57899
2013/03/08,57757
2013/03/09,57603
2013/03/10,58639
2013/03/11,58671
2013/03/12,58005
2013/03/13,57910
2013/03/14,57908
2013/03/15,58211
2013/03/16,56650
2013/03/17,55262
2013/03/18,54490
2013/03/19,53938
2013/03/20,53431
2013/03/21,53554
2013/03/22,53993
2013/03/23,53909
2013/03/24,53731
2013/03/25,53416
2013/03/26,53125
2013/03/27,53122
2013/03/28,53618
2013/03/29,54164
2013/03/30,54478
2013/03/31,53790
2013/04/01,53711
2013/04/02,54317
2013/04/03,54926
2013/04/04,55688
2013/04/05,56045
2013/04/06,55755
2013/04/07,56247
2013/04/08,56587
2013/04/09,57247
2013/04/10,57662
2013/04/11,58345
2013/04/12,58356
2013/04/13,58033
2013/04/14,57858
2013/04/15,57631
2013/04/16,58274
2013/04/17,58162
2013/04/18,57409
2013/04/19,57537
2013/04/20,56931
2013/04/21,56100
2013/04/22,55515
2013/04/23,55901
2013/04/24,56479
2013/04/25,56861
2013/04/26,56747
2013/04/27,55939
2013/04/28,55020
2013/04/29,54800
2013/04/30,54326
2013/05/01,54380
2013/05/02,54439
2013/05/03,54235
2013/05/04,53969
2013/05/05,53723
2013/05/06,53688
2013/05/07,53874
2013/05/08,53641
2013/05/09,54478
2013/05/10,55332
2013/05/11,56486
2013/05/12,57052
2013/05/13,57295
2013/05/14,57877
2013/05/15,58274
2013/05/16,58451
2013/05/17,58458
2013/05/18,58046
2013/05/19,57376
2013/05/20,56816
2013/05/21,56621
2013/05/22,56312
2013/05/23,56525
2013/05/24,56442
2013/05/25,56098
2013/05/26,55095
2013/05/27,54933
2013/05/28,55061
2013/05/29,55050
2013/05/30,55192
2013/05/31,55126
2013/06/01,55060
2013/06/02,54717
2013/06/03,54778
2013/06/04,54948
2013/06/05,55040
2013/06/06,55002
2013/06/07,54810
2013/06/08,54373
2013/06/09,53724
2013/06/10,53150
2013/06/11,52913
2013/06/12,52448
2013/06/13,51839
2013/06/14,51720
2013/06/15,50683
2013/06/16,50174
2013/06/17,49891
2013/06/18,49632
2013/06/19,49456
2013/06/20,49643
2013/06/21,49464
2013/06/22,49138
2013/06/23,48442
2013/06/24,48161
2013/06/25,47923
2013/06/26,47764
2013/06/27,47647
2013/06/28,47759
2013/06/29,47025
2013/06/30,45978
2013/07/01,45526
2013/07/02,45137
2013/07/03,44506
2013/07/04,43900
2013/07/05,43446
2013/07/06,42784
2013/07/07,41970
2013/07/08,41806
2013/07/09,41732
2013/07/10,41558
2013/07/11,41668
2013/07/12,42083
2013/07/13,41808
2013/07/14,41353
2013/07/15,41046
2013/07/16,40929
2013/07/17,40898
2013/07/18,40905
2013/07/19,40627
2013/07/20,40168
2013/07/21,39851
2013/07/22,39849
2013/07/23,39748
2013/07/24,39907
2013/07/25,40067
2013/07/26,39882
2013/07/27,39678
2013/07/28,39513
2013/07/29,39650
2013/07/30,39798
2013/07/31,40413
2013/08/01,41078
2013/08/02,41750
2013/08/03,41997
2013/08/04,42047
2013/08/05,42612
2013/08/06,43358
2013/08/07,44266
2013/08/08,45140
2013/08/09,45419
2013/08/10,45810
2013/08/11,45320
2013/08/12,45622
2013/08/13,46092
2013/08/14,46440
2013/08/15,47183
2013/08/16,48717
2013/08/17,49209
2013/08/18,49661
2013/08/19,51046
2013/08/20,51820
2013/08/21,52369
2013/08/22,53287
2013/08/23,53398
2013/08/24,53284
2013/08/25,52704
2013/08/26,52912
2013/08/27,53499
2013/08/28,54214
2013/08/29,54510
2013/08/30,55019
2013/08/31,54519
2013/09/01,53994
2013/09/02,53804
2013/09/03,53686
2013/09/04,53630
2013/09/05,54076
2013/09/06,54501
2013/09/07,54328
2013/09/08,53810
2013/09/09,54046
2013/09/10,53985
2013/09/11,53664
2013/09/12,53562
2013/09/13,52986
2013/09/14,52364
2013/09/15,52436
2013/09/16,52391
2013/09/17,53382
2013/09/18,53834
2013/09/19,54207
2013/09/20,54503
2013/09/21,54362
2013/09/22,54126
2013/09/23,54835
2013/09/24,55322
2013/09/25,55258
2013/09/26,55395
2013/09/27,54837
2013/09/28,54035
2013/09/29,53195
2013/09/30,52795
2013/10/01,53065
2013/10/02,53627
2013/10/03,53996
2013/10/04,53852
2013/10/05,53297
2013/10/06,52612
2013/10/07,52082
2013/10/08,51623
2013/10/09,51550
2013/10/10,51880
2013/10/11,51870
2013/10/12,51702
2013/10/13,51662
2013/10/14,52020
2013/10/15,52248
2013/10/16,52143
2013/10/17,51792
2013/10/18,52287
2013/10/19,52468
2013/10/20,52258
