Date,fee_to_reward3rocUSD
2011/09/21,3.369
2011/09/22,-44.912
2011/09/23,-31.946
2011/09/24,47.315
2011/09/25,-3.875
2011/09/26,-30.782
2011/09/27,-32.458
2011/09/28,21.235
2011/09/29,23.906
2011/09/30,-16.012
2011/10/01,-14.312
2011/10/02,-3.337
2011/10/03,111.036
2011/10/04,27.816
2011/10/05,4.129
2011/10/06,1.291
2011/10/07,-4.661
2011/10/08,1.577
2011/10/09,-63.299
2011/10/10,-12.866
2011/10/11,100.762
2011/10/12,66.14
2011/10/13,57.377
2011/10/14,-56.12
2011/10/15,-34.423
2011/10/16,-36.81
2011/10/17,48.104
2011/10/18,-3.894
2011/10/19,-8.859
2011/10/20,44.167
2011/10/21,-8.681
2011/10/22,16.264
2011/10/23,-45
2011/10/24,23.918
2011/10/25,-25.577
2011/10/26,-8.402
2011/10/27,-2.269
2011/10/28,35.836
2011/10/29,16.243
2011/10/30,10.291
2011/10/31,-17.381
2011/11/01,6.954
2011/11/02,-27.325
2011/11/03,-2.87
2011/11/04,-34.673
2011/11/05,15.686
2011/11/06,-28.762
2011/11/07,23.24
2011/11/08,12.768
2011/11/09,23.588
2011/11/10,-10.435
2011/11/11,-37.267
2011/11/12,-14.964
2011/11/13,-16.17
2011/11/14,9.661
2011/11/15,1.017
2011/11/16,40.813
2011/11/17,6.833
2011/11/18,44.245
2011/11/19,-8.512
2011/11/20,34.287
2011/11/21,-7.018
2011/11/22,-17.007
2011/11/23,-5.138
2011/11/24,50.272
2011/11/25,50.092
2011/11/26,-9.765
2011/11/27,-36.764
2011/11/28,-24.759
2011/11/29,33.864
2011/11/30,0.95
2011/12/01,3.596
2011/12/02,-0.684
2011/12/03,36.145
2011/12/04,-15.46
2011/12/05,-39.478
2011/12/06,-19.276
2011/12/07,33.74
2011/12/08,-11.844
2011/12/09,-17.173
2011/12/10,-28.255
2011/12/11,8332
2011/12/12,6529
2011/12/13,52.96
2011/12/14,-98.21
2011/12/15,-94.873
2011/12/16,-25.559
2011/12/17,-4.203
2011/12/18,-68.908
2011/12/19,14.699
2011/12/20,81.152
2011/12/21,32.162
2011/12/22,-10.929
2011/12/23,-57.436
2011/12/24,-45.575
2011/12/25,-27.37
2011/12/26,-0.873
2011/12/27,32.97
2011/12/28,20.602
2011/12/29,62.992
2011/12/30,13.782
2011/12/31,28.373
2012/01/01,-22.598
2012/01/02,56.349
2012/01/03,28.565
2012/01/04,307.588
2012/01/05,4.661
2012/01/06,12.518
2012/01/07,-74.271
2012/01/08,-40.785
2012/01/09,2.459
2012/01/10,41.126
2012/01/11,62.438
2012/01/12,578.945
2012/01/13,101.077
2012/01/14,128.627
2012/01/15,-63.587
2012/01/16,219.304
2012/01/17,-42.714
2012/01/18,-12.528
2012/01/19,-17.924
2012/01/20,248.972
2012/01/21,-65.397
2012/01/22,-87.733
2012/01/23,-82.755
2012/01/24,139.344
2012/01/25,130.383
2012/01/26,120.605
2012/01/27,132.818
2012/01/28,21.553
2012/01/29,1895
2012/01/30,4.384
2012/01/31,-23.774
2012/02/01,-97.393
2012/02/02,-57.121
2012/02/03,-8.674
2012/02/04,64.115
2012/02/05,-58.849
2012/02/06,-32.651
2012/02/07,-12.56
2012/02/08,17.513
2012/02/09,73.232
2012/02/10,-37.773
2012/02/11,-26.139
2012/02/12,-51.981
2012/02/13,26.838
2012/02/14,327.08
2012/02/15,84.388
2012/02/16,89.499
