Date,sentinusd14varUSD
2019/08/17,2162682013035569152
2019/08/18,2033605140563468288
2019/08/19,1773358732901572608
2019/08/20,1182909444053004288
2019/08/21,955047514682187776
2019/08/22,1097210163390582784
2019/08/23,1018139566800715776
2019/08/24,1295430554737991680
2019/08/25,1545709473391304704
2019/08/26,1543199718627471360
2019/08/27,1444414171673088000
2019/08/28,1355935884448976896
2019/08/29,949326003148488704
2019/08/30,1018415565085319168
2019/08/31,1024615387120701440
2019/09/01,1055123238085480448
2019/09/02,1071182097563738112
2019/09/03,1194018084597374976
2019/09/04,1238225644261638144
2019/09/05,1357607651631329280
2019/09/06,2047065630429569024
2019/09/07,1765939999130730496
2019/09/08,1476569799612973056
2019/09/09,1478852197265571840
2019/09/10,1576783405626986496
2019/09/11,1535424874257031168
2019/09/12,1451275279103979520
2019/09/13,1480763080476553216
2019/09/14,1313466357469016064
2019/09/15,1425204184205180928
2019/09/16,1421186098379223040
2019/09/17,1394346269757296640
2019/09/18,1441599344059875328
2019/09/19,1326032090221047808
2019/09/20,778720214659129344
2019/09/21,753764014073638912
2019/09/22,822540007140757504
2019/09/23,906075216212709376
2019/09/24,1673564107289780224
2019/09/25,1856463053596753920
2019/09/26,1869536617602371584
2019/09/27,1847311980450119680
2019/09/28,2097903628910899200
2019/09/29,2175484291551662080
2019/09/30,2195022756202491904
2019/10/01,2214028873173434368
2019/10/02,2310661061246705664
2019/10/03,2334686969347739648
2019/10/04,2215566692188192768
2019/10/05,2429491314782998528
2019/10/06,2548576182025957376
2019/10/07,2576745822033567744
2019/10/08,1128509076470923264
2019/10/09,533262512287920128
2019/10/10,494248319352569856
2019/10/11,429421846452277248
2019/10/12,511657916157423616
2019/10/13,641188222969010176
2019/10/14,737402148421124096
2019/10/15,694624002258903040
2019/10/16,894361920801093632
2019/10/17,981258381173635072
2019/10/18,985071339757266944
2019/10/19,1099936046651049984
2019/10/20,1251918824985389056
2019/10/21,1263483179671212032
2019/10/22,1260076481091743744
2019/10/23,1274058679343796224
2019/10/24,1268625231773800448
2019/10/25,1373481496478054400
2019/10/26,1344149002830989312
2019/10/27,1114101828939882496
2019/10/28,1205551327627567104
2019/10/29,1184366244502220800
2019/10/30,1072399835779362816
2019/10/31,1030036376445554688
2019/11/01,1308696062722867200
2019/11/02,1012243915732942848
2019/11/03,673863343856910336
2019/11/04,625326934124417024
2019/11/05,1051215874465001472
2019/11/06,1052476160308793344
2019/11/07,1045686747114754048
2019/11/08,1067969599388983296
2019/11/09,1079583432466726912
2019/11/10,1339052491826085888
2019/11/11,1386964238910717952
2019/11/12,1416141252619894784
2019/11/13,1365659880250765312
2019/11/14,1366175751143325696
2019/11/15,1262277586597548032
2019/11/16,1388255952216354816
2019/11/17,1643490926532718592
2019/11/18,1597108046997417984
2019/11/19,924678615505313792
2019/11/20,956337966114893824
2019/11/21,898585746780569600
2019/11/22,1181399870842376192
2019/11/23,1234341777926496256
2019/11/24,1073938541647581184
2019/11/25,1105939483554729984
2019/11/26,1102214094573428736
2019/11/27,1117231469000503296
2019/11/28,1173716649447120896
2019/11/29,1071541691632119808
2019/11/30,935892346000011264
2019/12/01,753640420108828672
