Date,sentinusdUSD
2012/01/31,1421752
2012/02/01,2126460
2012/02/02,1859646
2012/02/03,1858989
2012/02/04,1739513
2012/02/05,1691839
2012/02/06,1465193
2012/02/07,1437572
2012/02/08,1328367
2012/02/09,1153120
2012/02/10,1544778
2012/02/11,2261162
2012/02/12,1443183
2012/02/13,1968659
2012/02/14,6285130
2012/02/15,5667751
2012/02/16,6628645
2012/02/17,3942860
2012/02/18,2739236
2012/02/19,1406143
2012/02/20,1667840
2012/02/21,1449181
2012/02/22,3156294
2012/02/23,2956432
2012/02/24,2583712
2012/02/25,1679910
2012/02/26,1306887
2012/02/27,1531069
2012/02/28,1504041
2012/02/29,1316007
2012/03/01,3035857
2012/03/02,2466215
2012/03/03,1598967
2012/03/04,2946847
2012/03/05,1595462
2012/03/06,1498663
2012/03/07,1557692
2012/03/08,2290285
2012/03/09,2569707
2012/03/10,1587301
2012/03/11,1668072
2012/03/12,2508840
2012/03/13,2311691
2012/03/14,2783667
2012/03/15,2282739
2012/03/16,2395115
2012/03/17,2163665
2012/03/18,1650380
2012/03/19,1974709
2012/03/20,2096046
2012/03/21,2156699
2012/03/22,3297383
2012/03/23,4013899
2012/03/24,3566683
2012/03/25,1654067
2012/03/26,2239278
2012/03/27,2473333
2012/03/28,3100735
2012/03/29,5528662
2012/03/30,4509693
2012/03/31,4006278
2012/04/01,2763978
2012/04/02,3213287
2012/04/03,3868563
2012/04/04,3394496
2012/04/05,4348259
2012/04/06,2624230
2012/04/07,1412347
2012/04/08,5737165
2012/04/09,7705904
2012/04/10,3775731
2012/04/11,7086448
2012/04/12,6043468
2012/04/13,3902807
2012/04/14,4672520
2012/04/15,6111622
2012/04/16,7743021
2012/04/17,5360242
2012/04/18,4938082
2012/04/19,3261366
2012/04/20,14714130
2012/04/21,6277202
2012/04/22,4746706
2012/04/23,3748969
2012/04/24,3560840
2012/04/25,4967915
2012/04/26,9253333
2012/04/27,7239064
2012/04/28,4219826
2012/04/29,4591539
2012/04/30,5118986
2012/05/01,5104266
2012/05/02,5169783
2012/05/03,5876026
2012/05/04,5436985
2012/05/05,5807441
2012/05/06,3031036
2012/05/07,10754131
2012/05/08,19380582
2012/05/09,11509367
2012/05/10,5626157
2012/05/11,7235819
2012/05/12,15564577
2012/05/13,7163413
2012/05/14,11202517
2012/05/15,18536344
2012/05/16,17130111
2012/05/17,17223994
2012/05/18,9304344
2012/05/19,6027189
2012/05/20,10048733
2012/05/21,19193835
2012/05/22,20507961
2012/05/23,9045806
2012/05/24,5533670
2012/05/25,12251729
2012/05/26,24389613
2012/05/27,10065650
2012/05/28,10683897
2012/05/29,16017628
2012/05/30,12002418
2012/05/31,24417787
2012/06/01,15239810
2012/06/02,10134714
2012/06/03,8708471
2012/06/04,24095730
2012/06/05,24014390
2012/06/06,13381460
2012/06/07,26473181
2012/06/08,30388243
2012/06/09,7497577
2012/06/10,17845697
2012/06/11,16530801
2012/06/12,14261857
2012/06/13,13885440
2012/06/14,28435694
2012/06/15,21192997
2012/06/16,24763928
2012/06/17,8571457
2012/06/18,15381578
2012/06/19,13236085
2012/06/20,10831625
2012/06/21,6575995
2012/06/22,14677617
2012/06/23,19246397
2012/06/24,11810437
2012/06/25,11206594
2012/06/26,10658889
2012/06/27,12642568
2012/06/28,22691016
2012/06/29,16408573
2012/06/30,8943817
2012/07/01,8655829
2012/07/02,7407358
2012/07/03,9139436
2012/07/04,14450738
2012/07/05,12968086
2012/07/06,8834072
2012/07/07,27437304
2012/07/08,5229954
2012/07/09,14357637
2012/07/10,15062811
2012/07/11,7949880
2012/07/12,9696066
2012/07/13,18272521
2012/07/14,18257936
2012/07/15,9773468
2012/07/16,16617587
2012/07/17,21315661
2012/07/18,13756605
2012/07/19,10196875
2012/07/20,13719236
2012/07/21,20224216
2012/07/22,14124791
2012/07/23,17785712
2012/07/24,14373873
2012/07/25,8351558
2012/07/26,19707970
2012/07/27,18812052
2012/07/28,14933593
2012/07/29,9229877
2012/07/30,7957680
2012/07/31,26954786
2012/08/01,20699064
2012/08/02,17167791
2012/08/03,14630818
2012/08/04,14414183
2012/08/05,20688077
2012/08/06,20746773
2012/08/07,20731461
2012/08/08,17443657
2012/08/09,15118170
2012/08/10,18073998
2012/08/11,17030355
2012/08/12,17597812
2012/08/13,21174045
2012/08/14,17408567
2012/08/15,21472648
2012/08/16,26514111
2012/08/17,33293937
2012/08/18,24518487
2012/08/19,57437627
2012/08/20,86140441
2012/08/21,53874175
2012/08/22,75588121
2012/08/23,74854950
2012/08/24,113826507
2012/08/25,45738725
2012/08/26,34365793
2012/08/27,67061299
2012/08/28,73532750
2012/08/29,159653656
2012/08/30,123949598
2012/08/31,93264021
2012/09/01,87063276
2012/09/02,59472782
2012/09/03,37688666
2012/09/04,66814904
2012/09/05,97934861
2012/09/06,241586017
2012/09/07,203459971
2012/09/08,83069489
2012/09/09,42187513
2012/09/10,208638562
2012/09/11,226497102
2012/09/12,122245758
2012/09/13,254378639
2012/09/14,207712176
2012/09/15,80612095
2012/09/16,164455010
2012/09/17,154249020
2012/09/18,155800588
2012/09/19,387495440
2012/09/20,196837987
2012/09/21,319404452
2012/09/22,180881056
2012/09/23,94201688
2012/09/24,97227840
2012/09/25,20445016
2012/09/26,20033650
2012/09/27,15982825
2012/09/28,31073714
2012/09/29,15249176
2012/09/30,16781081
2012/10/01,19161738
2012/10/02,24200814
2012/10/03,15342571
2012/10/04,14536444
2012/10/05,32802052
2012/10/06,24083029
2012/10/07,20859873
2012/10/08,19794346
2012/10/09,15142927
2012/10/10,9573665
2012/10/11,14121970
2012/10/12,30729583
2012/10/13,31607271
2012/10/14,15504669
2012/10/15,9094294
2012/10/16,31621972
2012/10/17,38508149
2012/10/18,39265450
2012/10/19,30901727
2012/10/20,30701600
2012/10/21,26415998
2012/10/22,25491161
2012/10/23,29250109
2012/10/24,21257434
2012/10/25,15432897
2012/10/26,10125583
2012/10/27,16398963
2012/10/28,9037829
2012/10/29,9946248
2012/10/30,43734616
2012/10/31,40771365
2012/11/01,27596432
2012/11/02,8398728
2012/11/03,19481992
2012/11/04,23278639
2012/11/05,23898538
2012/11/06,19603674
2012/11/07,19272323
2012/11/08,13684269
2012/11/09,8753239
2012/11/10,3970478
2012/11/11,3822588
2012/11/12,4673120
2012/11/13,8425831
2012/11/14,13408543
2012/11/15,28507978
2012/11/16,41386686
2012/11/17,30267584
2012/11/18,23370824
2012/11/19,15249461
2012/11/20,17439325
2012/11/21,10072641
2012/11/22,16542364
2012/11/23,13172073
2012/11/24,13567251
2012/11/25,8814147
2012/11/26,12944479
2012/11/27,16371128
2012/11/28,21711684
2012/11/29,13947836
2012/11/30,9180675
2012/12/01,7032651
2012/12/02,12077391
2012/12/03,20771620
2012/12/04,31533214
2012/12/05,36996524
2012/12/06,42298517
2012/12/07,27046068
2012/12/08,13030436
2012/12/09,18206196
2012/12/10,12978738
2012/12/11,20577875
2012/12/12,47610808
2012/12/13,51660119
2012/12/14,39009659
2012/12/15,21700278
2012/12/16,23291209
2012/12/17,22718080
2012/12/18,30373278
2012/12/19,14139798
2012/12/20,11606700
2012/12/21,21637994
2012/12/22,17602259
2012/12/23,11001403
2012/12/24,13176994
2012/12/25,7385684
2012/12/26,7628883
2012/12/27,9781691
2012/12/28,13288674
2012/12/29,12625944
2012/12/30,9697996
2012/12/31,15566770
2013/01/01,18839472
2013/01/02,23851896
2013/01/03,20921297
2013/01/04,29527613
2013/01/05,26851599
2013/01/06,13548598
2013/01/07,18447916
2013/01/08,27562665
2013/01/09,22021685
2013/01/10,17237235
2013/01/11,17459727
2013/01/12,12066780
2013/01/13,11462715
2013/01/14,14787333
2013/01/15,27597383
2013/01/16,30788170
2013/01/17,25771774
2013/01/18,24117217
2013/01/19,21909191
2013/01/20,16550982
2013/01/21,16740904
2013/01/22,22137670
2013/01/23,39052736
2013/01/24,23806821
2013/01/25,24360021
2013/01/26,21305003
2013/01/27,24090278
2013/01/28,27738837
2013/01/29,42090352
2013/01/30,32182083
2013/01/31,29133247
2013/02/01,34707623
2013/02/02,23825891
2013/02/03,24649912
2013/02/04,29860399
2013/02/05,38319112
2013/02/06,36198000
2013/02/07,34569462
2013/02/08,45157393
2013/02/09,36078893
2013/02/10,29858039
2013/02/11,29243330
2013/02/12,27270666
2013/02/13,25208127
2013/02/14,35260549
2013/02/15,31760756
2013/02/16,32044813
2013/02/17,26997794
2013/02/18,29948132
2013/02/19,35449679
2013/02/20,31022271
2013/02/21,28308162
2013/02/22,43329245
2013/02/23,30312993
2013/02/24,45883097
2013/02/25,50988547
2013/02/26,39048848
2013/02/27,42867868
2013/02/28,43827553
2013/03/01,47303908
2013/03/02,45859040
2013/03/03,25958762
2013/03/04,29831574
2013/03/05,67448145
2013/03/06,80370188
2013/03/07,56480589
2013/03/08,46714516
2013/03/09,39440947
2013/03/10,51029935
2013/03/11,41364342
