Date,sentbyaddress90roc
2013/02/14,4.708
2013/02/15,15.468
2013/02/16,4.856
2013/02/17,8.878
2013/02/18,12.227
2013/02/19,18.861
2013/02/20,24.587
2013/02/21,64.074
2013/02/22,61.905
2013/02/23,56.235
2013/02/24,37.507
2013/02/25,51.608
2013/02/26,40.471
2013/02/27,37.207
2013/02/28,61.824
2013/03/01,87.536
2013/03/02,76.62
2013/03/03,48.822
2013/03/04,36.072
2013/03/05,36.414
2013/03/06,60.899
2013/03/07,57.563
2013/03/08,41.944
2013/03/09,30.795
2013/03/10,63.555
2013/03/11,31.083
2013/03/12,33.091
2013/03/13,35.519
2013/03/14,37.234
2013/03/15,76.387
2013/03/16,25.848
2013/03/17,8.959
2013/03/18,10.635
2013/03/19,45.719
2013/03/20,54.524
2013/03/21,36.326
2013/03/22,22.626
2013/03/23,57.573
2013/03/24,86.067
2013/03/25,102.022
2013/03/26,114.206
2013/03/27,97.066
2013/03/28,80.5
2013/03/29,114.112
2013/03/30,49.108
2013/03/31,55.782
2013/04/01,86.479
2013/04/02,95.781
2013/04/03,81.098
2013/04/04,105.067
2013/04/05,82.356
2013/04/06,73.419
2013/04/07,40.186
2013/04/08,84.618
2013/04/09,94.158
2013/04/10,97.823
2013/04/11,68.102
2013/04/12,87.351
2013/04/13,41.403
2013/04/14,41.44
2013/04/15,39.232
2013/04/16,53.963
2013/04/17,50.928
2013/04/18,33.539
2013/04/19,90.835
2013/04/20,49.844
2013/04/21,46.828
2013/04/22,49.574
2013/04/23,82.991
2013/04/24,67.397
2013/04/25,69.239
2013/04/26,50.068
2013/04/27,18.813
2013/04/28,20.559
2013/04/29,41.697
2013/04/30,38.12
2013/05/01,55.015
2013/05/02,12.073
2013/05/03,22.323
2013/05/04,2.526
2013/05/05,11.717
2013/05/06,10.978
2013/05/07,49.345
2013/05/08,31.852
2013/05/09,33.794
2013/05/10,44.481
2013/05/11,29.211
2013/05/12,24.469
2013/05/13,36.08
2013/05/14,47.318
2013/05/15,56.364
2013/05/16,52.531
2013/05/17,55.175
2013/05/18,32.947
2013/05/19,17.113
2013/05/20,27.538
2013/05/21,49.516
2013/05/22,29.905
2013/05/23,41.168
2013/05/24,41.715
2013/05/25,10.09
2013/05/26,-0.494
2013/05/27,8.467
2013/05/28,30.967
2013/05/29,32.581
2013/05/30,16.018
2013/05/31,54.324
2013/06/01,44.339
2013/06/02,12.128
2013/06/03,24.321
2013/06/04,11.959
2013/06/05,9.504
2013/06/06,27.569
2013/06/07,46.938
2013/06/08,-1.656
2013/06/09,4.162
2013/06/10,7.502
2013/06/11,2.329
2013/06/12,4.352
2013/06/13,1.459
2013/06/14,66.972
2013/06/15,9.175
2013/06/16,-16.515
2013/06/17,-11.415
2013/06/18,5.244
2013/06/19,8.11
2013/06/20,-7.261
2013/06/21,14.358
2013/06/22,-18.961
2013/06/23,-24.075
2013/06/24,-8.106
2013/06/25,-13.861
2013/06/26,-19.714
2013/06/27,-24.361
2013/06/28,-3.731
2013/06/29,-1.312
2013/06/30,-29.736
2013/07/01,-22.598
2013/07/02,-34.944
2013/07/03,-34.967
2013/07/04,-39.293
2013/07/05,-18.105
2013/07/06,-32.029
2013/07/07,-53.844
2013/07/08,-39.428
2013/07/09,-43.114
2013/07/10,-39.096
2013/07/11,-16.075
2013/07/12,9.868
2013/07/13,-4.493
2013/07/14,-45.819
2013/07/15,-38.084
2013/07/16,-21.258
2013/07/17,-16.135
2013/07/18,-33.014
2013/07/19,-11.755
2013/07/20,-28.256
2013/07/21,-33.734
2013/07/22,-31.734
2013/07/23,-27.362
2013/07/24,-26.014
2013/07/25,-19.211
2013/07/26,-3.167
2013/07/27,-20.789
2013/07/28,-36.223
2013/07/29,8.761
2013/07/30,-4.325
2013/07/31,13.434
2013/08/01,27.701
2013/08/02,40.811
2013/08/03,0.23
2013/08/04,-18.432
2013/08/05,-4.874
2013/08/06,-2.162
2013/08/07,-1.926
2013/08/08,-4.323
2013/08/09,-11.585
2013/08/10,-1.74
2013/08/11,-28.067
2013/08/12,43.626
2013/08/13,-7.851
2013/08/14,0.417
2013/08/15,7.378
2013/08/16,38.073
2013/08/17,7.173
2013/08/18,-13.134
2013/08/19,11.637
2013/08/20,16.375
2013/08/21,1.896
2013/08/22,12.82
2013/08/23,23.168
2013/08/24,8.391
2013/08/25,-13.314
2013/08/26,3.692
2013/08/27,10.854
2013/08/28,16.515
2013/08/29,4.617
2013/08/30,40.817
2013/08/31,41.297
2013/09/01,-29.979
2013/09/02,-24.302
2013/09/03,-8.63
2013/09/04,-3.178
2013/09/05,-7.384
2013/09/06,19.429
2013/09/07,8.043
2013/09/08,-18.768
2013/09/09,-2.085
2013/09/10,-0.385
2013/09/11,5.558
2013/09/12,-10.785
2013/09/13,20.955
2013/09/14,1.14
2013/09/15,-19.073
2013/09/16,1.074
2013/09/17,-0.662
2013/09/18,8.083
2013/09/19,6.249
2013/09/20,22.614
2013/09/21,19.099
2013/09/22,-17.967
2013/09/23,15.992
2013/09/24,13.237
2013/09/25,9.411
2013/09/26,2.207
2013/09/27,26.632
2013/09/28,21.44
2013/09/29,-15.503
2013/09/30,13.242
2013/10/01,22.227
2013/10/02,41.979
2013/10/03,15.398
2013/10/04,31.066
2013/10/05,19.157
2013/10/06,-21.11
2013/10/07,-4.314
2013/10/08,3.391
2013/10/09,-7.606
2013/10/10,-14.715
2013/10/11,14.513
2013/10/12,29.688
2013/10/13,0.274
2013/10/14,4.409
2013/10/15,16.662
2013/10/16,24.943
2013/10/17,11.032
2013/10/18,58.902
2013/10/19,48.211
2013/10/20,-5.448
2013/10/21,16.424
2013/10/22,24.293
2013/10/23,26.628
2013/10/24,54.739
2013/10/25,72.075
2013/10/26,26.733
2013/10/27,-16.53
2013/10/28,0.819
2013/10/29,-10.132
2013/10/30,-6.41
2013/10/31,0.962
2013/11/01,24.317
2013/11/02,18.836
