Date,confirmationtime90mom
2011/09/13,4.98
2011/09/14,1.863
2011/09/15,1.489
2011/09/16,4.791
2011/09/17,4.289
2011/09/18,2.96
2011/09/19,5.647
2011/09/20,4.747
2011/09/21,3.863
2011/09/22,3.063
2011/09/23,0.757
2011/09/24,1.498
2011/09/25,1.99
2011/09/26,1.746
2011/09/27,2.455
2011/09/28,2.257
2011/09/29,3.196
2011/09/30,3.283
2011/10/01,1.343
2011/10/02,3.43
2011/10/03,-0.429
2011/10/04,3.685
2011/10/05,-1.061
2011/10/06,2.523
2011/10/07,0.77
2011/10/08,1.59
2011/10/09,2.167
2011/10/10,1.495
2011/10/11,7.945
2011/10/12,2
2011/10/13,5.956
2011/10/14,1.188
2011/10/15,2.276
2011/10/16,3.63
2011/10/17,2.063
2011/10/18,2.336
2011/10/19,1.353
2011/10/20,2.985
2011/10/21,2.038
2011/10/22,6.019
2011/10/23,4.606
2011/10/24,3.157
2011/10/25,2.887
2011/10/26,3.017
2011/10/27,5.62
2011/10/28,4.241
2011/10/29,4.515
2011/10/30,4.246
2011/10/31,1.642
2011/11/01,0.428
2011/11/02,-1.812
2011/11/03,1.234
2011/11/04,-2.007
2011/11/05,-1.566
2011/11/06,-0.588
2011/11/07,1.046
2011/11/08,0.191
2011/11/09,-1.567
2011/11/10,-0.78
2011/11/11,1.024
2011/11/12,-0.839
2011/11/13,-1.163
2011/11/14,0.274
2011/11/15,-1.861
2011/11/16,0.667
2011/11/17,-0.633
2011/11/18,1.353
2011/11/19,2.707
2011/11/20,1.549
2011/11/21,2.913
2011/11/22,-0.461
2011/11/23,0.08
2011/11/24,2.947
2011/11/25,-1.137
2011/11/26,-0.414
2011/11/27,2.197
2011/11/28,1.476
2011/11/29,1.144
2011/11/30,-2.274
2011/12/01,-1.319
2011/12/02,-0.068
2011/12/03,-1.273
2011/12/04,1.357
2011/12/05,-0.422
2011/12/06,-2.167
2011/12/07,-0.728
2011/12/08,-0.57
2011/12/09,-1.031
2011/12/10,-1.52
2011/12/11,-1.353
2011/12/12,1.198
2011/12/13,1.046
2011/12/14,0.181
2011/12/15,0.756
2011/12/16,1.457
2011/12/17,0.486
2011/12/18,-1.339
2011/12/19,-1.229
2011/12/20,0.883
2011/12/21,-0.065
2011/12/22,-1.097
2011/12/23,-1.022
2011/12/24,-0.58
2011/12/25,-2.47
2011/12/26,-2.691
2011/12/27,0.135
2011/12/28,-2.23
2011/12/29,-1.368
2011/12/30,0.071
2011/12/31,-2.364
2012/01/01,-0.519
2012/01/02,-3.321
2012/01/03,-0.874
2012/01/04,-1.586
2012/01/05,-0.639
2012/01/06,-3.68
2012/01/07,-3.512
2012/01/08,-2.873
2012/01/09,-6.703
2012/01/10,-1.787
2012/01/11,-5.434
2012/01/12,-1.069
2012/01/13,-0.461
2012/01/14,-2.501
2012/01/15,-1.844
2012/01/16,-3.771
2012/01/17,-1.655
2012/01/18,-1.272
2012/01/19,-2.301
2012/01/20,-4.763
2012/01/21,-4.553
2012/01/22,-0.75
2012/01/23,-2.692
2012/01/24,-1.948
2012/01/25,-4.67
2012/01/26,-3.28
2012/01/27,-2.531
2012/01/28,-3.042
2012/01/29,-2.37
2012/01/30,-1.228
2012/01/31,0.249
2012/02/01,-1.307
2012/02/02,-0.739
2012/02/03,-0.749
2012/02/04,-0.828
2012/02/05,-0.768
2012/02/06,0.199
2012/02/07,1.567
2012/02/08,-0.282
2012/02/09,-2.17
2012/02/10,0.365
2012/02/11,-0.4
2012/02/12,-0.956
2012/02/13,1.784
2012/02/14,-0.232
2012/02/15,0.387
2012/02/16,-0.392
2012/02/17,-2.234
2012/02/18,-1.649
2012/02/19,-3.089
2012/02/20,0
2012/02/21,0.417
2012/02/22,-3.687
2012/02/23,-1.992
2012/02/24,-2.336
2012/02/25,-3.904
2012/02/26,-1.739
2012/02/27,-1.084
2012/02/28,0.111
2012/02/29,0.133
2012/03/01,-0.327
2012/03/02,1.273
2012/03/03,2.155
2012/03/04,1.397
2012/03/05,1.51
2012/03/06,0.076
2012/03/07,0.57
2012/03/08,-0.565
2012/03/09,-1.429
2012/03/10,-0.746
2012/03/11,-0.592
2012/03/12,-2.234
2012/03/13,-0.412
2012/03/14,-2.346
2012/03/15,-0.303
2012/03/16,-0.188
2012/03/17,-1.529
2012/03/18,-0.057
2012/03/19,-0.676
2012/03/20,-0.664
2012/03/21,-0.616
2012/03/22,-1.027
2012/03/23,1.498
2012/03/24,-0.45
2012/03/25,1.036
2012/03/26,-0.395
2012/03/27,-0.06
2012/03/28,-0.835
2012/03/29,0.072
2012/03/30,-0.186
2012/03/31,-0.941
2012/04/01,0.604
2012/04/02,3.357
2012/04/03,1.163
2012/04/04,0.715
2012/04/05,3.887
2012/04/06,2.762
2012/04/07,2.328
2012/04/08,0.82
2012/04/09,-0.35
2012/04/10,0.384
2012/04/11,0.922
2012/04/12,1.053
2012/04/13,2.107
2012/04/14,0
2012/04/15,5.229
2012/04/16,0.428
2012/04/17,-0.583
2012/04/18,1.477
2012/04/19,-0.759
2012/04/20,0.57
2012/04/21,-1.238
2012/04/22,1.815
2012/04/23,0.307
2012/04/24,0.705
2012/04/25,0.904
2012/04/26,-0.922
2012/04/27,0.736
2012/04/28,0.851
2012/04/29,-0.327
2012/04/30,-1.555
2012/05/01,-1.742
2012/05/02,0.543
2012/05/03,0.058
2012/05/04,-0.228
2012/05/05,-1.518
2012/05/06,-1.083
2012/05/07,-2.04
2012/05/08,-1.749
2012/05/09,-1.256
2012/05/10,0.728
2012/05/11,0.47
2012/05/12,2.136
2012/05/13,-0.225
2012/05/14,-0.075
2012/05/15,0.331
2012/05/16,1.466
2012/05/17,2.94
2012/05/18,1.51
2012/05/19,0.551
2012/05/20,0.149
2012/05/21,0.266
2012/05/22,3.465
2012/05/23,2.402
2012/05/24,1.856
2012/05/25,3.174
2012/05/26,0.541
2012/05/27,-0.294
2012/05/28,1.141
2012/05/29,3.384
2012/05/30,1.456
2012/05/31,-0.311
2012/06/01,-3.27
2012/06/02,-1.511
2012/06/03,-0.519
2012/06/04,-1.221
2012/06/05,0.445
2012/06/06,0.181
2012/06/07,1.788
2012/06/08,1.485
2012/06/09,-2.325
2012/06/10,0
2012/06/11,1.286
2012/06/12,-1.28
2012/06/13,-2.301
2012/06/14,-0.181
2012/06/15,0.586
2012/06/16,0.231
2012/06/17,-1.289
2012/06/18,-0.771
2012/06/19,0.682
2012/06/20,0.817
2012/06/21,-0.84
2012/06/22,2.609
2012/06/23,-0.391
2012/06/24,1.456
2012/06/25,0.12
2012/06/26,0.064
2012/06/27,-1.378
2012/06/28,1.16
2012/06/29,1.392
2012/06/30,0.768
2012/07/01,-2.273
2012/07/02,-1.353
2012/07/03,-1.511
2012/07/04,-2.708
2012/07/05,-0.588
2012/07/06,-1.872
2012/07/07,-0.925
2012/07/08,-0.451
2012/07/09,-0.962
2012/07/10,-0.613
2012/07/11,-0.592
2012/07/12,-2.107
2012/07/13,-1.525
2012/07/14,-4.514
2012/07/15,0.686
2012/07/16,-1.067
2012/07/17,-2.705
2012/07/18,0.118
2012/07/19,1.316
2012/07/20,0.379
2012/07/21,-0.073
2012/07/22,-1.376
2012/07/23,-0.222
2012/07/24,-2.394
2012/07/25,-0.29
2012/07/26,-2.146
2012/07/27,-1.384
2012/07/28,1.367
2012/07/29,0.63
2012/07/30,-0.289
2012/07/31,1.477
2012/08/01,1.574
2012/08/02,-0.217
2012/08/03,0.266
2012/08/04,0.45
2012/08/05,1.889
2012/08/06,2.104
2012/08/07,0.106
2012/08/08,-2.488
2012/08/09,-1.599
2012/08/10,-2.019
2012/08/11,-1.714
2012/08/12,-1.303
2012/08/13,-2.077
2012/08/14,-2.729
2012/08/15,-3.791
2012/08/16,-0.58
2012/08/17,0.77
2012/08/18,-0.898
2012/08/19,-3.516
2012/08/20,-4.246
2012/08/21,-2.753
2012/08/22,-2.289
2012/08/23,-3.174
2012/08/24,-0.411
2012/08/25,1.378
2012/08/26,-2.096
2012/08/27,-1.498
2012/08/28,-1.456
2012/08/29,-1.863
2012/08/30,-0.123
2012/08/31,1.286
2012/09/01,-0.468
2012/09/02,-0.51
2012/09/03,-0.624
2012/09/04,0
2012/09/05,-2.36
2012/09/06,-1.792
2012/09/07,0.15
2012/09/08,1.256
2012/09/09,-1.229
2012/09/10,0.369
2012/09/11,0.331
2012/09/12,0.06
2012/09/13,2.02
2012/09/14,-0.342
2012/09/15,1.22
2012/09/16,0.716
2012/09/17,-1.224
2012/09/18,-1.308
2012/09/19,-0.375
2012/09/20,-0.961
2012/09/21,-0.26
2012/09/22,-1.82
2012/09/23,-0.237
2012/09/24,-0.253
2012/09/25,1.525
2012/09/26,-0.225
2012/09/27,-0.919
2012/09/28,-1.795
2012/09/29,-1.569
2012/09/30,-0.417
2012/10/01,1.992
2012/10/02,0.263
2012/10/03,0.827
2012/10/04,1.702
2012/10/05,1.914
2012/10/06,-0.121
2012/10/07,2.686
2012/10/08,-1.51
2012/10/09,-0.605
2012/10/10,0.064
2012/10/11,1.6
2012/10/12,0.72
2012/10/13,-0.556
2012/10/14,1.739
2012/10/15,0.149
2012/10/16,0
2012/10/17,-0.526
2012/10/18,-0.558
2012/10/19,0.454
2012/10/20,-0.176
2012/10/21,-1.269
2012/10/22,0.228
2012/10/23,2.077
2012/10/24,0.368
2012/10/25,1.98
2012/10/26,-0.684
2012/10/27,-0.446
2012/10/28,0.493
2012/10/29,-1.963
2012/10/30,-0.676
2012/10/31,1.273
2012/11/01,1.622
2012/11/02,0.839
2012/11/03,-0.497
2012/11/04,-1.114
2012/11/05,0.22
2012/11/06,1.992
2012/11/07,0.701
2012/11/08,0.12
2012/11/09,0.902
2012/11/10,0.943
2012/11/11,0.796
2012/11/12,1.737
2012/11/13,1.663
2012/11/14,0.719
2012/11/15,0.153
2012/11/16,0.395
2012/11/17,2.374
2012/11/18,1.587
2012/11/19,1.539
2012/11/20,0.565
2012/11/21,0.746
2012/11/22,0.27
2012/11/23,-1.6
2012/11/24,1.492
2012/11/25,-0.068
2012/11/26,-0.364
2012/11/27,1.158
2012/11/28,-0.979
2012/11/29,-1.611
2012/11/30,2.576
2012/12/01,-0.158
2012/12/02,0.898
2012/12/03,0.384
2012/12/04,4.857
2012/12/05,3.382
2012/12/06,1.94
2012/12/07,1.232
2012/12/08,1.378
2012/12/09,1.829
2012/12/10,0.139
2012/12/11,0.71
2012/12/12,0
2012/12/13,2.103
2012/12/14,3.585
2012/12/15,3.47
2012/12/16,4.402
2012/12/17,2.124
2012/12/18,1.307
2012/12/19,0.667
2012/12/20,5.064
2012/12/21,2.257
2012/12/22,0.298
2012/12/23,2.392
2012/12/24,0.549
2012/12/25,1.327
2012/12/26,0.407
2012/12/27,0.117
2012/12/28,-0.051
2012/12/29,0.943
2012/12/30,-2.318
2012/12/31,-0.749
2013/01/01,-1.938
2013/01/02,-1.581
2013/01/03,-1.699
2013/01/04,0.121
2013/01/05,-1.307
2013/01/06,1.841
2013/01/07,-1.569
2013/01/08,1.163
2013/01/09,0.642
2013/01/10,0.131
2013/01/11,2.578
2013/01/12,0.465
2013/01/13,2.306
2013/01/14,-0.118
2013/01/15,1.76
2013/01/16,1.82
2013/01/17,2.306
2013/01/18,2.787
2013/01/19,0.407
2013/01/20,1.905
2013/01/21,-0.168
2013/01/22,1.111
2013/01/23,1.359
2013/01/24,0.503
2013/01/25,2.282
2013/01/26,0.556
2013/01/27,0.422
2013/01/28,-0.274
2013/01/29,-0.886
2013/01/30,-1.099
2013/01/31,-2.609
2013/02/01,-0.067
2013/02/02,0.24
2013/02/03,-1.258
2013/02/04,-1.886
2013/02/05,-0.549
