Date,confirmationtime3var
2011/11/02,0.522
2011/11/03,0.939
2011/11/04,0.875
2011/11/05,0.636
2011/11/06,0.007
2011/11/07,0.215
2011/11/08,0.276
2011/11/09,0.659
2011/11/10,0.27
2011/11/11,1.682
2011/11/12,0.857
2011/11/13,0.949
2011/11/14,0.001
2011/11/15,0.381
2011/11/16,0.658
2011/11/17,0.724
2011/11/18,0.038
2011/11/19,0.312
2011/11/20,0.448
2011/11/21,0.831
2011/11/22,0.92
2011/11/23,0.668
2011/11/24,1.138
2011/11/25,0.923
2011/11/26,0.738
2011/11/27,0.671
2011/11/28,0.279
2011/11/29,0.813
2011/11/30,1.023
2011/12/01,1.079
2011/12/02,0.634
2011/12/03,0.711
2011/12/04,0.213
2011/12/05,0.394
2011/12/06,0.817
2011/12/07,0.698
2011/12/08,0.769
2011/12/09,0.464
2011/12/10,0.284
2011/12/11,0.047
2011/12/12,0.616
2011/12/13,0.636
2011/12/14,0.682
2011/12/15,1.99
2011/12/16,2.232
2011/12/17,1.979
2011/12/18,1.31
2011/12/19,0.149
2011/12/20,0.478
2011/12/21,0.488
2011/12/22,0.245
2011/12/23,0.044
2011/12/24,0.028
2011/12/25,0.696
2011/12/26,0.665
2011/12/27,0.665
2011/12/28,0.552
2011/12/29,0.219
2011/12/30,0.236
2011/12/31,0.14
2012/01/01,0.101
2012/01/02,0.003
2012/01/03,0.041
2012/01/04,0.068
2012/01/05,0.104
2012/01/06,0.384
2012/01/07,0.68
2012/01/08,0.171
2012/01/09,0.214
2012/01/10,0.439
2012/01/11,0.344
2012/01/12,0.167
2012/01/13,0.197
2012/01/14,0.173
2012/01/15,0.117
2012/01/16,0.778
2012/01/17,0.76
2012/01/18,1.593
2012/01/19,0.803
2012/01/20,0.508
2012/01/21,0.234
2012/01/22,0.558
2012/01/23,0.872
2012/01/24,0.901
2012/01/25,0.617
2012/01/26,0.1
2012/01/27,0.087
2012/01/28,0.042
2012/01/29,0.48
2012/01/30,0.467
2012/01/31,0.281
2012/02/01,0.586
2012/02/02,0.223
2012/02/03,0.283
2012/02/04,0.002
2012/02/05,0.222
2012/02/06,0.166
2012/02/07,0.07
2012/02/08,0.085
2012/02/09,0.075
2012/02/10,0.056
2012/02/11,0.118
2012/02/12,0.298
2012/02/13,0.335
2012/02/14,0.411
2012/02/15,0.018
2012/02/16,0.022
2012/02/17,0.293
2012/02/18,0.676
2012/02/19,0.191
2012/02/20,0.592
2012/02/21,0.704
2012/02/22,0.746
2012/02/23,1.197
2012/02/24,0.166
2012/02/25,0.207
2012/02/26,0.183
2012/02/27,0.135
2012/02/28,0.061
2012/02/29,0.305
2012/03/01,0.381
2012/03/02,1.221
2012/03/03,1.749
2012/03/04,1.003
2012/03/05,1.47
2012/03/06,0.075
2012/03/07,0.224
2012/03/08,0.333
2012/03/09,0.117
2012/03/10,0.079
2012/03/11,0.981
2012/03/12,0.93
2012/03/13,0.827
2012/03/14,0.64
2012/03/15,1.403
2012/03/16,1.037
2012/03/17,2.094
2012/03/18,0.148
2012/03/19,0.443
2012/03/20,0.254
2012/03/21,0.23
2012/03/22,0.003
2012/03/23,1.191
2012/03/24,2.222
2012/03/25,2.209
2012/03/26,0.541
2012/03/27,0.026
2012/03/28,0.026
2012/03/29,0.164
2012/03/30,0.131
2012/03/31,0.506
2012/04/01,0.465
2012/04/02,2.612
2012/04/03,0.906
2012/04/04,0.693
2012/04/05,0.613
2012/04/06,0.688
2012/04/07,0.511
2012/04/08,0.417
2012/04/09,0.467
2012/04/10,0.012
2012/04/11,0.033
2012/04/12,0.425
2012/04/13,0.404
2012/04/14,0.323
2012/04/15,1.609
2012/04/16,2.784
2012/04/17,2.646
2012/04/18,0.387
2012/04/19,0.67
2012/04/20,0.738
2012/04/21,0.007
2012/04/22,0.194
2012/04/23,0.306
2012/04/24,0.025
2012/04/25,0.147
2012/04/26,0.702
2012/04/27,0.727
2012/04/28,0.372
2012/04/29,1.149
2012/04/30,0.454
2012/05/01,0.04
2012/05/02,0.431
2012/05/03,0.217
2012/05/04,0.074
2012/05/05,0.051
2012/05/06,0.017
2012/05/07,0.016
2012/05/08,0.06
2012/05/09,0.041
2012/05/10,1.702
2012/05/11,1.037
2012/05/12,0.288
2012/05/13,0.263
2012/05/14,0.192
2012/05/15,0.127
2012/05/16,0.396
2012/05/17,0.303
2012/05/18,1.145
2012/05/19,1.533
2012/05/20,0.102
2012/05/21,0.521
2012/05/22,0.726
2012/05/23,0.378
2012/05/24,0.365
2012/05/25,0.113
2012/05/26,0.572
2012/05/27,1.374
2012/05/28,0.261
2012/05/29,0.94
2012/05/30,0.286
2012/05/31,0.165
2012/06/01,0.393
2012/06/02,0.356
2012/06/03,0.044
2012/06/04,0.03
2012/06/05,0.046
2012/06/06,0.046
2012/06/07,0.152
2012/06/08,0.174
2012/06/09,0.777
2012/06/10,0.627
2012/06/11,0.682
2012/06/12,0.446
2012/06/13,0.191
2012/06/14,0.03
2012/06/15,0.051
2012/06/16,0.007
2012/06/17,0.034
2012/06/18,0.168
2012/06/19,0.421
2012/06/20,0.597
2012/06/21,0.12
2012/06/22,0.079
2012/06/23,0.67
2012/06/24,0.882
2012/06/25,0.879
2012/06/26,0.506
2012/06/27,0.117
2012/06/28,0.469
2012/06/29,0.477
2012/06/30,0.186
2012/07/01,0.196
2012/07/02,0.344
2012/07/03,0.219
2012/07/04,0.067
2012/07/05,0.169
2012/07/06,0.084
2012/07/07,0.293
2012/07/08,0.104
2012/07/09,0.1
2012/07/10,0.106
2012/07/11,0.617
2012/07/12,0.292
2012/07/13,0.617
2012/07/14,0.114
2012/07/15,0.435
2012/07/16,0.3
2012/07/17,0.627
2012/07/18,0.272
2012/07/19,0.889
2012/07/20,0.329
2012/07/21,0.146
2012/07/22,0.142
2012/07/23,0.189
2012/07/24,0.287
2012/07/25,0.343
2012/07/26,0.046
2012/07/27,0.138
2012/07/28,0.303
2012/07/29,0.293
2012/07/30,0.255
2012/07/31,1.599
2012/08/01,1.674
2012/08/02,1.079
2012/08/03,0.839
2012/08/04,0.044
2012/08/05,0.395
2012/08/06,0.266
2012/08/07,0.529
2012/08/08,0.541
2012/08/09,0.017
2012/08/10,0.103
2012/08/11,0.114
2012/08/12,0.078
2012/08/13,0.047
2012/08/14,0.005
2012/08/15,0.053
2012/08/16,0.096
2012/08/17,0.554
2012/08/18,0.224
2012/08/19,1.09
2012/08/20,0.484
2012/08/21,0.034
2012/08/22,0.193
2012/08/23,0.138
2012/08/24,0.167
2012/08/25,0.491
2012/08/26,1.005
2012/08/27,1.058
2012/08/28,0.66
2012/08/29,0.326
2012/08/30,0.175
2012/08/31,0.491
2012/09/01,0.316
2012/09/02,0.455
2012/09/03,0.026
2012/09/04,0.068
2012/09/05,0.38
2012/09/06,0.35
2012/09/07,0.058
2012/09/08,0.461
2012/09/09,0.317
2012/09/10,0.13
2012/09/11,0.13
2012/09/12,0.068
2012/09/13,0.546
2012/09/14,0.905
2012/09/15,0.798
2012/09/16,0.261
2012/09/17,0.366
2012/09/18,0.027
2012/09/19,0.581
2012/09/20,0.422
2012/09/21,0.48
2012/09/22,0.158
2012/09/23,0.087
2012/09/24,0.017
2012/09/25,0.282
2012/09/26,0.185
2012/09/27,0.423
2012/09/28,0.356
2012/09/29,0.051
2012/09/30,0.059
2012/10/01,1.094
2012/10/02,0.63
2012/10/03,0.248
2012/10/04,0.248
2012/10/05,0.028
2012/10/06,0.527
2012/10/07,0.836
2012/10/08,2.02
2012/10/09,1.986
2012/10/10,0.768
2012/10/11,0.101
2012/10/12,0.132
2012/10/13,0.122
2012/10/14,0.599
2012/10/15,1.332
2012/10/16,1.414
2012/10/17,0.438
2012/10/18,0.186
2012/10/19,0.383
2012/10/20,0.516
2012/10/21,0.601
2012/10/22,0.009
2012/10/23,0.914
2012/10/24,0.944
2012/10/25,0.8
2012/10/26,0.358
2012/10/27,0.605
2012/10/28,0.05
2012/10/29,0.131
2012/10/30,0.339
2012/10/31,0.189
2012/11/01,0.051
2012/11/02,0.051
2012/11/03,0.073
2012/11/04,0.147
2012/11/05,0.139
2012/11/06,0.56
2012/11/07,0.56
2012/11/08,0.444
2012/11/09,0.015
2012/11/10,0.079
2012/11/11,0.047
2012/11/12,0.234
2012/11/13,0.208
2012/11/14,0.127
2012/11/15,0.045
2012/11/16,0.08
2012/11/17,0.072
2012/11/18,0.034
2012/11/19,0.04
2012/11/20,0.001
2012/11/21,0.029
2012/11/22,0.047
2012/11/23,0.227
2012/11/24,0.23
2012/11/25,0.184
2012/11/26,0.08
2012/11/27,0.09
2012/11/28,0.31
2012/11/29,0.339
2012/11/30,2.011
2012/12/01,1.832
2012/12/02,1.399
2012/12/03,0.394
2012/12/04,1.913
2012/12/05,1.612
2012/12/06,0.921
2012/12/07,0.278
2012/12/08,0.107
2012/12/09,0.176
2012/12/10,0.33
2012/12/11,0.432
2012/12/12,0.242
2012/12/13,0.239
2012/12/14,1.446
2012/12/15,1.124
2012/12/16,0.229
2012/12/17,0.895
2012/12/18,0.852
2012/12/19,0.319
2012/12/20,2.003
2012/12/21,2.019
2012/12/22,2.904
2012/12/23,1.103
2012/12/24,0.973
2012/12/25,0.148
2012/12/26,0.894
2012/12/27,1.201
2012/12/28,0.134
2012/12/29,0.365
2012/12/30,0.441
2012/12/31,0.304
2013/01/01,0.032
2013/01/02,0.046
2013/01/03,0.061
2013/01/04,0.061
2013/01/05,0.296
2013/01/06,0.11
2013/01/07,0.514
2013/01/08,0.86
2013/01/09,1.27
2013/01/10,0.307
2013/01/11,1.052
2013/01/12,1.177
2013/01/13,0.378
2013/01/14,1.18
2013/01/15,1.26
2013/01/16,1.287
