Date,sentbyaddress14var
2012/04/08,776556
2012/04/09,779355
2012/04/10,979620
2012/04/11,1254952
2012/04/12,1498683
2012/04/13,1495087
2012/04/14,1538629
2012/04/15,1150155
2012/04/16,1350743
2012/04/17,1381779
2012/04/18,1632700
2012/04/19,1601182
2012/04/20,1677772
2012/04/21,1317816
2012/04/22,1098535
2012/04/23,899543
2012/04/24,898435
2012/04/25,869808
2012/04/26,1023203
2012/04/27,923677
2012/04/28,992096
2012/04/29,963185
2012/04/30,1129586
2012/05/01,1433254
2012/05/02,1639349
2012/05/03,2648539
2012/05/04,3562832
2012/05/05,3611599
2012/05/06,2979261
2012/05/07,4592240
2012/05/08,5472646
2012/05/09,6402675
2012/05/10,6304063
2012/05/11,6815473
2012/05/12,5564462
2012/05/13,3889992
2012/05/14,10046268
2012/05/15,10354713
2012/05/16,9552411
2012/05/17,9411116
2012/05/18,9568469
2012/05/19,11806971
2012/05/20,10671922
2012/05/21,11668491
2012/05/22,11420102
2012/05/23,11579871
2012/05/24,9141570
2012/05/25,9232548
2012/05/26,8507761
2012/05/27,6056028
2012/05/28,4531068
2012/05/29,5250653
2012/05/30,4636790
2012/05/31,2821491
2012/06/01,2595148
2012/06/02,5461273
2012/06/03,5930851
2012/06/04,12920592
2012/06/05,20111250
2012/06/06,22132134
2012/06/07,22505951
2012/06/08,22908466
2012/06/09,22023166
2012/06/10,22147842
2012/06/11,22124880
2012/06/12,25573160
2012/06/13,37482283
2012/06/14,49244738
2012/06/15,55889889
2012/06/16,46104588
2012/06/17,46069691
2012/06/18,45181827
2012/06/19,43362211
2012/06/20,37177937
2012/06/21,39340530
2012/06/22,38425543
2012/06/23,40076619
2012/06/24,42982343
2012/06/25,42750488
2012/06/26,33788417
2012/06/27,28039540
2012/06/28,19397897
2012/06/29,11903012
2012/06/30,9901481
2012/07/01,7837933
2012/07/02,6309893
2012/07/03,6018745
2012/07/04,6150088
2012/07/05,6698914
2012/07/06,6778068
2012/07/07,6243497
2012/07/08,6616524
2012/07/09,6545662
2012/07/10,7461818
2012/07/11,6034206
2012/07/12,6145997
2012/07/13,6227123
2012/07/14,6360067
2012/07/15,6146448
2012/07/16,6872687
2012/07/17,10193321
2012/07/18,10105700
2012/07/19,8833193
2012/07/20,8476564
2012/07/21,8702020
2012/07/22,7647189
2012/07/23,8823680
2012/07/24,8549256
2012/07/25,9216903
2012/07/26,9850671
2012/07/27,8999746
2012/07/28,8050598
2012/07/29,6746924
2012/07/30,6636234
2012/07/31,23401225
2012/08/01,23163758
2012/08/02,22948575
2012/08/03,23098400
2012/08/04,23494307
2012/08/05,23220854
2012/08/06,23729124
2012/08/07,23659649
2012/08/08,25855223
2012/08/09,22846681
2012/08/10,20690016
2012/08/11,20912622
2012/08/12,19500985
2012/08/13,21411597
2012/08/14,10302334
2012/08/15,11803316
2012/08/16,25621985
2012/08/17,29975389
2012/08/18,27763018
2012/08/19,25572002
2012/08/20,25801913
2012/08/21,26440837
2012/08/22,26077306
2012/08/23,23621032
2012/08/24,21038074
2012/08/25,22286879
2012/08/26,26597456
2012/08/27,28304971
2012/08/28,29646522
2012/08/29,30410092
2012/08/30,22383695
2012/08/31,17458350
2012/09/01,15410658
2012/09/02,16930566
2012/09/03,18979949
2012/09/04,13722794
2012/09/05,11608641
2012/09/06,13197595
2012/09/07,12724266
2012/09/08,13560657
2012/09/09,12096281
2012/09/10,12214916
2012/09/11,12906166
2012/09/12,14183518
2012/09/13,14895898
2012/09/14,11536628
2012/09/15,12478427
2012/09/16,14397260
2012/09/17,15345092
2012/09/18,14989004
2012/09/19,13992339
2012/09/20,11874111
2012/09/21,11445271
2012/09/22,15639548
2012/09/23,17596094
2012/09/24,17648832
2012/09/25,15225453
2012/09/26,18986545
2012/09/27,19269606
2012/09/28,21816302
2012/09/29,20779390
2012/09/30,21935855
2012/10/01,21598968
2012/10/02,25220623
2012/10/03,24855654
2012/10/04,24716707
2012/10/05,25712677
2012/10/06,20161856
2012/10/07,15590407
2012/10/08,14991778
2012/10/09,15860728
2012/10/10,15114544
2012/10/11,15231458
2012/10/12,14409856
2012/10/13,13312281
2012/10/14,9454882
2012/10/15,7202341
2012/10/16,5884788
2012/10/17,5849886
2012/10/18,5337246
2012/10/19,5780534
2012/10/20,5647117
2012/10/21,5922145
2012/10/22,4436911
2012/10/23,3056262
2012/10/24,2442163
2012/10/25,2695788
2012/10/26,3085385
2012/10/27,7234258
2012/10/28,11582854
2012/10/29,12998974
2012/10/30,12721675
2012/10/31,11876768
2012/11/01,10577059
2012/11/02,10658504
2012/11/03,9948798
2012/11/04,9914664
2012/11/05,7503890
2012/11/06,7457230
2012/11/07,8520113
2012/11/08,8142625
2012/11/09,7938339
2012/11/10,7384001
2012/11/11,6757789
2012/11/12,6361591
2012/11/13,6155412
2012/11/14,6641103
2012/11/15,11476561
2012/11/16,16850982
2012/11/17,17847600
