Date,transactionvalue14rocUSD
2012/12/14,208.624
2012/12/15,195.641
2012/12/16,9.528
2012/12/17,-42.137
2012/12/18,-36.926
2012/12/19,-69.546
2012/12/20,-69.731
2012/12/21,-41.787
2012/12/22,-10.049
2012/12/23,-46.182
2012/12/24,2.833
2012/12/25,-52.698
2012/12/26,-82.633
2012/12/27,-79.865
2012/12/28,-70.137
2012/12/29,-49.514
2012/12/30,-66.557
2012/12/31,5.114
2013/01/01,-0.968
2013/01/02,91.014
2013/01/03,53.883
2013/01/04,25.305
2013/01/05,90.212
2013/01/06,38.086
2013/01/07,23.529
2013/01/08,165.66
2013/01/09,134.725
2013/01/10,40.025
2013/01/11,15.294
2013/01/12,-14.404
2013/01/13,10.605
2013/01/14,-42.717
2013/01/15,3.654
2013/01/16,-9.183
2013/01/17,3.919
2013/01/18,-18.654
2013/01/19,-39.915
2013/01/20,1.684
2013/01/21,-7.509
2013/01/22,-25.39
2013/01/23,62.55
2013/01/24,69.623
2013/01/25,53.562
2013/01/26,46.834
2013/01/27,84.211
2013/01/28,63.544
2013/01/29,34.003
2013/01/30,109.436
2013/01/31,7.292
2013/02/01,19.787
2013/02/02,18.442
2013/02/03,2.191
2013/02/04,63.316
2013/02/05,35.734
2013/02/06,1.648
2013/02/07,1.109
2013/02/08,45.776
2013/02/09,62.859
2013/02/10,22.991
2013/02/11,-4.804
2013/02/12,-39.792
2013/02/13,-59.645
2013/02/14,22.365
2013/02/15,-1.523
2013/02/16,31.351
2013/02/17,34.631
2013/02/18,-11.62
2013/02/19,-2.13
2013/02/20,-35.159
2013/02/21,-8.379
2013/02/22,-6.116
2013/02/23,-10.379
2013/02/24,52.249
2013/02/25,46.741
2013/02/26,43.07
2013/02/27,50.272
2013/02/28,-0.412
2013/03/01,39.519
2013/03/02,35.796
2013/03/03,-9.139
2013/03/04,-21.814
2013/03/05,68.951
2013/03/06,148.8
2013/03/07,81.077
2013/03/08,20.242
2013/03/09,23.586
2013/03/10,-13.209
2013/03/11,-4.527
2013/03/12,80.97
2013/03/13,51.065
2013/03/14,19.784
2013/03/15,338.163
2013/03/16,236.018
2013/03/17,100.881
2013/03/18,689.379
2013/03/19,73.48
2013/03/20,63.035
2013/03/21,136.526
2013/03/22,84.457
2013/03/23,117.392
2013/03/24,68.005
2013/03/25,184.888
2013/03/26,99.129
2013/03/27,259.263
2013/03/28,190.039
2013/03/29,-45.413
2013/03/30,-9.687
2013/03/31,179.379
2013/04/01,-35.304
2013/04/02,103.484
2013/04/03,90.559
2013/04/04,81.174
2013/04/05,164.61
2013/04/06,100.701
2013/04/07,95.541
2013/04/08,85.883
2013/04/09,125.215
2013/04/10,99.498
2013/04/11,57.222
2013/04/12,37.711
2013/04/13,-10.87
2013/04/14,-55.229
2013/04/15,-35.512
2013/04/16,-54.917
2013/04/17,-46.967
2013/04/18,179.224
2013/04/19,-22.895
2013/04/20,-24.761
2013/04/21,3.476
2013/04/22,-2.08
2013/04/23,-47.7
