Date,mediantransactionvalueUSD
2016/06/25,165.975
2016/06/26,140.997
2016/06/27,162.682
2016/06/28,161.826
2016/06/29,183.789
2016/06/30,195.127
2016/07/01,185.15
2016/07/02,186.925
2016/07/03,152.129
2016/07/04,200.473
2016/07/05,181.323
2016/07/06,170.971
2016/07/07,178.018
2016/07/08,184.772
2016/07/09,140.04
2016/07/10,128.633
2016/07/11,201.352
2016/07/12,163.146
2016/07/13,196.125
2016/07/14,188.938
2016/07/15,216.696
2016/07/16,165.414
2016/07/17,157.608
2016/07/18,227.995
2016/07/19,238.024
2016/07/20,210.515
2016/07/21,234.571
2016/07/22,247.283
2016/07/23,207.8
2016/07/24,196.826
2016/07/25,207.107
2016/07/26,229.058
2016/07/27,239.752
2016/07/28,231
2016/07/29,261.94
2016/07/30,237.837
2016/07/31,210.89
2016/08/01,209.399
2016/08/02,270.347
2016/08/03,217.449
2016/08/04,209.275
2016/08/05,186.638
2016/08/06,178.387
2016/08/07,207.689
2016/08/08,182.989
2016/08/09,205.026
2016/08/10,175.258
2016/08/11,177.694
2016/08/12,215.464
2016/08/13,210.047
2016/08/14,196.67
2016/08/15,212.707
2016/08/16,200.447
2016/08/17,177.838
2016/08/18,189.454
2016/08/19,214.331
2016/08/20,159.995
2016/08/21,143.726
2016/08/22,174.672
2016/08/23,167.68
2016/08/24,156.385
2016/08/25,186.958
2016/08/26,183.798
2016/08/27,129.249
2016/08/28,130.672
2016/08/29,182.76
2016/08/30,177.927
2016/08/31,173.26
2016/09/01,196.9
2016/09/02,193.185
2016/09/03,137.746
2016/09/04,120.766
2016/09/05,173.391
2016/09/06,152.855
2016/09/07,155.766
2016/09/08,154.51
2016/09/09,181.137
2016/09/10,143.448
2016/09/11,137.843
2016/09/12,159.985
2016/09/13,186.404
2016/09/14,170.773
2016/09/15,171.669
2016/09/16,180.569
2016/09/17,132.176
2016/09/18,139.855
2016/09/19,185.278
2016/09/20,182.494
2016/09/21,178.95
2016/09/22,192.074
2016/09/23,192.569
2016/09/24,182.157
2016/09/25,142.14
2016/09/26,149.968
2016/09/27,147.407
2016/09/28,158.391
2016/09/29,152.311
2016/09/30,155.172
2016/10/01,113.635
2016/10/02,105.207
2016/10/03,128.065
2016/10/04,128.919
2016/10/05,120.762
2016/10/06,110.871
2016/10/07,123.155
2016/10/08,107.801
2016/10/09,118.028
2016/10/10,156.591
2016/10/11,150.614
2016/10/12,168.93
2016/10/13,154.681
2016/10/14,133.141
2016/10/15,120.085
2016/10/16,107.5
2016/10/17,120.269
2016/10/18,133.499
2016/10/19,140.218
2016/10/20,115.661
2016/10/21,133.86
2016/10/22,128.173
2016/10/23,109.595
2016/10/24,151.843
2016/10/25,151.807
2016/10/26,142.053
2016/10/27,130.248
2016/10/28,136.916
2016/10/29,128.066
2016/10/30,107.619
2016/10/31,151.569
2016/11/01,158.342
2016/11/02,143.358
2016/11/03,144.722
2016/11/04,137.719
2016/11/05,104.877
2016/11/06,107.792
2016/11/07,117.138
2016/11/08,103.963
2016/11/09,127.549
2016/11/10,118.442
2016/11/11,114.224
2016/11/12,106.14
2016/11/13,99.78
2016/11/14,121.958
2016/11/15,129.4
2016/11/16,112.656
2016/11/17,121.591
2016/11/18,122.745
2016/11/19,111.862
2016/11/20,98.216
2016/11/21,111.042
2016/11/22,111.515
2016/11/23,115.817
2016/11/24,106.625
2016/11/25,110.139
2016/11/26,103.018
2016/11/27,99.856
2016/11/28,121.12
2016/11/29,120.063
2016/11/30,116.086
2016/12/01,118.993
2016/12/02,119.487
2016/12/03,107.46
2016/12/04,105.056
2016/12/05,127.293
2016/12/06,120.761
2016/12/07,121.643
2016/12/08,129.39
2016/12/09,125.799
2016/12/10,109.634
2016/12/11,99.719
2016/12/12,127.861
2016/12/13,119.913
2016/12/14,116.1
2016/12/15,128.09
2016/12/16,120.52
2016/12/17,107.405
2016/12/18,123.149
2016/12/19,142.259
2016/12/20,135.759
2016/12/21,137.071
2016/12/22,143.285
2016/12/23,154.373
2016/12/24,133.635
2016/12/25,126.463
2016/12/26,162.543
2016/12/27,159.553
2016/12/28,167.849
2016/12/29,165.106
2016/12/30,156.321
2016/12/31,143.503
2017/01/01,145.454
2017/01/02,148.871
2017/01/03,155.286
2017/01/04,175.91
2017/01/05,208.689
2017/01/06,155.765
2017/01/07,136.379
2017/01/08,141.378
2017/01/09,177.717
2017/01/10,140.865
2017/01/11,169.484
2017/01/12,152.864
2017/01/13,153.086
2017/01/14,122.198
2017/01/15,104.056
2017/01/16,137.454
2017/01/17,137.215
2017/01/18,133.1
2017/01/19,146.567
2017/01/20,142.503
2017/01/21,123.541
2017/01/22,119.323
2017/01/23,157.821
2017/01/24,141.264
2017/01/25,132.279
2017/01/26,120.245
2017/01/27,136.938
2017/01/28,117.814
2017/01/29,105.174
2017/01/30,171.605
2017/01/31,154.97
2017/02/01,130.294
2017/02/02,181.883
2017/02/03,159.6
2017/02/04,158.833
2017/02/05,135.806
2017/02/06,249.089
2017/02/07,155.455
2017/02/08,188.52
2017/02/09,153.861
2017/02/10,164.086
2017/02/11,133.557
2017/02/12,132.789
2017/02/13,169.784
2017/02/14,173.233
2017/02/15,176.816
2017/02/16,202.26
2017/02/17,178.697
2017/02/18,135.173
2017/02/19,148.063
2017/02/20,198.214
2017/02/21,228.801
2017/02/22,222.979
2017/02/23,189.801
2017/02/24,184.681
2017/02/25,121.693
2017/02/26,144.435
2017/02/27,218.295
2017/02/28,225.76
2017/03/01,241.898
2017/03/02,254.02
2017/03/03,253.336
2017/03/04,218.562
2017/03/05,152.111
2017/03/06,268.256
2017/03/07,212.103
2017/03/08,180.149
2017/03/09,176.201
2017/03/10,215.703
2017/03/11,144.995
2017/03/12,163.177
2017/03/13,220.981
2017/03/14,198.006
2017/03/15,236.63
2017/03/16,241.894
2017/03/17,277.082
2017/03/18,197.31
2017/03/19,146.219
2017/03/20,221.193
2017/03/21,217.211
2017/03/22,184.925
2017/03/23,208.156
2017/03/24,230.63
2017/03/25,192.866
2017/03/26,177.666
2017/03/27,255.024
2017/03/28,204.765
2017/03/29,182.979
2017/03/30,208.167
2017/03/31,230.689
2017/04/01,162.191
2017/04/02,161.862
2017/04/03,215.441
2017/04/04,228.031
2017/04/05,195.696
2017/04/06,204.609
2017/04/07,216.806
2017/04/08,157.236
2017/04/09,127.835
2017/04/10,197.773
2017/04/11,210.667
2017/04/12,204.019
2017/04/13,221.148
2017/04/14,168.935
2017/04/15,152.722
2017/04/16,156.9
2017/04/17,197.795
2017/04/18,230.89
2017/04/19,187.898
2017/04/20,226.405
2017/04/21,181.056
2017/04/22,179.453
2017/04/23,183.247
2017/04/24,256.836
2017/04/25,254.268
2017/04/26,220.835
2017/04/27,269.097
2017/04/28,268.952
2017/04/29,207.109
2017/04/30,206.137
2017/05/01,272.233
2017/05/02,292.929
2017/05/03,319.803
2017/05/04,308.997
2017/05/05,404.676
2017/05/06,211.131
2017/05/07,229.286
2017/05/08,313.961
2017/05/09,387.722
2017/05/10,433.506
2017/05/11,410.869
2017/05/12,403.257
2017/05/13,376.127
2017/05/14,231.613
2017/05/15,344.006
2017/05/16,399.386
2017/05/17,512.902
2017/05/18,443.598
2017/05/19,495.208
2017/05/20,297.003
2017/05/21,324.362
2017/05/22,459.321
2017/05/23,459.022
2017/05/24,479.583
2017/05/25,548.646
2017/05/26,475.333
2017/05/27,329.738
2017/05/28,303.491
2017/05/29,357.788
2017/05/30,407.134
2017/05/31,368.074
2017/06/01,356.083
2017/06/02,374.585
2017/06/03,297.853
2017/06/04,303.818
2017/06/05,457.358
2017/06/06,422.663
2017/06/07,414.77
2017/06/08,325.22
2017/06/09,440.697
2017/06/10,391.626
2017/06/11,406.639
2017/06/12,538.554
2017/06/13,489.375
2017/06/14,494.63
2017/06/15,410.314
2017/06/16,402.148
2017/06/17,381.965
2017/06/18,329.712
2017/06/19,438.151
2017/06/20,456.712
2017/06/21,514.696
2017/06/22,477.977
2017/06/23,383.101
2017/06/24,399.656
2017/06/25,441.411
2017/06/26,488.04
2017/06/27,385.172
2017/06/28,452.154
2017/06/29,571.151
2017/06/30,375.665
2017/07/01,413.786
2017/07/02,339.233
2017/07/03,411.387
2017/07/04,313.501
2017/07/05,385.074
2017/07/06,437.588
2017/07/07,383.989
2017/07/08,358.933
2017/07/09,317.224
2017/07/10,423.944
2017/07/11,404.204
2017/07/12,389.688
2017/07/13,386.651
2017/07/14,461.409
2017/07/15,365.403
2017/07/16,352.334
2017/07/17,369.24
2017/07/18,374.176
2017/07/19,360.674
2017/07/20,540.892
2017/07/21,426.937
2017/07/22,410.76
2017/07/23,394.437
2017/07/24,417.207
2017/07/25,405.643
2017/07/26,384.611
2017/07/27,400.287
2017/07/28,578.899
2017/07/29,373.743
2017/07/30,637.042
2017/07/31,588.062
2017/08/01,251.244
2017/08/02,325.359
2017/08/03,322.678
2017/08/04,374.777
2017/08/05,424.499
2017/08/06,355.428
2017/08/07,464.741
2017/08/08,476.541
2017/08/09,443.37
2017/08/10,526.232
2017/08/11,554.277
2017/08/12,460.704
2017/08/13,484.159
2017/08/14,726.46
2017/08/15,601.479
2017/08/16,616.913
2017/08/17,459.651
2017/08/18,424.774
2017/08/19,429.339
2017/08/20,490.401
2017/08/21,722.399
2017/08/22,915.338
2017/08/23,567.513
2017/08/24,933.144
2017/08/25,648.938
2017/08/26,555.517
2017/08/27,329.228
2017/08/28,665.833
2017/08/29,656.491
2017/08/30,618.253
2017/08/31,762.483
2017/09/01,779.063
2017/09/02,525.587
2017/09/03,542.338
2017/09/04,816.464
2017/09/05,710.607
2017/09/06,673.152
2017/09/07,684.333
2017/09/08,594.06
2017/09/09,527.854
2017/09/10,612.948
2017/09/11,534.855
2017/09/12,540.55
2017/09/13,566.863
2017/09/14,672.945
2017/09/15,726.267
2017/09/16,515.486
2017/09/17,494.156
2017/09/18,760.959
2017/09/19,498.192
2017/09/20,596.33
2017/09/21,525.775
2017/09/22,480.568
2017/09/23,373.498
2017/09/24,369.023
2017/09/25,517.207
2017/09/26,471.961
2017/09/27,536.17
2017/09/28,530.959
2017/09/29,498.655
2017/09/30,527.101
2017/10/01,443.126
2017/10/02,455.949
2017/10/03,426.675
2017/10/04,527.043
2017/10/05,436.016
2017/10/06,395.214
2017/10/07,344.868
2017/10/08,336.378
2017/10/09,462.591
2017/10/10,458.283
2017/10/11,404.545
2017/10/12,583.724
2017/10/13,632.415
2017/10/14,428.179
2017/10/15,347.683
2017/10/16,418.342
2017/10/17,438.551
2017/10/18,417.462
2017/10/19,365.318
2017/10/20,452.615
2017/10/21,369.075
2017/10/22,389.752
2017/10/23,703.026
2017/10/24,668.484
2017/10/25,408.367
2017/10/26,489.125
2017/10/27,665.445
2017/10/28,639.77
2017/10/29,387.143
2017/10/30,476.159
2017/10/31,660.925
2017/11/01,638.463
2017/11/02,677.562
2017/11/03,757.735
2017/11/04,522.018
2017/11/05,589.829
2017/11/06,693.611
